Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,196019,2017-01-06,ar,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,183131,2017-01-06,ar,3AEZUABDXNtecAOSC1qTfo
3,Vente Pa' Ca,Ricky Martin,142925,2017-01-06,ar,7DM4BPaS7uofFul3ywMe46
4,Cuando Se Pone a Bailar,Rombai,135626,2017-01-06,ar,1MpKZi1zTXpERKwxmOu1PH
5,Safari,J Balvin,122861,2017-01-06,ar,6rQSrBHf7HlZjtcMZ4S4bO
6,Traicionera,Sebastian Yatra,113467,2017-01-06,ar,5J1c3M4EldCfNxXwrwt8mT
7,Otra vez (feat. J Balvin),Zion & Lennox,107692,2017-01-06,ar,3QwBODjSEzelZyVjxPOHdq
8,Shaky Shaky,Daddy Yankee,96824,2017-01-06,ar,58IL315gMSTD37DOZPJ2hf
9,Dile Que Tu Me Quieres,Ozuna,87394,2017-01-06,ar,20ZAJdsKB5IGbGj4ilRt2o
10,Me Llamas (feat. Maluma) - Remix,Piso 21,86099,2017-01-06,ar,5hEM0JchdVzQ5PwvSfITeX
11,Andas En Mi Cabeza,Chino & Nacho,81990,2017-01-06,ar,5mey7CLLuFToM2P68Qu1gF
12,La Bicicleta,Carlos Vives,78890,2017-01-06,ar,0sXvAOmXgjR2QUqLK1MltU
13,Let Me Love You,DJ Snake,77169,2017-01-06,ar,4pdPtRcBmOSQDlJ3Fk945m
14,Gyal You A Party Animal - Remix,Charly Black,76676,2017-01-06,ar,1AkTW13ysu0AJrwuM6UY0I
15,24K Magic,Bruno Mars,73388,2017-01-06,ar,6b8Be6ljOzmkOmFslEb23P
16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,69832,2017-01-06,ar,5knuzwU65gJK7IF5yJsuaW
17,Cuatro Babys,Maluma,68493,2017-01-06,ar,0JoHqmlqE0W0i9prt6kcHR
18,La Noche No Es para Dormir,Mano Arriba,67190,2017-01-06,ar,3gEebOzxHpEwElicl1XBy0
19,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,66716,2017-01-06,ar,6stYbAJgTszHAHZMPxWWCY
20,Borro Cassette,Maluma,65169,2017-01-06,ar,6DUdDIRgLqCGq1DwkNWQTN
21,Desde Esa Noche,Thalía,63662,2017-01-06,ar,1pWYnQIlqxTh5bxuPmTG4E
22,Carnavalintro,CHANO,63087,2017-01-06,ar,0tGAPnTFwRJA6FZgYZ0BAe
23,Don't Wanna Know,Maroon 5,60947,2017-01-06,ar,5MFzQMkrl1FOOng9tq6R9r
24,Cold Water (feat. Justin Bieber & MØ),Major Lazer,58934,2017-01-06,ar,6DNtNfH8hXkqOX1sjqmI7p
25,Starboy,The Weeknd,58529,2017-01-06,ar,5aAx2yezTd8zXrkmtKl66Z
26,DUELE EL CORAZON,Enrique Iglesias,58344,2017-01-06,ar,6YZdkObH88npeKrrkb8Ggf
27,Vacaciones,Wisin,58297,2017-01-06,ar,3dQDid3IUNhZy1OehIfYfE
28,Manicomio,Cosculluela,57705,2017-01-06,ar,3n58u3LOFw8mITLvfPvQBz
29,Shape of You,Ed Sheeran,57617,2017-01-06,ar,7qiZfU4dY1lWllzX7mPBI3
30,Closer (feat. Halsey),The Chainsmokers,55792,2017-01-06,ar,7BKLCZ1jbUBVqRi2FVlTVw
31,In the Name of Love,Martin Garrix,55623,2017-01-06,ar,04DwTuZ2VBdJCCC5TROn7L
32,Side To Side,Ariana Grande,52503,2017-01-06,ar,4pLwZjInHj3SimIyN9SnOz
33,My Way,Calvin Harris,51961,2017-01-06,ar,1vvNmPOiUuyCbgWmtc6yfm
34,Llamame Mas Temprano,Mano Arriba,51455,2017-01-06,ar,5aHJug2wnupoGfgfxRudsk
35,Te Quiero Pa´Mi,Don Omar,51394,2017-01-06,ar,3BY2mafsbsoKGqS380Xnuz
36,La Bicicleta - Remix,Carlos Vives,50503,2017-01-06,ar,7IRuf7FrdQvOGs0g9mSNGr
37,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,47549,2017-01-06,ar,17Fd6Yb7mSbinKG8LoWfFl
38,I Feel It Coming,The Weeknd,46734,2017-01-06,ar,5GXAXm5YOmYT0kL5jHvYBt
39,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,46349,2017-01-06,ar,4vlbjBSMqycZk6t4HVRpnC
40,Tu Ritmo,Los Bonnitos,45403,2017-01-06,ar,0BFgCEE7ozbyB1PpLpLyhM
41,Castle on the Hill,Ed Sheeran,44713,2017-01-06,ar,6PCUP3dWmTjcTtXY02oFdT
42,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,44416,2017-01-06,ar,6JV2JOEocMgcZxYSZelKcc
43,One Dance,Drake,42897,2017-01-06,ar,1xznGGDReH1oQq0xzbwXa3
44,La Gozadera,Gente De Zona,42795,2017-01-06,ar,0OMRAvrtLWE2TvcXorRiB9
45,Treat You Better,Shawn Mendes,42132,2017-01-06,ar,4Hf7WnR761jpxPr5D46Bcd
46,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,42047,2017-01-06,ar,2SSYqDX8KTgy01NlqtUo0F
47,Traicionera - Remix,Sebastian Yatra,41351,2017-01-06,ar,2webQDZmtGioeu3zUUi9We
48,Pasarla Bien,Marama,41323,2017-01-06,ar,0ZzVPCGdkpKcxAzMNDD5UZ
49,Fuego,Juanes,39742,2017-01-06,ar,0mwPE0lPOgnWf2bo14xedJ
50,Bobo,J Balvin,39104,2017-01-06,ar,7AtlMCIauSQZqiXSlbBPW6
51,Sin Contrato,Maluma,37642,2017-01-06,ar,09S64DUkxIX9EwIaULu6yN
52,Work,Rihanna,37628,2017-01-06,ar,14WWzenpaEgQZlqPq2nk4v
53,Te Vas,Ozuna,36515,2017-01-06,ar,2twUPIYOTqVivev47pf7bU
54,Chillax (feat. Ky-Mani Marley),Farruko,33945,2017-01-06,ar,1lxswgIpzV6HhENRvkflES
55,No Llores,LOAN,33940,2017-01-06,ar,07GOnZWIiHWjLzUsaTv5yO
56,Me Ama Me Odia,Ozuna,33109,2017-01-06,ar,6041gM9Th1ViQcnzkIxnuv
57,Just Hold On,Steve Aoki,31873,2017-01-06,ar,3EmmCZoqpWOTY1g2GBwJoR
58,Don't Let Me Down,The Chainsmokers,31725,2017-01-06,ar,0QsvXIfqM0zZoerQfsI9lm
59,This Is What You Came For,Calvin Harris,31193,2017-01-06,ar,0azC730Exh71aQlOt9Zj3y
60,El Perdedor - The Remix,Maluma,31148,2017-01-06,ar,4QsPTKvdpgkA7mBAvclZTa
61,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,31019,2017-01-06,ar,2FrnTVSHjgnEylKGdHRUK1
62,Bailame Despacio,Xantos,30756,2017-01-06,ar,4OaTpLJIa2harufGxfOPUu
63,Sin Contrato - Remix,Maluma,30756,2017-01-06,ar,2xNZeeqmwMPVKnD7FSQfgt
64,The Greatest (feat. Kendrick Lamar),Sia,30476,2017-01-06,ar,7xHWNBFm6ObGEQPaUxHuKO
65,Hasta el Amanecer,Nicky Jam,30275,2017-01-06,ar,5Fim1gaXBgsiFfsQAfQSDS
66,Hymn for the Weekend - Seeb Remix,Coldplay,29353,2017-01-06,ar,1OAiWI2oPmglaOiv9fdioU
67,Noche Loca,Marama,28999,2017-01-06,ar,0gzcET27nREY6aD8LJU9wD
68,Locuras contigo,Rombai,28835,2017-01-06,ar,5jMvnSyOgGY8JpvHqeyVOg
69,Sin Contrato,Maluma,28622,2017-01-06,ar,3yHJs5NmQk2ROAWCfjniXV
70,Baila,Agapornis,28431,2017-01-06,ar,3iS4VBJ3Bg1HyL3e6WNpgi
71,Cheap Thrills,Sia,28185,2017-01-06,ar,27SdWb2rFzO6GWiYDBTD9j
72,Comerte a Besos (feat. Cande Buasso),Pijama Party,28017,2017-01-06,ar,4UHZMWgKDjJ1zS0t6f6qPv
73,Shed a Light,Robin Schulz,26888,2017-01-06,ar,1cG0umU5TKStygKsPFZ9pY
74,Te Vas - Version Cumbia,aLee DJ,26792,2017-01-06,ar,0j8zA8KrITjLVoAm3H3X6u
75,Cake By The Ocean,DNCE,26760,2017-01-06,ar,2aFiaMXmWsM3Vj72F9ksBl
76,Call On Me - Ryan Riback Extended Remix,Starley,26699,2017-01-06,ar,78rIJddV4X0HkNAInEcYde
77,Ruleta Rusa,Kevin Roldan,25980,2017-01-06,ar,77KHmKnBmVGTjRCeMVXpWH
78,Si me dices que sí (feat. Nicky Jam),Cosculluela,25930,2017-01-06,ar,3noN1TxpjbjjmKqssghvg8
79,Heathens,Twenty One Pilots,25630,2017-01-06,ar,6i0V12jOa3mr6uu4WYhUBr
80,Picky,Joey Montana,25629,2017-01-06,ar,4tPL9PeVZY4c0jUPtSD5nx
81,Lo Intentamos,Marama,25625,2017-01-06,ar,4Kzk0koKwzCMiIx4rAqCZp
82,Deja De Llorar,El Polaco,25536,2017-01-06,ar,3tddzXTgneWrkV2cYNUBZe
83,We Don't Talk Anymore,Charlie Puth,25267,2017-01-06,ar,68EMU2RD1ECNeOeJ5qAXCV
84,Would I Lie to You - Radio Edit,David Guetta,25127,2017-01-06,ar,4PdJSsESm34djLfBde9Pr2
85,Amor y dolor,Carlos Baute,25013,2017-01-06,ar,4efQTJSX6Jca1hHZNi74Zd
86,Se Pone Loca,CantoParaBailar,24923,2017-01-06,ar,0FVuUna31PTRmWGLs8W1o4
87,El Perdedor,Maluma,24609,2017-01-06,ar,1iEwyiSLAunPR6uouANE0O
88,Hasta la luna,#TocoParaVos,24414,2017-01-06,ar,1A3yLIqelu1D7MCtw06Cu7
89,Llegaste tú (feat. Reykon),Sofia Reyes,24357,2017-01-06,ar,79Bm3DTEYuQsDpUVHbSRsL
90,Era Tranquila,Marama,23606,2017-01-06,ar,5OqaLWo9WbNPWDilrwNwzt
91,Encantadora - Remix,Yandel,23479,2017-01-06,ar,0EpFfFZpCuqYFzHvxOtrZS
92,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,23310,2017-01-06,ar,5q2JbCNi4FcnglgPfxcV65
93,Mi tesoro (feat. Nicky Jam),Zion & Lennox,23178,2017-01-06,ar,5HABnFSYvl6mTmg8nSdzHa
