Position,Track Name,Artist,Streams,date,region,spotify_id
1,Castle on the Hill,Ed Sheeran,20668,2017-01-06,at,6PCUP3dWmTjcTtXY02oFdT
2,Shape of You,Ed Sheeran,19564,2017-01-06,at,7qiZfU4dY1lWllzX7mPBI3
3,Alone,Alan Walker,15876,2017-01-06,at,0JiVRyTJcJnmlwCZ854K4p
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,15265,2017-01-06,at,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,12793,2017-01-06,at,3NdDpSvN911VPGivFlV5d0
6,Bad Ideas,Alle Farben,12250,2017-01-06,at,76gwG061wqdatYhicO2hG4
7,Shed a Light,Robin Schulz,11717,2017-01-06,at,1cG0umU5TKStygKsPFZ9pY
8,Chöre,Mark Forster,11461,2017-01-06,at,2nYpbaLykC2cjU8Yt5KF1v
9,Say You Won't Let Go,James Arthur,11193,2017-01-06,at,5uCax9HTNlzGybIStD3vDh
10,Call On Me - Ryan Riback Extended Remix,Starley,11154,2017-01-06,at,78rIJddV4X0HkNAInEcYde
11,Closer (feat. Halsey),The Chainsmokers,10947,2017-01-06,at,7BKLCZ1jbUBVqRi2FVlTVw
12,Starboy,The Weeknd,10452,2017-01-06,at,5aAx2yezTd8zXrkmtKl66Z
13,Solo Dance,Martin Jensen,9598,2017-01-06,at,6HUnnBwYZqcED1eQztxMBN
14,Let Me Love You,DJ Snake,9408,2017-01-06,at,4pdPtRcBmOSQDlJ3Fk945m
15,Just Hold On,Steve Aoki,9116,2017-01-06,at,3EmmCZoqpWOTY1g2GBwJoR
16,My Way,Calvin Harris,9085,2017-01-06,at,1vvNmPOiUuyCbgWmtc6yfm
17,Don't Wanna Know,Maroon 5,8866,2017-01-06,at,5MFzQMkrl1FOOng9tq6R9r
18,Now and Later,Sage The Gemini,8638,2017-01-06,at,43jBqV3j3Xi1g6wO0bhIMd
19,Mercy,Shawn Mendes,8588,2017-01-06,at,4TZy1wLyHec06pwgFYDh1a
20,Lot to Learn,Luke Christopher,8410,2017-01-06,at,3TRFq09DUgYj1mug6RRqJW
21,Human,Rag'n'Bone Man,7926,2017-01-06,at,58zsLZPvfflaiIbNWoA22O
22,Black Beatles,Rae Sremmurd,7680,2017-01-06,at,6fujklziTHa8uoM5OQSfIo
23,In the Name of Love,Martin Garrix,7553,2017-01-06,at,04DwTuZ2VBdJCCC5TROn7L
24,Would I Lie to You - Radio Edit,David Guetta,7455,2017-01-06,at,4PdJSsESm34djLfBde9Pr2
25,No Lie,Sean Paul,7421,2017-01-06,at,3cFsmM51N5zMAuu1nNY4Tw
26,Love Me Now,John Legend,7234,2017-01-06,at,6nxQdXa1uAL0rY72wPZu89
27,Scars To Your Beautiful,Alessia Cara,7031,2017-01-06,at,0prNGof3XqfTvNDxHonvdK
28,Heathens,Twenty One Pilots,6921,2017-01-06,at,6i0V12jOa3mr6uu4WYhUBr
29,By Your Side,Jonas Blue,6341,2017-01-06,at,1D3ODoXHBLpdxolZRHWV1j
30,Hear Me Now,Alok,6326,2017-01-06,at,1a5Yu5L18qNxVhXx38njON
31,Never Give Up,Sia,6299,2017-01-06,at,1ssmjAYSU5PbmsjLq5yrNH
32,All We Know,The Chainsmokers,6284,2017-01-06,at,2rizacJSyD9S1IQUxUxnsK
33,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6239,2017-01-06,at,6DNtNfH8hXkqOX1sjqmI7p
34,Dye My Hair,ALMA,6098,2017-01-06,at,5NafFxaLg9Ep21oTHBw7Zq
35,Don't Let Me Down,The Chainsmokers,6097,2017-01-06,at,0QsvXIfqM0zZoerQfsI9lm
36,The Mack,Nevada,6073,2017-01-06,at,7aV2mflaASUmGhCErm7kBO
37,One Dance,Drake,6006,2017-01-06,at,1xznGGDReH1oQq0xzbwXa3
38,Jedermann,Pizzera & Jaus,5934,2017-01-06,at,4rkEjyRMjc6rcj7WROZ9XK
39,Ohne mein Team,Bonez MC,5820,2017-01-06,at,05Mp2UJulSttxQ4E6hQPH3
40,I Feel It Coming,The Weeknd,5816,2017-01-06,at,5GXAXm5YOmYT0kL5jHvYBt
41,What Is Love 2016,Lost Frequencies,5802,2017-01-06,at,5hIR7SX1fSrr5evIAPDY5o
42,Starving,Hailee Steinfeld,5791,2017-01-06,at,1qOLh0tI7trd1zdDKxYZTe
43,iPhone 17 (feat. Moé),KC Rebell,5709,2017-01-06,at,6rwCkGBh7CV6pcdxZKbcsG
44,Treat You Better,Shawn Mendes,5553,2017-01-06,at,4Hf7WnR761jpxPr5D46Bcd
45,24K Magic,Bruno Mars,5443,2017-01-06,at,6b8Be6ljOzmkOmFslEb23P
46,Fake Love,Drake,5414,2017-01-06,at,343YBumqHu19cGoGARUTsd
47,The Ocean (feat. Shy Martin),Mike Perry,5356,2017-01-06,at,2CPqh63wRVscbceKcPxwvv
48,Cheap Thrills,Sia,5174,2017-01-06,at,27SdWb2rFzO6GWiYDBTD9j
49,All Night,The Vamps,5102,2017-01-06,at,1yNyoWWWikbLhwIGWjZuDW
50,Side To Side,Ariana Grande,5044,2017-01-06,at,4pLwZjInHj3SimIyN9SnOz
51,Bonfire,Felix Jaehn,4987,2017-01-06,at,5hz9DEkahyWoTs3rxJOTtw
52,Final Song,MØ,4802,2017-01-06,at,4qqArAiTPueDxIp7cf87h7
53,Chantaje (feat. Maluma),Shakira,4313,2017-01-06,at,6mICuAdrwEjh6Y6lroV2Kg
54,Tuesday,Burak Yeter,4098,2017-01-06,at,7abpmGpF7PGep2rDU68GBR
55,Alarm,Anne-Marie,4015,2017-01-06,at,0OwX5aROoW1Iip8FV51Efg
56,Sunset Lover,Petit Biscuit,3900,2017-01-06,at,0hNduWmlWmEmuwEFcYvRu1
57,I Would Like,Zara Larsson,3885,2017-01-06,at,4Q4jmPHwu0wrJvqrld0FQ6
58,Miss You,James Hersey,3781,2017-01-06,at,7of1slAJIWrXxP8ikAHxje
59,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,3725,2017-01-06,at,4dASQiO1Eoo3RJvt74FtXB
60,Holz,257ers,3657,2017-01-06,at,7eINNUMHd6YAPldsUlCz9q
61,Cocoon,Milky Chance,3628,2017-01-06,at,0L87MffumRNWrY2SNUFcvs
62,Water Under the Bridge,Adele,3576,2017-01-06,at,4vb4mFvYsr2h6enhjJsq9Y
63,Faded,Alan Walker,3430,2017-01-06,at,7gHs73wELdeycvS48JfIos
64,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,3376,2017-01-06,at,6JV2JOEocMgcZxYSZelKcc
65,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,3375,2017-01-06,at,17Fd6Yb7mSbinKG8LoWfFl
66,Ride,Twenty One Pilots,3375,2017-01-06,at,2Z8WuEywRWYTKe1NybPQEW
67,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,3336,2017-01-06,at,40UroIGvsMPLPBYwH8rMNA
68,Bungalow,Bilderbuch,3319,2017-01-06,at,0xCXcq4y44uHJtJ7zZDF3d
69,Don't Leave,Snakehips,3280,2017-01-06,at,0Zx8khUcEfCFK2AEoIhC92
