Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,37838,2017-01-06,be,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,32309,2017-01-06,be,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,24932,2017-01-06,be,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,23502,2017-01-06,be,5aAx2yezTd8zXrkmtKl66Z
5,Hey Baby (feat. Deb's Daughter),Dimitri Vegas & Like Mike,20140,2017-01-06,be,3oUZXcz9WLNO71yHAumFbH
6,Call On Me - Ryan Riback Extended Remix,Starley,20112,2017-01-06,be,78rIJddV4X0HkNAInEcYde
7,Closer (feat. Halsey),The Chainsmokers,19997,2017-01-06,be,7BKLCZ1jbUBVqRi2FVlTVw
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,19471,2017-01-06,be,3NdDpSvN911VPGivFlV5d0
9,Say You Won't Let Go,James Arthur,18184,2017-01-06,be,5uCax9HTNlzGybIStD3vDh
10,Let Me Love You,DJ Snake,17743,2017-01-06,be,4pdPtRcBmOSQDlJ3Fk945m
11,What Is Love 2016,Lost Frequencies,17028,2017-01-06,be,5hIR7SX1fSrr5evIAPDY5o
12,Don't Wanna Know,Maroon 5,16178,2017-01-06,be,5MFzQMkrl1FOOng9tq6R9r
13,Until the End,Henri PFR,15848,2017-01-06,be,61VEcQZQZUF4o7QgXsOFjB
14,In the Name of Love,Martin Garrix,15530,2017-01-06,be,04DwTuZ2VBdJCCC5TROn7L
15,24K Magic,Bruno Mars,15248,2017-01-06,be,6b8Be6ljOzmkOmFslEb23P
16,I Feel It Coming,The Weeknd,15229,2017-01-06,be,5GXAXm5YOmYT0kL5jHvYBt
17,Black Beatles,Rae Sremmurd,14741,2017-01-06,be,6fujklziTHa8uoM5OQSfIo
18,Ziet Em Duun,Van Echelpoel,14031,2017-01-06,be,6WBPdOrzwCo3AXg2kGGD7x
19,Just Hold On,Steve Aoki,13705,2017-01-06,be,3EmmCZoqpWOTY1g2GBwJoR
20,All We Know,The Chainsmokers,13182,2017-01-06,be,2rizacJSyD9S1IQUxUxnsK
21,Fake Love,Drake,13030,2017-01-06,be,343YBumqHu19cGoGARUTsd
22,One Dance,Drake,12837,2017-01-06,be,1xznGGDReH1oQq0xzbwXa3
23,Mercy,Shawn Mendes,12387,2017-01-06,be,4TZy1wLyHec06pwgFYDh1a
