Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,6837,2017-01-06,bo,3AEZUABDXNtecAOSC1qTfo
2,Otra vez (feat. J Balvin),Zion & Lennox,5664,2017-01-06,bo,3QwBODjSEzelZyVjxPOHdq
3,Chantaje (feat. Maluma),Shakira,5502,2017-01-06,bo,6mICuAdrwEjh6Y6lroV2Kg
4,Vente Pa' Ca,Ricky Martin,4481,2017-01-06,bo,7DM4BPaS7uofFul3ywMe46
5,Traicionera,Sebastian Yatra,4418,2017-01-06,bo,5J1c3M4EldCfNxXwrwt8mT
6,Safari,J Balvin,4229,2017-01-06,bo,6rQSrBHf7HlZjtcMZ4S4bO
7,Let Me Love You,DJ Snake,4220,2017-01-06,bo,4pdPtRcBmOSQDlJ3Fk945m
8,Me Rehúso,Danny Ocean,3678,2017-01-06,bo,6De0lHrwBfPfrhorm9q1Xl
9,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3569,2017-01-06,bo,6stYbAJgTszHAHZMPxWWCY
10,Closer (feat. Halsey),The Chainsmokers,3517,2017-01-06,bo,7BKLCZ1jbUBVqRi2FVlTVw
11,Me Llamas (feat. Maluma) - Remix,Piso 21,3117,2017-01-06,bo,5hEM0JchdVzQ5PwvSfITeX
12,Don't Wanna Know,Maroon 5,3068,2017-01-06,bo,5MFzQMkrl1FOOng9tq6R9r
13,Vacaciones,Wisin,3011,2017-01-06,bo,3dQDid3IUNhZy1OehIfYfE
14,Dile Que Tu Me Quieres,Ozuna,2993,2017-01-06,bo,20ZAJdsKB5IGbGj4ilRt2o
15,Shape of You,Ed Sheeran,2944,2017-01-06,bo,7qiZfU4dY1lWllzX7mPBI3
16,Starboy,The Weeknd,2804,2017-01-06,bo,5aAx2yezTd8zXrkmtKl66Z
17,La Bicicleta,Carlos Vives,2772,2017-01-06,bo,0sXvAOmXgjR2QUqLK1MltU
18,In the Name of Love,Martin Garrix,2720,2017-01-06,bo,04DwTuZ2VBdJCCC5TROn7L
19,My Way,Calvin Harris,2536,2017-01-06,bo,1vvNmPOiUuyCbgWmtc6yfm
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2508,2017-01-06,bo,6DNtNfH8hXkqOX1sjqmI7p
21,One Dance,Drake,2471,2017-01-06,bo,1xznGGDReH1oQq0xzbwXa3
22,Andas En Mi Cabeza,Chino & Nacho,2432,2017-01-06,bo,5mey7CLLuFToM2P68Qu1gF
23,Me llamas,Piso 21,2415,2017-01-06,bo,3jpqMaJREkmVDYlRvW1qWC
24,Cuatro Babys,Maluma,2415,2017-01-06,bo,0JoHqmlqE0W0i9prt6kcHR
25,We Don't Talk Anymore,Charlie Puth,2377,2017-01-06,bo,68EMU2RD1ECNeOeJ5qAXCV
26,24K Magic,Bruno Mars,2368,2017-01-06,bo,6b8Be6ljOzmkOmFslEb23P
27,Shaky Shaky,Daddy Yankee,2348,2017-01-06,bo,58IL315gMSTD37DOZPJ2hf
28,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2275,2017-01-06,bo,5knuzwU65gJK7IF5yJsuaW
29,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2261,2017-01-06,bo,17Fd6Yb7mSbinKG8LoWfFl
30,Treat You Better,Shawn Mendes,2184,2017-01-06,bo,4Hf7WnR761jpxPr5D46Bcd
31,Castle on the Hill,Ed Sheeran,2178,2017-01-06,bo,6PCUP3dWmTjcTtXY02oFdT
32,Gyal You A Party Animal - Remix,Charly Black,2122,2017-01-06,bo,1AkTW13ysu0AJrwuM6UY0I
33,Side To Side,Ariana Grande,2089,2017-01-06,bo,4pLwZjInHj3SimIyN9SnOz
34,Don't Let Me Down,The Chainsmokers,2052,2017-01-06,bo,0QsvXIfqM0zZoerQfsI9lm
35,I Feel It Coming,The Weeknd,2018,2017-01-06,bo,5GXAXm5YOmYT0kL5jHvYBt
36,Bailame Despacio,Xantos,2015,2017-01-06,bo,4OaTpLJIa2harufGxfOPUu
37,Heathens,Twenty One Pilots,1934,2017-01-06,bo,6i0V12jOa3mr6uu4WYhUBr
38,Chillax (feat. Ky-Mani Marley),Farruko,1916,2017-01-06,bo,1lxswgIpzV6HhENRvkflES
39,Borro Cassette,Maluma,1888,2017-01-06,bo,6DUdDIRgLqCGq1DwkNWQTN
40,El chisme,Reykon,1847,2017-01-06,bo,4VXejnj5WgM6H72ct2fSgQ
41,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,1820,2017-01-06,bo,2SSYqDX8KTgy01NlqtUo0F
42,DUELE EL CORAZON,Enrique Iglesias,1786,2017-01-06,bo,6YZdkObH88npeKrrkb8Ggf
43,Cheap Thrills,Sia,1752,2017-01-06,bo,27SdWb2rFzO6GWiYDBTD9j
44,Te Quiero Pa´Mi,Don Omar,1704,2017-01-06,bo,3BY2mafsbsoKGqS380Xnuz
45,Muchachita,Bonny Lovy,1673,2017-01-06,bo,0B38YZydPDJz9N4uR9hULg
46,Bobo,J Balvin,1667,2017-01-06,bo,7AtlMCIauSQZqiXSlbBPW6
47,Amor y dolor,Carlos Baute,1659,2017-01-06,bo,4efQTJSX6Jca1hHZNi74Zd
48,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1657,2017-01-06,bo,6JV2JOEocMgcZxYSZelKcc
49,Desde Esa Noche,Thalía,1625,2017-01-06,bo,1pWYnQIlqxTh5bxuPmTG4E
50,Gyal You A Party Animal,Charly Black,1614,2017-01-06,bo,1mSzZKMIPZIkn3jFV7v62b
51,Just Hold On,Steve Aoki,1525,2017-01-06,bo,3EmmCZoqpWOTY1g2GBwJoR
52,This Is What You Came For,Calvin Harris,1494,2017-01-06,bo,0azC730Exh71aQlOt9Zj3y
53,Ride,Twenty One Pilots,1490,2017-01-06,bo,2Z8WuEywRWYTKe1NybPQEW
54,Noche Loca,Marama,1385,2017-01-06,bo,0gzcET27nREY6aD8LJU9wD
55,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1356,2017-01-06,bo,3NdDpSvN911VPGivFlV5d0
56,Middle,DJ Snake,1268,2017-01-06,bo,4OZEu0Vwq0RB2LAq14v99n
57,Fuego,Juanes,1199,2017-01-06,bo,0mwPE0lPOgnWf2bo14xedJ
58,Photograph,Ed Sheeran,1188,2017-01-06,bo,6fxVffaTuwjgEk5h9QyRjy
59,All We Know,The Chainsmokers,1176,2017-01-06,bo,2rizacJSyD9S1IQUxUxnsK
60,Cake By The Ocean,DNCE,1165,2017-01-06,bo,2aFiaMXmWsM3Vj72F9ksBl
61,Ando,Bonny Lovy,1147,2017-01-06,bo,5a9pr1jMpFgOL9o8HHZU7z
62,Hear Me Now,Alok,1136,2017-01-06,bo,1a5Yu5L18qNxVhXx38njON
63,Traicionera - Remix,Sebastian Yatra,1127,2017-01-06,bo,2webQDZmtGioeu3zUUi9We
64,Tan Fácil,CNCO,1127,2017-01-06,bo,1TxgZRcy3kZ7JaEp88MDbC
65,Black Beatles,Rae Sremmurd,1116,2017-01-06,bo,6fujklziTHa8uoM5OQSfIo
66,Hymn for the Weekend - Seeb Remix,Coldplay,1112,2017-01-06,bo,1OAiWI2oPmglaOiv9fdioU
67,Baila Conmigo,Juan Magán,1111,2017-01-06,bo,772io14jrMTxGJbijtDccQ
68,De Pies A Cabeza,Maná,1102,2017-01-06,bo,2CkHE54EH44Qj945ynQRw7
69,La Gozadera,Gente De Zona,1095,2017-01-06,bo,0OMRAvrtLWE2TvcXorRiB9
70,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,1092,2017-01-06,bo,0L7loeTIg6akW84aEQZpCT
71,Faded,Alan Walker,1080,2017-01-06,bo,7gHs73wELdeycvS48JfIos
72,Mercy,Shawn Mendes,1079,2017-01-06,bo,4TZy1wLyHec06pwgFYDh1a
73,Stressed Out,Twenty One Pilots,1075,2017-01-06,bo,3CRDbSIZ4r5MsZ0YwxuEkn
74,Call On Me - Ryan Riback Extended Remix,Starley,1054,2017-01-06,bo,78rIJddV4X0HkNAInEcYde
75,Hasta el Amanecer,Nicky Jam,1046,2017-01-06,bo,5Fim1gaXBgsiFfsQAfQSDS
76,Thinking out Loud,Ed Sheeran,1029,2017-01-06,bo,1Slwb6dOYkBlWal1PGtnNg
77,Trumpets,Sak Noel & Salvi,1019,2017-01-06,bo,5dH7o4TP3HYLvCjo4QAhhv
78,Work,Rihanna,1017,2017-01-06,bo,14WWzenpaEgQZlqPq2nk4v
79,Say You Won't Let Go,James Arthur,1011,2017-01-06,bo,5uCax9HTNlzGybIStD3vDh
80,Fake Love,Drake,1010,2017-01-06,bo,343YBumqHu19cGoGARUTsd
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,7389,2017-01-13,bo,3AEZUABDXNtecAOSC1qTfo
2,Otra vez (feat. J Balvin),Zion & Lennox,5814,2017-01-13,bo,3QwBODjSEzelZyVjxPOHdq
3,Chantaje (feat. Maluma),Shakira,5795,2017-01-13,bo,6mICuAdrwEjh6Y6lroV2Kg
4,Me Rehúso,Danny Ocean,4760,2017-01-13,bo,6De0lHrwBfPfrhorm9q1Xl
5,Traicionera,Sebastian Yatra,4703,2017-01-13,bo,5J1c3M4EldCfNxXwrwt8mT
6,Safari,J Balvin,4561,2017-01-13,bo,6rQSrBHf7HlZjtcMZ4S4bO
7,Shape of You,Ed Sheeran,4530,2017-01-13,bo,7qiZfU4dY1lWllzX7mPBI3
8,Vente Pa' Ca,Ricky Martin,4325,2017-01-13,bo,7DM4BPaS7uofFul3ywMe46
9,Let Me Love You,DJ Snake,4182,2017-01-13,bo,4pdPtRcBmOSQDlJ3Fk945m
10,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3827,2017-01-13,bo,6stYbAJgTszHAHZMPxWWCY
