Position,Track Name,Artist,Streams,date,region,spotify_id
1,Deu Onda,MC G15,594523,2017-01-06,br,0EPxmvsG1BY5td4aTOkWBF
2,Hear Me Now,Alok,329778,2017-01-06,br,1a5Yu5L18qNxVhXx38njON
3,Shape of You,Ed Sheeran,315187,2017-01-06,br,7qiZfU4dY1lWllzX7mPBI3
4,Closer (feat. Halsey),The Chainsmokers,227191,2017-01-06,br,7BKLCZ1jbUBVqRi2FVlTVw
5,Castle on the Hill,Ed Sheeran,224209,2017-01-06,br,6PCUP3dWmTjcTtXY02oFdT
6,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,223399,2017-01-06,br,45wqPwIH4A5cr2IyyD4WKf
7,Starboy,The Weeknd,211264,2017-01-06,br,5aAx2yezTd8zXrkmtKl66Z
8,Loka,Simone & Simaria,208712,2017-01-06,br,257tme6AhneIKAqVF1HTH4
9,Medo Bobo - Ao Vivo,Maiara & Maraisa,207645,2017-01-06,br,2CW04trIoYMbroZWDzPAjs
10,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,196463,2017-01-06,br,2d3TbSkAscvT3QRQalq6uT
11,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,186412,2017-01-06,br,6zCqeUUqLb2CapBmVwAHll
12,10% - Ao Vivo,Maiara & Maraisa,184439,2017-01-06,br,2wFnRPjuqwNySFiK0Qfg8L
13,Cold Water (feat. Justin Bieber & MØ),Major Lazer,174077,2017-01-06,br,6DNtNfH8hXkqOX1sjqmI7p
14,Let Me Love You,DJ Snake,173624,2017-01-06,br,4pdPtRcBmOSQDlJ3Fk945m
15,Sim ou não (participação especial Maluma),Anitta,171523,2017-01-06,br,4FxumkF81ICxITeqxx4nK9
16,Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,160579,2017-01-06,br,0jIitZeIQRTaZgFQf2WpGK
17,Infiel - Ao Vivo,Marília Mendonça,154615,2017-01-06,br,38MpAndIjGAyVdcC6npX95
