Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,203788,2017-01-06,ca,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,176954,2017-01-06,ca,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,137405,2017-01-06,ca,5aAx2yezTd8zXrkmtKl66Z
4,Fake Love,Drake,121349,2017-01-06,ca,343YBumqHu19cGoGARUTsd
5,Closer (feat. Halsey),The Chainsmokers,108370,2017-01-06,ca,7BKLCZ1jbUBVqRi2FVlTVw
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,105272,2017-01-06,ca,3NdDpSvN911VPGivFlV5d0
7,Bad and Boujee (feat. Lil Uzi Vert),Migos,100511,2017-01-06,ca,4Km5HrUvYTaSUfiSGPJeQR
8,Say You Won't Let Go,James Arthur,85955,2017-01-06,ca,5uCax9HTNlzGybIStD3vDh
9,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,85695,2017-01-06,ca,5knuzwU65gJK7IF5yJsuaW
10,I Feel It Coming,The Weeknd,84032,2017-01-06,ca,5GXAXm5YOmYT0kL5jHvYBt
11,Don't Wanna Know,Maroon 5,81799,2017-01-06,ca,5MFzQMkrl1FOOng9tq6R9r
12,Black Beatles,Rae Sremmurd,81618,2017-01-06,ca,6fujklziTHa8uoM5OQSfIo
13,Let Me Love You,DJ Snake,81443,2017-01-06,ca,4pdPtRcBmOSQDlJ3Fk945m
14,Call On Me - Ryan Riback Extended Remix,Starley,74112,2017-01-06,ca,78rIJddV4X0HkNAInEcYde
15,Bad Things (with Camila Cabello),Machine Gun Kelly,68366,2017-01-06,ca,1PSBzsahR2AKwLJgx8ehBj
16,In the Name of Love,Martin Garrix,68190,2017-01-06,ca,04DwTuZ2VBdJCCC5TROn7L
17,Love Me Now,John Legend,65048,2017-01-06,ca,6nxQdXa1uAL0rY72wPZu89
18,24K Magic,Bruno Mars,63902,2017-01-06,ca,6b8Be6ljOzmkOmFslEb23P
19,Just Hold On,Steve Aoki,63187,2017-01-06,ca,3EmmCZoqpWOTY1g2GBwJoR
20,One Dance,Drake,63107,2017-01-06,ca,1xznGGDReH1oQq0xzbwXa3
21,Side To Side,Ariana Grande,61932,2017-01-06,ca,4pLwZjInHj3SimIyN9SnOz
22,All We Know,The Chainsmokers,60697,2017-01-06,ca,2rizacJSyD9S1IQUxUxnsK
23,Now and Later,Sage The Gemini,59049,2017-01-06,ca,43jBqV3j3Xi1g6wO0bhIMd
24,Cold Water (feat. Justin Bieber & MØ),Major Lazer,58083,2017-01-06,ca,6DNtNfH8hXkqOX1sjqmI7p
25,All Time Low,Jon Bellion,57574,2017-01-06,ca,1CnPYaKxTVb4LWOtiGOm0m
26,Caroline,Aminé,56786,2017-01-06,ca,5GFDrUTLGJix84sNhjCG0g
27,Mercy,Shawn Mendes,55688,2017-01-06,ca,4TZy1wLyHec06pwgFYDh1a
28,Broccoli (feat. Lil Yachty),DRAM,55593,2017-01-06,ca,7yyRTcZmCiyzzJlNzGC9Ol
29,Starving,Hailee Steinfeld,55482,2017-01-06,ca,1qOLh0tI7trd1zdDKxYZTe
30,Party Monster,The Weeknd,55083,2017-01-06,ca,4F7A0DXBrmUAkp32uenhZt
31,Scars To Your Beautiful,Alessia Cara,54770,2017-01-06,ca,0prNGof3XqfTvNDxHonvdK
32,Bounce Back,Big Sean,52822,2017-01-06,ca,0SGkqnVQo9KPytSri1H6cF
33,"How Far I'll Go - From ""Moana""",Alessia Cara,52629,2017-01-06,ca,5hYTyyh2odQKphUbMqc5gN
