Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,35377,2017-01-06,ch,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,31168,2017-01-06,ch,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,21951,2017-01-06,ch,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,18956,2017-01-06,ch,5aAx2yezTd8zXrkmtKl66Z
5,Call On Me - Ryan Riback Extended Remix,Starley,16562,2017-01-06,ch,78rIJddV4X0HkNAInEcYde
6,Let Me Love You,DJ Snake,15767,2017-01-06,ch,4pdPtRcBmOSQDlJ3Fk945m
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,15662,2017-01-06,ch,3NdDpSvN911VPGivFlV5d0
8,Alone,Alan Walker,15402,2017-01-06,ch,0JiVRyTJcJnmlwCZ854K4p
9,Closer (feat. Halsey),The Chainsmokers,15288,2017-01-06,ch,7BKLCZ1jbUBVqRi2FVlTVw
10,Say You Won't Let Go,James Arthur,15118,2017-01-06,ch,5uCax9HTNlzGybIStD3vDh
11,I Feel It Coming,The Weeknd,14437,2017-01-06,ch,5GXAXm5YOmYT0kL5jHvYBt
12,Don't Wanna Know,Maroon 5,13912,2017-01-06,ch,5MFzQMkrl1FOOng9tq6R9r
13,Chantaje (feat. Maluma),Shakira,13585,2017-01-06,ch,6mICuAdrwEjh6Y6lroV2Kg
14,In the Name of Love,Martin Garrix,13067,2017-01-06,ch,04DwTuZ2VBdJCCC5TROn7L
15,Love Me Now,John Legend,11724,2017-01-06,ch,6nxQdXa1uAL0rY72wPZu89
16,All We Know,The Chainsmokers,11548,2017-01-06,ch,2rizacJSyD9S1IQUxUxnsK
17,Mercy,Shawn Mendes,11453,2017-01-06,ch,4TZy1wLyHec06pwgFYDh1a
18,One Dance,Drake,11437,2017-01-06,ch,1xznGGDReH1oQq0xzbwXa3
19,Just Hold On,Steve Aoki,11287,2017-01-06,ch,3EmmCZoqpWOTY1g2GBwJoR
20,Fake Love,Drake,11271,2017-01-06,ch,343YBumqHu19cGoGARUTsd
21,My Way,Calvin Harris,11035,2017-01-06,ch,1vvNmPOiUuyCbgWmtc6yfm
22,Black Beatles,Rae Sremmurd,10922,2017-01-06,ch,6fujklziTHa8uoM5OQSfIo
23,Cold Water (feat. Justin Bieber & MØ),Major Lazer,10457,2017-01-06,ch,6DNtNfH8hXkqOX1sjqmI7p
24,Shed a Light,Robin Schulz,10306,2017-01-06,ch,1cG0umU5TKStygKsPFZ9pY
25,Heathens,Twenty One Pilots,10029,2017-01-06,ch,6i0V12jOa3mr6uu4WYhUBr
26,Cheap Thrills,Sia,10007,2017-01-06,ch,27SdWb2rFzO6GWiYDBTD9j
27,The Mack,Nevada,9977,2017-01-06,ch,7aV2mflaASUmGhCErm7kBO
28,24K Magic,Bruno Mars,9856,2017-01-06,ch,6b8Be6ljOzmkOmFslEb23P
29,All Night,The Vamps,9614,2017-01-06,ch,1yNyoWWWikbLhwIGWjZuDW
30,Human,Rag'n'Bone Man,9428,2017-01-06,ch,58zsLZPvfflaiIbNWoA22O
31,Now and Later,Sage The Gemini,9370,2017-01-06,ch,43jBqV3j3Xi1g6wO0bhIMd
32,Solo Dance,Martin Jensen,9074,2017-01-06,ch,6HUnnBwYZqcED1eQztxMBN
33,Side To Side,Ariana Grande,9057,2017-01-06,ch,4pLwZjInHj3SimIyN9SnOz
34,Starving,Hailee Steinfeld,9030,2017-01-06,ch,1qOLh0tI7trd1zdDKxYZTe
35,Scars To Your Beautiful,Alessia Cara,9013,2017-01-06,ch,0prNGof3XqfTvNDxHonvdK
36,Hear Me Now,Alok,8789,2017-01-06,ch,1a5Yu5L18qNxVhXx38njON
37,Don't Let Me Down,The Chainsmokers,8677,2017-01-06,ch,0QsvXIfqM0zZoerQfsI9lm
38,By Your Side,Jonas Blue,8539,2017-01-06,ch,1D3ODoXHBLpdxolZRHWV1j
39,Sunset Lover,Petit Biscuit,8297,2017-01-06,ch,0hNduWmlWmEmuwEFcYvRu1
40,Treat You Better,Shawn Mendes,8208,2017-01-06,ch,4Hf7WnR761jpxPr5D46Bcd
41,Lot to Learn,Luke Christopher,8180,2017-01-06,ch,3TRFq09DUgYj1mug6RRqJW
42,I Would Like,Zara Larsson,8062,2017-01-06,ch,4Q4jmPHwu0wrJvqrld0FQ6
43,Bad Things (with Camila Cabello),Machine Gun Kelly,8055,2017-01-06,ch,1PSBzsahR2AKwLJgx8ehBj
44,Bad and Boujee (feat. Lil Uzi Vert),Migos,7737,2017-01-06,ch,4Km5HrUvYTaSUfiSGPJeQR
45,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,7724,2017-01-06,ch,17Fd6Yb7mSbinKG8LoWfFl
46,"How Far I'll Go - From ""Moana""",Alessia Cara,7599,2017-01-06,ch,5hYTyyh2odQKphUbMqc5gN
47,Faded,Alan Walker,7358,2017-01-06,ch,7gHs73wELdeycvS48JfIos
48,The Ocean (feat. Shy Martin),Mike Perry,7339,2017-01-06,ch,2CPqh63wRVscbceKcPxwvv
49,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,7333,2017-01-06,ch,6JV2JOEocMgcZxYSZelKcc
50,The Greatest (feat. Kendrick Lamar),Sia,7102,2017-01-06,ch,7xHWNBFm6ObGEQPaUxHuKO
51,We Don't Talk Anymore,Charlie Puth,6986,2017-01-06,ch,68EMU2RD1ECNeOeJ5qAXCV
52,Photograph,Ed Sheeran,6780,2017-01-06,ch,6fxVffaTuwjgEk5h9QyRjy
53,Weak,AJR,6556,2017-01-06,ch,3E2Zh20GDCR9B1EYjfXWyv
54,Chöre,Mark Forster,5665,2017-01-06,ch,2nYpbaLykC2cjU8Yt5KF1v
55,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,5642,2017-01-06,ch,40UroIGvsMPLPBYwH8rMNA
56,Capsize,FRENSHIP,5507,2017-01-06,ch,2XMTqoHHSH0lvuXrvIEdco
57,Safari,J Balvin,5394,2017-01-06,ch,6rQSrBHf7HlZjtcMZ4S4bO
58,This Is What You Came For,Calvin Harris,5324,2017-01-06,ch,0azC730Exh71aQlOt9Zj3y
59,Thinking out Loud,Ed Sheeran,5215,2017-01-06,ch,1Slwb6dOYkBlWal1PGtnNg
60,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,5194,2017-01-06,ch,4tCtwWceOPWzenK2HAIJSb
61,Hymn for the Weekend - Seeb Remix,Coldplay,5080,2017-01-06,ch,1OAiWI2oPmglaOiv9fdioU
62,Perfect Strangers,Jonas Blue,5016,2017-01-06,ch,1CUVN2kn7mW5FjkqXTR2W1
63,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,5004,2017-01-06,ch,0L7loeTIg6akW84aEQZpCT
64,Romantic - NOTD Remix,Stanaj,4973,2017-01-06,ch,3SGWp9fJCzgK0WcpcKSQdy
65,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,4886,2017-01-06,ch,2wDjpPW3HZdA9quPPmZAMu
66,Setting Fires,The Chainsmokers,4859,2017-01-06,ch,0B8B8cVRFIG1yznoQe7c9s
67,All Time Low,Jon Bellion,4818,2017-01-06,ch,1CnPYaKxTVb4LWOtiGOm0m
68,Ohne mein Team,Bonez MC,4813,2017-01-06,ch,05Mp2UJulSttxQ4E6hQPH3
69,Broccoli (feat. Lil Yachty),DRAM,4743,2017-01-06,ch,7yyRTcZmCiyzzJlNzGC9Ol
70,Light,San Holo,4620,2017-01-06,ch,7zTx8ePYAmPFQuxP3xlXZn
71,Lighthouse - Andrelli Remix,Hearts & Colors,4491,2017-01-06,ch,04CttTezSnv71USiiG9mIo
72,Fast Car,Jonas Blue,4478,2017-01-06,ch,6OZh916QF8XNunWaP97WEZ
73,Panda,Desiigner,4468,2017-01-06,ch,5OOkp4U9P9oL23maHFHL1h
74,The A Team,Ed Sheeran,4424,2017-01-06,ch,1VdZ0vKfR5jneCmWIUAMxK
75,Sex,Cheat Codes,4417,2017-01-06,ch,5DA77EqppDmCTWGovd4oTP
76,Let Me Hold You (Turn Me On),Dante Klein,4399,2017-01-06,ch,0lmdsH1MIoLsMymnNpd6HU
77,Wake Up Where You Are,State of Sound,4392,2017-01-06,ch,2s76aKBWKShlwPC4xTtEEE
78,Reggaetón Lento (Bailemos),CNCO,4386,2017-01-06,ch,3AEZUABDXNtecAOSC1qTfo
79,Not Going Home,DVBBS,4332,2017-01-06,ch,042x9bsUBWW2fJgJ6fUh61
80,Final Song,MØ,4318,2017-01-06,ch,4qqArAiTPueDxIp7cf87h7
