Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,123306,2017-01-06,cl,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,120190,2017-01-06,cl,3AEZUABDXNtecAOSC1qTfo
3,Otra vez (feat. J Balvin),Zion & Lennox,113865,2017-01-06,cl,3QwBODjSEzelZyVjxPOHdq
4,Vente Pa' Ca,Ricky Martin,96396,2017-01-06,cl,7DM4BPaS7uofFul3ywMe46
5,Safari,J Balvin,81525,2017-01-06,cl,6rQSrBHf7HlZjtcMZ4S4bO
6,Vacaciones,Wisin,73088,2017-01-06,cl,3dQDid3IUNhZy1OehIfYfE
7,Me Llamas (feat. Maluma) - Remix,Piso 21,65792,2017-01-06,cl,5hEM0JchdVzQ5PwvSfITeX
8,Let Me Love You,DJ Snake,65627,2017-01-06,cl,4pdPtRcBmOSQDlJ3Fk945m
9,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,65155,2017-01-06,cl,6stYbAJgTszHAHZMPxWWCY
10,Dile Que Tu Me Quieres,Ozuna,62034,2017-01-06,cl,20ZAJdsKB5IGbGj4ilRt2o
11,Shaky Shaky,Daddy Yankee,60893,2017-01-06,cl,58IL315gMSTD37DOZPJ2hf
12,Andas En Mi Cabeza,Chino & Nacho,58923,2017-01-06,cl,5mey7CLLuFToM2P68Qu1gF
13,24K Magic,Bruno Mars,57390,2017-01-06,cl,6b8Be6ljOzmkOmFslEb23P
14,Bailame Despacio,Xantos,55615,2017-01-06,cl,4OaTpLJIa2harufGxfOPUu
15,Te Quiero Pa´Mi,Don Omar,55368,2017-01-06,cl,3BY2mafsbsoKGqS380Xnuz
16,Chillax (feat. Ky-Mani Marley),Farruko,53625,2017-01-06,cl,1lxswgIpzV6HhENRvkflES
17,Borro Cassette,Maluma,52787,2017-01-06,cl,6DUdDIRgLqCGq1DwkNWQTN
18,Traicionera,Sebastian Yatra,52602,2017-01-06,cl,5J1c3M4EldCfNxXwrwt8mT
19,Don't Wanna Know,Maroon 5,52570,2017-01-06,cl,5MFzQMkrl1FOOng9tq6R9r
20,One Dance,Drake,51144,2017-01-06,cl,1xznGGDReH1oQq0xzbwXa3
21,Starboy,The Weeknd,49496,2017-01-06,cl,5aAx2yezTd8zXrkmtKl66Z
22,Cuatro Babys,Maluma,48512,2017-01-06,cl,0JoHqmlqE0W0i9prt6kcHR
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,47675,2017-01-06,cl,5knuzwU65gJK7IF5yJsuaW
24,My Way,Calvin Harris,46145,2017-01-06,cl,1vvNmPOiUuyCbgWmtc6yfm
25,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,45852,2017-01-06,cl,5q2JbCNi4FcnglgPfxcV65
26,Cold Water (feat. Justin Bieber & MØ),Major Lazer,45329,2017-01-06,cl,6DNtNfH8hXkqOX1sjqmI7p
27,Gyal You A Party Animal - Remix,Charly Black,45088,2017-01-06,cl,1AkTW13ysu0AJrwuM6UY0I
28,In the Name of Love,Martin Garrix,44478,2017-01-06,cl,04DwTuZ2VBdJCCC5TROn7L
29,La Bicicleta,Carlos Vives,42685,2017-01-06,cl,0sXvAOmXgjR2QUqLK1MltU
30,I Feel It Coming,The Weeknd,42439,2017-01-06,cl,5GXAXm5YOmYT0kL5jHvYBt
31,Desde Esa Noche,Thalía,42307,2017-01-06,cl,1pWYnQIlqxTh5bxuPmTG4E
32,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,42301,2017-01-06,cl,17Fd6Yb7mSbinKG8LoWfFl
33,Closer (feat. Halsey),The Chainsmokers,42069,2017-01-06,cl,7BKLCZ1jbUBVqRi2FVlTVw
