Position,Track Name,Artist,Streams,date,region,spotify_id
1,Otro Trago,Sech,105549,2019-06-07,co,1Ej96GIBCTvgH7tNX1r3qr
2,Soltera - Remix,Lunay,73101,2019-06-07,co,1c0hsvHLELX6y8qymnpLKL
3,Callaita,Bad Bunny,72461,2019-06-07,co,2TH65lNHgvLxCKXM3apjxI
4,Que Mas Pues - Remix,Justin Quiles,59726,2019-06-07,co,7fODjB7BrQTGqh0hogW6XD
5,Pa Mí - Remix,Dalex,56480,2019-06-07,co,7g8YaUQABMal0zWe7a2ijz
6,Te Robaré,Nicky Jam,53542,2019-06-07,co,6v0lAdFF4haL8xjBIUjtOw
7,Verte Ir,DJ Luian,52728,2019-06-07,co,4lzxJ4jCuFDXXGkE1LmpKR
8,Tal Vez,Paulo Londra,51177,2019-06-07,co,5jW3rF4URMdK7tO2xjS5EI
9,La Boca,Mau y Ricky,50355,2019-06-07,co,0UQwlF2pRkr1lMN6kNNUj3
10,11 PM,Maluma,49894,2019-06-07,co,7KbF6AdprOXEEHlsq11Z6d
11,Destino,Greeicy,48381,2019-06-07,co,041Kcvnw8nOdq8xiRibPTG
12,Cuaderno,Dalex,46254,2019-06-07,co,7anSoGdgtmJTAPZBzcPhO6
13,Solita,Sech,43886,2019-06-07,co,0tJCo71s7HT9Mu5Z4juuLw
14,Con Calma,Daddy Yankee,41101,2019-06-07,co,5w9c2J52mkdntKOmRLeM2m
15,Con Altura,ROSALÍA,40843,2019-06-07,co,2qG5sZ7Si6sdK74qLxedYM
16,Si Se Da,Myke Towers,40714,2019-06-07,co,5KbBGUpIZd6gVFUU8tqYiQ
17,HP,Maluma,39144,2019-06-07,co,1LIqNVhaIgxXUt2eVoIQJ3
18,Esclavo de Tus Besos,Manuel Turizo,37935,2019-06-07,co,3g4UyIcQwutiG0TfW32GnX
19,Desconocidos,Mau y Ricky,37608,2019-06-07,co,56f5qnyAlZdlz8wrUDA50h
20,Amor Genuino,Ozuna,37189,2019-06-07,co,6pK5edDoyrn4mWwRSVc2a5
21,Te Vi,Piso 21,36414,2019-06-07,co,059bcIhyc2SBwm6sw2AZzd
22,No Me Conoce - Remix,Jhay Cortez,33898,2019-06-07,co,4R8BJggjosTswLxtkw8V7P
23,Calma - Remix,Pedro Capó,33551,2019-06-07,co,5iwz1NiezX7WWjnCgY5TH4
24,Secreto,Anuel AA,32341,2019-06-07,co,5W83ErFkO3aKAIS1WMi6u0
25,Adan y Eva,Paulo Londra,32317,2019-06-07,co,132ALUzVLmqYB4UsBj5qD6
26,Un Año,Sebastian Yatra,31041,2019-06-07,co,2vrpcQNg6itmgVZWsNjWe0
27,Contra La Pared,Sean Paul,30443,2019-06-07,co,37eGbhE1xVFSvcKkqGb6i1
28,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,29119,2019-06-07,co,2ktoFujjJtantyMoVdBJlX
29,Presiento,Morat,27631,2019-06-07,co,2V4hc5gplg7EXlrRUvD4rp
30,bad guy,Billie Eilish,27565,2019-06-07,co,2Fxmhks0bxGSBdJ92vM42m
31,Baila Baila Baila - Remix,Ozuna,27201,2019-06-07,co,7mWFF4gPADjTQjC97CgFVt
32,No Te Vayas,Camilo,26308,2019-06-07,co,4k9byIhs9ppbYWE22waJMB
33,Créeme,KAROL G,25437,2019-06-07,co,4EKZsrsCKyqr64FBHLc0DU
34,I Don't Care (with Justin Bieber),Ed Sheeran,25380,2019-06-07,co,3HVWdVOQ0ZA45FuZGSfvns
35,Amanece,Anuel AA,25308,2019-06-07,co,1LiN0Z98FkR1t0m8KmLcAH
36,Ella Quiere Beber - Remix,Anuel AA,25001,2019-06-07,co,3f5lA8nnc4YYF1qf78WpHw
37,Déjate Querer,Lalo Ebratt,24611,2019-06-07,co,3mN2DtljBhnrIpc3Nu2pJ8
38,Miss Lonely - Dimelo Flow Remix,Sech,23440,2019-06-07,co,1ndlOUUT3Eq1SDCSdKJASw
39,No Es Justo,J Balvin,23291,2019-06-07,co,5qFeMRz4TvetPmzjre9Dq7
40,Sígueme - Remix,Feid,23108,2019-06-07,co,7IpRYJ71dk98P0SmgnNLYh
41,Qué Más Pues,Sech,22813,2019-06-07,co,5O3cRP4ZHC9vvVIHtET1f0
42,Cristina,Sebastian Yatra,22292,2019-06-07,co,703iVQrfbQsXt7Uzgy1h8k
43,Sola,Manuel Turizo,21899,2019-06-07,co,675w3ACw5xZR3ODhUJlEVN
44,Baby,Amenazzy,21865,2019-06-07,co,2IA8cFA46DkjgbsRG7kKbp
45,Punto G,KAROL G,21543,2019-06-07,co,2E82gORVSA7UMEz5M1IP3b
46,MIA (feat. Drake),Bad Bunny,21434,2019-06-07,co,116H0KvKr2Zl4RPuVBruDO
47,Déjame Ir,Andrés Cepeda,21420,2019-06-07,co,3nymR2pRbiDq89qS2osIVX
48,Latina (feat. Maluma),Reykon,21344,2019-06-07,co,00Ia46AgCNfnXjzgH8PIKH
