Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,20745,2017-01-06,cr,3AEZUABDXNtecAOSC1qTfo
2,Otra vez (feat. J Balvin),Zion & Lennox,18063,2017-01-06,cr,3QwBODjSEzelZyVjxPOHdq
3,Chantaje (feat. Maluma),Shakira,16982,2017-01-06,cr,6mICuAdrwEjh6Y6lroV2Kg
4,Safari,J Balvin,15068,2017-01-06,cr,6rQSrBHf7HlZjtcMZ4S4bO
5,Shape of You,Ed Sheeran,14370,2017-01-06,cr,7qiZfU4dY1lWllzX7mPBI3
6,Let Me Love You,DJ Snake,14088,2017-01-06,cr,4pdPtRcBmOSQDlJ3Fk945m
7,Closer (feat. Halsey),The Chainsmokers,13934,2017-01-06,cr,7BKLCZ1jbUBVqRi2FVlTVw
8,One Dance,Drake,12029,2017-01-06,cr,1xznGGDReH1oQq0xzbwXa3
9,Castle on the Hill,Ed Sheeran,11973,2017-01-06,cr,6PCUP3dWmTjcTtXY02oFdT
10,Chillax (feat. Ky-Mani Marley),Farruko,11485,2017-01-06,cr,1lxswgIpzV6HhENRvkflES
11,Vente Pa' Ca,Ricky Martin,11195,2017-01-06,cr,7DM4BPaS7uofFul3ywMe46
12,Starboy,The Weeknd,10608,2017-01-06,cr,5aAx2yezTd8zXrkmtKl66Z
13,Cold Water (feat. Justin Bieber & MØ),Major Lazer,10101,2017-01-06,cr,6DNtNfH8hXkqOX1sjqmI7p
14,24K Magic,Bruno Mars,9943,2017-01-06,cr,6b8Be6ljOzmkOmFslEb23P
15,Don't Wanna Know,Maroon 5,9742,2017-01-06,cr,5MFzQMkrl1FOOng9tq6R9r
16,In the Name of Love,Martin Garrix,9675,2017-01-06,cr,04DwTuZ2VBdJCCC5TROn7L
17,Traicionera,Sebastian Yatra,9511,2017-01-06,cr,5J1c3M4EldCfNxXwrwt8mT
18,La Bicicleta,Carlos Vives,9506,2017-01-06,cr,0sXvAOmXgjR2QUqLK1MltU
19,Don't Let Me Down,The Chainsmokers,8938,2017-01-06,cr,0QsvXIfqM0zZoerQfsI9lm
20,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,8830,2017-01-06,cr,5knuzwU65gJK7IF5yJsuaW
21,Side To Side,Ariana Grande,8787,2017-01-06,cr,4pLwZjInHj3SimIyN9SnOz
22,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,8515,2017-01-06,cr,17Fd6Yb7mSbinKG8LoWfFl
23,Treat You Better,Shawn Mendes,8467,2017-01-06,cr,4Hf7WnR761jpxPr5D46Bcd
24,Fever,Vybz Kartel,8466,2017-01-06,cr,4C1Smq2t3MVOPzsUPWW0oX
25,My Way,Calvin Harris,8320,2017-01-06,cr,1vvNmPOiUuyCbgWmtc6yfm
26,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,7866,2017-01-06,cr,6stYbAJgTszHAHZMPxWWCY
27,Heathens,Twenty One Pilots,7854,2017-01-06,cr,6i0V12jOa3mr6uu4WYhUBr
28,Cheap Thrills,Sia,7689,2017-01-06,cr,27SdWb2rFzO6GWiYDBTD9j
