Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,17225,2017-01-06,cz,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,14633,2017-01-06,cz,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,7886,2017-01-06,cz,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,7793,2017-01-06,cz,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6924,2017-01-06,cz,3NdDpSvN911VPGivFlV5d0
6,Closer (feat. Halsey),The Chainsmokers,6790,2017-01-06,cz,7BKLCZ1jbUBVqRi2FVlTVw
7,Let Me Love You,DJ Snake,6408,2017-01-06,cz,4pdPtRcBmOSQDlJ3Fk945m
8,Call On Me - Ryan Riback Extended Remix,Starley,6363,2017-01-06,cz,78rIJddV4X0HkNAInEcYde
9,Don't Wanna Know,Maroon 5,6058,2017-01-06,cz,5MFzQMkrl1FOOng9tq6R9r
10,Heathens,Twenty One Pilots,5623,2017-01-06,cz,6i0V12jOa3mr6uu4WYhUBr
11,Say You Won't Let Go,James Arthur,5442,2017-01-06,cz,5uCax9HTNlzGybIStD3vDh
12,I Feel It Coming,The Weeknd,5374,2017-01-06,cz,5GXAXm5YOmYT0kL5jHvYBt
13,All We Know,The Chainsmokers,5300,2017-01-06,cz,2rizacJSyD9S1IQUxUxnsK
14,My Way,Calvin Harris,5226,2017-01-06,cz,1vvNmPOiUuyCbgWmtc6yfm
15,In the Name of Love,Martin Garrix,5197,2017-01-06,cz,04DwTuZ2VBdJCCC5TROn7L
16,Black Beatles,Rae Sremmurd,4807,2017-01-06,cz,6fujklziTHa8uoM5OQSfIo
17,Just Hold On,Steve Aoki,4777,2017-01-06,cz,3EmmCZoqpWOTY1g2GBwJoR
18,Mercy,Shawn Mendes,4739,2017-01-06,cz,4TZy1wLyHec06pwgFYDh1a
19,Bad Things (with Camila Cabello),Machine Gun Kelly,4616,2017-01-06,cz,1PSBzsahR2AKwLJgx8ehBj
20,All Night,The Vamps,4456,2017-01-06,cz,1yNyoWWWikbLhwIGWjZuDW
21,Alone,Alan Walker,4337,2017-01-06,cz,0JiVRyTJcJnmlwCZ854K4p
22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4186,2017-01-06,cz,6DNtNfH8hXkqOX1sjqmI7p
23,Cheap Thrills,Sia,4173,2017-01-06,cz,27SdWb2rFzO6GWiYDBTD9j
24,Starving,Hailee Steinfeld,4087,2017-01-06,cz,1qOLh0tI7trd1zdDKxYZTe
25,Now and Later,Sage The Gemini,4012,2017-01-06,cz,43jBqV3j3Xi1g6wO0bhIMd
26,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,3783,2017-01-06,cz,6JV2JOEocMgcZxYSZelKcc
