Position,Track Name,Artist,Streams,date,region,spotify_id
1,Castle on the Hill,Ed Sheeran,336461,2017-01-06,de,6PCUP3dWmTjcTtXY02oFdT
2,Shape of You,Ed Sheeran,307942,2017-01-06,de,7qiZfU4dY1lWllzX7mPBI3
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,273418,2017-01-06,de,5knuzwU65gJK7IF5yJsuaW
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,234492,2017-01-06,de,3NdDpSvN911VPGivFlV5d0
5,Alone,Alan Walker,231663,2017-01-06,de,0JiVRyTJcJnmlwCZ854K4p
6,Starboy,The Weeknd,214514,2017-01-06,de,5aAx2yezTd8zXrkmtKl66Z
7,Call On Me - Ryan Riback Extended Remix,Starley,214088,2017-01-06,de,78rIJddV4X0HkNAInEcYde
8,Shed a Light,Robin Schulz,211667,2017-01-06,de,1cG0umU5TKStygKsPFZ9pY
9,Now and Later,Sage The Gemini,199926,2017-01-06,de,43jBqV3j3Xi1g6wO0bhIMd
10,Chöre,Mark Forster,197500,2017-01-06,de,2nYpbaLykC2cjU8Yt5KF1v
11,Ohne mein Team,Bonez MC,196708,2017-01-06,de,05Mp2UJulSttxQ4E6hQPH3
12,Say You Won't Let Go,James Arthur,191503,2017-01-06,de,5uCax9HTNlzGybIStD3vDh
13,Closer (feat. Halsey),The Chainsmokers,188155,2017-01-06,de,7BKLCZ1jbUBVqRi2FVlTVw
14,Bad Ideas,Alle Farben,181084,2017-01-06,de,76gwG061wqdatYhicO2hG4
15,Solo Dance,Martin Jensen,172699,2017-01-06,de,6HUnnBwYZqcED1eQztxMBN
16,No Lie,Sean Paul,172146,2017-01-06,de,3cFsmM51N5zMAuu1nNY4Tw
17,Let Me Love You,DJ Snake,169060,2017-01-06,de,4pdPtRcBmOSQDlJ3Fk945m
18,Black Beatles,Rae Sremmurd,163060,2017-01-06,de,6fujklziTHa8uoM5OQSfIo
19,iPhone 17 (feat. Moé),KC Rebell,157981,2017-01-06,de,6rwCkGBh7CV6pcdxZKbcsG
20,Love Me Now,John Legend,155616,2017-01-06,de,6nxQdXa1uAL0rY72wPZu89
21,Just Hold On,Steve Aoki,154384,2017-01-06,de,3EmmCZoqpWOTY1g2GBwJoR
22,An ihnen vorbei,Bonez MC,154256,2017-01-06,de,7istTRCq9OK5cEC8sPAc50
23,Lot to Learn,Luke Christopher,148691,2017-01-06,de,3TRFq09DUgYj1mug6RRqJW
24,My Way,Calvin Harris,146020,2017-01-06,de,1vvNmPOiUuyCbgWmtc6yfm
25,Don't Wanna Know,Maroon 5,145065,2017-01-06,de,5MFzQMkrl1FOOng9tq6R9r
26,Mercy,Shawn Mendes,143965,2017-01-06,de,4TZy1wLyHec06pwgFYDh1a
27,Would I Lie to You - Radio Edit,David Guetta,143127,2017-01-06,de,4PdJSsESm34djLfBde9Pr2
28,Scars To Your Beautiful,Alessia Cara,138363,2017-01-06,de,0prNGof3XqfTvNDxHonvdK
29,Dye My Hair,ALMA,132922,2017-01-06,de,5NafFxaLg9Ep21oTHBw7Zq
30,By Your Side,Jonas Blue,131335,2017-01-06,de,1D3ODoXHBLpdxolZRHWV1j
31,Palmen aus Plastik,Bonez MC,131168,2017-01-06,de,6wHRm1KR8pzVDPdmR6Qovj
32,Kokaina,Miami Yacine,130698,2017-01-06,de,2KHbPYI22yWIOgWUsApYIS
33,Palmen aus Gold,Bonez MC,129898,2017-01-06,de,0t4v7Q4yzb9SOQohayL33W
34,Human,Rag'n'Bone Man,129278,2017-01-06,de,58zsLZPvfflaiIbNWoA22O
35,Cocoon,Milky Chance,124171,2017-01-06,de,0L87MffumRNWrY2SNUFcvs
36,Chantaje (feat. Maluma),Shakira,123197,2017-01-06,de,6mICuAdrwEjh6Y6lroV2Kg
37,One Dance,Drake,121389,2017-01-06,de,1xznGGDReH1oQq0xzbwXa3
