Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,120415,2017-01-06,dk,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,106571,2017-01-06,dk,6PCUP3dWmTjcTtXY02oFdT
3,Helwa,Gilli,76049,2017-01-06,dk,7uXAWHUWb9XiR7tXoLw4uD
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,74160,2017-01-06,dk,5knuzwU65gJK7IF5yJsuaW
5,Ked Af Det,Gulddreng,70435,2017-01-06,dk,2rt7ngjBKXKufIVz2xmVMd
6,Call On Me - Ryan Riback Extended Remix,Starley,66822,2017-01-06,dk,78rIJddV4X0HkNAInEcYde
7,KranAlarm,Jesu Brødre,65639,2017-01-06,dk,6nCNkAMUW0zmJfcN0dbx92
8,Say You Won't Let Go,James Arthur,61068,2017-01-06,dk,5uCax9HTNlzGybIStD3vDh
9,Pakker Bar,NODE,61008,2017-01-06,dk,6hJRDlsnRK5o53tbhNC9VU
10,Starboy,The Weeknd,60881,2017-01-06,dk,5aAx2yezTd8zXrkmtKl66Z
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,59901,2017-01-06,dk,3NdDpSvN911VPGivFlV5d0
12,Giv Mig Noget,Jimilian,58875,2017-01-06,dk,4mpF85WbMQXxo9RKObQsv8
13,I Feel It Coming,The Weeknd,56422,2017-01-06,dk,5GXAXm5YOmYT0kL5jHvYBt
14,Black Beatles,Rae Sremmurd,50464,2017-01-06,dk,6fujklziTHa8uoM5OQSfIo
15,Hun Blev Bare Så Glad,Suspekt,50152,2017-01-06,dk,6dqW9qUD0gS3w8gdo1A6k2
16,Ik' Min Skyld,Blak,49693,2017-01-06,dk,5XGu9XtnsuhAkhdWbjunr2
17,For Evigt Ung,Sleiman,47824,2017-01-06,dk,71QQob1CUAwvN4pfC7jkLM
18,Solo Dance,Martin Jensen,46819,2017-01-06,dk,6HUnnBwYZqcED1eQztxMBN
19,Now and Later,Sage The Gemini,46171,2017-01-06,dk,43jBqV3j3Xi1g6wO0bhIMd
20,Closer (feat. Halsey),The Chainsmokers,43021,2017-01-06,dk,7BKLCZ1jbUBVqRi2FVlTVw
21,Human,Rag'n'Bone Man,41590,2017-01-06,dk,58zsLZPvfflaiIbNWoA22O
22,Free Fall,Christopher,40184,2017-01-06,dk,2JvvlqBlCD1NWyWJ8pBsed
23,Don't Wanna Know,Maroon 5,40112,2017-01-06,dk,5MFzQMkrl1FOOng9tq6R9r
24,Fake Love,Drake,39956,2017-01-06,dk,343YBumqHu19cGoGARUTsd
25,Just Hold On,Steve Aoki,38871,2017-01-06,dk,3EmmCZoqpWOTY1g2GBwJoR
26,I Would Like,Zara Larsson,38860,2017-01-06,dk,4Q4jmPHwu0wrJvqrld0FQ6
27,Cold Water (feat. Justin Bieber & MØ),Major Lazer,37719,2017-01-06,dk,6DNtNfH8hXkqOX1sjqmI7p
28,Mercy,Shawn Mendes,37569,2017-01-06,dk,4TZy1wLyHec06pwgFYDh1a
29,Nemt,Gulddreng,35277,2017-01-06,dk,6q6rXNIA69aPAACcZMaU1I
30,Let Me Love You,SJUR,34945,2017-01-06,dk,2jfCy43LsFbCQoB6HyetlY
31,The Mack,Nevada,34468,2017-01-06,dk,7aV2mflaASUmGhCErm7kBO
32,Sexual,NEIKED,34012,2017-01-06,dk,3AsAuGTaDQzavZZThyYlop
33,Alone,Alan Walker,33194,2017-01-06,dk,0JiVRyTJcJnmlwCZ854K4p
34,Dancing On My Own,Calum Scott,33121,2017-01-06,dk,02WacdrRpm4zlP8H7X6bnQ
35,Drikker For Lidt,Gulddreng,32987,2017-01-06,dk,3Gb3nqifjuqRomranzhh99
36,Don't Leave,Snakehips,32707,2017-01-06,dk,0Zx8khUcEfCFK2AEoIhC92
37,Starving,Hailee Steinfeld,32683,2017-01-06,dk,1qOLh0tI7trd1zdDKxYZTe
38,Let Me Love You,DJ Snake,31511,2017-01-06,dk,4pdPtRcBmOSQDlJ3Fk945m
39,Under 18,Citybois,31062,2017-01-06,dk,2leYJRaRalMhURt7fZTXf8
40,Scars To Your Beautiful,Alessia Cara,31038,2017-01-06,dk,0prNGof3XqfTvNDxHonvdK
41,Make Me (Cry),Noah Cyrus,30836,2017-01-06,dk,2BrzlUj1u1CtvaJDGIKpsP
42,Se Mig Nu,Gulddreng,30273,2017-01-06,dk,4pHxNkqJZYRkGlJrzuvN0y
43,Nu,Molo,29873,2017-01-06,dk,0wPUbKfAwcaTievVCEaMvf
44,Shed a Light,Robin Schulz,28946,2017-01-06,dk,1cG0umU5TKStygKsPFZ9pY
45,Farvel,Jimilian,28902,2017-01-06,dk,0IV3VN0eZxQxjUsHwrhl4d
46,Klip,Jimilian,28521,2017-01-06,dk,1JIKww0T1sRpXayUTaHmST
47,Dye My Hair,ALMA,28328,2017-01-06,dk,5NafFxaLg9Ep21oTHBw7Zq
48,In the Name of Love,Martin Garrix,28243,2017-01-06,dk,04DwTuZ2VBdJCCC5TROn7L
49,24K Magic,Bruno Mars,28207,2017-01-06,dk,6b8Be6ljOzmkOmFslEb23P
50,Model,Gulddreng,27495,2017-01-06,dk,7Gf2vkf59IaWPu3Kb5Tdmx
51,Kommet For At Blive,Page Four,26313,2017-01-06,dk,09QBaoIADM0kROpPl8cgWt
52,One Dance,Drake,25948,2017-01-06,dk,1xznGGDReH1oQq0xzbwXa3
53,Treat You Better,Shawn Mendes,25594,2017-01-06,dk,4Hf7WnR761jpxPr5D46Bcd
54,Hear Me Now,Alok,21674,2017-01-06,dk,1a5Yu5L18qNxVhXx38njON
55,Side To Side,Ariana Grande,21552,2017-01-06,dk,4pLwZjInHj3SimIyN9SnOz
56,When You Love Someone,James TW,20988,2017-01-06,dk,5fX2oPyLCe5mBKqGDbOWqC
57,For Evigt,Volbeat,20527,2017-01-06,dk,59fQzvSv0wPQorW2Bh0pns
58,Photograph,Ed Sheeran,19699,2017-01-06,dk,6fxVffaTuwjgEk5h9QyRjy
59,Nede Mette,Blak,19544,2017-01-06,dk,1VsK3ZmpeWWNECZSzKL3rl
60,Hjem Igen,Citybois,18841,2017-01-06,dk,0SQgoNfu9gCdLActecEaDy
61,Little Do You Know,Alex & Sierra,18797,2017-01-06,dk,1almCHdsfikRPfVB9VrEdT
62,Lighthouse - Andrelli Remix,Hearts & Colors,18129,2017-01-06,dk,04CttTezSnv71USiiG9mIo
63,Afdeling A,Danni,17732,2017-01-06,dk,7LPL4upF0pcso4mdHjVin8
64,The Greatest (feat. Kendrick Lamar),Sia,17622,2017-01-06,dk,7xHWNBFm6ObGEQPaUxHuKO
65,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,17591,2017-01-06,dk,6JV2JOEocMgcZxYSZelKcc
