Position,Track Name,Artist,Streams,date,region,spotify_id
1,Soy Peor,Bad Bunny,9204,2017-01-06,do,5MT96Zz0ymUJNm8obKZQr0
2,Chantaje (feat. Maluma),Shakira,8208,2017-01-06,do,6mICuAdrwEjh6Y6lroV2Kg
3,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,7216,2017-01-06,do,6NSMQFKgjpQb0KkjMDYIK0
4,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,7154,2017-01-06,do,2FrnTVSHjgnEylKGdHRUK1
5,Otra vez (feat. J Balvin),Zion & Lennox,6875,2017-01-06,do,3QwBODjSEzelZyVjxPOHdq
6,Dema Ga Ge Gi Go Gu,El Alfa,6542,2017-01-06,do,3T0h2tXX3mQh14mse20s6M
7,Dile Que Tu Me Quieres,Ozuna,6347,2017-01-06,do,20ZAJdsKB5IGbGj4ilRt2o
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,6190,2017-01-06,do,5q2JbCNi4FcnglgPfxcV65
9,Safari,J Balvin,5827,2017-01-06,do,6rQSrBHf7HlZjtcMZ4S4bO
10,Me Llamas,Arcangel,5382,2017-01-06,do,3LgtCt7CVhMvNSMGoQD9i1
11,Let Me Love You,DJ Snake,5371,2017-01-06,do,4pdPtRcBmOSQDlJ3Fk945m
12,Cuatro Babys,Maluma,5349,2017-01-06,do,0JoHqmlqE0W0i9prt6kcHR
13,Reggaetón Lento (Bailemos),CNCO,5071,2017-01-06,do,3AEZUABDXNtecAOSC1qTfo
14,Me Ama Me Odia,Ozuna,5067,2017-01-06,do,6041gM9Th1ViQcnzkIxnuv
15,Closer (feat. Halsey),The Chainsmokers,5015,2017-01-06,do,7BKLCZ1jbUBVqRi2FVlTVw
16,Shape of You,Ed Sheeran,4975,2017-01-06,do,7qiZfU4dY1lWllzX7mPBI3
17,Chillax (feat. Ky-Mani Marley),Farruko,4795,2017-01-06,do,1lxswgIpzV6HhENRvkflES
18,Starboy,The Weeknd,4736,2017-01-06,do,5aAx2yezTd8zXrkmtKl66Z
19,Privado,Rvssian,4563,2017-01-06,do,11zRKpjEZwmcBBBGzB4pMn
20,Vente Pa' Ca,Ricky Martin,4497,2017-01-06,do,7DM4BPaS7uofFul3ywMe46
21,One Dance,Drake,4369,2017-01-06,do,1xznGGDReH1oQq0xzbwXa3
22,Castle on the Hill,Ed Sheeran,4151,2017-01-06,do,6PCUP3dWmTjcTtXY02oFdT
23,24K Magic,Bruno Mars,4140,2017-01-06,do,6b8Be6ljOzmkOmFslEb23P
24,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,4121,2017-01-06,do,4vlbjBSMqycZk6t4HVRpnC
25,Corazon De Seda (feat. Ozuna),Klasico,4101,2017-01-06,do,0uRHot8ml8U8cYVwwzMwNT
