Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,18579,2017-01-06,ec,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,17215,2017-01-06,ec,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,15447,2017-01-06,ec,3QwBODjSEzelZyVjxPOHdq
4,Vente Pa' Ca,Ricky Martin,12770,2017-01-06,ec,7DM4BPaS7uofFul3ywMe46
5,Safari,J Balvin,12766,2017-01-06,ec,6rQSrBHf7HlZjtcMZ4S4bO
6,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,10841,2017-01-06,ec,6stYbAJgTszHAHZMPxWWCY
7,Let Me Love You,DJ Snake,10578,2017-01-06,ec,4pdPtRcBmOSQDlJ3Fk945m
8,Vacaciones,Wisin,10318,2017-01-06,ec,3dQDid3IUNhZy1OehIfYfE
9,Traicionera,Sebastian Yatra,9457,2017-01-06,ec,5J1c3M4EldCfNxXwrwt8mT
10,Closer (feat. Halsey),The Chainsmokers,9090,2017-01-06,ec,7BKLCZ1jbUBVqRi2FVlTVw
11,Dile Que Tu Me Quieres,Ozuna,9089,2017-01-06,ec,20ZAJdsKB5IGbGj4ilRt2o
12,Chillax (feat. Ky-Mani Marley),Farruko,8255,2017-01-06,ec,1lxswgIpzV6HhENRvkflES
13,Starboy,The Weeknd,8229,2017-01-06,ec,5aAx2yezTd8zXrkmtKl66Z
14,Don't Wanna Know,Maroon 5,7933,2017-01-06,ec,5MFzQMkrl1FOOng9tq6R9r
15,La Bicicleta,Carlos Vives,7914,2017-01-06,ec,0sXvAOmXgjR2QUqLK1MltU
16,Cuatro Babys,Maluma,7746,2017-01-06,ec,0JoHqmlqE0W0i9prt6kcHR
17,My Way,Calvin Harris,7575,2017-01-06,ec,1vvNmPOiUuyCbgWmtc6yfm
18,Andas En Mi Cabeza,Chino & Nacho,7528,2017-01-06,ec,5mey7CLLuFToM2P68Qu1gF
19,One Dance,Drake,7433,2017-01-06,ec,1xznGGDReH1oQq0xzbwXa3
20,24K Magic,Bruno Mars,7133,2017-01-06,ec,6b8Be6ljOzmkOmFslEb23P
21,Shape of You,Ed Sheeran,7099,2017-01-06,ec,7qiZfU4dY1lWllzX7mPBI3
22,Me Llamas (feat. Maluma) - Remix,Piso 21,7042,2017-01-06,ec,5hEM0JchdVzQ5PwvSfITeX
23,Shaky Shaky,Daddy Yankee,7010,2017-01-06,ec,58IL315gMSTD37DOZPJ2hf
24,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6370,2017-01-06,ec,6DNtNfH8hXkqOX1sjqmI7p
25,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6242,2017-01-06,ec,5knuzwU65gJK7IF5yJsuaW
26,In the Name of Love,Martin Garrix,6083,2017-01-06,ec,04DwTuZ2VBdJCCC5TROn7L
27,Bailame Despacio,Xantos,6043,2017-01-06,ec,4OaTpLJIa2harufGxfOPUu
28,We Don't Talk Anymore,Charlie Puth,6034,2017-01-06,ec,68EMU2RD1ECNeOeJ5qAXCV
29,DUELE EL CORAZON,Enrique Iglesias,5937,2017-01-06,ec,6YZdkObH88npeKrrkb8Ggf
30,Borro Cassette,Maluma,5930,2017-01-06,ec,6DUdDIRgLqCGq1DwkNWQTN
31,Castle on the Hill,Ed Sheeran,5890,2017-01-06,ec,6PCUP3dWmTjcTtXY02oFdT
32,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,5808,2017-01-06,ec,17Fd6Yb7mSbinKG8LoWfFl
33,Gyal You A Party Animal - Remix,Charly Black,5690,2017-01-06,ec,1AkTW13ysu0AJrwuM6UY0I
34,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,5674,2017-01-06,ec,2SSYqDX8KTgy01NlqtUo0F
35,I Feel It Coming,The Weeknd,5638,2017-01-06,ec,5GXAXm5YOmYT0kL5jHvYBt
36,Treat You Better,Shawn Mendes,5170,2017-01-06,ec,4Hf7WnR761jpxPr5D46Bcd
37,Desde Esa Noche,Thalía,5020,2017-01-06,ec,1pWYnQIlqxTh5bxuPmTG4E
38,Don't Let Me Down,The Chainsmokers,4980,2017-01-06,ec,0QsvXIfqM0zZoerQfsI9lm
39,Side To Side,Ariana Grande,4956,2017-01-06,ec,4pLwZjInHj3SimIyN9SnOz
40,Cheap Thrills,Sia,4954,2017-01-06,ec,27SdWb2rFzO6GWiYDBTD9j
41,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,4948,2017-01-06,ec,6JV2JOEocMgcZxYSZelKcc
42,Bobo,J Balvin,4831,2017-01-06,ec,7AtlMCIauSQZqiXSlbBPW6
43,Te Quiero Pa´Mi,Don Omar,4811,2017-01-06,ec,3BY2mafsbsoKGqS380Xnuz
44,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,4761,2017-01-06,ec,2FrnTVSHjgnEylKGdHRUK1
45,Heathens,Twenty One Pilots,4679,2017-01-06,ec,6i0V12jOa3mr6uu4WYhUBr
46,Baila Conmigo,Juan Magán,4588,2017-01-06,ec,772io14jrMTxGJbijtDccQ
47,Fuego,Juanes,4576,2017-01-06,ec,0mwPE0lPOgnWf2bo14xedJ
48,This Is What You Came For,Calvin Harris,4564,2017-01-06,ec,0azC730Exh71aQlOt9Zj3y
49,Tan Fácil,CNCO,4548,2017-01-06,ec,1TxgZRcy3kZ7JaEp88MDbC
50,Gyal You A Party Animal,Charly Black,4520,2017-01-06,ec,1mSzZKMIPZIkn3jFV7v62b
51,La Gozadera,Gente De Zona,4328,2017-01-06,ec,0OMRAvrtLWE2TvcXorRiB9
52,Te Vas,Ozuna,4164,2017-01-06,ec,2twUPIYOTqVivev47pf7bU
53,Photograph,Ed Sheeran,4138,2017-01-06,ec,6fxVffaTuwjgEk5h9QyRjy
54,Hasta el Amanecer,Nicky Jam,3738,2017-01-06,ec,5Fim1gaXBgsiFfsQAfQSDS
55,Just Hold On,Steve Aoki,3699,2017-01-06,ec,3EmmCZoqpWOTY1g2GBwJoR
56,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3552,2017-01-06,ec,3NdDpSvN911VPGivFlV5d0
57,Manicomio,Cosculluela,3543,2017-01-06,ec,3n58u3LOFw8mITLvfPvQBz
58,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,3538,2017-01-06,ec,4vlbjBSMqycZk6t4HVRpnC
59,Thinking out Loud,Ed Sheeran,3460,2017-01-06,ec,1Slwb6dOYkBlWal1PGtnNg
60,Me Rehúso,Danny Ocean,3456,2017-01-06,ec,6De0lHrwBfPfrhorm9q1Xl
