Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,7460,2017-01-06,ee,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,6867,2017-01-06,ee,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2701,2017-01-06,ee,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,2620,2017-01-06,ee,5aAx2yezTd8zXrkmtKl66Z
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2306,2017-01-06,ee,5knuzwU65gJK7IF5yJsuaW
6,Tuesday,Burak Yeter,2183,2017-01-06,ee,7abpmGpF7PGep2rDU68GBR
7,Alone,Alan Walker,1980,2017-01-06,ee,0JiVRyTJcJnmlwCZ854K4p
8,Call On Me - Ryan Riback Extended Remix,Starley,1978,2017-01-06,ee,78rIJddV4X0HkNAInEcYde
9,I Feel It Coming,The Weeknd,1970,2017-01-06,ee,5GXAXm5YOmYT0kL5jHvYBt
10,Closer (feat. Halsey),The Chainsmokers,1969,2017-01-06,ee,7BKLCZ1jbUBVqRi2FVlTVw
11,Say You Won't Let Go,James Arthur,1897,2017-01-06,ee,5uCax9HTNlzGybIStD3vDh
12,Black Beatles,Rae Sremmurd,1686,2017-01-06,ee,6fujklziTHa8uoM5OQSfIo
13,Let Me Love You,DJ Snake,1657,2017-01-06,ee,4pdPtRcBmOSQDlJ3Fk945m
14,Don't Wanna Know,Maroon 5,1615,2017-01-06,ee,5MFzQMkrl1FOOng9tq6R9r
15,Bad Things (with Camila Cabello),Machine Gun Kelly,1594,2017-01-06,ee,1PSBzsahR2AKwLJgx8ehBj
16,In the Name of Love,Martin Garrix,1526,2017-01-06,ee,04DwTuZ2VBdJCCC5TROn7L
17,Just Hold On,Steve Aoki,1488,2017-01-06,ee,3EmmCZoqpWOTY1g2GBwJoR
18,All We Know,The Chainsmokers,1471,2017-01-06,ee,2rizacJSyD9S1IQUxUxnsK
19,Shed a Light,Robin Schulz,1401,2017-01-06,ee,1cG0umU5TKStygKsPFZ9pY
20,Rooftop,NOËP,1307,2017-01-06,ee,39MsGu3FUJ5mofWxTvDL1A
21,Fake Love,Drake,1268,2017-01-06,ee,343YBumqHu19cGoGARUTsd
22,All Night,The Vamps,1245,2017-01-06,ee,1yNyoWWWikbLhwIGWjZuDW
23,Starving,Hailee Steinfeld,1209,2017-01-06,ee,1qOLh0tI7trd1zdDKxYZTe
24,Now and Later,Sage The Gemini,1209,2017-01-06,ee,43jBqV3j3Xi1g6wO0bhIMd
25,Hear Me Now,Alok,1201,2017-01-06,ee,1a5Yu5L18qNxVhXx38njON
26,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1166,2017-01-06,ee,6DNtNfH8hXkqOX1sjqmI7p
27,Heathens,Twenty One Pilots,1152,2017-01-06,ee,6i0V12jOa3mr6uu4WYhUBr
28,My Way,Calvin Harris,1127,2017-01-06,ee,1vvNmPOiUuyCbgWmtc6yfm
29,One Dance,Drake,1124,2017-01-06,ee,1xznGGDReH1oQq0xzbwXa3
30,Mercy,Shawn Mendes,1112,2017-01-06,ee,4TZy1wLyHec06pwgFYDh1a
31,Lähedal,Karl-Erik Taukar,1099,2017-01-06,ee,6An4IIXQmfdJHYWkwY1eLE
32,Human,Rag'n'Bone Man,1088,2017-01-06,ee,58zsLZPvfflaiIbNWoA22O
33,24K Magic,Bruno Mars,1066,2017-01-06,ee,6b8Be6ljOzmkOmFslEb23P
34,Sunset Lover,Petit Biscuit,1055,2017-01-06,ee,0hNduWmlWmEmuwEFcYvRu1
35,"How Far I'll Go - From ""Moana""",Alessia Cara,1040,2017-01-06,ee,5hYTyyh2odQKphUbMqc5gN
36,The Mack,Nevada,1019,2017-01-06,ee,7aV2mflaASUmGhCErm7kBO
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,8244,2017-01-13,ee,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,4230,2017-01-13,ee,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3245,2017-01-13,ee,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,2829,2017-01-13,ee,5aAx2yezTd8zXrkmtKl66Z
5,I Feel It Coming,The Weeknd,2541,2017-01-13,ee,5GXAXm5YOmYT0kL5jHvYBt
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2523,2017-01-13,ee,5knuzwU65gJK7IF5yJsuaW
7,Tuesday,Burak Yeter,2455,2017-01-13,ee,7abpmGpF7PGep2rDU68GBR
8,Alone,Alan Walker,2302,2017-01-13,ee,0JiVRyTJcJnmlwCZ854K4p
9,Call On Me - Ryan Riback Extended Remix,Starley,2293,2017-01-13,ee,78rIJddV4X0HkNAInEcYde
10,Paris,The Chainsmokers,2121,2017-01-13,ee,72jbDTw1piOOj770jWNeaG
11,Black Beatles,Rae Sremmurd,1993,2017-01-13,ee,6fujklziTHa8uoM5OQSfIo
12,Bad Things (with Camila Cabello),Machine Gun Kelly,1982,2017-01-13,ee,1PSBzsahR2AKwLJgx8ehBj
13,Closer (feat. Halsey),The Chainsmokers,1895,2017-01-13,ee,7BKLCZ1jbUBVqRi2FVlTVw
14,Say You Won't Let Go,James Arthur,1840,2017-01-13,ee,5uCax9HTNlzGybIStD3vDh
15,Don't Wanna Know,Maroon 5,1822,2017-01-13,ee,5MFzQMkrl1FOOng9tq6R9r
16,Just Hold On,Steve Aoki,1733,2017-01-13,ee,3EmmCZoqpWOTY1g2GBwJoR
17,Fake Love,Drake,1655,2017-01-13,ee,343YBumqHu19cGoGARUTsd
18,Hear Me Now,Alok,1639,2017-01-13,ee,1a5Yu5L18qNxVhXx38njON
19,All We Know,The Chainsmokers,1639,2017-01-13,ee,2rizacJSyD9S1IQUxUxnsK
20,Shed a Light,Robin Schulz,1561,2017-01-13,ee,1cG0umU5TKStygKsPFZ9pY
21,Let Me Love You,DJ Snake,1506,2017-01-13,ee,4pdPtRcBmOSQDlJ3Fk945m
22,Now and Later,Sage The Gemini,1505,2017-01-13,ee,43jBqV3j3Xi1g6wO0bhIMd
23,Say Something Loving,The xx,1362,2017-01-13,ee,728zbo72kOoYdGR3AhNsyF
24,Rooftop,NOËP,1352,2017-01-13,ee,39MsGu3FUJ5mofWxTvDL1A
25,All Night,The Vamps,1343,2017-01-13,ee,1yNyoWWWikbLhwIGWjZuDW
26,In the Name of Love,Martin Garrix,1292,2017-01-13,ee,04DwTuZ2VBdJCCC5TROn7L
27,Starving,Hailee Steinfeld,1278,2017-01-13,ee,1qOLh0tI7trd1zdDKxYZTe
28,"How Far I'll Go - From ""Moana""",Alessia Cara,1275,2017-01-13,ee,5hYTyyh2odQKphUbMqc5gN
