Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,200028,2017-01-06,es,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,181539,2017-01-06,es,3AEZUABDXNtecAOSC1qTfo
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,143001,2017-01-06,es,5knuzwU65gJK7IF5yJsuaW
4,Safari,J Balvin,142850,2017-01-06,es,6rQSrBHf7HlZjtcMZ4S4bO
5,Vente Pa' Ca,Ricky Martin,129525,2017-01-06,es,7DM4BPaS7uofFul3ywMe46
6,Otra vez (feat. J Balvin),Zion & Lennox,115310,2017-01-06,es,3QwBODjSEzelZyVjxPOHdq
7,Gyal You A Party Animal - Remix,Charly Black,110373,2017-01-06,es,1AkTW13ysu0AJrwuM6UY0I
8,Traicionera,Sebastian Yatra,106907,2017-01-06,es,5J1c3M4EldCfNxXwrwt8mT
9,Shape of You,Ed Sheeran,105740,2017-01-06,es,7qiZfU4dY1lWllzX7mPBI3
10,La Bicicleta,Carlos Vives,101608,2017-01-06,es,0sXvAOmXgjR2QUqLK1MltU
11,Let Me Love You,DJ Snake,99060,2017-01-06,es,4pdPtRcBmOSQDlJ3Fk945m
12,24K Magic,Bruno Mars,96554,2017-01-06,es,6b8Be6ljOzmkOmFslEb23P
13,Castle on the Hill,Ed Sheeran,93404,2017-01-06,es,6PCUP3dWmTjcTtXY02oFdT
14,Starboy,The Weeknd,93080,2017-01-06,es,5aAx2yezTd8zXrkmtKl66Z
15,Closer (feat. Halsey),The Chainsmokers,87916,2017-01-06,es,7BKLCZ1jbUBVqRi2FVlTVw
16,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,84954,2017-01-06,es,6stYbAJgTszHAHZMPxWWCY
17,Vacaciones,Wisin,84542,2017-01-06,es,3dQDid3IUNhZy1OehIfYfE
18,Hasta Que Se Seque el Malecón - Remix,Jacob Forever,83968,2017-01-06,es,6sMPwcpYtxm1mlgYbp1B0t
19,Don't Wanna Know,Maroon 5,83823,2017-01-06,es,5MFzQMkrl1FOOng9tq6R9r
20,Manicomio,Cosculluela,81999,2017-01-06,es,3n58u3LOFw8mITLvfPvQBz
21,Borro Cassette,Maluma,76528,2017-01-06,es,6DUdDIRgLqCGq1DwkNWQTN
22,In the Name of Love,Martin Garrix,75526,2017-01-06,es,04DwTuZ2VBdJCCC5TROn7L
