Position,Track Name,Artist,Streams,date,region,spotify_id
1,Mä hiihdän,Antti Tuisku,106889,2017-01-06,fi,4OdVWcLwTqgFQJNAMLaur9
2,Shape of You,Ed Sheeran,94929,2017-01-06,fi,7qiZfU4dY1lWllzX7mPBI3
3,Alone,Alan Walker,72242,2017-01-06,fi,0JiVRyTJcJnmlwCZ854K4p
4,Castle on the Hill,Ed Sheeran,72021,2017-01-06,fi,6PCUP3dWmTjcTtXY02oFdT
5,Hukutaan,Arttu Lindeman,68097,2017-01-06,fi,0i8qXP5jTcu3dPfwZrboV3
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,60377,2017-01-06,fi,5knuzwU65gJK7IF5yJsuaW
7,Loistat Pimeäs,Mikael Gabriel,58936,2017-01-06,fi,3bCuspxImskpiHF3udYdFI
8,Sinuhe,Profeetat,50227,2017-01-06,fi,1muAf2i6NwO1O7MMEr0A8O
9,Just Hold On,Steve Aoki,47213,2017-01-06,fi,3EmmCZoqpWOTY1g2GBwJoR
10,Starboy,The Weeknd,44143,2017-01-06,fi,5aAx2yezTd8zXrkmtKl66Z
11,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,42177,2017-01-06,fi,40UroIGvsMPLPBYwH8rMNA
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,42108,2017-01-06,fi,3NdDpSvN911VPGivFlV5d0
13,Tuesday,Burak Yeter,41307,2017-01-06,fi,7abpmGpF7PGep2rDU68GBR
14,Pisamat,Nikke Ankara,40306,2017-01-06,fi,7g5M2rzDUPoFv4JAZAyJR7
15,Rakas,Haloo Helsinki!,39525,2017-01-06,fi,0O2nxouygWlAVxHZPw3YCW
16,Hear Me Now,Alok,37764,2017-01-06,fi,1a5Yu5L18qNxVhXx38njON
17,Now and Later,Sage The Gemini,37371,2017-01-06,fi,43jBqV3j3Xi1g6wO0bhIMd
18,Mist sä tuut Part 2,JVG,37020,2017-01-06,fi,0oY8xK12tJkYAskQXXQsgj
19,Enemmän kuin valmis,Aste,35147,2017-01-06,fi,66D7modSrY1bCdbgIDDOvf
