Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,113479,2017-01-06,fr,7qiZfU4dY1lWllzX7mPBI3
2,Mauvaise graine,Nekfeu,103090,2017-01-06,fr,4kKJ5CjwCtksszPMntho4N
3,Castle on the Hill,Ed Sheeran,101709,2017-01-06,fr,6PCUP3dWmTjcTtXY02oFdT
4,Squa,Nekfeu,97574,2017-01-06,fr,11hj8c8BCRd5ND3CRhZSvt
5,Afro Trap Pt. 7 (La puissance),MHD,93047,2017-01-06,fr,6x8j5V85ZJHtvOSjSamcVc
6,Saturne,Nekfeu,83579,2017-01-06,fr,5t9fmZx0pcNxLykKTv6eOe
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,81069,2017-01-06,fr,5knuzwU65gJK7IF5yJsuaW
8,Starboy,The Weeknd,80379,2017-01-06,fr,5aAx2yezTd8zXrkmtKl66Z
9,Tchoin,Kaaris,80105,2017-01-06,fr,0ban5QRXUveaKtQPGuaoQ9
10,Onizuka,PNL,74725,2017-01-06,fr,4GCIYE1x1TWJCChPkpy9by
11,I Feel It Coming,The Weeknd,69171,2017-01-06,fr,5GXAXm5YOmYT0kL5jHvYBt
12,Black Beatles,Rae Sremmurd,68451,2017-01-06,fr,6fujklziTHa8uoM5OQSfIo
13,One Dance,Drake,66858,2017-01-06,fr,1xznGGDReH1oQq0xzbwXa3
14,Sunset Lover,Petit Biscuit,66503,2017-01-06,fr,0hNduWmlWmEmuwEFcYvRu1
15,DKR,Booba,66340,2017-01-06,fr,1iDQ2zCOU1uYeR8QcpqUZb
16,Human,Rag'n'Bone Man,64953,2017-01-06,fr,58zsLZPvfflaiIbNWoA22O
17,24K Magic,Bruno Mars,64657,2017-01-06,fr,6b8Be6ljOzmkOmFslEb23P
18,Let Me Love You,DJ Snake,64392,2017-01-06,fr,4pdPtRcBmOSQDlJ3Fk945m
19,6.45i,SCH,63432,2017-01-06,fr,0myHuhA1FkppaClYHRoxX0
20,Daniel Sam,Booba,63148,2017-01-06,fr,40vg7dPaClJHMf4KkvxVQK
21,Infréquentables,Dosseh,61333,2017-01-06,fr,63z6p4gpgnpZprANkpBIHH
22,Naha,PNL,61286,2017-01-06,fr,0lkQfsTMmtDA37tjjew9n0
23,Heathens,Twenty One Pilots,60916,2017-01-06,fr,6i0V12jOa3mr6uu4WYhUBr
24,Réalité augmentée,Nekfeu,59123,2017-01-06,fr,5jGuAvPX3Ufo55DIZlCaHq
25,Don't Wanna Know,Maroon 5,57807,2017-01-06,fr,5MFzQMkrl1FOOng9tq6R9r
26,My Way,Calvin Harris,57661,2017-01-06,fr,1vvNmPOiUuyCbgWmtc6yfm
27,Bazardée,KeBlack,57085,2017-01-06,fr,2KiHXiqQA2dHiLfeSxtTeP
28,Tchikita,Jul,56178,2017-01-06,fr,6bXd0YhKLCTvlLVc4tErH9
29,Humanoïde,Nekfeu,55211,2017-01-06,fr,6YHNKVx7gSsOX7xq6jaqeq
30,Je m'en vais,Vianney,54544,2017-01-06,fr,2Vd1vVQaBilW0O6nmU5BkH
31,Pop Corn,Boostee,53896,2017-01-06,fr,6FK7DCwcQWWWG9VAT6ZGvz
32,Lordly (feat. Alex Aiono),Feder,53638,2017-01-06,fr,6c12fBpCtuVIq8OFxT0A3S
33,Closer (feat. Halsey),The Chainsmokers,53060,2017-01-06,fr,7BKLCZ1jbUBVqRi2FVlTVw
34,Chantaje (feat. Maluma),Shakira,51168,2017-01-06,fr,6mICuAdrwEjh6Y6lroV2Kg
35,Mercy,Shawn Mendes,50464,2017-01-06,fr,4TZy1wLyHec06pwgFYDh1a
36,Call On Me - Ryan Riback Extended Remix,Starley,49912,2017-01-06,fr,78rIJddV4X0HkNAInEcYde
37,Blow,Kaaris,49906,2017-01-06,fr,5GhWx7Hzju2oRyhVY6k9QH
38,Avant tu riais,Nekfeu,49789,2017-01-06,fr,6AHgVddvpK6wQpifbtInW1
39,On m'appelle l'ovni,Jul,49762,2017-01-06,fr,5cbyl4wFM4UYnQGoA0dcAk
40,Galatée,Nekfeu,49043,2017-01-06,fr,5kkqEHDSAU5S4TgKQN1l9d
41,Aloha,Møme,48909,2017-01-06,fr,6HViP4DVYa8gQtxLndmhwu
42,Oblah,Gradur,48747,2017-01-06,fr,0sqOIwjQoaiEXcSgl8iqsi
43,Ride,Twenty One Pilots,48335,2017-01-06,fr,2Z8WuEywRWYTKe1NybPQEW
44,Tout donner - Pilule violette,Maître Gims,47890,2017-01-06,fr,5ASacvNO76BB7Dxtp74qqz
45,Esquimaux,Nekfeu,47489,2017-01-06,fr,2gcZZpnrxbShZPLKiNUVga
46,Dans la légende,PNL,45824,2017-01-06,fr,5NZpY9WeWFtlHVgepfCamX
47,Say You Won't Let Go,James Arthur,44818,2017-01-06,fr,5uCax9HTNlzGybIStD3vDh
48,Bené,PNL,44747,2017-01-06,fr,00X2yv2vrtritPt2CZnUTZ
49,The Ocean (feat. Shy Martin),Mike Perry,43973,2017-01-06,fr,2CPqh63wRVscbceKcPxwvv
50,Love Me Now,John Legend,42668,2017-01-06,fr,6nxQdXa1uAL0rY72wPZu89
51,Treat You Better,Shawn Mendes,42650,2017-01-06,fr,4Hf7WnR761jpxPr5D46Bcd
52,Heal Tomorrow,Naive New Beaters,42427,2017-01-06,fr,4J6xvZhJh26lmAEAXGDCKu
53,Cold Water (feat. Justin Bieber & MØ),Major Lazer,42095,2017-01-06,fr,6DNtNfH8hXkqOX1sjqmI7p
54,All We Know,The Chainsmokers,41489,2017-01-06,fr,2rizacJSyD9S1IQUxUxnsK
55,Poussière,Kaaris,40843,2017-01-06,fr,4RhPtvcQqowlT2HSc00LxY
56,"i hate u, i love u (feat. olivia o'brien)",gnash,40539,2017-01-06,fr,7vRriwrloYVaoAe3a9wJHe
57,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,40526,2017-01-06,fr,17Fd6Yb7mSbinKG8LoWfFl
58,The Greatest (feat. Kendrick Lamar),Sia,39913,2017-01-06,fr,7xHWNBFm6ObGEQPaUxHuKO
59,Le regard des gens,Nekfeu,39277,2017-01-06,fr,0xH4qR6s5TqdzMKRkloBnh
60,Nekketsu,Nekfeu,39267,2017-01-06,fr,6J4VvZ3pIit9KgFtUDniwm
61,Elle et l'autre,Jul,38476,2017-01-06,fr,783vFwxaUzpGYAOEcGok9w
62,DA,PNL,37882,2017-01-06,fr,5UOGzIMvxXyRZIWBbqDcpU
63,Sex,Cheat Codes,37643,2017-01-06,fr,5DA77EqppDmCTWGovd4oTP
64,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,36826,2017-01-06,fr,3NdDpSvN911VPGivFlV5d0
65,Perfect Strangers,Jonas Blue,36706,2017-01-06,fr,1CUVN2kn7mW5FjkqXTR2W1
66,Lush Life,Zara Larsson,36112,2017-01-06,fr,1rIKgCH4H52lrvDcz50hS8
67,Final Song,MØ,35818,2017-01-06,fr,4qqArAiTPueDxIp7cf87h7
68,Cellophané,Rim'K,35755,2017-01-06,fr,2sOrroHqKbYFP2MfHxhQMc
69,Cheap Thrills,Sia,35515,2017-01-06,fr,27SdWb2rFzO6GWiYDBTD9j
70,Andale (feat. Gradur),Sadek,35113,2017-01-06,fr,3zLMWD22TUiKZ3L6FPjiCL
71,Ain't Your Mama,Jennifer Lopez,34978,2017-01-06,fr,2hgzdQdnfWwtdpZbhZlV72
72,Nador,Kaaris,34895,2017-01-06,fr,4jgTc6njkNCMonjSUBz89V
73,We Don't Talk Anymore,Charlie Puth,34734,2017-01-06,fr,68EMU2RD1ECNeOeJ5qAXCV
74,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,34516,2017-01-06,fr,4tCtwWceOPWzenK2HAIJSb
75,In the Name of Love,Martin Garrix,34068,2017-01-06,fr,04DwTuZ2VBdJCCC5TROn7L
76,Dis-moi que tu m'aimes,Ninho,33871,2017-01-06,fr,0u6HzAVFUBiKslzPF9G9vd
77,O.D,Nekfeu,33684,2017-01-06,fr,1ka8yYr5OnUrh0k59d7Gfd
78,Mon Everest (feat. Marina Kaye),Soprano,32505,2017-01-06,fr,6iwkDhmdFfXu9RpjXrgFhz
79,Tuesday,Burak Yeter,32037,2017-01-06,fr,7abpmGpF7PGep2rDU68GBR
80,Besoin de sens,Nekfeu,31692,2017-01-06,fr,1hVEHazr1EDumcrGlEU5XF
81,Halcyon Birds,Broken Back,31614,2017-01-06,fr,1WC2ctyzNjpgkhF0dplias
82,Commando,Niska,31609,2017-01-06,fr,0a5ClTPUJK0hYyXH0emy63
83,Jusqu'au dernier gramme,PNL,31220,2017-01-06,fr,2jBleFNl3YK8lyJc1OvxXt
84,Hymn for the Weekend - Seeb Remix,Coldplay,30733,2017-01-06,fr,1OAiWI2oPmglaOiv9fdioU
85,Boyz N The Hood,Kaaris,30551,2017-01-06,fr,5zCO1EU3KpM2tsFaZdu9vq
86,Hundred Miles,Yall,30166,2017-01-06,fr,5dyDkXi1bnQKSyIdO0JXp8
87,Fake Love,Drake,29852,2017-01-06,fr,343YBumqHu19cGoGARUTsd
88,Capsize,FRENSHIP,29446,2017-01-06,fr,2XMTqoHHSH0lvuXrvIEdco
89,Skurt Cobain,Sneazzy,29348,2017-01-06,fr,4S1ZmpEshXG3S0OLdodb1W
90,Fast Car,Jonas Blue,29211,2017-01-06,fr,6OZh916QF8XNunWaP97WEZ
91,C'est le son de la gratte,Jul,29195,2017-01-06,fr,2E681kTbT2vG47YqQJSQgw
92,Paris c'est loin,Damso,29102,2017-01-06,fr,3fHXUNVKNZQ4WaUGLwWxHP
93,La Bise (feat. Brulux),Sadek,28892,2017-01-06,fr,3AbR9rS5iPPPG5F5TJtLMs
94,Programmé,Nekfeu,28794,2017-01-06,fr,69eH18SnGxcVSFuQJCBGBY
95,A Kele Nta,MHD,28754,2017-01-06,fr,0v9yrgq9lNv5RJ3NPkCxmg
96,J'suis QLF,PNL,28737,2017-01-06,fr,2lFWyfuXtCN8Sb7cHJILva
97,Silver,Fakear,28541,2017-01-06,fr,3BMcY4M9KsjoQk3FiNU7Er
98,Vinyle,Nekfeu,28378,2017-01-06,fr,3Y9l5dKsuaipDSnPsHzogk
99,Qui a dit ?,Jul,28242,2017-01-06,fr,2JJrn7v7lzYluRyu10qVAP
100,Rooting For You,London Grammar,28116,2017-01-06,fr,2nAAFnHiXRdWhsqoeqhhnr
101,Starving,Hailee Steinfeld,28003,2017-01-06,fr,1qOLh0tI7trd1zdDKxYZTe
102,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,27979,2017-01-06,fr,6JV2JOEocMgcZxYSZelKcc
103,Lost on You,LP,27691,2017-01-06,fr,3SqvR3HYLlCTYzbDXJ52OC
