Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,1280898,2017-01-06,gb,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1242144,2017-01-06,gb,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,317634,2017-01-06,gb,5knuzwU65gJK7IF5yJsuaW
4,Touch,Little Mix,291826,2017-01-06,gb,5Ua3GXyHwiSfpNTMjq6m2z
5,I Would Like,Zara Larsson,278069,2017-01-06,gb,4Q4jmPHwu0wrJvqrld0FQ6
6,Starboy,The Weeknd,256096,2017-01-06,gb,5aAx2yezTd8zXrkmtKl66Z
7,Say You Won't Let Go,James Arthur,247924,2017-01-06,gb,5uCax9HTNlzGybIStD3vDh
8,Human,Rag'n'Bone Man,235314,2017-01-06,gb,58zsLZPvfflaiIbNWoA22O
9,Just Hold On,Steve Aoki,234944,2017-01-06,gb,3EmmCZoqpWOTY1g2GBwJoR
10,Sexual,NEIKED,224846,2017-01-06,gb,3AsAuGTaDQzavZZThyYlop
11,I Feel It Coming,The Weeknd,211513,2017-01-06,gb,5GXAXm5YOmYT0kL5jHvYBt
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,209000,2017-01-06,gb,3NdDpSvN911VPGivFlV5d0
13,Call On Me - Ryan Riback Extended Remix,Starley,208828,2017-01-06,gb,78rIJddV4X0HkNAInEcYde
14,Don't Wanna Know,Maroon 5,208553,2017-01-06,gb,5MFzQMkrl1FOOng9tq6R9r
15,All Night,The Vamps,201775,2017-01-06,gb,1yNyoWWWikbLhwIGWjZuDW
16,Closer (feat. Halsey),The Chainsmokers,196120,2017-01-06,gb,7BKLCZ1jbUBVqRi2FVlTVw
17,24K Magic,Bruno Mars,195563,2017-01-06,gb,6b8Be6ljOzmkOmFslEb23P
18,Black Beatles,Rae Sremmurd,194161,2017-01-06,gb,6fujklziTHa8uoM5OQSfIo
19,Fake Love,Drake,193319,2017-01-06,gb,343YBumqHu19cGoGARUTsd
20,The Mack,Nevada,186758,2017-01-06,gb,7aV2mflaASUmGhCErm7kBO
21,By Your Side,Jonas Blue,182951,2017-01-06,gb,1D3ODoXHBLpdxolZRHWV1j
