Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,6151345,2017-01-06,global,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,5661820,2017-01-06,global,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,3590301,2017-01-06,global,5aAx2yezTd8zXrkmtKl66Z
4,Closer (feat. Halsey),The Chainsmokers,3101351,2017-01-06,global,7BKLCZ1jbUBVqRi2FVlTVw
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3025226,2017-01-06,global,5knuzwU65gJK7IF5yJsuaW
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2897927,2017-01-06,global,3NdDpSvN911VPGivFlV5d0
7,Don't Wanna Know,Maroon 5,2567090,2017-01-06,global,5MFzQMkrl1FOOng9tq6R9r
8,Let Me Love You,DJ Snake,2565040,2017-01-06,global,4pdPtRcBmOSQDlJ3Fk945m
9,Fake Love,Drake,2481652,2017-01-06,global,343YBumqHu19cGoGARUTsd
10,Say You Won't Let Go,James Arthur,2477169,2017-01-06,global,5uCax9HTNlzGybIStD3vDh
11,I Feel It Coming,The Weeknd,2472372,2017-01-06,global,5GXAXm5YOmYT0kL5jHvYBt
12,24K Magic,Bruno Mars,2343189,2017-01-06,global,6b8Be6ljOzmkOmFslEb23P
13,Black Beatles,Rae Sremmurd,2234965,2017-01-06,global,6fujklziTHa8uoM5OQSfIo
14,Call On Me - Ryan Riback Extended Remix,Starley,2108340,2017-01-06,global,78rIJddV4X0HkNAInEcYde
15,Chantaje (feat. Maluma),Shakira,2069444,2017-01-06,global,6mICuAdrwEjh6Y6lroV2Kg
16,In the Name of Love,Martin Garrix,2004765,2017-01-06,global,04DwTuZ2VBdJCCC5TROn7L
17,Bad and Boujee (feat. Lil Uzi Vert),Migos,1939642,2017-01-06,global,4Km5HrUvYTaSUfiSGPJeQR
18,One Dance,Drake,1930010,2017-01-06,global,1xznGGDReH1oQq0xzbwXa3
19,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1915819,2017-01-06,global,6DNtNfH8hXkqOX1sjqmI7p
20,Just Hold On,Steve Aoki,1870908,2017-01-06,global,3EmmCZoqpWOTY1g2GBwJoR
21,Side To Side,Ariana Grande,1856328,2017-01-06,global,4pLwZjInHj3SimIyN9SnOz
22,Bad Things (with Camila Cabello),Machine Gun Kelly,1769495,2017-01-06,global,1PSBzsahR2AKwLJgx8ehBj
23,Mercy,Shawn Mendes,1632041,2017-01-06,global,4TZy1wLyHec06pwgFYDh1a
24,All We Know,The Chainsmokers,1601067,2017-01-06,global,2rizacJSyD9S1IQUxUxnsK
25,Starving,Hailee Steinfeld,1566957,2017-01-06,global,1qOLh0tI7trd1zdDKxYZTe
26,My Way,Calvin Harris,1546284,2017-01-06,global,1vvNmPOiUuyCbgWmtc6yfm
27,Heathens,Twenty One Pilots,1483106,2017-01-06,global,6i0V12jOa3mr6uu4WYhUBr
28,Treat You Better,Shawn Mendes,1385283,2017-01-06,global,4Hf7WnR761jpxPr5D46Bcd
29,Scars To Your Beautiful,Alessia Cara,1375531,2017-01-06,global,0prNGof3XqfTvNDxHonvdK
30,All Night,The Vamps,1366915,2017-01-06,global,1yNyoWWWikbLhwIGWjZuDW
31,Don't Let Me Down,The Chainsmokers,1354741,2017-01-06,global,0QsvXIfqM0zZoerQfsI9lm
32,I Would Like,Zara Larsson,1330073,2017-01-06,global,4Q4jmPHwu0wrJvqrld0FQ6
33,Now and Later,Sage The Gemini,1318417,2017-01-06,global,43jBqV3j3Xi1g6wO0bhIMd
34,Shed a Light,Robin Schulz,1316213,2017-01-06,global,1cG0umU5TKStygKsPFZ9pY
35,Hear Me Now,Alok,1312991,2017-01-06,global,1a5Yu5L18qNxVhXx38njON
