Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,9568,2017-01-06,gr,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,6689,2017-01-06,gr,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,4957,2017-01-06,gr,5aAx2yezTd8zXrkmtKl66Z
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3167,2017-01-06,gr,3NdDpSvN911VPGivFlV5d0
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2965,2017-01-06,gr,5knuzwU65gJK7IF5yJsuaW
6,Let Me Love You,DJ Snake,2778,2017-01-06,gr,4pdPtRcBmOSQDlJ3Fk945m
7,Closer (feat. Halsey),The Chainsmokers,2613,2017-01-06,gr,7BKLCZ1jbUBVqRi2FVlTVw
8,Fake Love,Drake,2585,2017-01-06,gr,343YBumqHu19cGoGARUTsd
9,Black Beatles,Rae Sremmurd,2376,2017-01-06,gr,6fujklziTHa8uoM5OQSfIo
10,Don't Wanna Know,Maroon 5,2370,2017-01-06,gr,5MFzQMkrl1FOOng9tq6R9r
11,I Feel It Coming,The Weeknd,2365,2017-01-06,gr,5GXAXm5YOmYT0kL5jHvYBt
12,Call On Me - Ryan Riback Extended Remix,Starley,2205,2017-01-06,gr,78rIJddV4X0HkNAInEcYde
13,One Dance,Drake,2062,2017-01-06,gr,1xznGGDReH1oQq0xzbwXa3
14,In the Name of Love,Martin Garrix,1973,2017-01-06,gr,04DwTuZ2VBdJCCC5TROn7L
15,24K Magic,Bruno Mars,1970,2017-01-06,gr,6b8Be6ljOzmkOmFslEb23P
16,Say You Won't Let Go,James Arthur,1941,2017-01-06,gr,5uCax9HTNlzGybIStD3vDh
17,Side To Side,Ariana Grande,1892,2017-01-06,gr,4pLwZjInHj3SimIyN9SnOz
18,Heathens,Twenty One Pilots,1812,2017-01-06,gr,6i0V12jOa3mr6uu4WYhUBr
19,Chantaje (feat. Maluma),Shakira,1803,2017-01-06,gr,6mICuAdrwEjh6Y6lroV2Kg
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1796,2017-01-06,gr,6DNtNfH8hXkqOX1sjqmI7p
21,Just Hold On,Steve Aoki,1732,2017-01-06,gr,3EmmCZoqpWOTY1g2GBwJoR
22,Party Monster,The Weeknd,1703,2017-01-06,gr,4F7A0DXBrmUAkp32uenhZt
23,Bad Things (with Camila Cabello),Machine Gun Kelly,1683,2017-01-06,gr,1PSBzsahR2AKwLJgx8ehBj
24,Treat You Better,Shawn Mendes,1664,2017-01-06,gr,4Hf7WnR761jpxPr5D46Bcd
25,Mercy,Shawn Mendes,1615,2017-01-06,gr,4TZy1wLyHec06pwgFYDh1a
26,All We Know,The Chainsmokers,1614,2017-01-06,gr,2rizacJSyD9S1IQUxUxnsK
27,All Night,The Vamps,1498,2017-01-06,gr,1yNyoWWWikbLhwIGWjZuDW
28,Human,Rag'n'Bone Man,1453,2017-01-06,gr,58zsLZPvfflaiIbNWoA22O
29,Bad and Boujee (feat. Lil Uzi Vert),Migos,1444,2017-01-06,gr,4Km5HrUvYTaSUfiSGPJeQR
30,Don't Let Me Down,The Chainsmokers,1411,2017-01-06,gr,0QsvXIfqM0zZoerQfsI9lm
31,Cheap Thrills,Sia,1384,2017-01-06,gr,27SdWb2rFzO6GWiYDBTD9j
32,Starving,Hailee Steinfeld,1365,2017-01-06,gr,1qOLh0tI7trd1zdDKxYZTe
33,I Would Like,Zara Larsson,1355,2017-01-06,gr,4Q4jmPHwu0wrJvqrld0FQ6
34,We Don't Talk Anymore,Charlie Puth,1343,2017-01-06,gr,68EMU2RD1ECNeOeJ5qAXCV
35,Now and Later,Sage The Gemini,1305,2017-01-06,gr,43jBqV3j3Xi1g6wO0bhIMd
36,Love Me Now,John Legend,1302,2017-01-06,gr,6nxQdXa1uAL0rY72wPZu89
37,Scars To Your Beautiful,Alessia Cara,1264,2017-01-06,gr,0prNGof3XqfTvNDxHonvdK
38,By Your Side,Jonas Blue,1260,2017-01-06,gr,1D3ODoXHBLpdxolZRHWV1j
39,My Way,Calvin Harris,1256,2017-01-06,gr,1vvNmPOiUuyCbgWmtc6yfm
40,"How Far I'll Go - From ""Moana""",Alessia Cara,1247,2017-01-06,gr,5hYTyyh2odQKphUbMqc5gN
41,Photograph,Ed Sheeran,1182,2017-01-06,gr,6fxVffaTuwjgEk5h9QyRjy
42,Sidewalks,The Weeknd,1182,2017-01-06,gr,4h90qkbnW1Qq6pBhoPvwko
43,Weak,AJR,1142,2017-01-06,gr,3E2Zh20GDCR9B1EYjfXWyv
44,Panda,Desiigner,1139,2017-01-06,gr,5OOkp4U9P9oL23maHFHL1h
45,The Mack,Nevada,1124,2017-01-06,gr,7aV2mflaASUmGhCErm7kBO
46,Six Feet Under,The Weeknd,1108,2017-01-06,gr,4mU5iXHeLgbR94siF7p1sY
47,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1091,2017-01-06,gr,17Fd6Yb7mSbinKG8LoWfFl
48,All Time Low,Jon Bellion,1088,2017-01-06,gr,1CnPYaKxTVb4LWOtiGOm0m
49,Hear Me Now,Alok,1073,2017-01-06,gr,1a5Yu5L18qNxVhXx38njON
50,Shed a Light,Robin Schulz,1071,2017-01-06,gr,1cG0umU5TKStygKsPFZ9pY
51,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1060,2017-01-06,gr,6JV2JOEocMgcZxYSZelKcc
52,Thinking out Loud,Ed Sheeran,1040,2017-01-06,gr,1Slwb6dOYkBlWal1PGtnNg
53,Broccoli (feat. Lil Yachty),DRAM,1035,2017-01-06,gr,7yyRTcZmCiyzzJlNzGC9Ol
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,9693,2017-01-13,gr,7qiZfU4dY1lWllzX7mPBI3
2,Starboy,The Weeknd,5313,2017-01-13,gr,5aAx2yezTd8zXrkmtKl66Z
3,Castle on the Hill,Ed Sheeran,4463,2017-01-13,gr,6PCUP3dWmTjcTtXY02oFdT
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3867,2017-01-13,gr,3NdDpSvN911VPGivFlV5d0
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3696,2017-01-13,gr,5knuzwU65gJK7IF5yJsuaW
6,I Feel It Coming,The Weeknd,2895,2017-01-13,gr,5GXAXm5YOmYT0kL5jHvYBt
7,Fake Love,Drake,2829,2017-01-13,gr,343YBumqHu19cGoGARUTsd
8,Closer (feat. Halsey),The Chainsmokers,2790,2017-01-13,gr,7BKLCZ1jbUBVqRi2FVlTVw
9,Call On Me - Ryan Riback Extended Remix,Starley,2677,2017-01-13,gr,78rIJddV4X0HkNAInEcYde
10,Don't Wanna Know,Maroon 5,2615,2017-01-13,gr,5MFzQMkrl1FOOng9tq6R9r
11,Black Beatles,Rae Sremmurd,2473,2017-01-13,gr,6fujklziTHa8uoM5OQSfIo
12,Let Me Love You,DJ Snake,2446,2017-01-13,gr,4pdPtRcBmOSQDlJ3Fk945m
13,Paris,The Chainsmokers,2374,2017-01-13,gr,72jbDTw1piOOj770jWNeaG
14,Say You Won't Let Go,James Arthur,2272,2017-01-13,gr,5uCax9HTNlzGybIStD3vDh
15,24K Magic,Bruno Mars,2205,2017-01-13,gr,6b8Be6ljOzmkOmFslEb23P
16,Chantaje (feat. Maluma),Shakira,2201,2017-01-13,gr,6mICuAdrwEjh6Y6lroV2Kg
17,One Dance,Drake,2185,2017-01-13,gr,1xznGGDReH1oQq0xzbwXa3
18,Party Monster,The Weeknd,2116,2017-01-13,gr,4F7A0DXBrmUAkp32uenhZt
19,Just Hold On,Steve Aoki,2109,2017-01-13,gr,3EmmCZoqpWOTY1g2GBwJoR
20,Side To Side,Ariana Grande,2093,2017-01-13,gr,4pLwZjInHj3SimIyN9SnOz
21,Bad Things (with Camila Cabello),Machine Gun Kelly,2015,2017-01-13,gr,1PSBzsahR2AKwLJgx8ehBj
22,Bad and Boujee (feat. Lil Uzi Vert),Migos,1905,2017-01-13,gr,4Km5HrUvYTaSUfiSGPJeQR
23,Mercy,Shawn Mendes,1860,2017-01-13,gr,4TZy1wLyHec06pwgFYDh1a
24,Heathens,Twenty One Pilots,1836,2017-01-13,gr,6i0V12jOa3mr6uu4WYhUBr
25,All We Know,The Chainsmokers,1823,2017-01-13,gr,2rizacJSyD9S1IQUxUxnsK
26,Human,Rag'n'Bone Man,1788,2017-01-13,gr,58zsLZPvfflaiIbNWoA22O
27,Treat You Better,Shawn Mendes,1759,2017-01-13,gr,4Hf7WnR761jpxPr5D46Bcd
28,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1759,2017-01-13,gr,6DNtNfH8hXkqOX1sjqmI7p
29,In the Name of Love,Martin Garrix,1749,2017-01-13,gr,04DwTuZ2VBdJCCC5TROn7L
30,All Night,The Vamps,1710,2017-01-13,gr,1yNyoWWWikbLhwIGWjZuDW
31,Not Afraid Anymore,Halsey,1676,2017-01-13,gr,1uoL9GX45dTnmrWQ7Ii1Ft
32,I Would Like,Zara Larsson,1651,2017-01-13,gr,4Q4jmPHwu0wrJvqrld0FQ6
33,Now and Later,Sage The Gemini,1624,2017-01-13,gr,43jBqV3j3Xi1g6wO0bhIMd
34,"How Far I'll Go - From ""Moana""",Alessia Cara,1589,2017-01-13,gr,5hYTyyh2odQKphUbMqc5gN
35,Photograph,Ed Sheeran,1578,2017-01-13,gr,6fxVffaTuwjgEk5h9QyRjy
36,Don't Let Me Down,The Chainsmokers,1504,2017-01-13,gr,0QsvXIfqM0zZoerQfsI9lm
37,Love Me Now,John Legend,1504,2017-01-13,gr,6nxQdXa1uAL0rY72wPZu89
38,Starving,Hailee Steinfeld,1470,2017-01-13,gr,1qOLh0tI7trd1zdDKxYZTe
39,Cheap Thrills,Sia,1448,2017-01-13,gr,27SdWb2rFzO6GWiYDBTD9j
40,Scars To Your Beautiful,Alessia Cara,1446,2017-01-13,gr,0prNGof3XqfTvNDxHonvdK
41,By Your Side,Jonas Blue,1428,2017-01-13,gr,1D3ODoXHBLpdxolZRHWV1j
42,My Way,Calvin Harris,1417,2017-01-13,gr,1vvNmPOiUuyCbgWmtc6yfm
43,I Got You,Bebe Rexha,1414,2017-01-13,gr,1FUViuNSldssMIawrOXF2i
44,All Time Low,Jon Bellion,1410,2017-01-13,gr,1CnPYaKxTVb4LWOtiGOm0m
45,Sidewalks,The Weeknd,1407,2017-01-13,gr,4h90qkbnW1Qq6pBhoPvwko
46,Shed a Light,Robin Schulz,1392,2017-01-13,gr,1cG0umU5TKStygKsPFZ9pY
47,We Don't Talk Anymore,Charlie Puth,1373,2017-01-13,gr,68EMU2RD1ECNeOeJ5qAXCV
48,Solo Dance,Martin Jensen,1340,2017-01-13,gr,6HUnnBwYZqcED1eQztxMBN
49,Weak,AJR,1293,2017-01-13,gr,3E2Zh20GDCR9B1EYjfXWyv
50,Hear Me Now,Alok,1284,2017-01-13,gr,1a5Yu5L18qNxVhXx38njON
51,Six Feet Under,The Weeknd,1278,2017-01-13,gr,4mU5iXHeLgbR94siF7p1sY
52,Panda,Desiigner,1152,2017-01-13,gr,5OOkp4U9P9oL23maHFHL1h
53,Sunset Lover,Petit Biscuit,1135,2017-01-13,gr,0hNduWmlWmEmuwEFcYvRu1
54,The Greatest (feat. Kendrick Lamar),Sia,1110,2017-01-13,gr,7xHWNBFm6ObGEQPaUxHuKO
55,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1095,2017-01-13,gr,40UroIGvsMPLPBYwH8rMNA
56,Say Something Loving,The xx,1076,2017-01-13,gr,728zbo72kOoYdGR3AhNsyF
57,Broccoli (feat. Lil Yachty),DRAM,1062,2017-01-13,gr,7yyRTcZmCiyzzJlNzGC9Ol
58,Setting Fires,The Chainsmokers,1040,2017-01-13,gr,0B8B8cVRFIG1yznoQe7c9s
59,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1018,2017-01-13,gr,6JV2JOEocMgcZxYSZelKcc
60,Dangerous,The xx,1012,2017-01-13,gr,33B2QbtAj8mbDpwvGTOnBt
61,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1003,2017-01-13,gr,2wDjpPW3HZdA9quPPmZAMu
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,10099,2017-01-20,gr,7qiZfU4dY1lWllzX7mPBI3
2,Starboy,The Weeknd,5101,2017-01-20,gr,5aAx2yezTd8zXrkmtKl66Z
3,Paris,The Chainsmokers,3949,2017-01-20,gr,72jbDTw1piOOj770jWNeaG
4,Castle on the Hill,Ed Sheeran,3935,2017-01-20,gr,6PCUP3dWmTjcTtXY02oFdT
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3693,2017-01-20,gr,5knuzwU65gJK7IF5yJsuaW
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3618,2017-01-20,gr,3NdDpSvN911VPGivFlV5d0
7,I Feel It Coming,The Weeknd,2728,2017-01-20,gr,5GXAXm5YOmYT0kL5jHvYBt
8,Fake Love,Drake,2683,2017-01-20,gr,343YBumqHu19cGoGARUTsd
9,Call On Me - Ryan Riback Extended Remix,Starley,2642,2017-01-20,gr,78rIJddV4X0HkNAInEcYde
10,Don't Wanna Know,Maroon 5,2530,2017-01-20,gr,5MFzQMkrl1FOOng9tq6R9r
11,Closer (feat. Halsey),The Chainsmokers,2506,2017-01-20,gr,7BKLCZ1jbUBVqRi2FVlTVw
12,Let Me Love You,DJ Snake,2437,2017-01-20,gr,4pdPtRcBmOSQDlJ3Fk945m
13,Human,Rag'n'Bone Man,2397,2017-01-20,gr,58zsLZPvfflaiIbNWoA22O
14,24K Magic,Bruno Mars,2335,2017-01-20,gr,6b8Be6ljOzmkOmFslEb23P
15,Bad and Boujee (feat. Lil Uzi Vert),Migos,2278,2017-01-20,gr,4Km5HrUvYTaSUfiSGPJeQR
16,Chantaje (feat. Maluma),Shakira,2224,2017-01-20,gr,6mICuAdrwEjh6Y6lroV2Kg
17,Say You Won't Let Go,James Arthur,2224,2017-01-20,gr,5uCax9HTNlzGybIStD3vDh
18,Just Hold On,Steve Aoki,2213,2017-01-20,gr,3EmmCZoqpWOTY1g2GBwJoR
19,Black Beatles,Rae Sremmurd,2151,2017-01-20,gr,6fujklziTHa8uoM5OQSfIo
20,One Dance,Drake,2077,2017-01-20,gr,1xznGGDReH1oQq0xzbwXa3
21,Side To Side,Ariana Grande,2025,2017-01-20,gr,4pLwZjInHj3SimIyN9SnOz
22,Bad Things (with Camila Cabello),Machine Gun Kelly,1786,2017-01-20,gr,1PSBzsahR2AKwLJgx8ehBj
23,Party Monster,The Weeknd,1767,2017-01-20,gr,4F7A0DXBrmUAkp32uenhZt
24,"How Far I'll Go - From ""Moana""",Alessia Cara,1756,2017-01-20,gr,5hYTyyh2odQKphUbMqc5gN
25,All Night,The Vamps,1729,2017-01-20,gr,1yNyoWWWikbLhwIGWjZuDW
26,In the Name of Love,Martin Garrix,1696,2017-01-20,gr,04DwTuZ2VBdJCCC5TROn7L
27,All Time Low,Jon Bellion,1674,2017-01-20,gr,1CnPYaKxTVb4LWOtiGOm0m
28,Mercy,Shawn Mendes,1658,2017-01-20,gr,4TZy1wLyHec06pwgFYDh1a
