Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,9698,2017-01-06,gt,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,8674,2017-01-06,gt,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,8670,2017-01-06,gt,3QwBODjSEzelZyVjxPOHdq
4,Safari,J Balvin,6798,2017-01-06,gt,6rQSrBHf7HlZjtcMZ4S4bO
5,Let Me Love You,DJ Snake,6531,2017-01-06,gt,4pdPtRcBmOSQDlJ3Fk945m
6,Vente Pa' Ca,Ricky Martin,6074,2017-01-06,gt,7DM4BPaS7uofFul3ywMe46
7,Closer (feat. Halsey),The Chainsmokers,5998,2017-01-06,gt,7BKLCZ1jbUBVqRi2FVlTVw
8,Shape of You,Ed Sheeran,5127,2017-01-06,gt,7qiZfU4dY1lWllzX7mPBI3
9,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,5005,2017-01-06,gt,6stYbAJgTszHAHZMPxWWCY
10,Starboy,The Weeknd,4982,2017-01-06,gt,5aAx2yezTd8zXrkmtKl66Z
11,Don't Wanna Know,Maroon 5,4886,2017-01-06,gt,5MFzQMkrl1FOOng9tq6R9r
12,Dile Que Tu Me Quieres,Ozuna,4867,2017-01-06,gt,20ZAJdsKB5IGbGj4ilRt2o
13,In the Name of Love,Martin Garrix,4788,2017-01-06,gt,04DwTuZ2VBdJCCC5TROn7L
14,Cuatro Babys,Maluma,4684,2017-01-06,gt,0JoHqmlqE0W0i9prt6kcHR
15,Traicionera,Sebastian Yatra,4545,2017-01-06,gt,5J1c3M4EldCfNxXwrwt8mT
16,One Dance,Drake,4541,2017-01-06,gt,1xznGGDReH1oQq0xzbwXa3
17,Vacaciones,Wisin,4294,2017-01-06,gt,3dQDid3IUNhZy1OehIfYfE
18,Chillax (feat. Ky-Mani Marley),Farruko,4266,2017-01-06,gt,1lxswgIpzV6HhENRvkflES
19,Castle on the Hill,Ed Sheeran,4243,2017-01-06,gt,6PCUP3dWmTjcTtXY02oFdT
20,La Bicicleta,Carlos Vives,4157,2017-01-06,gt,0sXvAOmXgjR2QUqLK1MltU
21,My Way,Calvin Harris,4022,2017-01-06,gt,1vvNmPOiUuyCbgWmtc6yfm
22,24K Magic,Bruno Mars,4002,2017-01-06,gt,6b8Be6ljOzmkOmFslEb23P
23,Cold Water (feat. Justin Bieber & MØ),Major Lazer,3932,2017-01-06,gt,6DNtNfH8hXkqOX1sjqmI7p
24,Shaky Shaky,Daddy Yankee,3801,2017-01-06,gt,58IL315gMSTD37DOZPJ2hf
25,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,3722,2017-01-06,gt,17Fd6Yb7mSbinKG8LoWfFl
26,Don't Let Me Down,The Chainsmokers,3577,2017-01-06,gt,0QsvXIfqM0zZoerQfsI9lm
27,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3493,2017-01-06,gt,5knuzwU65gJK7IF5yJsuaW
28,Me Rehúso,Danny Ocean,3491,2017-01-06,gt,6De0lHrwBfPfrhorm9q1Xl
29,Side To Side,Ariana Grande,3424,2017-01-06,gt,4pLwZjInHj3SimIyN9SnOz
30,Andas En Mi Cabeza,Chino & Nacho,3373,2017-01-06,gt,5mey7CLLuFToM2P68Qu1gF
31,I Feel It Coming,The Weeknd,3369,2017-01-06,gt,5GXAXm5YOmYT0kL5jHvYBt
