Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,13356,2017-01-06,hk,7qiZfU4dY1lWllzX7mPBI3
2,Closer (feat. Halsey),The Chainsmokers,12939,2017-01-06,hk,7BKLCZ1jbUBVqRi2FVlTVw
3,Castle on the Hill,Ed Sheeran,12253,2017-01-06,hk,6PCUP3dWmTjcTtXY02oFdT
4,Starboy,The Weeknd,12197,2017-01-06,hk,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,11873,2017-01-06,hk,3NdDpSvN911VPGivFlV5d0
6,Let Me Love You,DJ Snake,9715,2017-01-06,hk,4pdPtRcBmOSQDlJ3Fk945m
7,Don't Wanna Know,Maroon 5,9646,2017-01-06,hk,5MFzQMkrl1FOOng9tq6R9r
8,Bad Things (with Camila Cabello),Machine Gun Kelly,8971,2017-01-06,hk,1PSBzsahR2AKwLJgx8ehBj
9,Say You Won't Let Go,James Arthur,8879,2017-01-06,hk,5uCax9HTNlzGybIStD3vDh
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,8815,2017-01-06,hk,5knuzwU65gJK7IF5yJsuaW
11,All We Know,The Chainsmokers,8700,2017-01-06,hk,2rizacJSyD9S1IQUxUxnsK
12,I Feel It Coming,The Weeknd,8167,2017-01-06,hk,5GXAXm5YOmYT0kL5jHvYBt
13,24K Magic,Bruno Mars,8030,2017-01-06,hk,6b8Be6ljOzmkOmFslEb23P
14,Call On Me - Ryan Riback Extended Remix,Starley,7977,2017-01-06,hk,78rIJddV4X0HkNAInEcYde
15,We Don't Talk Anymore,Charlie Puth,7607,2017-01-06,hk,68EMU2RD1ECNeOeJ5qAXCV
16,分手總約在雨天,Charmaine Fong,7329,2017-01-06,hk,4F58voptx3uo1bNiJ6i1P9
17,經過一些秋與冬,Dear Jane,7325,2017-01-06,hk,4pw59ml6lY3WnP90tfyDGP
18,Just Hold On,Steve Aoki,7246,2017-01-06,hk,3EmmCZoqpWOTY1g2GBwJoR
19,"沒有你, 我甚麼都不是",Jason Chan,7047,2017-01-06,hk,1zlUxL11eVVjPSPSI7tIjQ
20,In the Name of Love,Martin Garrix,6990,2017-01-06,hk,04DwTuZ2VBdJCCC5TROn7L
21,哪裡只得我共你,Dear Jane,6767,2017-01-06,hk,6oHNXUrt4s5JJIM1WoOwsZ
22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6749,2017-01-06,hk,6DNtNfH8hXkqOX1sjqmI7p
23,你是你本身的傳奇,Charmaine Fong,6545,2017-01-06,hk,5uMkdWf1H6JEcpcdnPOSZM
24,Alone,Alan Walker,6436,2017-01-06,hk,0JiVRyTJcJnmlwCZ854K4p
25,Faded,Alan Walker,6252,2017-01-06,hk,7gHs73wELdeycvS48JfIos
26,風箏,Supper Moment,6167,2017-01-06,hk,6NBREJ4ZZX9sOOMw2OO8Nv
27,Starving,Hailee Steinfeld,6133,2017-01-06,hk,1qOLh0tI7trd1zdDKxYZTe
28,All Night,The Vamps,5980,2017-01-06,hk,1yNyoWWWikbLhwIGWjZuDW
29,獨一無二,AGA,5912,2017-01-06,hk,1EiEkNCO1maB0Rl3XQ5f6A
30,"How Far I'll Go - From ""Moana""",Alessia Cara,5754,2017-01-06,hk,5hYTyyh2odQKphUbMqc5gN
