Position,Track Name,Artist,Streams,date,region,spotify_id
1,Otra vez (feat. J Balvin),Zion & Lennox,5812,2017-01-06,hn,3QwBODjSEzelZyVjxPOHdq
2,Reggaetón Lento (Bailemos),CNCO,5730,2017-01-06,hn,3AEZUABDXNtecAOSC1qTfo
3,Chantaje (feat. Maluma),Shakira,5667,2017-01-06,hn,6mICuAdrwEjh6Y6lroV2Kg
4,Safari,J Balvin,4689,2017-01-06,hn,6rQSrBHf7HlZjtcMZ4S4bO
5,Let Me Love You,DJ Snake,4512,2017-01-06,hn,4pdPtRcBmOSQDlJ3Fk945m
6,Closer (feat. Halsey),The Chainsmokers,4334,2017-01-06,hn,7BKLCZ1jbUBVqRi2FVlTVw
7,Starboy,The Weeknd,4007,2017-01-06,hn,5aAx2yezTd8zXrkmtKl66Z
8,Vente Pa' Ca,Ricky Martin,3927,2017-01-06,hn,7DM4BPaS7uofFul3ywMe46
9,Shape of You,Ed Sheeran,3897,2017-01-06,hn,7qiZfU4dY1lWllzX7mPBI3
10,Cuatro Babys,Maluma,3763,2017-01-06,hn,0JoHqmlqE0W0i9prt6kcHR
11,Dile Que Tu Me Quieres,Ozuna,3753,2017-01-06,hn,20ZAJdsKB5IGbGj4ilRt2o
12,24K Magic,Bruno Mars,3483,2017-01-06,hn,6b8Be6ljOzmkOmFslEb23P
13,One Dance,Drake,3440,2017-01-06,hn,1xznGGDReH1oQq0xzbwXa3
14,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3343,2017-01-06,hn,6stYbAJgTszHAHZMPxWWCY
15,Don't Wanna Know,Maroon 5,3335,2017-01-06,hn,5MFzQMkrl1FOOng9tq6R9r
16,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,3195,2017-01-06,hn,2FrnTVSHjgnEylKGdHRUK1
17,Castle on the Hill,Ed Sheeran,3098,2017-01-06,hn,6PCUP3dWmTjcTtXY02oFdT
18,Shaky Shaky,Daddy Yankee,3068,2017-01-06,hn,58IL315gMSTD37DOZPJ2hf
19,In the Name of Love,Martin Garrix,3050,2017-01-06,hn,04DwTuZ2VBdJCCC5TROn7L
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,3020,2017-01-06,hn,6DNtNfH8hXkqOX1sjqmI7p
