Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,12695,2017-01-06,hu,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,10277,2017-01-06,hu,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,9023,2017-01-06,hu,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,7057,2017-01-06,hu,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5982,2017-01-06,hu,3NdDpSvN911VPGivFlV5d0
6,Let Me Love You,DJ Snake,5788,2017-01-06,hu,4pdPtRcBmOSQDlJ3Fk945m
7,Closer (feat. Halsey),The Chainsmokers,5778,2017-01-06,hu,7BKLCZ1jbUBVqRi2FVlTVw
8,Don't Wanna Know,Maroon 5,5433,2017-01-06,hu,5MFzQMkrl1FOOng9tq6R9r
9,Call On Me - Ryan Riback Extended Remix,Starley,5381,2017-01-06,hu,78rIJddV4X0HkNAInEcYde
10,Human,Rag'n'Bone Man,4873,2017-01-06,hu,58zsLZPvfflaiIbNWoA22O
11,In the Name of Love,Martin Garrix,4645,2017-01-06,hu,04DwTuZ2VBdJCCC5TROn7L
12,I Feel It Coming,The Weeknd,4637,2017-01-06,hu,5GXAXm5YOmYT0kL5jHvYBt
13,Heathens,Twenty One Pilots,4525,2017-01-06,hu,6i0V12jOa3mr6uu4WYhUBr
14,Just Hold On,Steve Aoki,4442,2017-01-06,hu,3EmmCZoqpWOTY1g2GBwJoR
15,My Way,Calvin Harris,4403,2017-01-06,hu,1vvNmPOiUuyCbgWmtc6yfm
16,Say You Won't Let Go,James Arthur,4207,2017-01-06,hu,5uCax9HTNlzGybIStD3vDh
17,Black Beatles,Rae Sremmurd,4183,2017-01-06,hu,6fujklziTHa8uoM5OQSfIo
18,24K Magic,Bruno Mars,4046,2017-01-06,hu,6b8Be6ljOzmkOmFslEb23P
19,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4031,2017-01-06,hu,6DNtNfH8hXkqOX1sjqmI7p
20,Cheap Thrills,Sia,3906,2017-01-06,hu,27SdWb2rFzO6GWiYDBTD9j
21,Side To Side,Ariana Grande,3878,2017-01-06,hu,4pLwZjInHj3SimIyN9SnOz
22,Now and Later,Sage The Gemini,3870,2017-01-06,hu,43jBqV3j3Xi1g6wO0bhIMd
23,All We Know,The Chainsmokers,3853,2017-01-06,hu,2rizacJSyD9S1IQUxUxnsK
24,All Night,The Vamps,3760,2017-01-06,hu,1yNyoWWWikbLhwIGWjZuDW
25,Alone,Alan Walker,3663,2017-01-06,hu,0JiVRyTJcJnmlwCZ854K4p
26,Starving,Hailee Steinfeld,3606,2017-01-06,hu,1qOLh0tI7trd1zdDKxYZTe
27,Treat You Better,Shawn Mendes,3577,2017-01-06,hu,4Hf7WnR761jpxPr5D46Bcd
28,Mercy,Shawn Mendes,3542,2017-01-06,hu,4TZy1wLyHec06pwgFYDh1a
29,Don't Let Me Down,The Chainsmokers,3444,2017-01-06,hu,0QsvXIfqM0zZoerQfsI9lm
30,Fake Love,Drake,3395,2017-01-06,hu,343YBumqHu19cGoGARUTsd
31,Shed a Light,Robin Schulz,3381,2017-01-06,hu,1cG0umU5TKStygKsPFZ9pY
32,One Dance,Drake,3307,2017-01-06,hu,1xznGGDReH1oQq0xzbwXa3
33,Bad Things (with Camila Cabello),Machine Gun Kelly,3301,2017-01-06,hu,1PSBzsahR2AKwLJgx8ehBj
34,The Mack,Nevada,3226,2017-01-06,hu,7aV2mflaASUmGhCErm7kBO
35,Love Me Now,John Legend,3205,2017-01-06,hu,6nxQdXa1uAL0rY72wPZu89
36,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,3168,2017-01-06,hu,17Fd6Yb7mSbinKG8LoWfFl
37,We Don't Talk Anymore,Charlie Puth,3127,2017-01-06,hu,68EMU2RD1ECNeOeJ5qAXCV
38,Chantaje (feat. Maluma),Shakira,3045,2017-01-06,hu,6mICuAdrwEjh6Y6lroV2Kg
39,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2988,2017-01-06,hu,6JV2JOEocMgcZxYSZelKcc
40,The Greatest (feat. Kendrick Lamar),Sia,2959,2017-01-06,hu,7xHWNBFm6ObGEQPaUxHuKO
41,By Your Side,Jonas Blue,2917,2017-01-06,hu,1D3ODoXHBLpdxolZRHWV1j
42,Hear Me Now,Alok,2830,2017-01-06,hu,1a5Yu5L18qNxVhXx38njON
43,I Would Like,Zara Larsson,2814,2017-01-06,hu,4Q4jmPHwu0wrJvqrld0FQ6
44,"How Far I'll Go - From ""Moana""",Alessia Cara,2727,2017-01-06,hu,5hYTyyh2odQKphUbMqc5gN
45,Stressed Out,Twenty One Pilots,2661,2017-01-06,hu,3CRDbSIZ4r5MsZ0YwxuEkn
46,Scars To Your Beautiful,Alessia Cara,2615,2017-01-06,hu,0prNGof3XqfTvNDxHonvdK
47,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2552,2017-01-06,hu,0L7loeTIg6akW84aEQZpCT
48,I Got You,Bebe Rexha,2494,2017-01-06,hu,1FUViuNSldssMIawrOXF2i
49,Faded,Alan Walker,2455,2017-01-06,hu,7gHs73wELdeycvS48JfIos
50,All Time Low,Jon Bellion,2446,2017-01-06,hu,1CnPYaKxTVb4LWOtiGOm0m
51,This Is What You Came For,Calvin Harris,2421,2017-01-06,hu,0azC730Exh71aQlOt9Zj3y
52,Lost on You,LP,2381,2017-01-06,hu,3SqvR3HYLlCTYzbDXJ52OC
53,Romantic - NOTD Remix,Stanaj,2281,2017-01-06,hu,3SGWp9fJCzgK0WcpcKSQdy
54,Don't Leave,Snakehips,2093,2017-01-06,hu,0Zx8khUcEfCFK2AEoIhC92
55,Solo Dance,Martin Jensen,2040,2017-01-06,hu,6HUnnBwYZqcED1eQztxMBN
56,Bad and Boujee (feat. Lil Uzi Vert),Migos,2033,2017-01-06,hu,4Km5HrUvYTaSUfiSGPJeQR
57,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2032,2017-01-06,hu,4dASQiO1Eoo3RJvt74FtXB
58,Move Your Body - Single Mix,Sia,1999,2017-01-06,hu,7ynCQo1KpBOyTdTdAnjSLZ
59,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1965,2017-01-06,hu,40UroIGvsMPLPBYwH8rMNA
60,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1954,2017-01-06,hu,4tCtwWceOPWzenK2HAIJSb
61,Photograph,Ed Sheeran,1812,2017-01-06,hu,6fxVffaTuwjgEk5h9QyRjy
62,Hymn for the Weekend - Seeb Remix,Coldplay,1785,2017-01-06,hu,1OAiWI2oPmglaOiv9fdioU
63,Panda,Desiigner,1782,2017-01-06,hu,5OOkp4U9P9oL23maHFHL1h
64,Weak,AJR,1775,2017-01-06,hu,3E2Zh20GDCR9B1EYjfXWyv
65,Fast Car,Jonas Blue,1746,2017-01-06,hu,6OZh916QF8XNunWaP97WEZ
66,Perfect Strangers,Jonas Blue,1737,2017-01-06,hu,1CUVN2kn7mW5FjkqXTR2W1
67,Final Song,MØ,1708,2017-01-06,hu,4qqArAiTPueDxIp7cf87h7
68,Setting Fires,The Chainsmokers,1685,2017-01-06,hu,0B8B8cVRFIG1yznoQe7c9s
69,Lot to Learn,Luke Christopher,1666,2017-01-06,hu,3TRFq09DUgYj1mug6RRqJW
70,"Me, Myself & I",G-Eazy,1658,2017-01-06,hu,40YcuQysJ0KlGQTeGUosTC
71,Drinkin' Too Much,Sam Hunt,1651,2017-01-06,hu,1PouCui4RgDYcrQVAqdYuf
72,The Greatest,Sia,1638,2017-01-06,hu,6bLopGnirdrilrpdVB6Um1
73,Ride,Twenty One Pilots,1617,2017-01-06,hu,2Z8WuEywRWYTKe1NybPQEW
74,Dynamite (feat. Pretty Sister),Nause,1605,2017-01-06,hu,2Ae5awwKvQpTBKQHr1TYCg
75,The Ocean (feat. Shy Martin),Mike Perry,1597,2017-01-06,hu,2CPqh63wRVscbceKcPxwvv
76,Lighthouse - Andrelli Remix,Hearts & Colors,1589,2017-01-06,hu,04CttTezSnv71USiiG9mIo
77,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1589,2017-01-06,hu,2wDjpPW3HZdA9quPPmZAMu
78,Sunset Lover,Petit Biscuit,1583,2017-01-06,hu,0hNduWmlWmEmuwEFcYvRu1
79,Capsize,FRENSHIP,1562,2017-01-06,hu,2XMTqoHHSH0lvuXrvIEdco
80,Broccoli (feat. Lil Yachty),DRAM,1533,2017-01-06,hu,7yyRTcZmCiyzzJlNzGC9Ol
81,7 Years,Lukas Graham,1525,2017-01-06,hu,7129iqBafaphfc3WPCGC0L
82,Don't Be So Shy - Filatov & Karas Remix,Imany,1522,2017-01-06,hu,00vk0sEfb6mr2ehwSw0Uhn
83,Sugar (feat. Francesco Yates),Robin Schulz,1515,2017-01-06,hu,5tf1VVWniHgryyumXyJM7w
84,Not Going Home,DVBBS,1514,2017-01-06,hu,042x9bsUBWW2fJgJ6fUh61
85,Sex,Cheat Codes,1510,2017-01-06,hu,5DA77EqppDmCTWGovd4oTP
86,Light,San Holo,1498,2017-01-06,hu,7zTx8ePYAmPFQuxP3xlXZn
87,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,1497,2017-01-06,hu,0tICYNayWWhH9GPeFrfjfD
88,Thinking out Loud,Ed Sheeran,1469,2017-01-06,hu,1Slwb6dOYkBlWal1PGtnNg
89,Lean On (feat. MØ & DJ Snake),Major Lazer,1456,2017-01-06,hu,4WjH9Bzt3kx7z8kl0awxh4
90,Say Something Loving,The xx,1454,2017-01-06,hu,728zbo72kOoYdGR3AhNsyF
91,Feel Me,Tyga,1449,2017-01-06,hu,2Cth0v1xri32oZ799rL3rl
92,DUELE EL CORAZON,Enrique Iglesias,1434,2017-01-06,hu,6YZdkObH88npeKrrkb8Ggf
93,Sofia,Alvaro Soler,1429,2017-01-06,hu,1VoHrSS3QQ6TbpabLrFiYb
94,Cake By The Ocean,DNCE,1412,2017-01-06,hu,2aFiaMXmWsM3Vj72F9ksBl
95,So Close,Andrew McMahon in the Wilderness,1401,2017-01-06,hu,4ggbSF8UUSSO0wM5SockJ2
96,Love Yourself,Justin Bieber,1388,2017-01-06,hu,3hB5DgAiMAQ4DzYbsMq1IT
97,Cool Girl,Tove Lo,1370,2017-01-06,hu,5dKyZWlgjWw1oJgLa4GCZD
98,Lush Life,Zara Larsson,1370,2017-01-06,hu,1rIKgCH4H52lrvDcz50hS8
99,Élnünk Kellett Volna,Halott Pénz,1355,2017-01-06,hu,361EamWYN312TFEpgNBDTE
100,Party Monster,The Weeknd,1320,2017-01-06,hu,4F7A0DXBrmUAkp32uenhZt
101,Ain't My Fault,Zara Larsson,1319,2017-01-06,hu,0ADG9OgdVTL7fgREP75BrZ
