Position,Track Name,Artist,Streams,date,region,spotify_id
1,Say You Won't Let Go,James Arthur,59934,2017-01-06,id,5uCax9HTNlzGybIStD3vDh
2,Closer (feat. Halsey),The Chainsmokers,55573,2017-01-06,id,7BKLCZ1jbUBVqRi2FVlTVw
3,All We Know,The Chainsmokers,49331,2017-01-06,id,2rizacJSyD9S1IQUxUxnsK
4,Don't Wanna Know,Maroon 5,44977,2017-01-06,id,5MFzQMkrl1FOOng9tq6R9r
5,Let Me Love You,DJ Snake,44642,2017-01-06,id,4pdPtRcBmOSQDlJ3Fk945m
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,44167,2017-01-06,id,3NdDpSvN911VPGivFlV5d0
7,Bad Things (with Camila Cabello),Machine Gun Kelly,41336,2017-01-06,id,1PSBzsahR2AKwLJgx8ehBj
8,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,38887,2017-01-06,id,5knuzwU65gJK7IF5yJsuaW
9,Starboy,The Weeknd,38675,2017-01-06,id,5aAx2yezTd8zXrkmtKl66Z
10,Starving,Hailee Steinfeld,37175,2017-01-06,id,1qOLh0tI7trd1zdDKxYZTe
11,Shape of You,Ed Sheeran,35657,2017-01-06,id,7qiZfU4dY1lWllzX7mPBI3
12,Alone,Alan Walker,35436,2017-01-06,id,0JiVRyTJcJnmlwCZ854K4p
13,24K Magic,Bruno Mars,35201,2017-01-06,id,6b8Be6ljOzmkOmFslEb23P
14,Side To Side,Ariana Grande,34690,2017-01-06,id,4pLwZjInHj3SimIyN9SnOz
15,Castle on the Hill,Ed Sheeran,34461,2017-01-06,id,6PCUP3dWmTjcTtXY02oFdT
16,Versace on the Floor,Bruno Mars,33283,2017-01-06,id,0kN8xEmgMW9mh7UmDYHlJP
17,Cold Water (feat. Justin Bieber & MØ),Major Lazer,32642,2017-01-06,id,6DNtNfH8hXkqOX1sjqmI7p
18,By Your Side,Jonas Blue,32566,2017-01-06,id,1D3ODoXHBLpdxolZRHWV1j
19,In the Name of Love,Martin Garrix,31772,2017-01-06,id,04DwTuZ2VBdJCCC5TROn7L
20,"How Far I'll Go - From ""Moana""",Alessia Cara,31627,2017-01-06,id,5hYTyyh2odQKphUbMqc5gN
21,Alone,Marshmello,30806,2017-01-06,id,12mGwph2YzDIlChtq3EdXP
