Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,137359,2017-01-06,ie,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,132419,2017-01-06,ie,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,29660,2017-01-06,ie,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,25046,2017-01-06,ie,5aAx2yezTd8zXrkmtKl66Z
5,Call On Me - Ryan Riback Extended Remix,Starley,23551,2017-01-06,ie,78rIJddV4X0HkNAInEcYde
6,Say You Won't Let Go,James Arthur,23160,2017-01-06,ie,5uCax9HTNlzGybIStD3vDh
7,Sexual,NEIKED,22702,2017-01-06,ie,3AsAuGTaDQzavZZThyYlop
8,All Night,The Vamps,22465,2017-01-06,ie,1yNyoWWWikbLhwIGWjZuDW
9,Touch,Little Mix,21753,2017-01-06,ie,5Ua3GXyHwiSfpNTMjq6m2z
10,Just Hold On,Steve Aoki,21566,2017-01-06,ie,3EmmCZoqpWOTY1g2GBwJoR
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,21564,2017-01-06,ie,3NdDpSvN911VPGivFlV5d0
12,Don't Wanna Know,Maroon 5,20616,2017-01-06,ie,5MFzQMkrl1FOOng9tq6R9r
13,I Would Like,Zara Larsson,20235,2017-01-06,ie,4Q4jmPHwu0wrJvqrld0FQ6
14,I Feel It Coming,The Weeknd,19135,2017-01-06,ie,5GXAXm5YOmYT0kL5jHvYBt
15,By Your Side,Jonas Blue,18792,2017-01-06,ie,1D3ODoXHBLpdxolZRHWV1j
16,Closer (feat. Halsey),The Chainsmokers,18775,2017-01-06,ie,7BKLCZ1jbUBVqRi2FVlTVw
17,The Mack,Nevada,17916,2017-01-06,ie,7aV2mflaASUmGhCErm7kBO
18,Now and Later,Sage The Gemini,17071,2017-01-06,ie,43jBqV3j3Xi1g6wO0bhIMd
19,Black Beatles,Rae Sremmurd,16881,2017-01-06,ie,6fujklziTHa8uoM5OQSfIo
20,24K Magic,Bruno Mars,16847,2017-01-06,ie,6b8Be6ljOzmkOmFslEb23P
21,Human,Rag'n'Bone Man,15825,2017-01-06,ie,58zsLZPvfflaiIbNWoA22O
22,One Dance,Drake,15692,2017-01-06,ie,1xznGGDReH1oQq0xzbwXa3
23,Love Me Now,John Legend,14846,2017-01-06,ie,6nxQdXa1uAL0rY72wPZu89
24,Side To Side,Ariana Grande,14505,2017-01-06,ie,4pLwZjInHj3SimIyN9SnOz
25,Let Me Love You,DJ Snake,14157,2017-01-06,ie,4pdPtRcBmOSQDlJ3Fk945m
26,Shout Out to My Ex,Little Mix,14028,2017-01-06,ie,0YHUITU3w6ws1v8ehT264g
27,Water Under the Bridge,Adele,13916,2017-01-06,ie,4vb4mFvYsr2h6enhjJsq9Y
28,Shed a Light,Robin Schulz,13807,2017-01-06,ie,1cG0umU5TKStygKsPFZ9pY
29,Fake Love,Drake,13661,2017-01-06,ie,343YBumqHu19cGoGARUTsd
30,Starving,Hailee Steinfeld,13226,2017-01-06,ie,1qOLh0tI7trd1zdDKxYZTe
31,Cold Water (feat. Justin Bieber & MØ),Major Lazer,13134,2017-01-06,ie,6DNtNfH8hXkqOX1sjqmI7p
32,"How Far I'll Go - From ""Moana""",Alessia Cara,13001,2017-01-06,ie,5hYTyyh2odQKphUbMqc5gN
33,The A Team,Ed Sheeran,12949,2017-01-06,ie,1VdZ0vKfR5jneCmWIUAMxK
34,Photograph,Ed Sheeran,12873,2017-01-06,ie,6fxVffaTuwjgEk5h9QyRjy
35,My Way,Calvin Harris,12868,2017-01-06,ie,1vvNmPOiUuyCbgWmtc6yfm
36,All We Know,The Chainsmokers,12787,2017-01-06,ie,2rizacJSyD9S1IQUxUxnsK
37,September Song,JP Cooper,12325,2017-01-06,ie,0FuTx2s3YH1ppmtiM6l0zI
38,Mercy,Shawn Mendes,12060,2017-01-06,ie,4TZy1wLyHec06pwgFYDh1a
39,You Don't Know Me - Radio Edit,Jax Jones,11955,2017-01-06,ie,00lNx0OcTJrS3MKHcB80HY
40,The Greatest (feat. Kendrick Lamar),Sia,11908,2017-01-06,ie,7xHWNBFm6ObGEQPaUxHuKO
41,Bad Things (with Camila Cabello),Machine Gun Kelly,11878,2017-01-06,ie,1PSBzsahR2AKwLJgx8ehBj
42,In the Name of Love,Martin Garrix,11872,2017-01-06,ie,04DwTuZ2VBdJCCC5TROn7L
43,Love on Me,Galantis,11696,2017-01-06,ie,2MHCiOohBZEQuLgDTPvSzF
44,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,11413,2017-01-06,ie,6JV2JOEocMgcZxYSZelKcc
45,Don't Let Me Down,The Chainsmokers,10592,2017-01-06,ie,0QsvXIfqM0zZoerQfsI9lm
46,Oh Lord,MiC LOWRY,10298,2017-01-06,ie,1sTUEdVO85YU8Ymk2jeAls
47,Don't Leave,Snakehips,10192,2017-01-06,ie,0Zx8khUcEfCFK2AEoIhC92
48,Treat You Better,Shawn Mendes,10102,2017-01-06,ie,4Hf7WnR761jpxPr5D46Bcd
49,After the Afterparty (feat. Lil Yachty),Charli XCX,10066,2017-01-06,ie,0y8Wf6ltWpGCpgqVa21QNX
50,Cheap Thrills,Sia,9998,2017-01-06,ie,27SdWb2rFzO6GWiYDBTD9j
51,Heathens,Twenty One Pilots,9639,2017-01-06,ie,6i0V12jOa3mr6uu4WYhUBr
52,Thinking out Loud,Ed Sheeran,9639,2017-01-06,ie,1Slwb6dOYkBlWal1PGtnNg
53,This Is What You Came For,Calvin Harris,9637,2017-01-06,ie,0azC730Exh71aQlOt9Zj3y
54,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,9401,2017-01-06,ie,17Fd6Yb7mSbinKG8LoWfFl
55,So Good,Louisa,8949,2017-01-06,ie,20js7QbHkIuzrgecUTPfl7
56,Don't,Ed Sheeran,8637,2017-01-06,ie,6gTJaPuj8DT8RjuDJyBgzP
57,Give Me Love,Ed Sheeran,8336,2017-01-06,ie,0SuG9kyzGRpDqrCWtgD6Lq
58,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,8017,2017-01-06,ie,3B7udSGy2PfgoCniMSb523
59,Tenerife Sea,Ed Sheeran,7877,2017-01-06,ie,6vSwxzO2Qf4BinHSXRwZJe
60,Say Something Loving,The xx,7858,2017-01-06,ie,728zbo72kOoYdGR3AhNsyF
61,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7699,2017-01-06,ie,4tCtwWceOPWzenK2HAIJSb
62,Rooting For You,London Grammar,7029,2017-01-06,ie,2nAAFnHiXRdWhsqoeqhhnr
63,Make Me (Cry),Noah Cyrus,6886,2017-01-06,ie,2BrzlUj1u1CtvaJDGIKpsP
64,You Want Me (feat. Sadie Ama),Tom Zanetti,6493,2017-01-06,ie,4xX7OsX8XTGWJgRxNNIaFT
65,Mr. Brightside,The Killers,6270,2017-01-06,ie,7oK9VyNzrYvRFo7nQEYkWN
66,One,Ed Sheeran,6207,2017-01-06,ie,0A2J5TumCpT4aJVvQHNEQW
67,Scars To Your Beautiful,Alessia Cara,6089,2017-01-06,ie,0prNGof3XqfTvNDxHonvdK
68,Sorry,Justin Bieber,6079,2017-01-06,ie,69bp2EbF7Q2rqc5N3ylezZ
69,I'm a Mess,Ed Sheeran,6045,2017-01-06,ie,3KiktyOxQd2Z0bmnabgRq2
70,Drunk,Ed Sheeran,5983,2017-01-06,ie,4RnCPWlBsY7oUDdyruod7Y
71,Kiss Me,Ed Sheeran,5983,2017-01-06,ie,0Tel1fmuCxEFV6wBLXsEdk
72,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,5937,2017-01-06,ie,0L7loeTIg6akW84aEQZpCT
73,Deja Vu,J. Cole,5910,2017-01-06,ie,6I6NX6tjGsxFAsIfGzY9lJ
74,Move Your Body - Single Mix,Sia,5879,2017-01-06,ie,7ynCQo1KpBOyTdTdAnjSLZ
75,Lay It All on Me,Rudimental,5864,2017-01-06,ie,0vbbhcA6okLzvsy6WSTlLg
76,Too Good,Drake,5818,2017-01-06,ie,11KJSRSgaDxqydKYiD2Jew
77,Oops,Little Mix,5813,2017-01-06,ie,37xcWhVKQ99uuiA5Y4yapi
78,Sing,Ed Sheeran,5799,2017-01-06,ie,6u0oHknFYrnUd42A6rvFly
79,Stronger,Kanye West,5756,2017-01-06,ie,6C7RJEIUDqKkJRZVWdkfkH
80,Would I Lie to You,John Gibbons,5745,2017-01-06,ie,6Zp0OnaLtS9AjtK1jeC930
81,No Lie,Sean Paul,5719,2017-01-06,ie,3cFsmM51N5zMAuu1nNY4Tw
82,Thinking 'Bout You,Dua Lipa,5451,2017-01-06,ie,0gtSPYz0OHoF7k09Auq1uC
83,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,5427,2017-01-06,ie,2wDjpPW3HZdA9quPPmZAMu
84,Bad and Boujee (feat. Lil Uzi Vert),Migos,5302,2017-01-06,ie,4Km5HrUvYTaSUfiSGPJeQR
85,Perfect Strangers,Jonas Blue,5200,2017-01-06,ie,1CUVN2kn7mW5FjkqXTR2W1
86,Dancing On My Own,Calum Scott,5184,2017-01-06,ie,02WacdrRpm4zlP8H7X6bnQ
87,Miss You,James Hersey,5179,2017-01-06,ie,7of1slAJIWrXxP8ikAHxje
88,We Don't Talk Anymore,Charlie Puth,5093,2017-01-06,ie,68EMU2RD1ECNeOeJ5qAXCV
89,Bloodstream,Ed Sheeran,5088,2017-01-06,ie,5mxTOMM0NiRud8VdBxbA2o
90,Alone,Alan Walker,5057,2017-01-06,ie,0JiVRyTJcJnmlwCZ854K4p
91,Cake By The Ocean,DNCE,5008,2017-01-06,ie,2aFiaMXmWsM3Vj72F9ksBl
92,Into You,Ariana Grande,4902,2017-01-06,ie,7yHEDfrJNd0zWOfXwydNH0
93,Should've Been Me,Naughty Boy,4786,2017-01-06,ie,4aiLpwwZw5Ek9KkBMnt6Zu
94,Find Me,Sigma,4752,2017-01-06,ie,2Wr970IfovsSGnfkE08iMF
95,Feel Me,Tyga,4740,2017-01-06,ie,2Cth0v1xri32oZ799rL3rl
96,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,4708,2017-01-06,ie,3bidbhpOYeV4knp8AIu8Xn
97,Solo Dance,Martin Jensen,4655,2017-01-06,ie,6HUnnBwYZqcED1eQztxMBN
98,What You Know,Two Door Cinema Club,4602,2017-01-06,ie,6jrMVRReY24qzCfe1BRrww
99,Love Yourself,Justin Bieber,4601,2017-01-06,ie,3hB5DgAiMAQ4DzYbsMq1IT
100,Small Bump,Ed Sheeran,4574,2017-01-06,ie,4z1O25cq9g2kuJemmUxc21
101,This Town,Niall Horan,4569,2017-01-06,ie,5nA67Y0XX9JipZwYxX7Gl7
102,Controlla,Drake,4567,2017-01-06,ie,6F609ICg9Spjrw1epsAnpa
103,Ain't My Fault,Zara Larsson,4493,2017-01-06,ie,0ADG9OgdVTL7fgREP75BrZ
104,I Got You,Bebe Rexha,4483,2017-01-06,ie,1FUViuNSldssMIawrOXF2i
105,Love$ick,Mura Masa,4465,2017-01-06,ie,5v9N8Rx3QsFvr50cxyQcA3
106,Take My Hand,Picture This,4459,2017-01-06,ie,06KH78mmsvESwUgJzdNOEc
107,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,4450,2017-01-06,ie,0tICYNayWWhH9GPeFrfjfD
108,Girls Like (feat. Zara Larsson),Tinie Tempah,4430,2017-01-06,ie,5BOZ4skcMubA0R6RD4zf64
109,Everglow,Coldplay,4419,2017-01-06,ie,6aG68QSwv0hgNTq90I2GOE
110,Blow Your Mind (Mwah),Dua Lipa,4381,2017-01-06,ie,2eAAEa8pxKF7My0EO4rFgR
111,Ignition - Remix,R. Kelly,4354,2017-01-06,ie,5dNfHmqgr128gMY2tc5CeJ
112,Only One - Radio Edit,Sigala,4328,2017-01-06,ie,5ev0Z2lFzmhjlQCWpRAWiG
113,Adventure of a Lifetime,Coldplay,4309,2017-01-06,ie,69uxyAqqPIsUyTO8txoP2M
114,Fresh Eyes,Andy Grammer,4299,2017-01-06,ie,4nMlau89VAjmV7agkl7OY3
115,Chantaje (feat. Maluma),Shakira,4297,2017-01-06,ie,6mICuAdrwEjh6Y6lroV2Kg
116,7 Years,Lukas Graham,4284,2017-01-06,ie,7129iqBafaphfc3WPCGC0L
117,Party Monster,The Weeknd,4280,2017-01-06,ie,4F7A0DXBrmUAkp32uenhZt
118,Can't Stop,Red Hot Chili Peppers,4270,2017-01-06,ie,3ZOEytgrvLwQaqXreDs2Jx
119,The Greatest,Sia,4249,2017-01-06,ie,6bLopGnirdrilrpdVB6Um1
120,Final Song,MØ,4176,2017-01-06,ie,4qqArAiTPueDxIp7cf87h7
121,Lego House,Ed Sheeran,4158,2017-01-06,ie,53Pgsvu3qSYO2aXt5J2vcL
122,Broccoli (feat. Lil Yachty),DRAM,4144,2017-01-06,ie,7yyRTcZmCiyzzJlNzGC9Ol
123,Sunset Lover,Petit Biscuit,4102,2017-01-06,ie,0hNduWmlWmEmuwEFcYvRu1
124,Lush Life,Zara Larsson,4084,2017-01-06,ie,1rIKgCH4H52lrvDcz50hS8
125,Redbone,Childish Gambino,4040,2017-01-06,ie,3kxfsdsCpFgN412fpnW85Y
126,Hear Me Now,Alok,4037,2017-01-06,ie,1a5Yu5L18qNxVhXx38njON
127,Fluorescent Adolescent,Arctic Monkeys,3999,2017-01-06,ie,7e8utCy2JlSB8dRHKi49xM
128,That's My Girl,Fifth Harmony,3951,2017-01-06,ie,2ACOWPLUe4A4KuQ5ioD2od
129,Let It Go,James Bay,3914,2017-01-06,ie,13HVjjWUZFaWilh2QUJKsP
130,Stressed Out,Twenty One Pilots,3888,2017-01-06,ie,3CRDbSIZ4r5MsZ0YwxuEkn
131,"You Need Me, I Don't Need You",Ed Sheeran,3878,2017-01-06,ie,5KL4iZkCTZyXl7KnHgfVDj
132,Dancing in the Moonlight,Toploader,3859,2017-01-06,ie,3Fzlg5r1IjhLk2qRw667od
133,She's So Lovely,Scouting For Girls,3851,2017-01-06,ie,0JpxNq2SYwPt2uSqdcSvyQ
134,Deep Relief,Sundara Karma,3797,2017-01-06,ie,0II91KemukvLqsZOyRHoHz
135,"i hate u, i love u (feat. olivia o'brien)",gnash,3787,2017-01-06,ie,7vRriwrloYVaoAe3a9wJHe
136,Capsize,FRENSHIP,3777,2017-01-06,ie,2XMTqoHHSH0lvuXrvIEdco
137,Setting Fires,The Chainsmokers,3724,2017-01-06,ie,0B8B8cVRFIG1yznoQe7c9s
138,Send My Love (To Your New Lover),Adele,3722,2017-01-06,ie,4BHzQ9C00ceJxfG16AlNWb
