Position,Track Name,Artist,Streams,date,region,spotify_id
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,7656,2018-12-14,il,4w8niZpiMy6qz1mntFA5uM
2,"thank u, next",Ariana Grande,7090,2018-12-14,il,2rPE9A1vEgShuZxxzR2tZH
3,רחוק מכולם,Omer Adam,7046,2018-12-14,il,2ut3zQxLTnkUwVckocuNPM
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,6461,2018-12-14,il,1A6OTy97kk0mMdm78rHsm8
5,קירות,Itay Levi,5451,2018-12-14,il,1UM18grarSYZwgeEFjqM4y
6,Without Me,Halsey,5367,2018-12-14,il,5p7ujcrUXASCNwRaWNHR1C
7,שני משוגעים,Omer Adam,5302,2018-12-14,il,1EbUjcgx4c1tLHdqC6eHJd
8,Lucid Dreams,Juice WRLD,5209,2018-12-14,il,285pBltuF7vW8TeWk8hdRR
9,Bohemian Rhapsody - 2011 Mix,Queen,5161,2018-12-14,il,7tFiyTwD0nx5a1eklYtX2J
10,Happier,Marshmello,5102,2018-12-14,il,2dpaYNEQHiRxtZbfNsse99
11,ZEZE (feat. Travis Scott & Offset),Kodak Black,4924,2018-12-14,il,0FZ4Dmg8jJJAPJnvBIzD9z
12,imagine,Ariana Grande,4772,2018-12-14,il,0todbbT9g5uQGbeFCiBf2F
13,באתי לחלום,Nathan Goshen,4771,2018-12-14,il,1sHem1v7PIOjYX7vQlTGrF
14,SICKO MODE,Travis Scott,4636,2018-12-14,il,2xLMifQCjDGFmkHkpNLD9h
15,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,4484,2018-12-14,il,2LskIZrCeLxRvCiGP8gxlh
16,Going Bad (feat. Drake),Meek Mill,4391,2018-12-14,il,2IRZnDFmlqMuOrYOLnZZyc
17,Girls Like You (feat. Cardi B),Maroon 5,4353,2018-12-14,il,7fa9MBXhVfQ8P8Df9OEbD8
18,שיכורים,Eden Hason,4172,2018-12-14,il,5EG4ur1MYuX1ZRirNaE4hv
19,MIA (feat. Drake),Bad Bunny,4112,2018-12-14,il,116H0KvKr2Zl4RPuVBruDO
20,ברגעים שאת הולכת,Osher Cohen,4087,2018-12-14,il,3YB8nipMIp5h5iXM23JvEx
21,צבעים,Gil Vain,3973,2018-12-14,il,2OJS0hRtiTOh51SEDJWLlm
22,אוהבת אותי אמיתי,Omer Adam,3858,2018-12-14,il,7suO6u1sJuNnkLpBTWmYjX
23,Shallow,Lady Gaga,3787,2018-12-14,il,2VxeLyX666F8uXCJ0dZF8B
24,מאושרת בלעדיי,Omer Adam,3754,2018-12-14,il,09roOr1UoQyjS3OSi9yyic
25,Mo Bamba,Sheck Wes,3625,2018-12-14,il,1xzBco0xcoJEDXktl7Jxrr
26,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,3613,2018-12-14,il,27rdGxbavYJeBphck5MZAF
27,Youngblood,5 Seconds of Summer,3607,2018-12-14,il,2iUXsYOEPhVqEBwsqP70rE
28,לשוב הביתה,Ishay Ribo,3548,2018-12-14,il,52n4gF126eIllrGuc9Zus6
29,In My Mind,Dynoro,3493,2018-12-14,il,0E9ZjEAyAwOXZ7wJC0PD33
30,Better Now,Post Malone,3469,2018-12-14,il,7dt6x5M1jzdTEt8oCbisTK
31,FRIENDS,Marshmello,3451,2018-12-14,il,08bNPGLD8AhKpnnERrAc6G
32,Lucky You (feat. Joyner Lucas),Eminem,3404,2018-12-14,il,60SdxE8apGAxMiRrpbmLY0
33,שמישהו יעצור אותי,Eden Hason,3400,2018-12-14,il,3PcBjhdSmzxWilw6ok3XFV
34,SAD!,XXXTENTACION,3391,2018-12-14,il,3ee8Jmje8o58CHK66QrVC2
35,Genius,Sia,3384,2018-12-14,il,3qGDwGqdyFq3faUU4BmhdY
36,IDGAF,Dua Lipa,3344,2018-12-14,il,76cy1WJvNGJTj78UqeA5zr
