Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,6673,2017-01-06,is,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,5857,2017-01-06,is,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,4388,2017-01-06,is,5aAx2yezTd8zXrkmtKl66Z
4,I Feel It Coming,The Weeknd,3551,2017-01-06,is,5GXAXm5YOmYT0kL5jHvYBt
5,Say You Won't Let Go,James Arthur,3530,2017-01-06,is,5uCax9HTNlzGybIStD3vDh
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3483,2017-01-06,is,3NdDpSvN911VPGivFlV5d0
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3452,2017-01-06,is,5knuzwU65gJK7IF5yJsuaW
8,Bad and Boujee (feat. Lil Uzi Vert),Migos,3064,2017-01-06,is,4Km5HrUvYTaSUfiSGPJeQR
9,Fake Love,Drake,3039,2017-01-06,is,343YBumqHu19cGoGARUTsd
10,Let Me Love You,DJ Snake,2656,2017-01-06,is,4pdPtRcBmOSQDlJ3Fk945m
11,Call On Me - Ryan Riback Extended Remix,Starley,2600,2017-01-06,is,78rIJddV4X0HkNAInEcYde
12,Lítur vel út,Aron Can,2582,2017-01-06,is,39jfJXs2uYHmpU3zotxEkj
13,Black Beatles,Rae Sremmurd,2548,2017-01-06,is,6fujklziTHa8uoM5OQSfIo
14,Fröken Reykjavík,Friðrik Dór,2545,2017-01-06,is,6YmjtvXrdpD1VUUW5hznQp
15,Silfurskotta,Emmsjé Gauti,2463,2017-01-06,is,7LyQvc6mjRxBS5XRC0bTHV
16,Don't Wanna Know,Maroon 5,2453,2017-01-06,is,5MFzQMkrl1FOOng9tq6R9r
17,Svona er þetta,Emmsjé Gauti,2442,2017-01-06,is,1Lj3IxnXEMEULqW400cjio
