Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,139989,2017-01-06,it,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,125192,2017-01-06,it,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,100518,2017-01-06,it,5knuzwU65gJK7IF5yJsuaW
4,Closer (feat. Halsey),The Chainsmokers,70378,2017-01-06,it,7BKLCZ1jbUBVqRi2FVlTVw
5,Let Me Love You,DJ Snake,65656,2017-01-06,it,4pdPtRcBmOSQDlJ3Fk945m
6,Tutto Molto Interessante,Fabio Rovazzi,64455,2017-01-06,it,5lyTvBqxtjyPray48fCWgj
7,Assenzio,J-AX,63375,2017-01-06,it,0DRKnh0BloxJHyhXkfbiX8
8,Human,Rag'n'Bone Man,61340,2017-01-06,it,58zsLZPvfflaiIbNWoA22O
9,Don't Wanna Know,Maroon 5,59733,2017-01-06,it,5MFzQMkrl1FOOng9tq6R9r
10,Starboy,The Weeknd,55054,2017-01-06,it,5aAx2yezTd8zXrkmtKl66Z
11,Chantaje (feat. Maluma),Shakira,53194,2017-01-06,it,6mICuAdrwEjh6Y6lroV2Kg
12,In the Name of Love,Martin Garrix,50493,2017-01-06,it,04DwTuZ2VBdJCCC5TROn7L
13,Say You Won't Let Go,James Arthur,45634,2017-01-06,it,5uCax9HTNlzGybIStD3vDh
14,Ulisse,lowlow,44732,2017-01-06,it,0QvhWAa8Xxia8Efct2rv7x
15,My Way,Calvin Harris,44674,2017-01-06,it,1vvNmPOiUuyCbgWmtc6yfm
16,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,42706,2017-01-06,it,3NdDpSvN911VPGivFlV5d0
17,Cold Water (feat. Justin Bieber & MØ),Major Lazer,42567,2017-01-06,it,6DNtNfH8hXkqOX1sjqmI7p
18,One Dance,Drake,42099,2017-01-06,it,1xznGGDReH1oQq0xzbwXa3
19,Just Hold On,Steve Aoki,42031,2017-01-06,it,3EmmCZoqpWOTY1g2GBwJoR
20,Mercy,Shawn Mendes,41983,2017-01-06,it,4TZy1wLyHec06pwgFYDh1a
21,Call On Me - Ryan Riback Extended Remix,Starley,41065,2017-01-06,it,78rIJddV4X0HkNAInEcYde
22,Ninna Nanna,Ghali,40417,2017-01-06,it,3mUTbkV7xoVpoc4BWrGtlG
23,Don't Let Me Down,The Chainsmokers,40096,2017-01-06,it,0QsvXIfqM0zZoerQfsI9lm
24,24K Magic,Bruno Mars,39980,2017-01-06,it,6b8Be6ljOzmkOmFslEb23P
25,I Feel It Coming,The Weeknd,38952,2017-01-06,it,5GXAXm5YOmYT0kL5jHvYBt
26,Treat You Better,Shawn Mendes,37974,2017-01-06,it,4Hf7WnR761jpxPr5D46Bcd
27,The Greatest (feat. Kendrick Lamar),Sia,36803,2017-01-06,it,7xHWNBFm6ObGEQPaUxHuKO
28,All We Know,The Chainsmokers,35863,2017-01-06,it,2rizacJSyD9S1IQUxUxnsK
29,Scars To Your Beautiful,Alessia Cara,35744,2017-01-06,it,0prNGof3XqfTvNDxHonvdK
30,Cheap Thrills,Sia,35638,2017-01-06,it,27SdWb2rFzO6GWiYDBTD9j
31,We Don't Talk Anymore,Charlie Puth,34262,2017-01-06,it,68EMU2RD1ECNeOeJ5qAXCV
32,Lot to Learn,Luke Christopher,33865,2017-01-06,it,3TRFq09DUgYj1mug6RRqJW
33,Love Me Now,John Legend,33676,2017-01-06,it,6nxQdXa1uAL0rY72wPZu89
34,Shed a Light,Robin Schulz,32905,2017-01-06,it,1cG0umU5TKStygKsPFZ9pY
35,Black Beatles,Rae Sremmurd,32250,2017-01-06,it,6fujklziTHa8uoM5OQSfIo
36,Il sentiero dei nidi di ragno,lowlow,32196,2017-01-06,it,5KzPjeBtY5HAP5vVslpGDz
37,Heathens,Twenty One Pilots,31760,2017-01-06,it,6i0V12jOa3mr6uu4WYhUBr
38,Alone,Alan Walker,31730,2017-01-06,it,0JiVRyTJcJnmlwCZ854K4p
39,By Your Side,Jonas Blue,30656,2017-01-06,it,1D3ODoXHBLpdxolZRHWV1j
40,"i hate u, i love u (feat. olivia o'brien)",gnash,30492,2017-01-06,it,7vRriwrloYVaoAe3a9wJHe
41,Million Reasons,Lady Gaga,30454,2017-01-06,it,50PWlIBU7PlGGwzgN8TiFJ
42,Safari,J Balvin,29721,2017-01-06,it,6rQSrBHf7HlZjtcMZ4S4bO
43,All Night,The Vamps,29120,2017-01-06,it,1yNyoWWWikbLhwIGWjZuDW
44,Potremmo Ritornare,Tiziano Ferro,29110,2017-01-06,it,09DHBzgLgBFgV3lPeVpxV3
45,Side To Side,Ariana Grande,29099,2017-01-06,it,4pLwZjInHj3SimIyN9SnOz
46,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,29071,2017-01-06,it,17Fd6Yb7mSbinKG8LoWfFl
47,Bad Things (with Camila Cabello),Machine Gun Kelly,28309,2017-01-06,it,1PSBzsahR2AKwLJgx8ehBj
48,The Mack,Nevada,28226,2017-01-06,it,7aV2mflaASUmGhCErm7kBO
49,What U Do to Me,Roshelle,27779,2017-01-06,it,2mrNcVSW5DQaqKB1aZFCw8
50,Starving,Hailee Steinfeld,27151,2017-01-06,it,1qOLh0tI7trd1zdDKxYZTe
51,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,25912,2017-01-06,it,6JV2JOEocMgcZxYSZelKcc
52,Lost on You,LP,24636,2017-01-06,it,3SqvR3HYLlCTYzbDXJ52OC
53,Photograph,Ed Sheeran,23535,2017-01-06,it,6fxVffaTuwjgEk5h9QyRjy
54,New Dawns,Gaia,22613,2017-01-06,it,6Lb37KLW5QLATVZzRbzfBK
55,Hear Me Now,Alok,20879,2017-01-06,it,1a5Yu5L18qNxVhXx38njON
56,Fake Love,Drake,20500,2017-01-06,it,343YBumqHu19cGoGARUTsd
