Position,Track Name,Artist,Streams,date,region,spotify_id
1,Closer (feat. Halsey),The Chainsmokers,8189,2017-01-06,jp,7BKLCZ1jbUBVqRi2FVlTVw
2,Let Me Love You,DJ Snake,6798,2017-01-06,jp,4pdPtRcBmOSQDlJ3Fk945m
3,Don't Wanna Know,Maroon 5,6573,2017-01-06,jp,5MFzQMkrl1FOOng9tq6R9r
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6160,2017-01-06,jp,3NdDpSvN911VPGivFlV5d0
5,24K Magic,Bruno Mars,5945,2017-01-06,jp,6b8Be6ljOzmkOmFslEb23P
6,Starboy,The Weeknd,5870,2017-01-06,jp,5aAx2yezTd8zXrkmtKl66Z
7,I Feel It Coming,The Weeknd,5775,2017-01-06,jp,5GXAXm5YOmYT0kL5jHvYBt
8,Call On Me - Ryan Riback Extended Remix,Starley,5687,2017-01-06,jp,78rIJddV4X0HkNAInEcYde
9,Just Hold On,Steve Aoki,5466,2017-01-06,jp,3EmmCZoqpWOTY1g2GBwJoR
10,Cold Water (feat. Justin Bieber & MØ),Major Lazer,5231,2017-01-06,jp,6DNtNfH8hXkqOX1sjqmI7p
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5052,2017-01-06,jp,5knuzwU65gJK7IF5yJsuaW
12,Say You Won't Let Go,James Arthur,5037,2017-01-06,jp,5uCax9HTNlzGybIStD3vDh
13,My Boo,Shota Shimizu,4808,2017-01-06,jp,2gasr6aemUqZIBBN05EO03
14,All We Know,The Chainsmokers,4792,2017-01-06,jp,2rizacJSyD9S1IQUxUxnsK
15,Side To Side,Ariana Grande,4739,2017-01-06,jp,4pLwZjInHj3SimIyN9SnOz
16,Bad Things (with Camila Cabello),Machine Gun Kelly,4684,2017-01-06,jp,1PSBzsahR2AKwLJgx8ehBj
17,In the Name of Love,Martin Garrix,4683,2017-01-06,jp,04DwTuZ2VBdJCCC5TROn7L
18,Shape of You,Ed Sheeran,4639,2017-01-06,jp,7qiZfU4dY1lWllzX7mPBI3
19,Shed a Light,Robin Schulz,4454,2017-01-06,jp,1cG0umU5TKStygKsPFZ9pY
20,By Your Side,Jonas Blue,4390,2017-01-06,jp,1D3ODoXHBLpdxolZRHWV1j
21,Castle on the Hill,Ed Sheeran,4354,2017-01-06,jp,6PCUP3dWmTjcTtXY02oFdT
22,The Mack,Nevada,4273,2017-01-06,jp,7aV2mflaASUmGhCErm7kBO
23,Starving,Hailee Steinfeld,4234,2017-01-06,jp,1qOLh0tI7trd1zdDKxYZTe
24,Love Me Now,John Legend,4153,2017-01-06,jp,6nxQdXa1uAL0rY72wPZu89
25,Don't Let Me Down,The Chainsmokers,4032,2017-01-06,jp,0QsvXIfqM0zZoerQfsI9lm
26,All Night,The Vamps,3925,2017-01-06,jp,1yNyoWWWikbLhwIGWjZuDW
27,なんでもないや - movie ver.,Mone Kamishiraishi,3921,2017-01-06,jp,59pUIlXjQupbiYwt40uUTi
28,We Don't Talk Anymore,Charlie Puth,3902,2017-01-06,jp,68EMU2RD1ECNeOeJ5qAXCV
29,Fake Love,Drake,3880,2017-01-06,jp,343YBumqHu19cGoGARUTsd
30,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,3842,2017-01-06,jp,6JV2JOEocMgcZxYSZelKcc
31,Wherever you are,ONE OK ROCK,3806,2017-01-06,jp,0YAMQSmHk6BSUGTYpaoqTJ
32,I Would Like,Zara Larsson,3786,2017-01-06,jp,4Q4jmPHwu0wrJvqrld0FQ6
33,One Dance,Drake,3753,2017-01-06,jp,1xznGGDReH1oQq0xzbwXa3
34,Treat You Better,Shawn Mendes,3731,2017-01-06,jp,4Hf7WnR761jpxPr5D46Bcd
35,This Is What You Came For,Calvin Harris,3702,2017-01-06,jp,0azC730Exh71aQlOt9Zj3y
