Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,6731,2017-01-06,lt,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,5085,2017-01-06,lt,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3144,2017-01-06,lt,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,3121,2017-01-06,lt,5aAx2yezTd8zXrkmtKl66Z
5,I Feel It Coming,The Weeknd,2953,2017-01-06,lt,5GXAXm5YOmYT0kL5jHvYBt
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2591,2017-01-06,lt,5knuzwU65gJK7IF5yJsuaW
7,Call On Me - Ryan Riback Extended Remix,Starley,2381,2017-01-06,lt,78rIJddV4X0HkNAInEcYde
8,Don't Wanna Know,Maroon 5,2089,2017-01-06,lt,5MFzQMkrl1FOOng9tq6R9r
9,Closer (feat. Halsey),The Chainsmokers,2020,2017-01-06,lt,7BKLCZ1jbUBVqRi2FVlTVw
10,Let Me Love You,DJ Snake,1817,2017-01-06,lt,4pdPtRcBmOSQDlJ3Fk945m
11,Say You Won't Let Go,James Arthur,1738,2017-01-06,lt,5uCax9HTNlzGybIStD3vDh
12,Just Hold On,Steve Aoki,1730,2017-01-06,lt,3EmmCZoqpWOTY1g2GBwJoR
13,Fake Love,Drake,1719,2017-01-06,lt,343YBumqHu19cGoGARUTsd
14,All We Know,The Chainsmokers,1712,2017-01-06,lt,2rizacJSyD9S1IQUxUxnsK
15,Black Beatles,Rae Sremmurd,1684,2017-01-06,lt,6fujklziTHa8uoM5OQSfIo
16,All Night,The Vamps,1622,2017-01-06,lt,1yNyoWWWikbLhwIGWjZuDW
17,Hear Me Now,Alok,1563,2017-01-06,lt,1a5Yu5L18qNxVhXx38njON
18,Bad Things (with Camila Cabello),Machine Gun Kelly,1537,2017-01-06,lt,1PSBzsahR2AKwLJgx8ehBj
19,Now and Later,Sage The Gemini,1447,2017-01-06,lt,43jBqV3j3Xi1g6wO0bhIMd
20,In the Name of Love,Martin Garrix,1445,2017-01-06,lt,04DwTuZ2VBdJCCC5TROn7L
21,Tuesday,Burak Yeter,1429,2017-01-06,lt,7abpmGpF7PGep2rDU68GBR
22,Love Me Now,John Legend,1401,2017-01-06,lt,6nxQdXa1uAL0rY72wPZu89
23,Alone,Alan Walker,1366,2017-01-06,lt,0JiVRyTJcJnmlwCZ854K4p
24,One Dance,Drake,1323,2017-01-06,lt,1xznGGDReH1oQq0xzbwXa3
25,"How Far I'll Go - From ""Moana""",Alessia Cara,1319,2017-01-06,lt,5hYTyyh2odQKphUbMqc5gN
26,Shed a Light,Robin Schulz,1318,2017-01-06,lt,1cG0umU5TKStygKsPFZ9pY
27,I Would Like,Zara Larsson,1309,2017-01-06,lt,4Q4jmPHwu0wrJvqrld0FQ6
28,The Mack,Nevada,1307,2017-01-06,lt,7aV2mflaASUmGhCErm7kBO
29,By Your Side,Jonas Blue,1291,2017-01-06,lt,1D3ODoXHBLpdxolZRHWV1j
30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1274,2017-01-06,lt,40UroIGvsMPLPBYwH8rMNA
31,My Way,Calvin Harris,1271,2017-01-06,lt,1vvNmPOiUuyCbgWmtc6yfm
32,Sunset Lover,Petit Biscuit,1255,2017-01-06,lt,0hNduWmlWmEmuwEFcYvRu1
33,Starving,Hailee Steinfeld,1248,2017-01-06,lt,1qOLh0tI7trd1zdDKxYZTe
34,Chantaje (feat. Maluma),Shakira,1247,2017-01-06,lt,6mICuAdrwEjh6Y6lroV2Kg
35,Weak,AJR,1222,2017-01-06,lt,3E2Zh20GDCR9B1EYjfXWyv
36,Romantic - NOTD Remix,Stanaj,1217,2017-01-06,lt,3SGWp9fJCzgK0WcpcKSQdy
37,24K Magic,Bruno Mars,1204,2017-01-06,lt,6b8Be6ljOzmkOmFslEb23P
38,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1202,2017-01-06,lt,2wDjpPW3HZdA9quPPmZAMu
39,Heathens,Twenty One Pilots,1180,2017-01-06,lt,6i0V12jOa3mr6uu4WYhUBr
40,Solo Dance,Martin Jensen,1179,2017-01-06,lt,6HUnnBwYZqcED1eQztxMBN
41,Mercy,Shawn Mendes,1170,2017-01-06,lt,4TZy1wLyHec06pwgFYDh1a
42,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1169,2017-01-06,lt,6DNtNfH8hXkqOX1sjqmI7p
43,All Time Low,Jon Bellion,1168,2017-01-06,lt,1CnPYaKxTVb4LWOtiGOm0m
44,Side To Side,Ariana Grande,1095,2017-01-06,lt,4pLwZjInHj3SimIyN9SnOz
45,Scars To Your Beautiful,Alessia Cara,1069,2017-01-06,lt,0prNGof3XqfTvNDxHonvdK
