Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,2259,2017-01-06,lu,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1947,2017-01-06,lu,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,1385,2017-01-06,lu,5aAx2yezTd8zXrkmtKl66Z
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1371,2017-01-06,lu,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1222,2017-01-06,lu,3NdDpSvN911VPGivFlV5d0
6,Call On Me - Ryan Riback Extended Remix,Starley,1119,2017-01-06,lu,78rIJddV4X0HkNAInEcYde
7,Let Me Love You,DJ Snake,1088,2017-01-06,lu,4pdPtRcBmOSQDlJ3Fk945m
8,Closer (feat. Halsey),The Chainsmokers,1082,2017-01-06,lu,7BKLCZ1jbUBVqRi2FVlTVw
9,Don't Wanna Know,Maroon 5,1042,2017-01-06,lu,5MFzQMkrl1FOOng9tq6R9r
10,Say You Won't Let Go,James Arthur,1040,2017-01-06,lu,5uCax9HTNlzGybIStD3vDh
11,I Feel It Coming,The Weeknd,1030,2017-01-06,lu,5GXAXm5YOmYT0kL5jHvYBt
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3113,2017-01-13,lu,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1593,2017-01-13,lu,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1503,2017-01-13,lu,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,1500,2017-01-13,lu,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1462,2017-01-13,lu,3NdDpSvN911VPGivFlV5d0
6,Call On Me - Ryan Riback Extended Remix,Starley,1318,2017-01-13,lu,78rIJddV4X0HkNAInEcYde
7,I Feel It Coming,The Weeknd,1166,2017-01-13,lu,5GXAXm5YOmYT0kL5jHvYBt
8,Say You Won't Let Go,James Arthur,1133,2017-01-13,lu,5uCax9HTNlzGybIStD3vDh
9,Don't Wanna Know,Maroon 5,1091,2017-01-13,lu,5MFzQMkrl1FOOng9tq6R9r
10,Closer (feat. Halsey),The Chainsmokers,1067,2017-01-13,lu,7BKLCZ1jbUBVqRi2FVlTVw
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3280,2017-01-20,lu,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,1775,2017-01-20,lu,72jbDTw1piOOj770jWNeaG
3,Starboy,The Weeknd,1425,2017-01-20,lu,5aAx2yezTd8zXrkmtKl66Z
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1406,2017-01-20,lu,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1386,2017-01-20,lu,3NdDpSvN911VPGivFlV5d0
6,Castle on the Hill,Ed Sheeran,1373,2017-01-20,lu,6PCUP3dWmTjcTtXY02oFdT
7,Call On Me - Ryan Riback Extended Remix,Starley,1231,2017-01-20,lu,78rIJddV4X0HkNAInEcYde
8,I Feel It Coming,The Weeknd,1126,2017-01-20,lu,5GXAXm5YOmYT0kL5jHvYBt
9,Say You Won't Let Go,James Arthur,1105,2017-01-20,lu,5uCax9HTNlzGybIStD3vDh
10,Closer (feat. Halsey),The Chainsmokers,1051,2017-01-20,lu,7BKLCZ1jbUBVqRi2FVlTVw
11,Don't Wanna Know,Maroon 5,1047,2017-01-20,lu,5MFzQMkrl1FOOng9tq6R9r
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3883,2017-01-27,lu,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,1801,2017-01-27,lu,72jbDTw1piOOj770jWNeaG
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1564,2017-01-27,lu,3NdDpSvN911VPGivFlV5d0
4,Castle on the Hill,Ed Sheeran,1509,2017-01-27,lu,6PCUP3dWmTjcTtXY02oFdT
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1491,2017-01-27,lu,5knuzwU65gJK7IF5yJsuaW
6,Call On Me - Ryan Riback Extended Remix,Starley,1357,2017-01-27,lu,78rIJddV4X0HkNAInEcYde
7,Starboy,The Weeknd,1261,2017-01-27,lu,5aAx2yezTd8zXrkmtKl66Z
8,Say You Won't Let Go,James Arthur,1089,2017-01-27,lu,5uCax9HTNlzGybIStD3vDh
9,I Feel It Coming,The Weeknd,1061,2017-01-27,lu,5GXAXm5YOmYT0kL5jHvYBt
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3977,2017-02-03,lu,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,1862,2017-02-03,lu,72jbDTw1piOOj770jWNeaG
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1622,2017-02-03,lu,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1459,2017-02-03,lu,5knuzwU65gJK7IF5yJsuaW
5,Call On Me - Ryan Riback Extended Remix,Starley,1424,2017-02-03,lu,78rIJddV4X0HkNAInEcYde
6,Scared to Be Lonely,Martin Garrix,1381,2017-02-03,lu,3ebXMykcMXOcLeJ9xZ17XH
7,Castle on the Hill,Ed Sheeran,1359,2017-02-03,lu,6PCUP3dWmTjcTtXY02oFdT
8,Starboy,The Weeknd,1188,2017-02-03,lu,5aAx2yezTd8zXrkmtKl66Z
9,Say You Won't Let Go,James Arthur,1111,2017-02-03,lu,5uCax9HTNlzGybIStD3vDh
10,I Feel It Coming,The Weeknd,1055,2017-02-03,lu,5GXAXm5YOmYT0kL5jHvYBt
11,Bad and Boujee (feat. Lil Uzi Vert),Migos,1050,2017-02-03,lu,4Km5HrUvYTaSUfiSGPJeQR
12,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1022,2017-02-03,lu,0fg8CqpjdojMyXLNzM2PaJ
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4021,2017-02-10,lu,7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1860,2017-02-10,lu,3NdDpSvN911VPGivFlV5d0
3,Paris,The Chainsmokers,1755,2017-02-10,lu,72jbDTw1piOOj770jWNeaG
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1387,2017-02-10,lu,5knuzwU65gJK7IF5yJsuaW
5,Call On Me - Ryan Riback Extended Remix,Starley,1368,2017-02-10,lu,78rIJddV4X0HkNAInEcYde
6,Scared to Be Lonely,Martin Garrix,1305,2017-02-10,lu,3ebXMykcMXOcLeJ9xZ17XH
7,Castle on the Hill,Ed Sheeran,1240,2017-02-10,lu,6PCUP3dWmTjcTtXY02oFdT
8,Say You Won't Let Go,James Arthur,1157,2017-02-10,lu,5uCax9HTNlzGybIStD3vDh
