Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4809,2017-01-06,lv,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,4566,2017-01-06,lv,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,2618,2017-01-06,lv,5aAx2yezTd8zXrkmtKl66Z
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2416,2017-01-06,lv,3NdDpSvN911VPGivFlV5d0
5,I Feel It Coming,The Weeknd,1917,2017-01-06,lv,5GXAXm5YOmYT0kL5jHvYBt
6,Call On Me - Ryan Riback Extended Remix,Starley,1911,2017-01-06,lv,78rIJddV4X0HkNAInEcYde
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1903,2017-01-06,lv,5knuzwU65gJK7IF5yJsuaW
8,Closer (feat. Halsey),The Chainsmokers,1901,2017-01-06,lv,7BKLCZ1jbUBVqRi2FVlTVw
9,Black Beatles,Rae Sremmurd,1746,2017-01-06,lv,6fujklziTHa8uoM5OQSfIo
10,Say You Won't Let Go,James Arthur,1676,2017-01-06,lv,5uCax9HTNlzGybIStD3vDh
11,All We Know,The Chainsmokers,1674,2017-01-06,lv,2rizacJSyD9S1IQUxUxnsK
12,Don't Wanna Know,Maroon 5,1592,2017-01-06,lv,5MFzQMkrl1FOOng9tq6R9r
13,Let Me Love You,DJ Snake,1584,2017-01-06,lv,4pdPtRcBmOSQDlJ3Fk945m
14,Fake Love,Drake,1572,2017-01-06,lv,343YBumqHu19cGoGARUTsd
15,Just Hold On,Steve Aoki,1466,2017-01-06,lv,3EmmCZoqpWOTY1g2GBwJoR
16,In the Name of Love,Martin Garrix,1423,2017-01-06,lv,04DwTuZ2VBdJCCC5TROn7L
17,Tuesday,Burak Yeter,1383,2017-01-06,lv,7abpmGpF7PGep2rDU68GBR
18,Bad Things (with Camila Cabello),Machine Gun Kelly,1377,2017-01-06,lv,1PSBzsahR2AKwLJgx8ehBj
19,All Night,The Vamps,1377,2017-01-06,lv,1yNyoWWWikbLhwIGWjZuDW
