Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4935,2017-01-06,mt,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,4326,2017-01-06,mt,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,1999,2017-01-06,mt,5aAx2yezTd8zXrkmtKl66Z
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1990,2017-01-06,mt,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1926,2017-01-06,mt,3NdDpSvN911VPGivFlV5d0
6,I Feel It Coming,The Weeknd,1559,2017-01-06,mt,5GXAXm5YOmYT0kL5jHvYBt
7,Closer (feat. Halsey),The Chainsmokers,1396,2017-01-06,mt,7BKLCZ1jbUBVqRi2FVlTVw
8,Call On Me - Ryan Riback Extended Remix,Starley,1368,2017-01-06,mt,78rIJddV4X0HkNAInEcYde
9,Say You Won't Let Go,James Arthur,1356,2017-01-06,mt,5uCax9HTNlzGybIStD3vDh
10,Don't Wanna Know,Maroon 5,1273,2017-01-06,mt,5MFzQMkrl1FOOng9tq6R9r
11,Let Me Love You,DJ Snake,1221,2017-01-06,mt,4pdPtRcBmOSQDlJ3Fk945m
12,Just Hold On,Steve Aoki,1199,2017-01-06,mt,3EmmCZoqpWOTY1g2GBwJoR
13,All Night,The Vamps,1101,2017-01-06,mt,1yNyoWWWikbLhwIGWjZuDW
14,Fake Love,Drake,1096,2017-01-06,mt,343YBumqHu19cGoGARUTsd
15,Black Beatles,Rae Sremmurd,1094,2017-01-06,mt,6fujklziTHa8uoM5OQSfIo
16,Bad Things (with Camila Cabello),Machine Gun Kelly,1088,2017-01-06,mt,1PSBzsahR2AKwLJgx8ehBj
17,All We Know,The Chainsmokers,1079,2017-01-06,mt,2rizacJSyD9S1IQUxUxnsK
18,Now and Later,Sage The Gemini,1079,2017-01-06,mt,43jBqV3j3Xi1g6wO0bhIMd
19,All Time Low,Jon Bellion,1078,2017-01-06,mt,1CnPYaKxTVb4LWOtiGOm0m
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4750,2017-01-13,mt,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,2820,2017-01-13,mt,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2236,2017-01-13,mt,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2091,2017-01-13,mt,5knuzwU65gJK7IF5yJsuaW
5,Starboy,The Weeknd,1895,2017-01-13,mt,5aAx2yezTd8zXrkmtKl66Z
6,I Feel It Coming,The Weeknd,1729,2017-01-13,mt,5GXAXm5YOmYT0kL5jHvYBt
