Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,360562,2017-01-06,mx,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,327631,2017-01-06,mx,3AEZUABDXNtecAOSC1qTfo
3,Vente Pa' Ca,Ricky Martin,262566,2017-01-06,mx,7DM4BPaS7uofFul3ywMe46
4,Otra vez (feat. J Balvin),Zion & Lennox,251317,2017-01-06,mx,3QwBODjSEzelZyVjxPOHdq
5,Safari,J Balvin,248717,2017-01-06,mx,6rQSrBHf7HlZjtcMZ4S4bO
6,Traicionera,Sebastian Yatra,211548,2017-01-06,mx,5J1c3M4EldCfNxXwrwt8mT
7,Closer (feat. Halsey),The Chainsmokers,197493,2017-01-06,mx,7BKLCZ1jbUBVqRi2FVlTVw
8,Let Me Love You,DJ Snake,187561,2017-01-06,mx,4pdPtRcBmOSQDlJ3Fk945m
9,Starboy,The Weeknd,187261,2017-01-06,mx,5aAx2yezTd8zXrkmtKl66Z
10,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,180410,2017-01-06,mx,6stYbAJgTszHAHZMPxWWCY
11,La Bicicleta,Carlos Vives,179203,2017-01-06,mx,0sXvAOmXgjR2QUqLK1MltU
12,Don't Wanna Know,Maroon 5,169195,2017-01-06,mx,5MFzQMkrl1FOOng9tq6R9r
13,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,166000,2017-01-06,mx,5knuzwU65gJK7IF5yJsuaW
14,Me Llamas (feat. Maluma) - Remix,Piso 21,164478,2017-01-06,mx,5hEM0JchdVzQ5PwvSfITeX
15,24K Magic,Bruno Mars,160825,2017-01-06,mx,6b8Be6ljOzmkOmFslEb23P
16,I Feel It Coming,The Weeknd,157186,2017-01-06,mx,5GXAXm5YOmYT0kL5jHvYBt
17,Shape of You,Ed Sheeran,151798,2017-01-06,mx,7qiZfU4dY1lWllzX7mPBI3
18,Dile Que Tu Me Quieres,Ozuna,149456,2017-01-06,mx,20ZAJdsKB5IGbGj4ilRt2o
19,Shaky Shaky,Daddy Yankee,146507,2017-01-06,mx,58IL315gMSTD37DOZPJ2hf
20,My Way,Calvin Harris,138828,2017-01-06,mx,1vvNmPOiUuyCbgWmtc6yfm
21,Cuatro Babys,Maluma,137370,2017-01-06,mx,0JoHqmlqE0W0i9prt6kcHR
22,Castle on the Hill,Ed Sheeran,136063,2017-01-06,mx,6PCUP3dWmTjcTtXY02oFdT
23,Side To Side,Ariana Grande,132889,2017-01-06,mx,4pLwZjInHj3SimIyN9SnOz
