Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,33517,2017-01-06,my,7qiZfU4dY1lWllzX7mPBI3
2,Say You Won't Let Go,James Arthur,31521,2017-01-06,my,5uCax9HTNlzGybIStD3vDh
3,Closer (feat. Halsey),The Chainsmokers,31190,2017-01-06,my,7BKLCZ1jbUBVqRi2FVlTVw
4,Starboy,The Weeknd,30452,2017-01-06,my,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,28112,2017-01-06,my,3NdDpSvN911VPGivFlV5d0
6,Castle on the Hill,Ed Sheeran,25864,2017-01-06,my,6PCUP3dWmTjcTtXY02oFdT
7,Let Me Love You,DJ Snake,25706,2017-01-06,my,4pdPtRcBmOSQDlJ3Fk945m
8,Bad Things (with Camila Cabello),Machine Gun Kelly,25565,2017-01-06,my,1PSBzsahR2AKwLJgx8ehBj
9,All We Know,The Chainsmokers,24362,2017-01-06,my,2rizacJSyD9S1IQUxUxnsK
10,Don't Wanna Know,Maroon 5,23815,2017-01-06,my,5MFzQMkrl1FOOng9tq6R9r
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,19823,2017-01-06,my,5knuzwU65gJK7IF5yJsuaW
12,Side To Side,Ariana Grande,19383,2017-01-06,my,4pLwZjInHj3SimIyN9SnOz
13,24K Magic,Bruno Mars,18851,2017-01-06,my,6b8Be6ljOzmkOmFslEb23P
14,In the Name of Love,Martin Garrix,18760,2017-01-06,my,04DwTuZ2VBdJCCC5TROn7L
15,Starving,Hailee Steinfeld,18616,2017-01-06,my,1qOLh0tI7trd1zdDKxYZTe
16,"How Far I'll Go - From ""Moana""",Alessia Cara,18519,2017-01-06,my,5hYTyyh2odQKphUbMqc5gN
17,Cold Water (feat. Justin Bieber & MØ),Major Lazer,18154,2017-01-06,my,6DNtNfH8hXkqOX1sjqmI7p
18,I Feel It Coming,The Weeknd,18095,2017-01-06,my,5GXAXm5YOmYT0kL5jHvYBt
19,Call On Me - Ryan Riback Extended Remix,Starley,17159,2017-01-06,my,78rIJddV4X0HkNAInEcYde
20,Wanita Terakhir,Fattah Amin,16984,2017-01-06,my,71fkXsB3jlNbQ8p2R4HEsc
21,We Don't Talk Anymore,Charlie Puth,16533,2017-01-06,my,68EMU2RD1ECNeOeJ5qAXCV
22,All Time Low,Jon Bellion,16159,2017-01-06,my,1CnPYaKxTVb4LWOtiGOm0m
23,Faded,Alan Walker,16157,2017-01-06,my,7gHs73wELdeycvS48JfIos
24,Scars To Your Beautiful,Alessia Cara,15827,2017-01-06,my,0prNGof3XqfTvNDxHonvdK
25,Treat You Better,Shawn Mendes,15662,2017-01-06,my,4Hf7WnR761jpxPr5D46Bcd
26,All Night,The Vamps,15606,2017-01-06,my,1yNyoWWWikbLhwIGWjZuDW
27,Mercy,Shawn Mendes,15183,2017-01-06,my,4TZy1wLyHec06pwgFYDh1a
28,Alone,Alan Walker,14829,2017-01-06,my,0JiVRyTJcJnmlwCZ854K4p
29,Stay With Me,CHANYEOL,14779,2017-01-06,my,1HYzRuWjmS9LXCkdVHi25K
30,"i hate u, i love u (feat. olivia o'brien)",gnash,13721,2017-01-06,my,7vRriwrloYVaoAe3a9wJHe
31,By Your Side,Jonas Blue,13596,2017-01-06,my,1D3ODoXHBLpdxolZRHWV1j
32,Just Hold On,Steve Aoki,13544,2017-01-06,my,3EmmCZoqpWOTY1g2GBwJoR
33,Don't Let Me Down,The Chainsmokers,13044,2017-01-06,my,0QsvXIfqM0zZoerQfsI9lm
34,Versace on the Floor,Bruno Mars,12993,2017-01-06,my,0kN8xEmgMW9mh7UmDYHlJP
35,The Greatest (feat. Kendrick Lamar),Sia,12202,2017-01-06,my,7xHWNBFm6ObGEQPaUxHuKO
36,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,12023,2017-01-06,my,2wDjpPW3HZdA9quPPmZAMu
37,Setting Fires,The Chainsmokers,11986,2017-01-06,my,0B8B8cVRFIG1yznoQe7c9s
38,Heathens,Twenty One Pilots,11858,2017-01-06,my,6i0V12jOa3mr6uu4WYhUBr
39,Photograph,Ed Sheeran,11667,2017-01-06,my,6fxVffaTuwjgEk5h9QyRjy
40,Cheap Thrills,Sia,11210,2017-01-06,my,27SdWb2rFzO6GWiYDBTD9j
41,Fake Love,Drake,10950,2017-01-06,my,343YBumqHu19cGoGARUTsd
42,The Ocean (feat. Shy Martin),Mike Perry,10872,2017-01-06,my,2CPqh63wRVscbceKcPxwvv
43,Dirgahayu,Faizal Tahir,10662,2017-01-06,my,1rw8VCZDhSjbuFTJvDhpeW
44,Perfect Strangers,Jonas Blue,10310,2017-01-06,my,1CUVN2kn7mW5FjkqXTR2W1
45,Segalanya,Haqiem Rusli,10276,2017-01-06,my,4ifzLaIjOAxbFMC12T7xxi
46,FXXK IT,BIGBANG,10152,2017-01-06,my,0YVsrgp4OOUhFuYMAVQazV
47,Alone,Marshmello,10107,2017-01-06,my,12mGwph2YzDIlChtq3EdXP
48,Beautiful,Crush,9904,2017-01-06,my,6mzF8HvHdVrzJNd8M1uFCS
49,Sedalam-Dalam Rindu,Tajul,9684,2017-01-06,my,6Rp7udnk6KsyeRLahxLc7D
50,I Would Like,Zara Larsson,9629,2017-01-06,my,4Q4jmPHwu0wrJvqrld0FQ6
51,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,9566,2017-01-06,my,6JV2JOEocMgcZxYSZelKcc
52,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,8938,2017-01-06,my,40UroIGvsMPLPBYwH8rMNA
53,Hear Me Now,Alok,8878,2017-01-06,my,1a5Yu5L18qNxVhXx38njON
54,One Dance,Drake,8547,2017-01-06,my,1xznGGDReH1oQq0xzbwXa3
55,Lot to Learn,Luke Christopher,8096,2017-01-06,my,3TRFq09DUgYj1mug6RRqJW
56,Secret Love Song (feat. Jason Derulo),Little Mix,8056,2017-01-06,my,4JIo8RztBbELr2gWJ5OGK6
57,LAST DANCE,BIGBANG,7801,2017-01-06,my,7dhr1r6OWHxrpvrdHxfe1n
58,The Mack,Nevada,7757,2017-01-06,my,7aV2mflaASUmGhCErm7kBO
59,"Sit Still, Look Pretty",Daya,7384,2017-01-06,my,2DpCdPMg1BADE4HDnxt3Rd
