Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,2143,2017-01-06,ni,7qiZfU4dY1lWllzX7mPBI3
2,Safari,J Balvin,1950,2017-01-06,ni,6rQSrBHf7HlZjtcMZ4S4bO
3,Chantaje (feat. Maluma),Shakira,1945,2017-01-06,ni,6mICuAdrwEjh6Y6lroV2Kg
4,Let Me Love You,DJ Snake,1900,2017-01-06,ni,4pdPtRcBmOSQDlJ3Fk945m
5,Reggaetón Lento (Bailemos),CNCO,1884,2017-01-06,ni,3AEZUABDXNtecAOSC1qTfo
6,Otra vez (feat. J Balvin),Zion & Lennox,1878,2017-01-06,ni,3QwBODjSEzelZyVjxPOHdq
7,Closer (feat. Halsey),The Chainsmokers,1828,2017-01-06,ni,7BKLCZ1jbUBVqRi2FVlTVw
8,Castle on the Hill,Ed Sheeran,1530,2017-01-06,ni,6PCUP3dWmTjcTtXY02oFdT
9,Vente Pa' Ca,Ricky Martin,1383,2017-01-06,ni,7DM4BPaS7uofFul3ywMe46
10,Starboy,The Weeknd,1310,2017-01-06,ni,5aAx2yezTd8zXrkmtKl66Z
11,One Dance,Drake,1296,2017-01-06,ni,1xznGGDReH1oQq0xzbwXa3
12,Don't Wanna Know,Maroon 5,1267,2017-01-06,ni,5MFzQMkrl1FOOng9tq6R9r
13,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1189,2017-01-06,ni,6DNtNfH8hXkqOX1sjqmI7p
14,La Bicicleta,Carlos Vives,1175,2017-01-06,ni,0sXvAOmXgjR2QUqLK1MltU
15,Cuatro Babys,Maluma,1170,2017-01-06,ni,0JoHqmlqE0W0i9prt6kcHR
16,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1139,2017-01-06,ni,17Fd6Yb7mSbinKG8LoWfFl
17,Me Rehúso,Danny Ocean,1104,2017-01-06,ni,6De0lHrwBfPfrhorm9q1Xl
18,Don't Let Me Down,The Chainsmokers,1036,2017-01-06,ni,0QsvXIfqM0zZoerQfsI9lm
19,In the Name of Love,Martin Garrix,1032,2017-01-06,ni,04DwTuZ2VBdJCCC5TROn7L
20,My Way,Calvin Harris,1001,2017-01-06,ni,1vvNmPOiUuyCbgWmtc6yfm
21,24K Magic,Bruno Mars,1001,2017-01-06,ni,6b8Be6ljOzmkOmFslEb23P
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,2396,2017-01-13,ni,7qiZfU4dY1lWllzX7mPBI3
2,Chantaje (feat. Maluma),Shakira,1931,2017-01-13,ni,6mICuAdrwEjh6Y6lroV2Kg
3,Safari,J Balvin,1892,2017-01-13,ni,6rQSrBHf7HlZjtcMZ4S4bO
4,Reggaetón Lento (Bailemos),CNCO,1866,2017-01-13,ni,3AEZUABDXNtecAOSC1qTfo
5,Let Me Love You,DJ Snake,1841,2017-01-13,ni,4pdPtRcBmOSQDlJ3Fk945m
6,Closer (feat. Halsey),The Chainsmokers,1783,2017-01-13,ni,7BKLCZ1jbUBVqRi2FVlTVw
7,Otra vez (feat. J Balvin),Zion & Lennox,1678,2017-01-13,ni,3QwBODjSEzelZyVjxPOHdq
8,Starboy,The Weeknd,1380,2017-01-13,ni,5aAx2yezTd8zXrkmtKl66Z
9,One Dance,Drake,1287,2017-01-13,ni,1xznGGDReH1oQq0xzbwXa3
10,Don't Wanna Know,Maroon 5,1194,2017-01-13,ni,5MFzQMkrl1FOOng9tq6R9r
11,Cuatro Babys,Maluma,1165,2017-01-13,ni,0JoHqmlqE0W0i9prt6kcHR
12,Vente Pa' Ca,Ricky Martin,1143,2017-01-13,ni,7DM4BPaS7uofFul3ywMe46
13,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1135,2017-01-13,ni,6DNtNfH8hXkqOX1sjqmI7p
14,In the Name of Love,Martin Garrix,1069,2017-01-13,ni,04DwTuZ2VBdJCCC5TROn7L
15,La Bicicleta,Carlos Vives,1060,2017-01-13,ni,0sXvAOmXgjR2QUqLK1MltU
16,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1052,2017-01-13,ni,17Fd6Yb7mSbinKG8LoWfFl
17,Don't Let Me Down,The Chainsmokers,1035,2017-01-13,ni,0QsvXIfqM0zZoerQfsI9lm
18,Castle on the Hill,Ed Sheeran,1004,2017-01-13,ni,6PCUP3dWmTjcTtXY02oFdT
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,2251,2017-01-20,ni,7qiZfU4dY1lWllzX7mPBI3
2,Despacito (Featuring Daddy Yankee),Luis Fonsi,1985,2017-01-20,ni,4aWmUDTfIPGksMNLV2rQP2
3,Reggaetón Lento (Bailemos),CNCO,1939,2017-01-20,ni,3AEZUABDXNtecAOSC1qTfo
4,Chantaje (feat. Maluma),Shakira,1896,2017-01-20,ni,6mICuAdrwEjh6Y6lroV2Kg
5,Safari,J Balvin,1825,2017-01-20,ni,6rQSrBHf7HlZjtcMZ4S4bO
6,Otra vez (feat. J Balvin),Zion & Lennox,1776,2017-01-20,ni,3QwBODjSEzelZyVjxPOHdq
7,Let Me Love You,DJ Snake,1719,2017-01-20,ni,4pdPtRcBmOSQDlJ3Fk945m
