Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,217549,2017-01-06,nl,7qiZfU4dY1lWllzX7mPBI3
2,Energie,Ronnie Flex,186204,2017-01-06,nl,1riPE3NCV1OBmSXqpYiMJY
3,Castle on the Hill,Ed Sheeran,174049,2017-01-06,nl,6PCUP3dWmTjcTtXY02oFdT
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,164647,2017-01-06,nl,5knuzwU65gJK7IF5yJsuaW
5,Say You Won't Let Go,James Arthur,132784,2017-01-06,nl,5uCax9HTNlzGybIStD3vDh
6,Het Is Een Feit,Broederliefde,122144,2017-01-06,nl,0iuLGMsB9xBbg5D4iabTtT
7,Starboy,The Weeknd,115057,2017-01-06,nl,5aAx2yezTd8zXrkmtKl66Z
8,Call On Me - Ryan Riback Extended Remix,Starley,109740,2017-01-06,nl,78rIJddV4X0HkNAInEcYde
9,Overal (feat. DJ Youss-F),F1rstman,107186,2017-01-06,nl,7bQQ2B4EVLDiMA79EbT2qe
10,I Feel It Coming,The Weeknd,106501,2017-01-06,nl,5GXAXm5YOmYT0kL5jHvYBt
11,24K Magic,Bruno Mars,103501,2017-01-06,nl,6b8Be6ljOzmkOmFslEb23P
12,Let Me Love You,DJ Snake,93517,2017-01-06,nl,4pdPtRcBmOSQDlJ3Fk945m
13,Closer (feat. Halsey),The Chainsmokers,93350,2017-01-06,nl,7BKLCZ1jbUBVqRi2FVlTVw
14,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,90532,2017-01-06,nl,3NdDpSvN911VPGivFlV5d0
15,My Love,Frenna,89876,2017-01-06,nl,7887EjnwYduvgqpPysG50Z
16,Don't Wanna Know,Maroon 5,86978,2017-01-06,nl,5MFzQMkrl1FOOng9tq6R9r
17,Mercy,Shawn Mendes,78264,2017-01-06,nl,4TZy1wLyHec06pwgFYDh1a
18,Love Me Now,John Legend,78128,2017-01-06,nl,6nxQdXa1uAL0rY72wPZu89
19,In the Name of Love,Martin Garrix,73863,2017-01-06,nl,04DwTuZ2VBdJCCC5TROn7L
20,Dancing On My Own,Calum Scott,72244,2017-01-06,nl,02WacdrRpm4zlP8H7X6bnQ
21,Black Beatles,Rae Sremmurd,72239,2017-01-06,nl,6fujklziTHa8uoM5OQSfIo
22,Starving,Hailee Steinfeld,71230,2017-01-06,nl,1qOLh0tI7trd1zdDKxYZTe
23,Fake Love,Drake,69666,2017-01-06,nl,343YBumqHu19cGoGARUTsd
24,Shed a Light,Robin Schulz,67909,2017-01-06,nl,1cG0umU5TKStygKsPFZ9pY
25,Scars To Your Beautiful,Alessia Cara,64863,2017-01-06,nl,0prNGof3XqfTvNDxHonvdK
26,Bad Things (with Camila Cabello),Machine Gun Kelly,63214,2017-01-06,nl,1PSBzsahR2AKwLJgx8ehBj
27,Wasteman,Frenna,61232,2017-01-06,nl,1iYDdQ1KfnPmt9gQ3gPalm
28,My Way,Calvin Harris,60968,2017-01-06,nl,1vvNmPOiUuyCbgWmtc6yfm
