Position,Track Name,Artist,Streams,date,region,spotify_id
1,Alone,Alan Walker,139050,2017-01-06,no,0JiVRyTJcJnmlwCZ854K4p
2,Shape of You,Ed Sheeran,135566,2017-01-06,no,7qiZfU4dY1lWllzX7mPBI3
3,Castle on the Hill,Ed Sheeran,115994,2017-01-06,no,6PCUP3dWmTjcTtXY02oFdT
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,115762,2017-01-06,no,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,114039,2017-01-06,no,3NdDpSvN911VPGivFlV5d0
6,Call On Me - Ryan Riback Extended Remix,Starley,83407,2017-01-06,no,78rIJddV4X0HkNAInEcYde
7,I Feel It Coming,The Weeknd,81137,2017-01-06,no,5GXAXm5YOmYT0kL5jHvYBt
8,Hear Me Now,Alok,79061,2017-01-06,no,1a5Yu5L18qNxVhXx38njON
9,Make Me (Cry),Noah Cyrus,76528,2017-01-06,no,2BrzlUj1u1CtvaJDGIKpsP
10,Solo Dance,Martin Jensen,75915,2017-01-06,no,6HUnnBwYZqcED1eQztxMBN
11,Lighthouse - Andrelli Remix,Hearts & Colors,68228,2017-01-06,no,04CttTezSnv71USiiG9mIo
12,Say You Won't Let Go,James Arthur,67455,2017-01-06,no,5uCax9HTNlzGybIStD3vDh
13,Move Your Body - Alan Walker Remix,Sia,66661,2017-01-06,no,6LUOMjoORvAkdhBYvESO46
14,All Night,The Vamps,64271,2017-01-06,no,1yNyoWWWikbLhwIGWjZuDW
15,Starboy,The Weeknd,63431,2017-01-06,no,5aAx2yezTd8zXrkmtKl66Z
16,What Do You Love,Seeb,54113,2017-01-06,no,0h4FK0CnlZ3oJnZ6quEk1P
17,Black Beatles,Rae Sremmurd,52025,2017-01-06,no,6fujklziTHa8uoM5OQSfIo
18,Closer (feat. Halsey),The Chainsmokers,51945,2017-01-06,no,7BKLCZ1jbUBVqRi2FVlTVw
19,Sexual,NEIKED,49445,2017-01-06,no,3AsAuGTaDQzavZZThyYlop
20,Don't Wanna Know,Maroon 5,47162,2017-01-06,no,5MFzQMkrl1FOOng9tq6R9r
21,Just Hold On,Steve Aoki,46441,2017-01-06,no,3EmmCZoqpWOTY1g2GBwJoR
22,Let Me Love You,DJ Snake,45329,2017-01-06,no,4pdPtRcBmOSQDlJ3Fk945m
23,I Would Like,Zara Larsson,45150,2017-01-06,no,4Q4jmPHwu0wrJvqrld0FQ6
24,En Siste Gang,Staysman & Lazz,41502,2017-01-06,no,6tt3Na8Vjw1H2fCUcUivi5
25,24K Magic,Bruno Mars,40842,2017-01-06,no,6b8Be6ljOzmkOmFslEb23P
26,Side To Side,Ariana Grande,40268,2017-01-06,no,4pLwZjInHj3SimIyN9SnOz
27,Shed a Light,Robin Schulz,39621,2017-01-06,no,1cG0umU5TKStygKsPFZ9pY
28,Faded,Alan Walker,39110,2017-01-06,no,7gHs73wELdeycvS48JfIos
29,Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,38529,2017-01-06,no,0L9lXMXddmoBbBUeF7A9An
30,All We Know,The Chainsmokers,38412,2017-01-06,no,2rizacJSyD9S1IQUxUxnsK
31,Inside the Lines (feat. Casso),Mike Perry,38290,2017-01-06,no,3qaYuV5XZAwiOvGE91HhwS
32,Starving,Hailee Steinfeld,35200,2017-01-06,no,1qOLh0tI7trd1zdDKxYZTe
33,Mercy,Shawn Mendes,35055,2017-01-06,no,4TZy1wLyHec06pwgFYDh1a
34,Don't Leave,Snakehips,34043,2017-01-06,no,0Zx8khUcEfCFK2AEoIhC92
35,In the Name of Love,Martin Garrix,33731,2017-01-06,no,04DwTuZ2VBdJCCC5TROn7L
36,Dynamite (feat. Pretty Sister),Nause,33564,2017-01-06,no,2Ae5awwKvQpTBKQHr1TYCg
37,Heart Won't Forget,Matoma,33376,2017-01-06,no,2of2DM5LqTh7ohmmVXUKsH
38,The Greatest (feat. Kendrick Lamar),Sia,33083,2017-01-06,no,7xHWNBFm6ObGEQPaUxHuKO
39,Beast,Tungevaag,32538,2017-01-06,no,6ZbiaHwI9x7CIxYGOEmXxd
40,Bad Things (with Camila Cabello),Machine Gun Kelly,32462,2017-01-06,no,1PSBzsahR2AKwLJgx8ehBj
41,Our City,TRXD,31534,2017-01-06,no,4MV8yeKSsls4xev14yDXL6
42,Places,Martin Solveig,31181,2017-01-06,no,6O85MfGECKBqAK2MgSbCaj
43,Tårnet til Carlsen,Staysman & Lazz,30912,2017-01-06,no,4OE7BCHElUtM2ATRF7u1PS
44,Fake Love,Drake,30815,2017-01-06,no,343YBumqHu19cGoGARUTsd
45,Cold Water (feat. Justin Bieber & MØ),Major Lazer,30627,2017-01-06,no,6DNtNfH8hXkqOX1sjqmI7p
46,Sing Me to Sleep,Alan Walker,30555,2017-01-06,no,2Fjz5ZC5BvFdCqcnTZ3ilH
47,Starboy - Kygo Remix,The Weeknd,28979,2017-01-06,no,6L778PA16SuyYvFhqnMndY
48,Jovial,Freddy Kalas,28724,2017-01-06,no,5paNYIC0vrVj1EWGVzfJzb
49,Shout Out to My Ex,Little Mix,28667,2017-01-06,no,0YHUITU3w6ws1v8ehT264g
50,Heathens,Twenty One Pilots,28661,2017-01-06,no,6i0V12jOa3mr6uu4WYhUBr
51,My Way,Calvin Harris,28633,2017-01-06,no,1vvNmPOiUuyCbgWmtc6yfm
52,Hymn for the Weekend - Seeb Remix,Coldplay,28397,2017-01-06,no,1OAiWI2oPmglaOiv9fdioU
53,Versace 2017,TIX,28065,2017-01-06,no,594Id4J7VH4nVIfI1FwhP9
54,One Dance,Drake,27191,2017-01-06,no,1xznGGDReH1oQq0xzbwXa3
55,Cheap Thrills,Sia,27095,2017-01-06,no,27SdWb2rFzO6GWiYDBTD9j
56,Routine,Alan Walker,23609,2017-01-06,no,19TSNGmvdTtlxYn4YqYUMf
57,Kjærlighet er mer enn forelskelse,LOKE,22567,2017-01-06,no,4CxBmlWegEeKwYUaFvLzel
58,Millionaire - Alan Walker Remix,Digital Farm Animals,22080,2017-01-06,no,5HzbxweVAtisCrpoOF11qt
59,Cigarette (feat. Madcon & Julimar Santos),Penthox,21326,2017-01-06,no,2yPgwtJ9j7WP29q9dcYOmR
60,Arigato,Julie Bergan,21083,2017-01-06,no,4XuK9jJP3mpYBq5qf68vfF
61,Now and Later,Sage The Gemini,20735,2017-01-06,no,43jBqV3j3Xi1g6wO0bhIMd
62,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,20123,2017-01-06,no,6JV2JOEocMgcZxYSZelKcc
63,Don't Let Me Down,The Chainsmokers,20099,2017-01-06,no,0QsvXIfqM0zZoerQfsI9lm
64,Visceral,Bernhoft,19813,2017-01-06,no,5Wz7lWQGr7AC1LWutvzINn
65,Bad and Boujee (feat. Lil Uzi Vert),Migos,19685,2017-01-06,no,4Km5HrUvYTaSUfiSGPJeQR
66,Let Me Love You,SJUR,19403,2017-01-06,no,2jfCy43LsFbCQoB6HyetlY
67,Scars To Your Beautiful,Alessia Cara,19369,2017-01-06,no,0prNGof3XqfTvNDxHonvdK
68,Perfect Strangers,Jonas Blue,19317,2017-01-06,no,1CUVN2kn7mW5FjkqXTR2W1
69,The Ocean (feat. Shy Martin),Mike Perry,19070,2017-01-06,no,2CPqh63wRVscbceKcPxwvv
70,Treat You Better,Shawn Mendes,19028,2017-01-06,no,4Hf7WnR761jpxPr5D46Bcd
71,Love on Me,Galantis,18420,2017-01-06,no,2MHCiOohBZEQuLgDTPvSzF
72,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,18337,2017-01-06,no,1lItf5ZXJc1by9SbPeljFd
73,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,18233,2017-01-06,no,4dASQiO1Eoo3RJvt74FtXB
74,False Alarm,Matoma,18186,2017-01-06,no,7gZQfdEQpmwAoPHSbEHzms
75,Photograph,Ed Sheeran,18090,2017-01-06,no,6fxVffaTuwjgEk5h9QyRjy
76,Don't Be So Shy - Filatov & Karas Remix,Imany,18019,2017-01-06,no,00vk0sEfb6mr2ehwSw0Uhn
77,Feel Me,Tyga,17978,2017-01-06,no,2Cth0v1xri32oZ799rL3rl
78,Hey Ho,Freddy Kalas,17784,2017-01-06,no,0eekaX32hUmJgcinPCL1iZ
79,We Don't Talk Anymore,Charlie Puth,17207,2017-01-06,no,68EMU2RD1ECNeOeJ5qAXCV
80,Love Me Now,John Legend,17189,2017-01-06,no,6nxQdXa1uAL0rY72wPZu89
81,Dancing On My Own,Calum Scott,16973,2017-01-06,no,02WacdrRpm4zlP8H7X6bnQ
82,Taped up Heart (feat. Clara Mae),KREAM,16812,2017-01-06,no,26hcyzSE154xMZCbFdtInA
83,When We Were Young,Adele,16744,2017-01-06,no,7IWkJwX9C0J7tHurTD7ViL
84,"How Far I'll Go - From ""Moana""",Alessia Cara,16740,2017-01-06,no,5hYTyyh2odQKphUbMqc5gN
85,Sex,Cheat Codes,16601,2017-01-06,no,5DA77EqppDmCTWGovd4oTP
86,Panda,Desiigner,16570,2017-01-06,no,5OOkp4U9P9oL23maHFHL1h
87,Party Monster,The Weeknd,16549,2017-01-06,no,4F7A0DXBrmUAkp32uenhZt
88,I Got You,Bebe Rexha,16180,2017-01-06,no,1FUViuNSldssMIawrOXF2i
89,By Your Side,Jonas Blue,15981,2017-01-06,no,1D3ODoXHBLpdxolZRHWV1j
90,Alarm,Anne-Marie,15831,2017-01-06,no,0OwX5aROoW1Iip8FV51Efg
91,Thinking out Loud,Ed Sheeran,15829,2017-01-06,no,1Slwb6dOYkBlWal1PGtnNg
92,Move Your Body - Single Mix,Sia,15573,2017-01-06,no,7ynCQo1KpBOyTdTdAnjSLZ
93,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,15279,2017-01-06,no,17Fd6Yb7mSbinKG8LoWfFl
94,Hello,Adele,15248,2017-01-06,no,4sPmO7WMQUAf45kwMOtONw
95,Million Reasons,Lady Gaga,15088,2017-01-06,no,50PWlIBU7PlGGwzgN8TiFJ
96,Capsize,FRENSHIP,15031,2017-01-06,no,2XMTqoHHSH0lvuXrvIEdco
97,Målløs,Skei & PT,14889,2017-01-06,no,7hrjgvlXwv7MTrMzmeQPn4
98,Thinking 'Bout You,Dua Lipa,14822,2017-01-06,no,0gtSPYz0OHoF7k09Auq1uC
99,Alive,Madden,14761,2017-01-06,no,7J2EJ4QMpGUbB2H3SYYYtU
100,Chains of Promises,Elsa & Emilie,14688,2017-01-06,no,6bQXfhXXYYFduu341GgZiP
101,The Sound of Silence,Disturbed,14604,2017-01-06,no,0eZBeB2xFIS65jQHerispi
102,Ain't My Fault,Zara Larsson,14522,2017-01-06,no,0ADG9OgdVTL7fgREP75BrZ
103,This Town,Niall Horan,14490,2017-01-06,no,5nA67Y0XX9JipZwYxX7Gl7
104,Hurts So Good,Astrid S,14448,2017-01-06,no,60lwJa695S26FsYbhCVFVa
105,The Mack,Nevada,14351,2017-01-06,no,7aV2mflaASUmGhCErm7kBO
106,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,14255,2017-01-06,no,3B7udSGy2PfgoCniMSb523
107,Love Yourself,Justin Bieber,14001,2017-01-06,no,3hB5DgAiMAQ4DzYbsMq1IT
108,Feel Da Rush,Freddy Kalas,13975,2017-01-06,no,7B7OdAjUTyMAmnaUmuneVW
109,Deja Vu,J. Cole,13895,2017-01-06,no,6I6NX6tjGsxFAsIfGzY9lJ
110,This Is What You Came For,Calvin Harris,13838,2017-01-06,no,0azC730Exh71aQlOt9Zj3y
111,Fragile,Kygo,13772,2017-01-06,no,6PyxrogMU9imKqVtKx6840
112,The A Team,Ed Sheeran,13751,2017-01-06,no,1VdZ0vKfR5jneCmWIUAMxK
113,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,13693,2017-01-06,no,2wDjpPW3HZdA9quPPmZAMu
114,Only One - Radio Edit,Sigala,13589,2017-01-06,no,5ev0Z2lFzmhjlQCWpRAWiG
115,Stressed Out,Twenty One Pilots,13508,2017-01-06,no,3CRDbSIZ4r5MsZ0YwxuEkn
116,STFU,mansionz,13465,2017-01-06,no,2p4p9YGwmJIdf5IA9sSWhm
117,Don't Let Go,Lila,13347,2017-01-06,no,3u7AIoAXRXe1UWgqsoYz26
118,Here We Go Again,Chris Holsten,13250,2017-01-06,no,1uM0JXUr1QxoPEueeQnfKv
119,Human,Rag'n'Bone Man,13215,2017-01-06,no,58zsLZPvfflaiIbNWoA22O
120,Sidewalks,The Weeknd,13174,2017-01-06,no,4h90qkbnW1Qq6pBhoPvwko
121,Stay (feat. Maty Noyes),Kygo,13172,2017-01-06,no,2FiSTH0GYpIioUgjfzMIja
122,Easy Love,Dunisco,13143,2017-01-06,no,3HtQE58Fru1nYw5ulAJECs
123,Chantaje (feat. Maluma),Shakira,13056,2017-01-06,no,6mICuAdrwEjh6Y6lroV2Kg
124,Litt for mye,Loveless,12909,2017-01-06,no,3mxR9p7S1pUtw3LJ87HoNS
125,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,12792,2017-01-06,no,40UroIGvsMPLPBYwH8rMNA
126,7 Years,Lukas Graham,12732,2017-01-06,no,7129iqBafaphfc3WPCGC0L
127,Lot to Learn,Luke Christopher,12622,2017-01-06,no,3TRFq09DUgYj1mug6RRqJW
128,Please Don't Go,Joel Adams,12603,2017-01-06,no,3cNjgVBKTJ1SvKhunrCdVy
129,Fast Car,Jonas Blue,12371,2017-01-06,no,6OZh916QF8XNunWaP97WEZ
130,Final Song,MØ,12203,2017-01-06,no,4qqArAiTPueDxIp7cf87h7
131,Raging (feat. Kodaline),Kygo,12176,2017-01-06,no,2Vhd5uZB4brKHmM0MNxkZo
132,Sorry,Justin Bieber,12167,2017-01-06,no,69bp2EbF7Q2rqc5N3ylezZ
133,"Me, Myself & I",G-Eazy,11978,2017-01-06,no,40YcuQysJ0KlGQTeGUosTC
134,Let It Go,James Bay,11941,2017-01-06,no,13HVjjWUZFaWilh2QUJKsP
135,Lay It On Me,Ina Wroldsen,11904,2017-01-06,no,4S7IW3QMRTfoPsuW0bsMyl
136,Lett å være rebell i kjellerleiligheten din,Karpe,11848,2017-01-06,no,54DfWSu3aH8Z8nyckQdGNq
137,Rooting For You,London Grammar,11784,2017-01-06,no,2nAAFnHiXRdWhsqoeqhhnr
138,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,11684,2017-01-06,no,0L7loeTIg6akW84aEQZpCT
139,Elektrisk,Marcus & Martinus,11592,2017-01-06,no,2q83iIfEGIk8kyrdT4uYOG
140,Sulten 2 (Live på NRK P3),Karpe,11540,2017-01-06,no,2kM6eh8JBEzYRbrYZ90Jlq
141,Hymn for the Weekend,Coldplay,11524,2017-01-06,no,3RiPr603aXAoi4GHyXx0uy
142,Lights Out (Too Drunk) [feat. Hayla],DJ Katch,11504,2017-01-06,no,5Oh3cW5gnEEKPsHb1WrVWm
143,No Money,Galantis,11454,2017-01-06,no,0gb1J5UrTpzaU1s3nupgCd
144,The Greatest,Sia,11398,2017-01-06,no,6bLopGnirdrilrpdVB6Um1
145,Sunshine Hits My Face,Freddy Kalas,11278,2017-01-06,no,7IvsuFIqe5vB6W9GrswYtj
146,Slow Down the Flow,TAL,11237,2017-01-06,no,1ioESldLZmLygiJjeM0FGg
147,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,11125,2017-01-06,no,4tCtwWceOPWzenK2HAIJSb
148,Lies,Jesper Jenset,11112,2017-01-06,no,04czWbqg96KSO8Szz8d0zp
149,Kids - Seeb Remix,OneRepublic,11042,2017-01-06,no,1F9ATzR6eLrTXHxjTVKF6K
150,Let Me Hold You (Turn Me On),Dante Klein,11031,2017-01-06,no,0lmdsH1MIoLsMymnNpd6HU
151,Sangen Du Hater,Katastrofe,10988,2017-01-06,no,28k5bDeysU73IRdyDXbses
152,Breathe - Acoustic,Seeb,10987,2017-01-06,no,4F1J6Ne5nUZ3YN8wqDJWEY
153,Girls (feat. Madcon),Marcus & Martinus,10912,2017-01-06,no,4Y8s3kA6vx4y51T79sNVOs
154,You & Me,Marc E. Bassy,10812,2017-01-06,no,4QdovcM8j50QPlyR7tH4xe
155,Dory 2017,TIX,10745,2017-01-06,no,4F2C1ny4u7zXrIUnmopCyI
156,Send My Love (To Your New Lover),Adele,10693,2017-01-06,no,4BHzQ9C00ceJxfG16AlNWb
157,Sunset Lover,Petit Biscuit,10645,2017-01-06,no,0hNduWmlWmEmuwEFcYvRu1
158,Say Something Loving,The xx,10593,2017-01-06,no,728zbo72kOoYdGR3AhNsyF
159,Cracks,Soleima,10583,2017-01-06,no,1hK0RW9J7P9gVdrFmgTmfG
160,Wake Up Where You Are,State of Sound,10561,2017-01-06,no,2s76aKBWKShlwPC4xTtEEE
161,Gunerius,Karpe,10553,2017-01-06,no,6q7AOq1J7lGXogZVnh2FfK
162,"i hate u, i love u (feat. olivia o'brien)",gnash,10517,2017-01-06,no,7vRriwrloYVaoAe3a9wJHe
163,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,10439,2017-01-06,no,46NBoIAHrmR7qcUGCIFEjR
164,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,10394,2017-01-06,no,5Z01UMMf7V1o0MzF86s6WJ
165,All I Wanna Do,Martin Jensen,10329,2017-01-06,no,0BiGd2FNDQ0eh79ZHfp6tS
166,September Song,JP Cooper,10323,2017-01-06,no,0FuTx2s3YH1ppmtiM6l0zI
167,Nostalgi 3Millioner,Tomine Harket,10323,2017-01-06,no,4axw5RUC7KQQIojLrUf3wS
168,Ride,Twenty One Pilots,10322,2017-01-06,no,2Z8WuEywRWYTKe1NybPQEW
169,Broccoli (feat. Lil Yachty),DRAM,10309,2017-01-06,no,7yyRTcZmCiyzzJlNzGC9Ol
170,All Time Low,Jon Bellion,10210,2017-01-06,no,1CnPYaKxTVb4LWOtiGOm0m
171,Take Me To Church,Hozier,10149,2017-01-06,no,0IqKeD8ZSP72KbGYyzEcAs
172,No Lie,Sean Paul,10124,2017-01-06,no,3cFsmM51N5zMAuu1nNY4Tw
173,Bare så du vett det,Stavangerkameratene,10097,2017-01-06,no,3KZ0AsCkUgYDagOtAljFn5
174,Stole the Show,Kygo,10041,2017-01-06,no,5masKPHeAOVNgxdLebIcK7
