Position,Track Name,Artist,Streams,date,region,spotify_id
1,Castle on the Hill,Ed Sheeran,51324,2017-01-06,nz,6PCUP3dWmTjcTtXY02oFdT
2,Shape of You,Ed Sheeran,50469,2017-01-06,nz,7qiZfU4dY1lWllzX7mPBI3
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,35272,2017-01-06,nz,5knuzwU65gJK7IF5yJsuaW
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,33590,2017-01-06,nz,3NdDpSvN911VPGivFlV5d0
5,Starboy,The Weeknd,32937,2017-01-06,nz,5aAx2yezTd8zXrkmtKl66Z
6,Closer (feat. Halsey),The Chainsmokers,30274,2017-01-06,nz,7BKLCZ1jbUBVqRi2FVlTVw
7,Say You Won't Let Go,James Arthur,29059,2017-01-06,nz,5uCax9HTNlzGybIStD3vDh
8,24K Magic,Bruno Mars,28985,2017-01-06,nz,6b8Be6ljOzmkOmFslEb23P
9,Fake Love,Drake,27298,2017-01-06,nz,343YBumqHu19cGoGARUTsd
10,Sexual,NEIKED,27041,2017-01-06,nz,3AsAuGTaDQzavZZThyYlop
11,Call On Me - Ryan Riback Extended Remix,Starley,26954,2017-01-06,nz,78rIJddV4X0HkNAInEcYde
12,I Feel It Coming,The Weeknd,26814,2017-01-06,nz,5GXAXm5YOmYT0kL5jHvYBt
13,Don't Wanna Know,Maroon 5,26287,2017-01-06,nz,5MFzQMkrl1FOOng9tq6R9r
14,Fresh Eyes,Andy Grammer,26279,2017-01-06,nz,4nMlau89VAjmV7agkl7OY3
15,The Mack,Nevada,25893,2017-01-06,nz,7aV2mflaASUmGhCErm7kBO
16,All Night,The Vamps,25269,2017-01-06,nz,1yNyoWWWikbLhwIGWjZuDW
17,Bad Things (with Camila Cabello),Machine Gun Kelly,24118,2017-01-06,nz,1PSBzsahR2AKwLJgx8ehBj
18,Let Me Love You,DJ Snake,23449,2017-01-06,nz,4pdPtRcBmOSQDlJ3Fk945m
19,Love$ick,Mura Masa,23433,2017-01-06,nz,5v9N8Rx3QsFvr50cxyQcA3
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,22203,2017-01-06,nz,6DNtNfH8hXkqOX1sjqmI7p
21,Black Beatles,Rae Sremmurd,21135,2017-01-06,nz,6fujklziTHa8uoM5OQSfIo
22,I Would Like,Zara Larsson,20921,2017-01-06,nz,4Q4jmPHwu0wrJvqrld0FQ6
23,Capsize,FRENSHIP,20205,2017-01-06,nz,2XMTqoHHSH0lvuXrvIEdco
24,Caroline,Aminé,20169,2017-01-06,nz,5GFDrUTLGJix84sNhjCG0g
25,In the Name of Love,Martin Garrix,19530,2017-01-06,nz,04DwTuZ2VBdJCCC5TROn7L
26,"How Far I'll Go - From ""Moana""",Alessia Cara,18872,2017-01-06,nz,5hYTyyh2odQKphUbMqc5gN
27,Side To Side,Ariana Grande,18754,2017-01-06,nz,4pLwZjInHj3SimIyN9SnOz
28,Scars To Your Beautiful,Alessia Cara,18721,2017-01-06,nz,0prNGof3XqfTvNDxHonvdK
29,All We Know,The Chainsmokers,18399,2017-01-06,nz,2rizacJSyD9S1IQUxUxnsK
30,My Way,Calvin Harris,18128,2017-01-06,nz,1vvNmPOiUuyCbgWmtc6yfm
31,Starving,Hailee Steinfeld,17973,2017-01-06,nz,1qOLh0tI7trd1zdDKxYZTe
32,Stranger,Peking Duk,17884,2017-01-06,nz,0jVPEBd4wyHupkTHwzQRyc
33,Love Me Now,John Legend,17043,2017-01-06,nz,6nxQdXa1uAL0rY72wPZu89
34,One Dance,Drake,16866,2017-01-06,nz,1xznGGDReH1oQq0xzbwXa3
35,Water Under the Bridge,Adele,16841,2017-01-06,nz,4vb4mFvYsr2h6enhjJsq9Y
36,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,16433,2017-01-06,nz,6JV2JOEocMgcZxYSZelKcc
37,Now and Later,Sage The Gemini,16168,2017-01-06,nz,43jBqV3j3Xi1g6wO0bhIMd
38,Just Hold On,Steve Aoki,15963,2017-01-06,nz,3EmmCZoqpWOTY1g2GBwJoR
39,Bad and Boujee (feat. Lil Uzi Vert),Migos,15685,2017-01-06,nz,4Km5HrUvYTaSUfiSGPJeQR
40,Don't Worry Bout' It,Kings,14552,2017-01-06,nz,7dk8N7ZpSU5tUwbmZPnAiG
41,Versace on the Floor,Bruno Mars,14009,2017-01-06,nz,0kN8xEmgMW9mh7UmDYHlJP
42,Mercy,Shawn Mendes,13873,2017-01-06,nz,4TZy1wLyHec06pwgFYDh1a
43,By Your Side,Jonas Blue,13669,2017-01-06,nz,1D3ODoXHBLpdxolZRHWV1j
44,Say It (feat. Tove Lo),Flume,13159,2017-01-06,nz,4sQMalN597HdggTu196aL0
45,You & Me,Marc E. Bassy,13135,2017-01-06,nz,4QdovcM8j50QPlyR7tH4xe
46,Heathens,Twenty One Pilots,13098,2017-01-06,nz,6i0V12jOa3mr6uu4WYhUBr
47,Don't Let Me Down,The Chainsmokers,12848,2017-01-06,nz,0QsvXIfqM0zZoerQfsI9lm
48,Setting Fires,The Chainsmokers,12541,2017-01-06,nz,0B8B8cVRFIG1yznoQe7c9s
49,Broccoli (feat. Lil Yachty),DRAM,12380,2017-01-06,nz,7yyRTcZmCiyzzJlNzGC9Ol
