Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,7665,2017-01-06,pa,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,7520,2017-01-06,pa,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,7080,2017-01-06,pa,3QwBODjSEzelZyVjxPOHdq
4,Safari,J Balvin,6256,2017-01-06,pa,6rQSrBHf7HlZjtcMZ4S4bO
5,Vente Pa' Ca,Ricky Martin,5515,2017-01-06,pa,7DM4BPaS7uofFul3ywMe46
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,5318,2017-01-06,pa,5q2JbCNi4FcnglgPfxcV65
7,Let Me Love You,DJ Snake,5241,2017-01-06,pa,4pdPtRcBmOSQDlJ3Fk945m
8,Closer (feat. Halsey),The Chainsmokers,4456,2017-01-06,pa,7BKLCZ1jbUBVqRi2FVlTVw
9,Starboy,The Weeknd,4431,2017-01-06,pa,5aAx2yezTd8zXrkmtKl66Z
10,Dile Que Tu Me Quieres,Ozuna,4153,2017-01-06,pa,20ZAJdsKB5IGbGj4ilRt2o
11,Shape of You,Ed Sheeran,4083,2017-01-06,pa,7qiZfU4dY1lWllzX7mPBI3
12,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4032,2017-01-06,pa,6DNtNfH8hXkqOX1sjqmI7p
13,One Dance,Drake,3944,2017-01-06,pa,1xznGGDReH1oQq0xzbwXa3
14,24K Magic,Bruno Mars,3937,2017-01-06,pa,6b8Be6ljOzmkOmFslEb23P
15,Cuatro Babys,Maluma,3665,2017-01-06,pa,0JoHqmlqE0W0i9prt6kcHR
16,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3651,2017-01-06,pa,5knuzwU65gJK7IF5yJsuaW
17,Don't Wanna Know,Maroon 5,3634,2017-01-06,pa,5MFzQMkrl1FOOng9tq6R9r
18,Traicionera,Sebastian Yatra,3615,2017-01-06,pa,5J1c3M4EldCfNxXwrwt8mT
19,18 Plus - Original Mix,Afro Bros,3601,2017-01-06,pa,2Arqgg7QIb2zAxK6s69n2K
20,In the Name of Love,Martin Garrix,3508,2017-01-06,pa,04DwTuZ2VBdJCCC5TROn7L
21,La Bicicleta,Carlos Vives,3452,2017-01-06,pa,0sXvAOmXgjR2QUqLK1MltU
22,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,3443,2017-01-06,pa,2FrnTVSHjgnEylKGdHRUK1
23,Vacaciones,Wisin,3323,2017-01-06,pa,3dQDid3IUNhZy1OehIfYfE
24,Castle on the Hill,Ed Sheeran,3257,2017-01-06,pa,6PCUP3dWmTjcTtXY02oFdT
25,My Way,Calvin Harris,3199,2017-01-06,pa,1vvNmPOiUuyCbgWmtc6yfm
26,Privado,Rvssian,3089,2017-01-06,pa,11zRKpjEZwmcBBBGzB4pMn
27,Andas En Mi Cabeza,Chino & Nacho,3081,2017-01-06,pa,5mey7CLLuFToM2P68Qu1gF
28,Te Quiero Pa´Mi,Don Omar,3074,2017-01-06,pa,3BY2mafsbsoKGqS380Xnuz
29,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3007,2017-01-06,pa,6stYbAJgTszHAHZMPxWWCY
30,Sola,Anuel AA,2956,2017-01-06,pa,4Zke60QJMlW60qnXmYLdC8
31,I Feel It Coming,The Weeknd,2940,2017-01-06,pa,5GXAXm5YOmYT0kL5jHvYBt
32,Soy Peor,Bad Bunny,2934,2017-01-06,pa,5MT96Zz0ymUJNm8obKZQr0
33,Don't Let Me Down,The Chainsmokers,2933,2017-01-06,pa,0QsvXIfqM0zZoerQfsI9lm
34,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,2860,2017-01-06,pa,6NSMQFKgjpQb0KkjMDYIK0
35,Side To Side,Ariana Grande,2829,2017-01-06,pa,4pLwZjInHj3SimIyN9SnOz
36,Chillax (feat. Ky-Mani Marley),Farruko,2796,2017-01-06,pa,1lxswgIpzV6HhENRvkflES
37,Treat You Better,Shawn Mendes,2781,2017-01-06,pa,4Hf7WnR761jpxPr5D46Bcd
38,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2718,2017-01-06,pa,17Fd6Yb7mSbinKG8LoWfFl
39,Me Llamas (feat. Maluma) - Remix,Piso 21,2595,2017-01-06,pa,5hEM0JchdVzQ5PwvSfITeX
40,Shaky Shaky,Daddy Yankee,2565,2017-01-06,pa,58IL315gMSTD37DOZPJ2hf
41,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2521,2017-01-06,pa,3NdDpSvN911VPGivFlV5d0
42,Cheap Thrills,Sia,2486,2017-01-06,pa,27SdWb2rFzO6GWiYDBTD9j
43,Heathens,Twenty One Pilots,2463,2017-01-06,pa,6i0V12jOa3mr6uu4WYhUBr
44,Bobo,J Balvin,2440,2017-01-06,pa,7AtlMCIauSQZqiXSlbBPW6
45,Bailame Despacio,Xantos,2406,2017-01-06,pa,4OaTpLJIa2harufGxfOPUu
46,We Don't Talk Anymore,Charlie Puth,2384,2017-01-06,pa,68EMU2RD1ECNeOeJ5qAXCV
47,Borro Cassette,Maluma,2365,2017-01-06,pa,6DUdDIRgLqCGq1DwkNWQTN
48,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2361,2017-01-06,pa,2SSYqDX8KTgy01NlqtUo0F
49,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)",De La Ghetto,2353,2017-01-06,pa,498YWgZPJWIA4lphXtCNma
50,Black Beatles,Rae Sremmurd,2318,2017-01-06,pa,6fujklziTHa8uoM5OQSfIo
51,DUELE EL CORAZON,Enrique Iglesias,2300,2017-01-06,pa,6YZdkObH88npeKrrkb8Ggf
52,Hasta Que Se Seque el Malecón - Remix,Jacob Forever,2190,2017-01-06,pa,6sMPwcpYtxm1mlgYbp1B0t
53,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2175,2017-01-06,pa,6JV2JOEocMgcZxYSZelKcc
54,This Is What You Came For,Calvin Harris,1981,2017-01-06,pa,0azC730Exh71aQlOt9Zj3y
55,Just Hold On,Steve Aoki,1918,2017-01-06,pa,3EmmCZoqpWOTY1g2GBwJoR
56,Fake Love,Drake,1820,2017-01-06,pa,343YBumqHu19cGoGARUTsd
57,Gyal You A Party Animal - Remix,Charly Black,1762,2017-01-06,pa,1AkTW13ysu0AJrwuM6UY0I
58,All We Know,The Chainsmokers,1640,2017-01-06,pa,2rizacJSyD9S1IQUxUxnsK
59,Me Rehúso,Danny Ocean,1583,2017-01-06,pa,6De0lHrwBfPfrhorm9q1Xl
60,By Your Side,Jonas Blue,1502,2017-01-06,pa,1D3ODoXHBLpdxolZRHWV1j
61,Mercy,Shawn Mendes,1485,2017-01-06,pa,4TZy1wLyHec06pwgFYDh1a
62,Call On Me - Ryan Riback Extended Remix,Starley,1477,2017-01-06,pa,78rIJddV4X0HkNAInEcYde
63,Deja Que Te Bese,Alejandro Sanz,1467,2017-01-06,pa,0s6yB0ZFl1LvYHAnGhXFga
64,The Greatest (feat. Kendrick Lamar),Sia,1449,2017-01-06,pa,7xHWNBFm6ObGEQPaUxHuKO
65,Hola,Joey Montana,1432,2017-01-06,pa,03h8eaVgdJJ14cCKiO4ONX
66,Say You Won't Let Go,James Arthur,1427,2017-01-06,pa,5uCax9HTNlzGybIStD3vDh
67,Desde Esa Noche,Thalía,1424,2017-01-06,pa,1pWYnQIlqxTh5bxuPmTG4E
68,Hasta el Amanecer,Nicky Jam,1417,2017-01-06,pa,5Fim1gaXBgsiFfsQAfQSDS
69,Me Ama Me Odia,Ozuna,1401,2017-01-06,pa,6041gM9Th1ViQcnzkIxnuv
70,Perfect Strangers,Jonas Blue,1365,2017-01-06,pa,1CUVN2kn7mW5FjkqXTR2W1
71,Gyal You A Party Animal,Charly Black,1360,2017-01-06,pa,1mSzZKMIPZIkn3jFV7v62b
72,Photograph,Ed Sheeran,1326,2017-01-06,pa,6fxVffaTuwjgEk5h9QyRjy
73,Bad Things (with Camila Cabello),Machine Gun Kelly,1319,2017-01-06,pa,1PSBzsahR2AKwLJgx8ehBj
74,Thinking out Loud,Ed Sheeran,1317,2017-01-06,pa,1Slwb6dOYkBlWal1PGtnNg
75,Mi tesoro (feat. Nicky Jam),Zion & Lennox,1313,2017-01-06,pa,5HABnFSYvl6mTmg8nSdzHa
76,Baila Conmigo,Juan Magán,1312,2017-01-06,pa,772io14jrMTxGJbijtDccQ
77,Cake By The Ocean,DNCE,1310,2017-01-06,pa,2aFiaMXmWsM3Vj72F9ksBl
78,Love Yourself,Justin Bieber,1296,2017-01-06,pa,3hB5DgAiMAQ4DzYbsMq1IT
79,Starving,Hailee Steinfeld,1287,2017-01-06,pa,1qOLh0tI7trd1zdDKxYZTe
80,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1283,2017-01-06,pa,4tCtwWceOPWzenK2HAIJSb
81,Work,Rihanna,1277,2017-01-06,pa,14WWzenpaEgQZlqPq2nk4v
82,La Gozadera,Gente De Zona,1271,2017-01-06,pa,0OMRAvrtLWE2TvcXorRiB9
83,Hymn for the Weekend - Seeb Remix,Coldplay,1252,2017-01-06,pa,1OAiWI2oPmglaOiv9fdioU
84,Fuego,Juanes,1246,2017-01-06,pa,0mwPE0lPOgnWf2bo14xedJ
85,Sorry,Justin Bieber,1240,2017-01-06,pa,69bp2EbF7Q2rqc5N3ylezZ
86,Caile (feat. Zion & De La Ghetto),Revol,1235,2017-01-06,pa,626rYyBfeAeleh1F5t4B70
87,Traicionera - Remix,Sebastian Yatra,1234,2017-01-06,pa,2webQDZmtGioeu3zUUi9We
88,Por Fin Te Encontré,Cali Y El Dandee,1210,2017-01-06,pa,3GpvoKKWZyTwgbLEM9RmWM
89,Ride,Twenty One Pilots,1209,2017-01-06,pa,2Z8WuEywRWYTKe1NybPQEW
90,Faded,Alan Walker,1208,2017-01-06,pa,7gHs73wELdeycvS48JfIos
91,Manicomio,Cosculluela,1189,2017-01-06,pa,3n58u3LOFw8mITLvfPvQBz
92,Shed a Light,Robin Schulz,1189,2017-01-06,pa,1cG0umU5TKStygKsPFZ9pY
93,En La Intimidad,Ozuna,1177,2017-01-06,pa,0QetVR4wwvyiTezQeFNdeZ
94,Too Good,Drake,1171,2017-01-06,pa,11KJSRSgaDxqydKYiD2Jew
95,Encantadora - Remix,Yandel,1170,2017-01-06,pa,0EpFfFZpCuqYFzHvxOtrZS
96,Tan Fácil,CNCO,1153,2017-01-06,pa,1TxgZRcy3kZ7JaEp88MDbC
97,"Ella y Yo (feat. Farruko, Tempo, Anuel Aa, Almighty & Bryant Myers)",Pepe Quintana,1151,2017-01-06,pa,2rEkxxDFjrbiNjZZvzZf5q
98,El Perdedor - The Remix,Maluma,1137,2017-01-06,pa,4QsPTKvdpgkA7mBAvclZTa
99,Hear Me Now,Alok,1133,2017-01-06,pa,1a5Yu5L18qNxVhXx38njON
100,Love Me Now,John Legend,1123,2017-01-06,pa,6nxQdXa1uAL0rY72wPZu89
101,Alone,Alan Walker,1110,2017-01-06,pa,0JiVRyTJcJnmlwCZ854K4p
102,47,Anuel AA,1106,2017-01-06,pa,7KhBQ6XFeAGrQzyT28MWvP
103,Ginza,J Balvin,1090,2017-01-06,pa,5N8nNuTmIzkZOfcxXlygUw
104,Scars To Your Beautiful,Alessia Cara,1083,2017-01-06,pa,0prNGof3XqfTvNDxHonvdK
105,De Pies A Cabeza,Maná,1072,2017-01-06,pa,2CkHE54EH44Qj945ynQRw7
106,Ruleta Rusa,Kevin Roldan,1069,2017-01-06,pa,77KHmKnBmVGTjRCeMVXpWH
107,Si me dices que sí (feat. Nicky Jam),Cosculluela,1054,2017-01-06,pa,3noN1TxpjbjjmKqssghvg8
108,"How Far I'll Go - From ""Moana""",Alessia Cara,1051,2017-01-06,pa,5hYTyyh2odQKphUbMqc5gN
109,El chisme,Reykon,1035,2017-01-06,pa,4VXejnj5WgM6H72ct2fSgQ
110,Middle,DJ Snake,1029,2017-01-06,pa,4OZEu0Vwq0RB2LAq14v99n
111,The Mack,Nevada,1018,2017-01-06,pa,7aV2mflaASUmGhCErm7kBO
112,Obsesionado,Farruko,1006,2017-01-06,pa,5Jt4zdXTd9y1zxihiNYQI1
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,7219,2017-01-13,pa,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,7171,2017-01-13,pa,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,6627,2017-01-13,pa,3QwBODjSEzelZyVjxPOHdq
4,Shape of You,Ed Sheeran,6156,2017-01-13,pa,7qiZfU4dY1lWllzX7mPBI3
5,Safari,J Balvin,5838,2017-01-13,pa,6rQSrBHf7HlZjtcMZ4S4bO
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,5675,2017-01-13,pa,5q2JbCNi4FcnglgPfxcV65
7,Vente Pa' Ca,Ricky Martin,5097,2017-01-13,pa,7DM4BPaS7uofFul3ywMe46
8,Let Me Love You,DJ Snake,5043,2017-01-13,pa,4pdPtRcBmOSQDlJ3Fk945m
9,Starboy,The Weeknd,4422,2017-01-13,pa,5aAx2yezTd8zXrkmtKl66Z
10,Closer (feat. Halsey),The Chainsmokers,4403,2017-01-13,pa,7BKLCZ1jbUBVqRi2FVlTVw
11,Dile Que Tu Me Quieres,Ozuna,4308,2017-01-13,pa,20ZAJdsKB5IGbGj4ilRt2o
12,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3950,2017-01-13,pa,5knuzwU65gJK7IF5yJsuaW
13,Cold Water (feat. Justin Bieber & MØ),Major Lazer,3894,2017-01-13,pa,6DNtNfH8hXkqOX1sjqmI7p
14,24K Magic,Bruno Mars,3824,2017-01-13,pa,6b8Be6ljOzmkOmFslEb23P
15,One Dance,Drake,3802,2017-01-13,pa,1xznGGDReH1oQq0xzbwXa3
16,Don't Wanna Know,Maroon 5,3775,2017-01-13,pa,5MFzQMkrl1FOOng9tq6R9r
17,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,3715,2017-01-13,pa,2FrnTVSHjgnEylKGdHRUK1
18,Cuatro Babys,Maluma,3670,2017-01-13,pa,0JoHqmlqE0W0i9prt6kcHR
19,Traicionera,Sebastian Yatra,3652,2017-01-13,pa,5J1c3M4EldCfNxXwrwt8mT
20,Soy Peor,Bad Bunny,3545,2017-01-13,pa,5MT96Zz0ymUJNm8obKZQr0
