Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,43786,2017-01-06,pe,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,41813,2017-01-06,pe,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,35344,2017-01-06,pe,3QwBODjSEzelZyVjxPOHdq
4,Safari,J Balvin,33743,2017-01-06,pe,6rQSrBHf7HlZjtcMZ4S4bO
5,Vente Pa' Ca,Ricky Martin,30583,2017-01-06,pe,7DM4BPaS7uofFul3ywMe46
6,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,29110,2017-01-06,pe,6stYbAJgTszHAHZMPxWWCY
7,Let Me Love You,DJ Snake,27544,2017-01-06,pe,4pdPtRcBmOSQDlJ3Fk945m
8,Shaky Shaky,Daddy Yankee,26772,2017-01-06,pe,58IL315gMSTD37DOZPJ2hf
9,La Bicicleta,Carlos Vives,26256,2017-01-06,pe,0sXvAOmXgjR2QUqLK1MltU
10,24K Magic,Bruno Mars,23500,2017-01-06,pe,6b8Be6ljOzmkOmFslEb23P
11,Andas En Mi Cabeza,Chino & Nacho,21809,2017-01-06,pe,5mey7CLLuFToM2P68Qu1gF
12,Starboy,The Weeknd,21252,2017-01-06,pe,5aAx2yezTd8zXrkmtKl66Z
13,Closer (feat. Halsey),The Chainsmokers,20720,2017-01-06,pe,7BKLCZ1jbUBVqRi2FVlTVw
14,Cuatro Babys,Maluma,20677,2017-01-06,pe,0JoHqmlqE0W0i9prt6kcHR
15,Dile Que Tu Me Quieres,Ozuna,20613,2017-01-06,pe,20ZAJdsKB5IGbGj4ilRt2o
16,Don't Wanna Know,Maroon 5,20472,2017-01-06,pe,5MFzQMkrl1FOOng9tq6R9r
17,One Dance,Drake,20077,2017-01-06,pe,1xznGGDReH1oQq0xzbwXa3
18,Traicionera,Sebastian Yatra,19949,2017-01-06,pe,5J1c3M4EldCfNxXwrwt8mT
19,Shape of You,Ed Sheeran,19929,2017-01-06,pe,7qiZfU4dY1lWllzX7mPBI3
