Position,Track Name,Artist,Streams,date,region,spotify_id
1,Versace on the Floor,Bruno Mars,247797,2017-01-06,ph,0kN8xEmgMW9mh7UmDYHlJP
2,Say You Won't Let Go,James Arthur,235300,2017-01-06,ph,5uCax9HTNlzGybIStD3vDh
3,Shape of You,Ed Sheeran,199901,2017-01-06,ph,7qiZfU4dY1lWllzX7mPBI3
4,Closer (feat. Halsey),The Chainsmokers,174042,2017-01-06,ph,7BKLCZ1jbUBVqRi2FVlTVw
5,Castle on the Hill,Ed Sheeran,159080,2017-01-06,ph,6PCUP3dWmTjcTtXY02oFdT
6,Don't Wanna Know,Maroon 5,153367,2017-01-06,ph,5MFzQMkrl1FOOng9tq6R9r
7,All We Know,The Chainsmokers,152410,2017-01-06,ph,2rizacJSyD9S1IQUxUxnsK
8,24K Magic,Bruno Mars,150677,2017-01-06,ph,6b8Be6ljOzmkOmFslEb23P
9,Starving,Hailee Steinfeld,140575,2017-01-06,ph,1qOLh0tI7trd1zdDKxYZTe
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,139245,2017-01-06,ph,3NdDpSvN911VPGivFlV5d0
11,"How Far I'll Go - From ""Moana""",Alessia Cara,136356,2017-01-06,ph,5hYTyyh2odQKphUbMqc5gN
12,Starboy,The Weeknd,125419,2017-01-06,ph,5aAx2yezTd8zXrkmtKl66Z
13,Bad Things (with Camila Cabello),Machine Gun Kelly,124564,2017-01-06,ph,1PSBzsahR2AKwLJgx8ehBj
14,Let Me Love You,DJ Snake,118144,2017-01-06,ph,4pdPtRcBmOSQDlJ3Fk945m
15,Cold Water (feat. Justin Bieber & MØ),Major Lazer,111883,2017-01-06,ph,6DNtNfH8hXkqOX1sjqmI7p
16,Perfect Strangers,Jonas Blue,111763,2017-01-06,ph,1CUVN2kn7mW5FjkqXTR2W1
17,Call On Me - Ryan Riback Extended Remix,Starley,110394,2017-01-06,ph,78rIJddV4X0HkNAInEcYde
18,All Night,The Vamps,108249,2017-01-06,ph,1yNyoWWWikbLhwIGWjZuDW
19,In the Name of Love,Martin Garrix,104225,2017-01-06,ph,04DwTuZ2VBdJCCC5TROn7L
20,Jumpshot,Dawin,102043,2017-01-06,ph,4izP2KMwrhAdZEtIyp8Z8w
21,Side To Side,Ariana Grande,101957,2017-01-06,ph,4pLwZjInHj3SimIyN9SnOz
22,Fresh Eyes,Andy Grammer,98626,2017-01-06,ph,4nMlau89VAjmV7agkl7OY3
23,By Your Side,Jonas Blue,97099,2017-01-06,ph,1D3ODoXHBLpdxolZRHWV1j
24,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,95749,2017-01-06,ph,5knuzwU65gJK7IF5yJsuaW
25,Sila,SUD,92509,2017-01-06,ph,2IMODbij0lZ5CuAjZi0IDE
26,Treat You Better,Shawn Mendes,90279,2017-01-06,ph,4Hf7WnR761jpxPr5D46Bcd
27,Just Hold On,Steve Aoki,81912,2017-01-06,ph,3EmmCZoqpWOTY1g2GBwJoR
28,Setting Fires,The Chainsmokers,81850,2017-01-06,ph,0B8B8cVRFIG1yznoQe7c9s
29,We Don't Talk Anymore,Charlie Puth,79872,2017-01-06,ph,68EMU2RD1ECNeOeJ5qAXCV
30,Middle,DJ Snake,79367,2017-01-06,ph,4OZEu0Vwq0RB2LAq14v99n
31,Shout Out to My Ex,Little Mix,77972,2017-01-06,ph,0YHUITU3w6ws1v8ehT264g
32,"i hate u, i love u (feat. olivia o'brien)",gnash,73772,2017-01-06,ph,7vRriwrloYVaoAe3a9wJHe
33,Mercy,Shawn Mendes,71326,2017-01-06,ph,4TZy1wLyHec06pwgFYDh1a
34,Don't Let Me Down,The Chainsmokers,70798,2017-01-06,ph,0QsvXIfqM0zZoerQfsI9lm
35,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,70380,2017-01-06,ph,2wDjpPW3HZdA9quPPmZAMu
36,Scars To Your Beautiful,Alessia Cara,70273,2017-01-06,ph,0prNGof3XqfTvNDxHonvdK
37,YOUTH,Troye Sivan,69753,2017-01-06,ph,1cOyWWUr3oXJIxY0AjJEx9
38,Fake Love,Drake,69246,2017-01-06,ph,343YBumqHu19cGoGARUTsd
39,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,69067,2017-01-06,ph,6JV2JOEocMgcZxYSZelKcc
40,Pasensya Ka Na,Silent Sanctuary,68578,2017-01-06,ph,0YyM8aEdbjGfLWPn6fdcn7
41,I Feel It Coming,The Weeknd,67455,2017-01-06,ph,5GXAXm5YOmYT0kL5jHvYBt
42,Photograph,Ed Sheeran,65932,2017-01-06,ph,6fxVffaTuwjgEk5h9QyRjy
43,All Time Low,Jon Bellion,65436,2017-01-06,ph,1CnPYaKxTVb4LWOtiGOm0m
44,"Sit Still, Look Pretty",Daya,63405,2017-01-06,ph,2DpCdPMg1BADE4HDnxt3Rd
45,Tadhana,Up Dharma Down,62903,2017-01-06,ph,6NFKf8vBApSvtzkapYmnVR
46,You & Me,Marc E. Bassy,61034,2017-01-06,ph,4QdovcM8j50QPlyR7tH4xe
47,Black Beatles,Rae Sremmurd,60300,2017-01-06,ph,6fujklziTHa8uoM5OQSfIo
48,That's What I Like,Bruno Mars,59898,2017-01-06,ph,0KKkJNfGyhkQ5aFogxQAPU
49,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,59545,2017-01-06,ph,1lItf5ZXJc1by9SbPeljFd
50,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,59046,2017-01-06,ph,6M21eWbEw74XDdoQsNIinq
51,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,57868,2017-01-06,ph,40UroIGvsMPLPBYwH8rMNA
52,Sigurado,Up Dharma Down,57519,2017-01-06,ph,3T8yMLawoliJaN1hAGFFmv
53,The Ocean (feat. Shy Martin),Mike Perry,56879,2017-01-06,ph,2CPqh63wRVscbceKcPxwvv
54,Lot to Learn,Luke Christopher,51747,2017-01-06,ph,3TRFq09DUgYj1mug6RRqJW
55,Hanggang Kailan,Michael Pangilinan,41136,2017-01-06,ph,01YEqVPCm0vqRLA9w43bic
56,One Dance,Drake,40778,2017-01-06,ph,1xznGGDReH1oQq0xzbwXa3
57,The Mack,Nevada,40770,2017-01-06,ph,7aV2mflaASUmGhCErm7kBO
58,Secret Love Song (feat. Jason Derulo),Little Mix,40138,2017-01-06,ph,4JIo8RztBbELr2gWJ5OGK6
59,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,39010,2017-01-06,ph,5QVuf1MpdzFtFoJGwcKosa
60,I Would Like,Zara Larsson,37986,2017-01-06,ph,4Q4jmPHwu0wrJvqrld0FQ6
61,Nobody's Better (feat. Fetty Wap),Suzi,37596,2017-01-06,ph,6XKm1z5lYIq486iWMLnSFY
62,Paasa - T.A.N.G.A.,Yeng Constantino,36627,2017-01-06,ph,2XYb0tB6gqXObZqNsAoMYk
63,Caroline,Aminé,35369,2017-01-06,ph,5GFDrUTLGJix84sNhjCG0g
64,Roses,The Chainsmokers,35298,2017-01-06,ph,6O6M7pJLABmfBRoGZMu76Y
65,Hear Me Now,Alok,34450,2017-01-06,ph,1a5Yu5L18qNxVhXx38njON
66,This Is What You Came For,Calvin Harris,33296,2017-01-06,ph,0azC730Exh71aQlOt9Zj3y
67,The Scientist,Coldplay,33032,2017-01-06,ph,75JFxkI2RXiU7L9VXzMkle
68,Your Love - Dolce Amore Teleserye Theme,Juris,32816,2017-01-06,ph,2PcbtMoqOlGSzOfyJlkB06
69,Sunset Lover,Petit Biscuit,32368,2017-01-06,ph,0hNduWmlWmEmuwEFcYvRu1
70,Migraine,Moonstar88,31347,2017-01-06,ph,7sW3f7PqDV7BQ7qqeVBJIA
71,Wake Up Where You Are,State of Sound,30459,2017-01-06,ph,2s76aKBWKShlwPC4xTtEEE
72,Love Me Now,John Legend,30237,2017-01-06,ph,6nxQdXa1uAL0rY72wPZu89
73,Sidekick,Dawin,29725,2017-01-06,ph,7rQ7daaKRFhCz0TgFgAzU2
74,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,29654,2017-01-06,ph,4tCtwWceOPWzenK2HAIJSb
75,Sa'yo,Silent Sanctuary,29642,2017-01-06,ph,29xs643Q96uQLD8f7SxYYw
76,Love Yourself,Justin Bieber,29636,2017-01-06,ph,3hB5DgAiMAQ4DzYbsMq1IT
77,The Greatest (feat. Kendrick Lamar),Sia,29496,2017-01-06,ph,7xHWNBFm6ObGEQPaUxHuKO
78,We Can't Be,Krissy,28683,2017-01-06,ph,0mqJsNkF3MRtBkRhzVskVX
79,7 Years,Lukas Graham,28139,2017-01-06,ph,7129iqBafaphfc3WPCGC0L
80,Shed a Light,Robin Schulz,27948,2017-01-06,ph,1cG0umU5TKStygKsPFZ9pY
81,One Call Away,Charlie Puth,27889,2017-01-06,ph,6vSforRhuzsA0D0SO9fG1S
82,Hiling,Mark Carpio,27794,2017-01-06,ph,6xQs6y6CpDqK9VKCktApEL
83,Toothbrush,DNCE,27572,2017-01-06,ph,0CNjoQozZP0mB9rKVdrKGx
84,Cheap Thrills,Sia,27564,2017-01-06,ph,27SdWb2rFzO6GWiYDBTD9j
85,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,27309,2017-01-06,ph,2YlZnw2ikdb837oKMKjBkW
86,Final Song,MØ,27100,2017-01-06,ph,4qqArAiTPueDxIp7cf87h7
87,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,26887,2017-01-06,ph,0Dljpp52vCmtXi0E94qjfo
88,Send My Love (To Your New Lover),Adele,26122,2017-01-06,ph,4BHzQ9C00ceJxfG16AlNWb
89,I'm Not The Only One,Sam Smith,25964,2017-01-06,ph,0fioLzGM8ngbD1w6fMmm45
90,My Way,Calvin Harris,25873,2017-01-06,ph,1vvNmPOiUuyCbgWmtc6yfm
91,Weak,AJR,25821,2017-01-06,ph,3E2Zh20GDCR9B1EYjfXWyv
92,Someday,Nina,25779,2017-01-06,ph,1MkiRsYBkXbXvdiYvTTiQT
93,Chunky,Bruno Mars,25690,2017-01-06,ph,0mBKv9DkYfQHjdMcw2jdyI
94,Now and Later,Sage The Gemini,25661,2017-01-06,ph,43jBqV3j3Xi1g6wO0bhIMd
95,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,25247,2017-01-06,ph,17Fd6Yb7mSbinKG8LoWfFl
96,Tell Me Where It Hurts,MYMP,24575,2017-01-06,ph,6C2nrsOlb3jOUGcJAmPrTA
97,Collide - Acoustic Version,Howie Day,24558,2017-01-06,ph,5rwq6R0Uq0BngM3rdmCeNg
98,Faded,Alan Walker,24475,2017-01-06,ph,7gHs73wELdeycvS48JfIos
99,Beautiful Soul,Jesse McCartney,24175,2017-01-06,ph,1HwpWwa6bnqqRhK8agG4RS
100,So Sick,Ne-Yo,24000,2017-01-06,ph,4SRqDmPxYX0pUb5B5ut2Ri
101,True,Ryan Cabrera,23928,2017-01-06,ph,0jdeV5dSB3kUBRqe1xQJbh
102,Breakeven,The Script,23712,2017-01-06,ph,1a1i2IwXnUN0PjllVEhA4B
103,Broccoli (feat. Lil Yachty),DRAM,23569,2017-01-06,ph,7yyRTcZmCiyzzJlNzGC9Ol
104,Rainbow,South Border,23228,2017-01-06,ph,3VcVQmMivq2ISfKUmIuvMK
105,Prinsesa,6cyclemind,23155,2017-01-06,ph,2S80c51YXgJQhkhX603fMA
106,Paano Ba Ang Magmahal,Piolo Pascual,23093,2017-01-06,ph,2qqte0XT0eFFVLuNP7Qena
107,Iris,The Goo Goo Dolls,22877,2017-01-06,ph,6Qyc6fS4DsZjB2mRW9DsQs
108,Let Me Be the One,Julie Anne San Jose,22811,2017-01-06,ph,39V6cEoNFwDFRJEOKyj4OR
109,Hanap-Hanap,James Reid,22635,2017-01-06,ph,4ZgZPrrSLi4sIiFkiahuxq
110,Light,San Holo,22630,2017-01-06,ph,7zTx8ePYAmPFQuxP3xlXZn
111,Heathens,Twenty One Pilots,22569,2017-01-06,ph,6i0V12jOa3mr6uu4WYhUBr
112,Before I Let You Go,Freestyle,22005,2017-01-06,ph,1VvFtp71ibaXiHxurBlXuw
113,Into You,Ariana Grande,21702,2017-01-06,ph,7yHEDfrJNd0zWOfXwydNH0
114,Terrified,Katharine McPhee,21625,2017-01-06,ph,6vtOX9riyVzwJxj2SYTuES
115,The Man Who Can't Be Moved,The Script,21310,2017-01-06,ph,67EY6aDoIx8czEPS6a2AaI
116,When You Say Nothing At All,Boyzone,21111,2017-01-06,ph,5Z6DLYbekZkL8OvH54S4n0
117,To Love Again,Daryl Ong,21110,2017-01-06,ph,6k3b9NQnivP9wUhA7PgbOU
118,All I Ask,Adele,20991,2017-01-06,ph,1wMALZpuqAy7amQsFBWQ8m
119,You And Me,Lifehouse,20894,2017-01-06,ph,7L605WhF5EGf34ggj87yK6
120,Don't Leave,Snakehips,20768,2017-01-06,ph,0Zx8khUcEfCFK2AEoIhC92
121,Straight up & Down,Bruno Mars,20640,2017-01-06,ph,2mrZYZGmPFV3QOyYPZ1zsn
122,Lighthouse - Andrelli Remix,Hearts & Colors,20585,2017-01-06,ph,04CttTezSnv71USiiG9mIo
123,Cake By The Ocean,DNCE,20462,2017-01-06,ph,2aFiaMXmWsM3Vj72F9ksBl
124,I Was Made For Loving You,Tori Kelly,20376,2017-01-06,ph,3vOmmLuvEUgGaVuRsCs2QF
125,So Slow,Freestyle,20323,2017-01-06,ph,1A40ESJJPEEJrqjC9BUO2B
126,A Thousand Miles,Vanessa Carlton,20318,2017-01-06,ph,5y69gQtK33qxb8a24ACkCy
127,Water Under the Bridge,Adele,20243,2017-01-06,ph,4vb4mFvYsr2h6enhjJsq9Y
128,Thinking out Loud,Ed Sheeran,20120,2017-01-06,ph,1Slwb6dOYkBlWal1PGtnNg
129,Marvin Gaye (feat. Wale) - Remix,Charlie Puth,20038,2017-01-06,ph,4LfkoDOt4mhrbo8Ndk37sQ
130,Too Good to Say Goodbye,Bruno Mars,19941,2017-01-06,ph,0B0tYbVp7pDQAqKDhgMeaL
131,The A Team,Ed Sheeran,19913,2017-01-06,ph,1VdZ0vKfR5jneCmWIUAMxK
132,Chantaje (feat. Maluma),Shakira,19857,2017-01-06,ph,6mICuAdrwEjh6Y6lroV2Kg
133,Solo Dance,Martin Jensen,19810,2017-01-06,ph,6HUnnBwYZqcED1eQztxMBN
134,Lush Life,Zara Larsson,19790,2017-01-06,ph,1rIKgCH4H52lrvDcz50hS8
135,Take A Bow,Rihanna,19671,2017-01-06,ph,39afswHs17v53znQm1gDTY
136,Wherever You Will Go,The Calling,19658,2017-01-06,ph,5QpaGzWp0hwB5faV8dkbAz
137,I Got You,Bebe Rexha,19620,2017-01-06,ph,1FUViuNSldssMIawrOXF2i
138,Your Body Is a Wonderland,John Mayer,19602,2017-01-06,ph,7vFv0yFGMJW3qVXbAd9BK9
139,Stickwitu,The Pussycat Dolls,19359,2017-01-06,ph,5qmXgeIDa1lXB07pgAVlNM
140,Fast Car,Jonas Blue,19111,2017-01-06,ph,6OZh916QF8XNunWaP97WEZ
141,Meron Nang Iba,Silent Sanctuary,19111,2017-01-06,ph,4r7vGTk9HCW7YDorNWoclF
142,With a Smile,South Border,19014,2017-01-06,ph,6XmskR1cMfgys1W7dExmgi
143,More Than Words,Extreme,18984,2017-01-06,ph,1gVgkQFOKa8Wc1HYsJtPdH
144,It's Gotta Be You,Isaiah,18556,2017-01-06,ph,6cAKeFFYW2aClZSUyvqAEW
145,Hide Away,Daya,18524,2017-01-06,ph,4Z3qm2aWGTJuJKnv3EWwyD
146,Sorry,Justin Bieber,18328,2017-01-06,ph,69bp2EbF7Q2rqc5N3ylezZ
147,Make Me (Cry),Noah Cyrus,18205,2017-01-06,ph,2BrzlUj1u1CtvaJDGIKpsP
148,Sunday Morning,Maroon 5,18183,2017-01-06,ph,5qII2n90lVdPDcgXEEVHNy
149,Lucky,Jason Mraz,18094,2017-01-06,ph,2qLMf6TuEC3ruGJg4SMMN6
150,Bad and Boujee (feat. Lil Uzi Vert),Migos,18058,2017-01-06,ph,4Km5HrUvYTaSUfiSGPJeQR
151,Some Kind Of Drug,G-Eazy,17740,2017-01-06,ph,1Bqxj0aH5KewYHKUg1IdrF
