Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,89140,2017-01-06,pl,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,71681,2017-01-06,pl,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,33048,2017-01-06,pl,5knuzwU65gJK7IF5yJsuaW
4,Starboy,The Weeknd,31551,2017-01-06,pl,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,30348,2017-01-06,pl,3NdDpSvN911VPGivFlV5d0
6,Tuesday,Burak Yeter,29244,2017-01-06,pl,7abpmGpF7PGep2rDU68GBR
7,Let Me Love You,DJ Snake,27898,2017-01-06,pl,4pdPtRcBmOSQDlJ3Fk945m
8,Closer (feat. Halsey),The Chainsmokers,27888,2017-01-06,pl,7BKLCZ1jbUBVqRi2FVlTVw
9,Don't Wanna Know,Maroon 5,24693,2017-01-06,pl,5MFzQMkrl1FOOng9tq6R9r
10,Black Beatles,Rae Sremmurd,23101,2017-01-06,pl,6fujklziTHa8uoM5OQSfIo
11,Alone,Alan Walker,23022,2017-01-06,pl,0JiVRyTJcJnmlwCZ854K4p
12,Heathens,Twenty One Pilots,22994,2017-01-06,pl,6i0V12jOa3mr6uu4WYhUBr
13,I Feel It Coming,The Weeknd,22897,2017-01-06,pl,5GXAXm5YOmYT0kL5jHvYBt
14,In the Name of Love,Martin Garrix,22453,2017-01-06,pl,04DwTuZ2VBdJCCC5TROn7L
15,My Way,Calvin Harris,20442,2017-01-06,pl,1vvNmPOiUuyCbgWmtc6yfm
16,Just Hold On,Steve Aoki,19827,2017-01-06,pl,3EmmCZoqpWOTY1g2GBwJoR
17,Say You Won't Let Go,James Arthur,19668,2017-01-06,pl,5uCax9HTNlzGybIStD3vDh
18,Treat You Better,Shawn Mendes,19311,2017-01-06,pl,4Hf7WnR761jpxPr5D46Bcd
19,Cold Water (feat. Justin Bieber & MØ),Major Lazer,18856,2017-01-06,pl,6DNtNfH8hXkqOX1sjqmI7p
20,Human,Rag'n'Bone Man,18519,2017-01-06,pl,58zsLZPvfflaiIbNWoA22O
21,All We Know,The Chainsmokers,17748,2017-01-06,pl,2rizacJSyD9S1IQUxUxnsK
22,Fake Love,Drake,17537,2017-01-06,pl,343YBumqHu19cGoGARUTsd
23,Side To Side,Ariana Grande,17451,2017-01-06,pl,4pLwZjInHj3SimIyN9SnOz
24,One Dance,Drake,17213,2017-01-06,pl,1xznGGDReH1oQq0xzbwXa3
25,Mercy,Shawn Mendes,16996,2017-01-06,pl,4TZy1wLyHec06pwgFYDh1a
26,24K Magic,Bruno Mars,16325,2017-01-06,pl,6b8Be6ljOzmkOmFslEb23P
27,All Night,The Vamps,15892,2017-01-06,pl,1yNyoWWWikbLhwIGWjZuDW
28,Now and Later,Sage The Gemini,15794,2017-01-06,pl,43jBqV3j3Xi1g6wO0bhIMd
29,Cheap Thrills,Sia,15754,2017-01-06,pl,27SdWb2rFzO6GWiYDBTD9j
30,Bad Things (with Camila Cabello),Machine Gun Kelly,15180,2017-01-06,pl,1PSBzsahR2AKwLJgx8ehBj
31,Starving,Hailee Steinfeld,15176,2017-01-06,pl,1qOLh0tI7trd1zdDKxYZTe
32,Don't Let Me Down,The Chainsmokers,14982,2017-01-06,pl,0QsvXIfqM0zZoerQfsI9lm
33,By Your Side,Jonas Blue,14959,2017-01-06,pl,1D3ODoXHBLpdxolZRHWV1j
34,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,14467,2017-01-06,pl,4dASQiO1Eoo3RJvt74FtXB
35,Chantaje (feat. Maluma),Shakira,14272,2017-01-06,pl,6mICuAdrwEjh6Y6lroV2Kg
36,We Don't Talk Anymore,Charlie Puth,14192,2017-01-06,pl,68EMU2RD1ECNeOeJ5qAXCV
37,I Would Like,Zara Larsson,14115,2017-01-06,pl,4Q4jmPHwu0wrJvqrld0FQ6
38,Love On The Brain,Rihanna,14004,2017-01-06,pl,2aksifNn5ph8igDOkPBA02
39,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,13634,2017-01-06,pl,6JV2JOEocMgcZxYSZelKcc
40,Stressed Out,Twenty One Pilots,13414,2017-01-06,pl,3CRDbSIZ4r5MsZ0YwxuEkn
41,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,13153,2017-01-06,pl,17Fd6Yb7mSbinKG8LoWfFl
42,Shed a Light,Robin Schulz,12801,2017-01-06,pl,1cG0umU5TKStygKsPFZ9pY
43,Scars To Your Beautiful,Alessia Cara,12746,2017-01-06,pl,0prNGof3XqfTvNDxHonvdK
44,Love Me Now,John Legend,12080,2017-01-06,pl,6nxQdXa1uAL0rY72wPZu89
45,The Mack,Nevada,12032,2017-01-06,pl,7aV2mflaASUmGhCErm7kBO
46,Photograph,Ed Sheeran,11604,2017-01-06,pl,6fxVffaTuwjgEk5h9QyRjy
47,This Is What You Came For,Calvin Harris,11476,2017-01-06,pl,0azC730Exh71aQlOt9Zj3y
48,"How Far I'll Go - From ""Moana""",Alessia Cara,11270,2017-01-06,pl,5hYTyyh2odQKphUbMqc5gN
49,Ride,Twenty One Pilots,11201,2017-01-06,pl,2Z8WuEywRWYTKe1NybPQEW
50,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,11189,2017-01-06,pl,0tICYNayWWhH9GPeFrfjfD
51,Perfect Strangers,Jonas Blue,11145,2017-01-06,pl,1CUVN2kn7mW5FjkqXTR2W1
52,Faded,Alan Walker,11139,2017-01-06,pl,7gHs73wELdeycvS48JfIos
53,Hear Me Now,Alok,10353,2017-01-06,pl,1a5Yu5L18qNxVhXx38njON
54,The Greatest (feat. Kendrick Lamar),Sia,9745,2017-01-06,pl,7xHWNBFm6ObGEQPaUxHuKO
55,Romantic - NOTD Remix,Stanaj,9521,2017-01-06,pl,3SGWp9fJCzgK0WcpcKSQdy
56,Thinking out Loud,Ed Sheeran,9224,2017-01-06,pl,1Slwb6dOYkBlWal1PGtnNg
57,The A Team,Ed Sheeran,8538,2017-01-06,pl,1VdZ0vKfR5jneCmWIUAMxK
58,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,8464,2017-01-06,pl,4tCtwWceOPWzenK2HAIJSb
59,Don't Leave,Snakehips,8405,2017-01-06,pl,0Zx8khUcEfCFK2AEoIhC92
60,All Time Low,Jon Bellion,8205,2017-01-06,pl,1CnPYaKxTVb4LWOtiGOm0m
61,Bad and Boujee (feat. Lil Uzi Vert),Migos,8204,2017-01-06,pl,4Km5HrUvYTaSUfiSGPJeQR
62,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,7780,2017-01-06,pl,40UroIGvsMPLPBYwH8rMNA
63,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,7711,2017-01-06,pl,3B7udSGy2PfgoCniMSb523
64,Sunset Lover,Petit Biscuit,7644,2017-01-06,pl,0hNduWmlWmEmuwEFcYvRu1
65,Broccoli (feat. Lil Yachty),DRAM,7540,2017-01-06,pl,7yyRTcZmCiyzzJlNzGC9Ol
66,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,7396,2017-01-06,pl,2wDjpPW3HZdA9quPPmZAMu
67,Would I Lie to You - Radio Edit,David Guetta,7349,2017-01-06,pl,4PdJSsESm34djLfBde9Pr2
68,The Ocean (feat. Shy Martin),Mike Perry,7314,2017-01-06,pl,2CPqh63wRVscbceKcPxwvv
69,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,7298,2017-01-06,pl,0L7loeTIg6akW84aEQZpCT
70,Weak,AJR,7264,2017-01-06,pl,3E2Zh20GDCR9B1EYjfXWyv
71,Lost on You,LP,7210,2017-01-06,pl,3SqvR3HYLlCTYzbDXJ52OC
72,Move Your Body - Single Mix,Sia,7189,2017-01-06,pl,7ynCQo1KpBOyTdTdAnjSLZ
73,Say Something Loving,The xx,7183,2017-01-06,pl,728zbo72kOoYdGR3AhNsyF
74,Love Yourself,Justin Bieber,7179,2017-01-06,pl,3hB5DgAiMAQ4DzYbsMq1IT
75,Solo Dance,Martin Jensen,7115,2017-01-06,pl,6HUnnBwYZqcED1eQztxMBN
76,Drinkin' Too Much,Sam Hunt,7068,2017-01-06,pl,1PouCui4RgDYcrQVAqdYuf
77,Don't,Ed Sheeran,7061,2017-01-06,pl,6gTJaPuj8DT8RjuDJyBgzP
78,Caroline,Aminé,7009,2017-01-06,pl,5GFDrUTLGJix84sNhjCG0g
79,Magic Symphony,C-BooL,6883,2017-01-06,pl,3bWZoAaUDrLk0yLthtKSbl
80,Lordly (feat. Alex Aiono),Feder,6838,2017-01-06,pl,6c12fBpCtuVIq8OFxT0A3S
81,I Got You,Bebe Rexha,6799,2017-01-06,pl,1FUViuNSldssMIawrOXF2i
82,"Me, Myself & I",G-Eazy,6745,2017-01-06,pl,40YcuQysJ0KlGQTeGUosTC
83,Panda,Desiigner,6735,2017-01-06,pl,5OOkp4U9P9oL23maHFHL1h
84,Cake By The Ocean,DNCE,6704,2017-01-06,pl,2aFiaMXmWsM3Vj72F9ksBl
85,Party Monster,The Weeknd,6631,2017-01-06,pl,4F7A0DXBrmUAkp32uenhZt
86,Make Me (Cry),Noah Cyrus,6615,2017-01-06,pl,2BrzlUj1u1CtvaJDGIKpsP
87,Lean On (feat. MØ & DJ Snake),Major Lazer,6540,2017-01-06,pl,4WjH9Bzt3kx7z8kl0awxh4
88,7 Years,Lukas Graham,6387,2017-01-06,pl,7129iqBafaphfc3WPCGC0L
89,Give Me Love,Ed Sheeran,6386,2017-01-06,pl,0SuG9kyzGRpDqrCWtgD6Lq
90,Libre,Alvaro Soler,6383,2017-01-06,pl,5kJcB36r5JXwFa8jsDPlyj
91,Hymn for the Weekend - Seeb Remix,Coldplay,6378,2017-01-06,pl,1OAiWI2oPmglaOiv9fdioU
92,Fast Car,Jonas Blue,6377,2017-01-06,pl,6OZh916QF8XNunWaP97WEZ
93,Work,Rihanna,6250,2017-01-06,pl,14WWzenpaEgQZlqPq2nk4v
94,The Greatest,Sia,6221,2017-01-06,pl,6bLopGnirdrilrpdVB6Um1
95,Setting Fires,The Chainsmokers,6122,2017-01-06,pl,0B8B8cVRFIG1yznoQe7c9s
96,Into You,Ariana Grande,6064,2017-01-06,pl,7yHEDfrJNd0zWOfXwydNH0
97,Sex,Cheat Codes,6038,2017-01-06,pl,5DA77EqppDmCTWGovd4oTP
98,Sorry,Justin Bieber,6001,2017-01-06,pl,69bp2EbF7Q2rqc5N3ylezZ
99,Lot to Learn,Luke Christopher,5983,2017-01-06,pl,3TRFq09DUgYj1mug6RRqJW
100,Water Under the Bridge,Adele,5969,2017-01-06,pl,4vb4mFvYsr2h6enhjJsq9Y
101,Light,San Holo,5888,2017-01-06,pl,7zTx8ePYAmPFQuxP3xlXZn
102,So Close,Andrew McMahon in the Wilderness,5878,2017-01-06,pl,4ggbSF8UUSSO0wM5SockJ2
103,Dynamite (feat. Pretty Sister),Nause,5858,2017-01-06,pl,2Ae5awwKvQpTBKQHr1TYCg
104,Feel Me,Tyga,5823,2017-01-06,pl,2Cth0v1xri32oZ799rL3rl
105,Hymn for the Weekend,Coldplay,5774,2017-01-06,pl,3RiPr603aXAoi4GHyXx0uy
106,Kisses Back,Matthew Koma,5737,2017-01-06,pl,2vu1gO7FXJ35Vz71Ra4hnz
107,Send My Love (To Your New Lover),Adele,5727,2017-01-06,pl,4BHzQ9C00ceJxfG16AlNWb
108,Some Kind Of Drug,G-Eazy,5657,2017-01-06,pl,1Bqxj0aH5KewYHKUg1IdrF
109,Kill Em With Kindness,Selena Gomez,5656,2017-01-06,pl,7KxhSJOYiqCDclXDBNlFSZ
110,Sugar (feat. Francesco Yates),Robin Schulz,5613,2017-01-06,pl,5tf1VVWniHgryyumXyJM7w
111,No Money,Galantis,5442,2017-01-06,pl,0gb1J5UrTpzaU1s3nupgCd
112,Never Be Like You,Flume,5426,2017-01-06,pl,12REd1n8PeiHHWOh066tpr
113,Not Going Home,DVBBS,5423,2017-01-06,pl,042x9bsUBWW2fJgJ6fUh61
114,Lighthouse - Andrelli Remix,Hearts & Colors,5417,2017-01-06,pl,04CttTezSnv71USiiG9mIo
115,Capsize,FRENSHIP,5368,2017-01-06,pl,2XMTqoHHSH0lvuXrvIEdco
116,Stitches,Shawn Mendes,5346,2017-01-06,pl,1WP1r7fuvRqZRnUaTi2I1Q
117,Tenerife Sea,Ed Sheeran,5317,2017-01-06,pl,6vSwxzO2Qf4BinHSXRwZJe
118,Final Song,MØ,5287,2017-01-06,pl,4qqArAiTPueDxIp7cf87h7
119,Lay It All on Me,Rudimental,5283,2017-01-06,pl,0vbbhcA6okLzvsy6WSTlLg
120,Call On Me - Ryan Riback Remix,Starley,5223,2017-01-06,pl,0JrkvlLEPhkaztvo2L9UG0
121,Sing Me to Sleep,Alan Walker,5203,2017-01-06,pl,2Fjz5ZC5BvFdCqcnTZ3ilH
122,Came Up (feat. Post Malone & Key!) - Casper & B. Remix,Flosstradamus,5199,2017-01-06,pl,5XTIGcdUxuJA0m1Rxa6D6I
123,Take Me To Church,Hozier,5153,2017-01-06,pl,0IqKeD8ZSP72KbGYyzEcAs
124,Needed Me,Rihanna,5072,2017-01-06,pl,1Tt4sE4pXi57mTD1GCzsqm
125,Ain't My Fault,Zara Larsson,5072,2017-01-06,pl,0ADG9OgdVTL7fgREP75BrZ
