Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,30145,2017-01-06,pt,7qiZfU4dY1lWllzX7mPBI3
2,Starboy,The Weeknd,25277,2017-01-06,pt,5aAx2yezTd8zXrkmtKl66Z
3,Castle on the Hill,Ed Sheeran,24230,2017-01-06,pt,6PCUP3dWmTjcTtXY02oFdT
4,I Feel It Coming,The Weeknd,16637,2017-01-06,pt,5GXAXm5YOmYT0kL5jHvYBt
5,Say You Won't Let Go,James Arthur,16431,2017-01-06,pt,5uCax9HTNlzGybIStD3vDh
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,16358,2017-01-06,pt,5knuzwU65gJK7IF5yJsuaW
7,Closer (feat. Halsey),The Chainsmokers,16240,2017-01-06,pt,7BKLCZ1jbUBVqRi2FVlTVw
8,Chantaje (feat. Maluma),Shakira,15900,2017-01-06,pt,6mICuAdrwEjh6Y6lroV2Kg
9,24K Magic,Bruno Mars,15730,2017-01-06,pt,6b8Be6ljOzmkOmFslEb23P
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,15204,2017-01-06,pt,3NdDpSvN911VPGivFlV5d0
11,Ca Bu Fla Ma Nau,Piruka,14923,2017-01-06,pt,1VdIgUz8lT0JAsnMZRBHzz
12,Let Me Love You,DJ Snake,14514,2017-01-06,pt,4pdPtRcBmOSQDlJ3Fk945m
13,Mercy,Shawn Mendes,14431,2017-01-06,pt,4TZy1wLyHec06pwgFYDh1a
14,Don't Wanna Know,Maroon 5,13907,2017-01-06,pt,5MFzQMkrl1FOOng9tq6R9r
15,Loucos,Matias Damásio,13265,2017-01-06,pt,49Fu8EcEOZ9OnpM1XpPpyU
16,One Dance,Drake,13208,2017-01-06,pt,1xznGGDReH1oQq0xzbwXa3
17,Cold Water (feat. Justin Bieber & MØ),Major Lazer,13069,2017-01-06,pt,6DNtNfH8hXkqOX1sjqmI7p
18,Fake Love,Drake,12839,2017-01-06,pt,343YBumqHu19cGoGARUTsd
19,My Way,Calvin Harris,11604,2017-01-06,pt,1vvNmPOiUuyCbgWmtc6yfm
20,Se Não Acordar Amanhã,Piruka,11553,2017-01-06,pt,4oWGtWd4deNrZZOopdmCwz
21,In the Name of Love,Martin Garrix,11194,2017-01-06,pt,04DwTuZ2VBdJCCC5TROn7L
22,Black Beatles,Rae Sremmurd,11070,2017-01-06,pt,6fujklziTHa8uoM5OQSfIo
23,Scars To Your Beautiful,Alessia Cara,10718,2017-01-06,pt,0prNGof3XqfTvNDxHonvdK
24,Hear Me Now,Alok,10564,2017-01-06,pt,1a5Yu5L18qNxVhXx38njON
25,Side To Side,Ariana Grande,10510,2017-01-06,pt,4pLwZjInHj3SimIyN9SnOz
26,Só Eu Sei,Virgul,10291,2017-01-06,pt,4bdnmTm3yx2W5wTmTewkVD
27,Just Hold On,Steve Aoki,10054,2017-01-06,pt,3EmmCZoqpWOTY1g2GBwJoR
28,Love Me Now,John Legend,9985,2017-01-06,pt,6nxQdXa1uAL0rY72wPZu89
29,Treat You Better,Shawn Mendes,9900,2017-01-06,pt,4Hf7WnR761jpxPr5D46Bcd
30,Heathens,Twenty One Pilots,9895,2017-01-06,pt,6i0V12jOa3mr6uu4WYhUBr
31,Dancing On My Own,Calum Scott,9568,2017-01-06,pt,02WacdrRpm4zlP8H7X6bnQ
32,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,9504,2017-01-06,pt,6JV2JOEocMgcZxYSZelKcc
33,Bad Things (with Camila Cabello),Machine Gun Kelly,9396,2017-01-06,pt,1PSBzsahR2AKwLJgx8ehBj
