Position,Track Name,Artist,Streams,date,region,spotify_id
1,Without Me,Halsey,6151,2018-12-14,ro,5p7ujcrUXASCNwRaWNHR1C
2,"thank u, next",Ariana Grande,5637,2018-12-14,ro,2rPE9A1vEgShuZxxzR2tZH
3,ZEZE (feat. Travis Scott & Offset),Kodak Black,5511,2018-12-14,ro,0FZ4Dmg8jJJAPJnvBIzD9z
4,imagine,Ariana Grande,5479,2018-12-14,ro,0todbbT9g5uQGbeFCiBf2F
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,5339,2018-12-14,ro,4w8niZpiMy6qz1mntFA5uM
6,SICKO MODE,Travis Scott,5240,2018-12-14,ro,2xLMifQCjDGFmkHkpNLD9h
7,All I Want for Christmas Is You,Mariah Carey,4500,2018-12-14,ro,0bYg9bo50gSsH3LtXe2SQn
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4389,2018-12-14,ro,1A6OTy97kk0mMdm78rHsm8
9,whoa (mind in awe),XXXTENTACION,4234,2018-12-14,ro,7pdF27mSDuPWhppnHAmWHa
10,BAD!,XXXTENTACION,4157,2018-12-14,ro,22An65gG31JLf9n18qjdhZ
11,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,4153,2018-12-14,ro,2LskIZrCeLxRvCiGP8gxlh
12,Jingle Bell Rock,Bobby Helms,3981,2018-12-14,ro,7vQbuQcyTflfCIOu3Uzzya
13,Going Bad (feat. Drake),Meek Mill,3930,2018-12-14,ro,2IRZnDFmlqMuOrYOLnZZyc
14,Better Now,Post Malone,3847,2018-12-14,ro,7dt6x5M1jzdTEt8oCbisTK
15,Manele,Spike,3739,2018-12-14,ro,4sjX0Ak7dlifrPCyC0NiqL
16,SAD!,XXXTENTACION,3698,2018-12-14,ro,3ee8Jmje8o58CHK66QrVC2
17,Rockin' Around The Christmas Tree,Brenda Lee,3695,2018-12-14,ro,2EjXfH91m7f8HiJN1yQg97
18,Last Christmas,Wham!,3637,2018-12-14,ro,2FRnf9qhLbvw8fu4IBXx78
19,Say My Name,David Guetta,3580,2018-12-14,ro,0YammaEkYSeo9vQYZ1OwS6
20,It's the Most Wonderful Time of the Year,Andy Williams,3474,2018-12-14,ro,5hslUAKq9I9CG2bAulFkHN
21,Moonlight,XXXTENTACION,3400,2018-12-14,ro,0JP9xo3adEtGSdUEISiszL
22,Abilli,Prny,3375,2018-12-14,ro,2msALltQH0lcNjYNaST6KD
23,Mo Bamba,Sheck Wes,3342,2018-12-14,ro,1xzBco0xcoJEDXktl7Jxrr
24,Sweet but Psycho,Ava Max,3166,2018-12-14,ro,25sgk305KZfyuqVBQIahim
25,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,3137,2018-12-14,ro,4Uy3kNxW2kB8AEoXljEcth
26,It's Beginning to Look a Lot like Christmas,Michael Bublé,3128,2018-12-14,ro,0lLdorYw7lVrJydTINhWdI
27,Santa Tell Me,Ariana Grande,3121,2018-12-14,ro,0lizgQ7Qw35od7CYaoMBZb
28,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,3119,2018-12-14,ro,27rdGxbavYJeBphck5MZAF
29,KIKA,6ix9ine,3081,2018-12-14,ro,6Gy7rXB6Ku5vIWC7WGWsl3
30,rockstar (feat. 21 Savage),Post Malone,2993,2018-12-14,ro,0e7ipj03S05BNilyu5bRzt
31,There You Are,ZAYN,2952,2018-12-14,ro,155EsNGoXo7XSVF84oTPam
32,Hope,The Chainsmokers,2951,2018-12-14,ro,4BiiOzZCrXEzHRLYcYFiD5
33,In My Mind,Dynoro,2906,2018-12-14,ro,0E9ZjEAyAwOXZ7wJC0PD33
34,TIC TOC,6ix9ine,2897,2018-12-14,ro,4m5Cd9kAbIxg6t9sMrQWtk
35,Shallow,Lady Gaga,2889,2018-12-14,ro,2VxeLyX666F8uXCJ0dZF8B
36,Lost Control,Alan Walker,2855,2018-12-14,ro,0lG6QM1jjbbX5UUn3DPmrZ
37,Lucid Dreams,Juice WRLD,2744,2018-12-14,ro,285pBltuF7vW8TeWk8hdRR
38,when the party's over,Billie Eilish,2728,2018-12-14,ro,14JzyD6FlBD5z0wV5P07YI
39,Let You Love Me,Rita Ora,2727,2018-12-14,ro,5Fla3zyOCcIRqrDoKLU0DP
40,Taste (feat. Offset),Tyga,2667,2018-12-14,ro,5IaHrVsrferBYDm0bDyABy
41,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2661,2018-12-14,ro,5JEx7HbmvHQQswJCsoo9rA
42,MAMA,6ix9ine,2632,2018-12-14,ro,1oJ8EDr2pv94IvSd6ZmDgo
43,MIA (feat. Drake),Bad Bunny,2621,2018-12-14,ro,116H0KvKr2Zl4RPuVBruDO
44,Wake Up in the Sky,Gucci Mane,2604,2018-12-14,ro,2G1tXoGBaEMJ7FKGnkf6ud
45,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2586,2018-12-14,ro,7inXu0Eaeg02VsM8kHNvzM
46,FEFE,6ix9ine,2585,2018-12-14,ro,4QIyEq7TcTdAcxjI2AFlAK
47,Nonstop,Drake,2559,2018-12-14,ro,0TlLq3lA83rQOYtrqBqSct
48,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2542,2018-12-14,ro,78QR3Wp35dqAhFEc2qAGjE
49,Happier,Marshmello,2513,2018-12-14,ro,2dpaYNEQHiRxtZbfNsse99
50,Diamond Heart,Alan Walker,2511,2018-12-14,ro,0nrWZWkJM62ftQJSI8fDc0
51,Lucky You (feat. Joyner Lucas),Eminem,2511,2018-12-14,ro,60SdxE8apGAxMiRrpbmLY0
52,Bohemian Rhapsody - 2011 Mix,Queen,2476,2018-12-14,ro,7tFiyTwD0nx5a1eklYtX2J
53,Venom - Music From The Motion Picture,Eminem,2453,2018-12-14,ro,2SL6oP2YAEQbqsrkOzRGO4
54,Youngblood,5 Seconds of Summer,2435,2018-12-14,ro,2iUXsYOEPhVqEBwsqP70rE
55,Eastside (with Halsey & Khalid),benny blanco,2434,2018-12-14,ro,7FGq80cy8juXBCD2nrqdWU
56,Jocelyn Flores,XXXTENTACION,2432,2018-12-14,ro,7m9OqQk4RVRkw9JJdeAw96
57,Leave Me Alone,Flipp Dinero,2412,2018-12-14,ro,14mHfNsSHN0FbLftyjrV9g
58,Kiss and Make Up,Dua Lipa,2398,2018-12-14,ro,13hvHEstJ4sNbzdroPrPI3
59,Better,Khalid,2370,2018-12-14,ro,6zeeWid2sgw4lap2jV61PZ
60,Happy Now,Kygo,2368,2018-12-14,ro,14sOS5L36385FJ3OL8hew4
61,Falling Down - Bonus Track,Lil Peep,2330,2018-12-14,ro,4jvjzW7Hm0yK4LvvE0Paz9
62,Woman Like Me (feat. Nicki Minaj),Little Mix,2307,2018-12-14,ro,222B3aljXx6fFwKmFjuBED
63,Promises (with Sam Smith),Calvin Harris,2290,2018-12-14,ro,5N5k9nd479b1xpDZ4usjrg
64,Scared of the Dark (feat. XXXTENTACION),Lil Wayne,2286,2018-12-14,ro,3vWzyGTu6Ovo1GdrcJqH6e
65,Girls Like You (feat. Cardi B),Maroon 5,2270,2018-12-14,ro,7fa9MBXhVfQ8P8Df9OEbD8
66,Do They Know It's Christmas? - 1984 Version,Band Aid,2201,2018-12-14,ro,0247StOpd3AkeBQzANX4Zf
67,Ruin My Life,Zara Larsson,2186,2018-12-14,ro,5tAa8Uaqr4VvA3693mbIhU
68,No Stylist,French Montana,2165,2018-12-14,ro,04MLEeAMuV9IlHEsD8vF6A
69,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2160,2018-12-14,ro,7ycWLEP1GsNjVvcjawXz3z
70,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2151,2018-12-14,ro,2uFaJJtFpPDc5Pa95XzTvg
71,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,2115,2018-12-14,ro,7Lbxvt42JsNSKVCaN63qhD
72,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2082,2018-12-14,ro,6mQLN3zRtAp6ovjusyYKrV
73,Believer,Imagine Dragons,2058,2018-12-14,ro,0pqnGHJpmpxLKifKRmU6WP
74,I Like It,Cardi B,2054,2018-12-14,ro,58q2HKrzhC3ozto2nDdN4z
