Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,238154,2017-01-06,se,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,227777,2017-01-06,se,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,179049,2017-01-06,se,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,171494,2017-01-06,se,5knuzwU65gJK7IF5yJsuaW
5,Alone,Alan Walker,155879,2017-01-06,se,0JiVRyTJcJnmlwCZ854K4p
6,Say You Won't Let Go,James Arthur,144126,2017-01-06,se,5uCax9HTNlzGybIStD3vDh
7,Call On Me - Ryan Riback Extended Remix,Starley,142158,2017-01-06,se,78rIJddV4X0HkNAInEcYde
8,Solo Dance,Martin Jensen,131470,2017-01-06,se,6HUnnBwYZqcED1eQztxMBN
9,Starboy,The Weeknd,126705,2017-01-06,se,5aAx2yezTd8zXrkmtKl66Z
10,I Feel It Coming,The Weeknd,121282,2017-01-06,se,5GXAXm5YOmYT0kL5jHvYBt
11,Hear Me Now,Alok,109797,2017-01-06,se,1a5Yu5L18qNxVhXx38njON
12,5 fine frøkner,Gabrielle,105420,2017-01-06,se,2tFgv3sLFNc088KLtjxzVa
13,Now and Later,Sage The Gemini,101053,2017-01-06,se,43jBqV3j3Xi1g6wO0bhIMd
14,Let Me Love You,DJ Snake,100467,2017-01-06,se,4pdPtRcBmOSQDlJ3Fk945m
15,Closer (feat. Halsey),The Chainsmokers,96687,2017-01-06,se,7BKLCZ1jbUBVqRi2FVlTVw
16,Super 8,Danny Saucedo,94874,2017-01-06,se,7dWJBwpPuUWqUoTZ0FXQg5
17,I Would Like,Zara Larsson,93545,2017-01-06,se,4Q4jmPHwu0wrJvqrld0FQ6
18,Just Hold On,Steve Aoki,87268,2017-01-06,se,3EmmCZoqpWOTY1g2GBwJoR
19,Black Beatles,Rae Sremmurd,86341,2017-01-06,se,6fujklziTHa8uoM5OQSfIo
20,All Night,The Vamps,86139,2017-01-06,se,1yNyoWWWikbLhwIGWjZuDW
21,Don't Wanna Know,Maroon 5,85545,2017-01-06,se,5MFzQMkrl1FOOng9tq6R9r
22,Make Me (Cry),Noah Cyrus,78300,2017-01-06,se,2BrzlUj1u1CtvaJDGIKpsP
