Position,Track Name,Artist,Streams,date,region,spotify_id
1,Say You Won't Let Go,James Arthur,35709,2017-01-06,sg,5uCax9HTNlzGybIStD3vDh
2,Closer (feat. Halsey),The Chainsmokers,35447,2017-01-06,sg,7BKLCZ1jbUBVqRi2FVlTVw
3,Shape of You,Ed Sheeran,33579,2017-01-06,sg,7qiZfU4dY1lWllzX7mPBI3
4,Starboy,The Weeknd,33407,2017-01-06,sg,5aAx2yezTd8zXrkmtKl66Z
5,Castle on the Hill,Ed Sheeran,31984,2017-01-06,sg,6PCUP3dWmTjcTtXY02oFdT
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,29589,2017-01-06,sg,3NdDpSvN911VPGivFlV5d0
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28350,2017-01-06,sg,5knuzwU65gJK7IF5yJsuaW
8,Let Me Love You,DJ Snake,27763,2017-01-06,sg,4pdPtRcBmOSQDlJ3Fk945m
9,Don't Wanna Know,Maroon 5,27141,2017-01-06,sg,5MFzQMkrl1FOOng9tq6R9r
10,All We Know,The Chainsmokers,26905,2017-01-06,sg,2rizacJSyD9S1IQUxUxnsK
11,Bad Things (with Camila Cabello),Machine Gun Kelly,26366,2017-01-06,sg,1PSBzsahR2AKwLJgx8ehBj
12,Just Hold On,Steve Aoki,22652,2017-01-06,sg,3EmmCZoqpWOTY1g2GBwJoR
13,24K Magic,Bruno Mars,22649,2017-01-06,sg,6b8Be6ljOzmkOmFslEb23P
14,Call On Me - Ryan Riback Extended Remix,Starley,21223,2017-01-06,sg,78rIJddV4X0HkNAInEcYde
15,In the Name of Love,Martin Garrix,21069,2017-01-06,sg,04DwTuZ2VBdJCCC5TROn7L
16,Cold Water (feat. Justin Bieber & MØ),Major Lazer,21037,2017-01-06,sg,6DNtNfH8hXkqOX1sjqmI7p
17,"How Far I'll Go - From ""Moana""",Alessia Cara,21010,2017-01-06,sg,5hYTyyh2odQKphUbMqc5gN
18,I Feel It Coming,The Weeknd,20234,2017-01-06,sg,5GXAXm5YOmYT0kL5jHvYBt
19,Starving,Hailee Steinfeld,19991,2017-01-06,sg,1qOLh0tI7trd1zdDKxYZTe
20,All Night,The Vamps,19883,2017-01-06,sg,1yNyoWWWikbLhwIGWjZuDW
21,By Your Side,Jonas Blue,18537,2017-01-06,sg,1D3ODoXHBLpdxolZRHWV1j
22,Side To Side,Ariana Grande,18418,2017-01-06,sg,4pLwZjInHj3SimIyN9SnOz
23,We Don't Talk Anymore,Charlie Puth,18364,2017-01-06,sg,68EMU2RD1ECNeOeJ5qAXCV
24,Treat You Better,Shawn Mendes,17770,2017-01-06,sg,4Hf7WnR761jpxPr5D46Bcd
25,Mercy,Shawn Mendes,17527,2017-01-06,sg,4TZy1wLyHec06pwgFYDh1a
26,Stay With Me,CHANYEOL,17250,2017-01-06,sg,1HYzRuWjmS9LXCkdVHi25K
27,Versace on the Floor,Bruno Mars,16396,2017-01-06,sg,0kN8xEmgMW9mh7UmDYHlJP
28,Faded,Alan Walker,16319,2017-01-06,sg,7gHs73wELdeycvS48JfIos
29,Scars To Your Beautiful,Alessia Cara,16189,2017-01-06,sg,0prNGof3XqfTvNDxHonvdK
30,Don't Let Me Down,The Chainsmokers,16156,2017-01-06,sg,0QsvXIfqM0zZoerQfsI9lm
31,Alone,Alan Walker,15675,2017-01-06,sg,0JiVRyTJcJnmlwCZ854K4p
32,Photograph,Ed Sheeran,15582,2017-01-06,sg,6fxVffaTuwjgEk5h9QyRjy
33,Fake Love,Drake,15548,2017-01-06,sg,343YBumqHu19cGoGARUTsd
34,Love Me Now,John Legend,14980,2017-01-06,sg,6nxQdXa1uAL0rY72wPZu89
35,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,14723,2017-01-06,sg,2gug6MRv4xQFYi9LA3PJCS
36,Setting Fires,The Chainsmokers,14586,2017-01-06,sg,0B8B8cVRFIG1yznoQe7c9s
37,This Is What You Came For,Calvin Harris,13523,2017-01-06,sg,0azC730Exh71aQlOt9Zj3y
38,The Ocean (feat. Shy Martin),Mike Perry,13457,2017-01-06,sg,2CPqh63wRVscbceKcPxwvv
39,Cheap Thrills,Sia,13404,2017-01-06,sg,27SdWb2rFzO6GWiYDBTD9j
40,One Dance,Drake,13172,2017-01-06,sg,1xznGGDReH1oQq0xzbwXa3
41,FXXK IT,BIGBANG,13074,2017-01-06,sg,0YVsrgp4OOUhFuYMAVQazV
42,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,12985,2017-01-06,sg,6JV2JOEocMgcZxYSZelKcc
43,不為誰而作的歌,JJ Lin,12953,2017-01-06,sg,0VqSdtXseb9khdZrnYVyM1
44,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,12722,2017-01-06,sg,17Fd6Yb7mSbinKG8LoWfFl
45,Black Beatles,Rae Sremmurd,12704,2017-01-06,sg,6fujklziTHa8uoM5OQSfIo
46,Perfect Strangers,Jonas Blue,12655,2017-01-06,sg,1CUVN2kn7mW5FjkqXTR2W1
47,I Would Like,Zara Larsson,12152,2017-01-06,sg,4Q4jmPHwu0wrJvqrld0FQ6
48,Heathens,Twenty One Pilots,11706,2017-01-06,sg,6i0V12jOa3mr6uu4WYhUBr
49,Shed a Light,Robin Schulz,11591,2017-01-06,sg,1cG0umU5TKStygKsPFZ9pY
50,告白氣球,Jay Chou,11544,2017-01-06,sg,1ivCIgrYZyE0BvItL4Z8lk
51,The Mack,Nevada,11496,2017-01-06,sg,7aV2mflaASUmGhCErm7kBO
52,Sunset Lover,Petit Biscuit,10374,2017-01-06,sg,0hNduWmlWmEmuwEFcYvRu1
53,All Time Low,Jon Bellion,9866,2017-01-06,sg,1CnPYaKxTVb4LWOtiGOm0m
54,Hear Me Now,Alok,9461,2017-01-06,sg,1a5Yu5L18qNxVhXx38njON
55,The Greatest (feat. Kendrick Lamar),Sia,8990,2017-01-06,sg,7xHWNBFm6ObGEQPaUxHuKO
56,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,8832,2017-01-06,sg,2wDjpPW3HZdA9quPPmZAMu
57,Lot to Learn,Luke Christopher,8272,2017-01-06,sg,3TRFq09DUgYj1mug6RRqJW
58,My Way,Calvin Harris,8209,2017-01-06,sg,1vvNmPOiUuyCbgWmtc6yfm
59,LAST DANCE,BIGBANG,8168,2017-01-06,sg,7dhr1r6OWHxrpvrdHxfe1n
60,Now and Later,Sage The Gemini,8117,2017-01-06,sg,43jBqV3j3Xi1g6wO0bhIMd
61,Weak,AJR,7991,2017-01-06,sg,3E2Zh20GDCR9B1EYjfXWyv
62,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,7957,2017-01-06,sg,40UroIGvsMPLPBYwH8rMNA
