Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,7098,2017-01-06,sk,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,5314,2017-01-06,sk,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,2638,2017-01-06,sk,5aAx2yezTd8zXrkmtKl66Z
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2558,2017-01-06,sk,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2444,2017-01-06,sk,3NdDpSvN911VPGivFlV5d0
6,Closer (feat. Halsey),The Chainsmokers,1837,2017-01-06,sk,7BKLCZ1jbUBVqRi2FVlTVw
7,Call On Me - Ryan Riback Extended Remix,Starley,1793,2017-01-06,sk,78rIJddV4X0HkNAInEcYde
8,Let Me Love You,DJ Snake,1789,2017-01-06,sk,4pdPtRcBmOSQDlJ3Fk945m
9,Don't Wanna Know,Maroon 5,1746,2017-01-06,sk,5MFzQMkrl1FOOng9tq6R9r
10,I Feel It Coming,The Weeknd,1741,2017-01-06,sk,5GXAXm5YOmYT0kL5jHvYBt
11,Black Beatles,Rae Sremmurd,1612,2017-01-06,sk,6fujklziTHa8uoM5OQSfIo
12,Say You Won't Let Go,James Arthur,1607,2017-01-06,sk,5uCax9HTNlzGybIStD3vDh
13,All We Know,The Chainsmokers,1558,2017-01-06,sk,2rizacJSyD9S1IQUxUxnsK
14,In the Name of Love,Martin Garrix,1467,2017-01-06,sk,04DwTuZ2VBdJCCC5TROn7L
15,Just Hold On,Steve Aoki,1440,2017-01-06,sk,3EmmCZoqpWOTY1g2GBwJoR
16,My Way,Calvin Harris,1353,2017-01-06,sk,1vvNmPOiUuyCbgWmtc6yfm
17,Mercy,Shawn Mendes,1339,2017-01-06,sk,4TZy1wLyHec06pwgFYDh1a
18,Heathens,Twenty One Pilots,1331,2017-01-06,sk,6i0V12jOa3mr6uu4WYhUBr
