Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,5921,2017-01-06,sv,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,4968,2017-01-06,sv,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,4896,2017-01-06,sv,3QwBODjSEzelZyVjxPOHdq
4,Safari,J Balvin,4305,2017-01-06,sv,6rQSrBHf7HlZjtcMZ4S4bO
5,Closer (feat. Halsey),The Chainsmokers,4285,2017-01-06,sv,7BKLCZ1jbUBVqRi2FVlTVw
6,Let Me Love You,DJ Snake,3951,2017-01-06,sv,4pdPtRcBmOSQDlJ3Fk945m
7,Shape of You,Ed Sheeran,3896,2017-01-06,sv,7qiZfU4dY1lWllzX7mPBI3
8,Vente Pa' Ca,Ricky Martin,3435,2017-01-06,sv,7DM4BPaS7uofFul3ywMe46
9,Starboy,The Weeknd,3415,2017-01-06,sv,5aAx2yezTd8zXrkmtKl66Z
10,Castle on the Hill,Ed Sheeran,3298,2017-01-06,sv,6PCUP3dWmTjcTtXY02oFdT
11,Cuatro Babys,Maluma,3282,2017-01-06,sv,0JoHqmlqE0W0i9prt6kcHR
12,Don't Wanna Know,Maroon 5,3080,2017-01-06,sv,5MFzQMkrl1FOOng9tq6R9r
13,In the Name of Love,Martin Garrix,3040,2017-01-06,sv,04DwTuZ2VBdJCCC5TROn7L
14,Dile Que Tu Me Quieres,Ozuna,2921,2017-01-06,sv,20ZAJdsKB5IGbGj4ilRt2o
15,One Dance,Drake,2883,2017-01-06,sv,1xznGGDReH1oQq0xzbwXa3
16,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,2766,2017-01-06,sv,6stYbAJgTszHAHZMPxWWCY
17,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2718,2017-01-06,sv,6DNtNfH8hXkqOX1sjqmI7p
18,24K Magic,Bruno Mars,2690,2017-01-06,sv,6b8Be6ljOzmkOmFslEb23P
19,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2612,2017-01-06,sv,17Fd6Yb7mSbinKG8LoWfFl
20,My Way,Calvin Harris,2568,2017-01-06,sv,1vvNmPOiUuyCbgWmtc6yfm
21,Don't Let Me Down,The Chainsmokers,2550,2017-01-06,sv,0QsvXIfqM0zZoerQfsI9lm
22,Shaky Shaky,Daddy Yankee,2495,2017-01-06,sv,58IL315gMSTD37DOZPJ2hf
23,La Bicicleta,Carlos Vives,2463,2017-01-06,sv,0sXvAOmXgjR2QUqLK1MltU
24,Me Rehúso,Danny Ocean,2422,2017-01-06,sv,6De0lHrwBfPfrhorm9q1Xl
25,Side To Side,Ariana Grande,2241,2017-01-06,sv,4pLwZjInHj3SimIyN9SnOz
26,Heathens,Twenty One Pilots,2194,2017-01-06,sv,6i0V12jOa3mr6uu4WYhUBr
27,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,2185,2017-01-06,sv,2FrnTVSHjgnEylKGdHRUK1
28,Chillax (feat. Ky-Mani Marley),Farruko,2172,2017-01-06,sv,1lxswgIpzV6HhENRvkflES
29,Treat You Better,Shawn Mendes,2166,2017-01-06,sv,4Hf7WnR761jpxPr5D46Bcd
30,Middle,DJ Snake,2142,2017-01-06,sv,4OZEu0Vwq0RB2LAq14v99n
31,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2138,2017-01-06,sv,5knuzwU65gJK7IF5yJsuaW
32,Black Beatles,Rae Sremmurd,2098,2017-01-06,sv,6fujklziTHa8uoM5OQSfIo
33,Cheap Thrills,Sia,2054,2017-01-06,sv,27SdWb2rFzO6GWiYDBTD9j
34,Andas En Mi Cabeza,Chino & Nacho,2022,2017-01-06,sv,5mey7CLLuFToM2P68Qu1gF
35,Vacaciones,Wisin,2015,2017-01-06,sv,3dQDid3IUNhZy1OehIfYfE
36,We Don't Talk Anymore,Charlie Puth,2007,2017-01-06,sv,68EMU2RD1ECNeOeJ5qAXCV
