Position,Track Name,Artist,Streams,date,region,spotify_id
1,SOLO,JENNIE,32202,2018-12-07,th,2wVDWtLKXunswWecARNILj
2,ซ่อนกลิ่น,Palmy,28262,2018-12-07,th,7woh2lJvyILYxSQ1kXTI3d
3,"thank u, next",Ariana Grande,28093,2018-12-07,th,2rPE9A1vEgShuZxxzR2tZH
4,ลาลาลอย (100%),The Toys,25962,2018-12-07,th,3f3L2MP4oniV1bmSxGbcW4
5,อาวรณ์,Polycat,22078,2018-12-07,th,2USX969yFQ250hBULh6Ope
6,ดูดี,Polycat,20510,2018-12-07,th,4afuOwuWWRoS8HEw1cyVUZ
7,เป็นไรไหม?,OG-ANIC,18875,2018-12-07,th,09Mn2O6dtMLCKdeD0BtLdO
8,เสือสิ้นลาย,F.HERO,18698,2018-12-07,th,42pEFPN6KrUydf2ufdampZ
9,มีผลต่อหัวใจ,Non Tanon,16211,2018-12-07,th,5lxItfla07vroV2vuGwe75
10,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,15438,2018-12-07,th,0EYgFMIXhjcFgX6xe2NY9v
11,พูดไม่ออก,The Toys,15244,2018-12-07,th,36QNwsq4EpOdS3E4WEJphO
12,La Vie en Rose,IZ*ONE,14821,2018-12-07,th,1fRaznZsAB2i63TtmYv2Hc
13,เจ็บน้อยที่สุด,Zeal,14586,2018-12-07,th,2YIgU8Tq4tovJ3T2Qw6Ewh
14,แบกไม่ไหว,UrboyTJ,14457,2018-12-07,th,2S3r0O3Dkgf797IguE4DeY
15,DDU-DU DDU-DU - KR Ver.,BLACKPINK,14424,2018-12-07,th,2CWnuF7ht55Ajyeg4WPvWu
16,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13295,2018-12-07,th,1A6OTy97kk0mMdm78rHsm8
17,ความเงียบดังที่สุด,Getsunova,13249,2018-12-07,th,49o9ToewyZywgB5KlaB3WN
18,ภาพจำ,Pop Pongkool,13076,2018-12-07,th,4YRpjJaJpiI36HM36Dn5lS
19,นอกจากชื่อฉัน,ACTART,12817,2018-12-07,th,3nQlPsRsO4mEqVaiqErCLO
20,Kiss and Make Up,Dua Lipa,12478,2018-12-07,th,13hvHEstJ4sNbzdroPrPI3
21,Without Me,Halsey,12054,2018-12-07,th,5p7ujcrUXASCNwRaWNHR1C
