Position,Track Name,Artist,Streams,date,region,spotify_id
1,Gece Gölgenin Rahatına Bak,Çağatay Akman,78861,2017-01-06,tr,3P31rcl0ym5paqRdwSiZps
2,Starboy,The Weeknd,52226,2017-01-06,tr,5aAx2yezTd8zXrkmtKl66Z
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,35544,2017-01-06,tr,5knuzwU65gJK7IF5yJsuaW
4,366.Gün,Sagopa Kajmer,34843,2017-01-06,tr,1EuFr1JA70TaEzlaSM4ulc
5,Affet,Müslüm Gürses,34753,2017-01-06,tr,0ikRchpmFlaqlzLRgu9qWk
6,Shape of You,Ed Sheeran,32921,2017-01-06,tr,7qiZfU4dY1lWllzX7mPBI3
7,Let Me Love You,DJ Snake,28615,2017-01-06,tr,4pdPtRcBmOSQDlJ3Fk945m
8,Closer (feat. Halsey),The Chainsmokers,26444,2017-01-06,tr,7BKLCZ1jbUBVqRi2FVlTVw
9,Heathens,Twenty One Pilots,25550,2017-01-06,tr,6i0V12jOa3mr6uu4WYhUBr
10,Haydi Söyle,Kalben,25230,2017-01-06,tr,3N5AZtKJALZZDHT4On8Ebx
11,Lost on You,LP,24852,2017-01-06,tr,3SqvR3HYLlCTYzbDXJ52OC
12,Castle on the Hill,Ed Sheeran,24642,2017-01-06,tr,6PCUP3dWmTjcTtXY02oFdT
13,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,23208,2017-01-06,tr,3NdDpSvN911VPGivFlV5d0
14,One Dance,Drake,22128,2017-01-06,tr,1xznGGDReH1oQq0xzbwXa3
15,Side To Side,Ariana Grande,20488,2017-01-06,tr,4pLwZjInHj3SimIyN9SnOz
16,I Feel It Coming,The Weeknd,20227,2017-01-06,tr,5GXAXm5YOmYT0kL5jHvYBt
17,Cheap Thrills,Sia,20081,2017-01-06,tr,27SdWb2rFzO6GWiYDBTD9j
18,Yan Benimle,Sıla,19261,2017-01-06,tr,2LX6XfSqCKBrt2qJngS87z
19,Don't Wanna Know,Maroon 5,19192,2017-01-06,tr,5MFzQMkrl1FOOng9tq6R9r
20,Tuesday,Burak Yeter,19061,2017-01-06,tr,7abpmGpF7PGep2rDU68GBR
21,In the Name of Love,Martin Garrix,18753,2017-01-06,tr,04DwTuZ2VBdJCCC5TROn7L
22,Human,Rag'n'Bone Man,18629,2017-01-06,tr,58zsLZPvfflaiIbNWoA22O
23,Chantaje (feat. Maluma),Shakira,17681,2017-01-06,tr,6mICuAdrwEjh6Y6lroV2Kg
24,24K Magic,Bruno Mars,17145,2017-01-06,tr,6b8Be6ljOzmkOmFslEb23P
25,Don't Let Me Down,The Chainsmokers,16684,2017-01-06,tr,0QsvXIfqM0zZoerQfsI9lm
26,Nilüfer,Müslüm Gürses,16647,2017-01-06,tr,3yYHAwO4K7AYGyPCsObCtl
