Position,Track Name,Artist,Streams,date,region,spotify_id
1,Castle on the Hill,Ed Sheeran,20972,2017-01-06,tw,6PCUP3dWmTjcTtXY02oFdT
2,Closer (feat. Halsey),The Chainsmokers,20020,2017-01-06,tw,7BKLCZ1jbUBVqRi2FVlTVw
3,Shape of You,Ed Sheeran,17304,2017-01-06,tw,7qiZfU4dY1lWllzX7mPBI3
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16928,2017-01-06,tw,3NdDpSvN911VPGivFlV5d0
5,Starboy,The Weeknd,16198,2017-01-06,tw,5aAx2yezTd8zXrkmtKl66Z
6,Let Me Love You,DJ Snake,14731,2017-01-06,tw,4pdPtRcBmOSQDlJ3Fk945m
7,Don't Wanna Know,Maroon 5,14646,2017-01-06,tw,5MFzQMkrl1FOOng9tq6R9r
8,All We Know,The Chainsmokers,14148,2017-01-06,tw,2rizacJSyD9S1IQUxUxnsK
9,Say You Won't Let Go,James Arthur,13864,2017-01-06,tw,5uCax9HTNlzGybIStD3vDh
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,13656,2017-01-06,tw,5knuzwU65gJK7IF5yJsuaW
11,Bad Things (with Camila Cabello),Machine Gun Kelly,13484,2017-01-06,tw,1PSBzsahR2AKwLJgx8ehBj
12,帥到分手,NICKTHEREAL,13251,2017-01-06,tw,2tG6FZtaX5NPWFA64d8DWz
13,演員,Joker Xue,13127,2017-01-06,tw,6LunoYd3xpZ19sICOXS8Xd
14,Call On Me - Ryan Riback Extended Remix,Starley,12898,2017-01-06,tw,78rIJddV4X0HkNAInEcYde
15,Alone,Alan Walker,12584,2017-01-06,tw,0JiVRyTJcJnmlwCZ854K4p
16,Just Hold On,Steve Aoki,12218,2017-01-06,tw,3EmmCZoqpWOTY1g2GBwJoR
17,In the Name of Love,Martin Garrix,11738,2017-01-06,tw,04DwTuZ2VBdJCCC5TROn7L
18,Stay With Me,CHANYEOL,11678,2017-01-06,tw,1HYzRuWjmS9LXCkdVHi25K
19,We Don't Talk Anymore,Charlie Puth,11627,2017-01-06,tw,68EMU2RD1ECNeOeJ5qAXCV
20,I Feel It Coming,The Weeknd,11392,2017-01-06,tw,5GXAXm5YOmYT0kL5jHvYBt
21,Faded,Alan Walker,11242,2017-01-06,tw,7gHs73wELdeycvS48JfIos
