Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,1517787,2017-01-06,us,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1472037,2017-01-06,us,6PCUP3dWmTjcTtXY02oFdT
3,Bad and Boujee (feat. Lil Uzi Vert),Migos,1328631,2017-01-06,us,4Km5HrUvYTaSUfiSGPJeQR
4,Fake Love,Drake,1217137,2017-01-06,us,343YBumqHu19cGoGARUTsd
5,Starboy,The Weeknd,1083653,2017-01-06,us,5aAx2yezTd8zXrkmtKl66Z
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,816323,2017-01-06,us,3NdDpSvN911VPGivFlV5d0
7,Black Beatles,Rae Sremmurd,814513,2017-01-06,us,6fujklziTHa8uoM5OQSfIo
8,Closer (feat. Halsey),The Chainsmokers,805446,2017-01-06,us,7BKLCZ1jbUBVqRi2FVlTVw
9,Caroline,Aminé,741197,2017-01-06,us,5GFDrUTLGJix84sNhjCG0g
10,Bounce Back,Big Sean,739551,2017-01-06,us,0SGkqnVQo9KPytSri1H6cF
11,Bad Things (with Camila Cabello),Machine Gun Kelly,714213,2017-01-06,us,1PSBzsahR2AKwLJgx8ehBj
12,I Feel It Coming,The Weeknd,685156,2017-01-06,us,5GXAXm5YOmYT0kL5jHvYBt
13,Broccoli (feat. Lil Yachty),DRAM,625224,2017-01-06,us,7yyRTcZmCiyzzJlNzGC9Ol
14,Don't Wanna Know,Maroon 5,571152,2017-01-06,us,5MFzQMkrl1FOOng9tq6R9r
15,24K Magic,Bruno Mars,549028,2017-01-06,us,6b8Be6ljOzmkOmFslEb23P
16,X (feat. Future),21 Savage,546365,2017-01-06,us,6fwdbPMwP1zVStm8FybmkO
17,Deja Vu,J. Cole,543912,2017-01-06,us,6I6NX6tjGsxFAsIfGzY9lJ
18,In the Name of Love,Martin Garrix,523541,2017-01-06,us,04DwTuZ2VBdJCCC5TROn7L
19,Say You Won't Let Go,James Arthur,513212,2017-01-06,us,5uCax9HTNlzGybIStD3vDh
20,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,509412,2017-01-06,us,5uDASfU19gDxSjW8cnCaBp
21,iSpy (feat. Lil Yachty),KYLE,507342,2017-01-06,us,2EEeOnHehOozLq4aS0n6SL
22,Let Me Love You,DJ Snake,505622,2017-01-06,us,4pdPtRcBmOSQDlJ3Fk945m
23,No Heart,21 Savage,497352,2017-01-06,us,4gmmRb6bZJffOOiww1JGTO
24,One Dance,Drake,482170,2017-01-06,us,1xznGGDReH1oQq0xzbwXa3
25,Side To Side,Ariana Grande,476302,2017-01-06,us,4pLwZjInHj3SimIyN9SnOz
26,Party Monster,The Weeknd,475534,2017-01-06,us,4F7A0DXBrmUAkp32uenhZt
27,Sneakin’,Drake,456247,2017-01-06,us,4ckuS4Nj4FZ7i3Def3Br8W
28,Starving,Hailee Steinfeld,445161,2017-01-06,us,1qOLh0tI7trd1zdDKxYZTe
29,You Was Right,Lil Uzi Vert,441225,2017-01-06,us,2ANLarE8yHVsLWW21nj79M
30,Call On Me - Ryan Riback Extended Remix,Starley,433330,2017-01-06,us,78rIJddV4X0HkNAInEcYde
31,All We Know,The Chainsmokers,428299,2017-01-06,us,2rizacJSyD9S1IQUxUxnsK
32,Heathens,Twenty One Pilots,416841,2017-01-06,us,6i0V12jOa3mr6uu4WYhUBr
33,"How Far I'll Go - From ""Moana""",Alessia Cara,416516,2017-01-06,us,5hYTyyh2odQKphUbMqc5gN
34,Mercy,Shawn Mendes,405913,2017-01-06,us,4TZy1wLyHec06pwgFYDh1a
35,Scars To Your Beautiful,Alessia Cara,397733,2017-01-06,us,0prNGof3XqfTvNDxHonvdK
36,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,390496,2017-01-06,us,0v9Wz8o0BT8DU38R4ddjeH
37,OOOUUU,Young M.A,388436,2017-01-06,us,7JYsArznYOjX2jsrT3UEnL
38,Swang,Rae Sremmurd,379427,2017-01-06,us,6mapJIPnQ23RTAevUoE0DL
39,Love Me Now,John Legend,377289,2017-01-06,us,6nxQdXa1uAL0rY72wPZu89
40,Neighbors,J. Cole,374082,2017-01-06,us,0utlOiJy2weVl9WTkcEWHy
41,All Time Low,Jon Bellion,372827,2017-01-06,us,1CnPYaKxTVb4LWOtiGOm0m
42,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,368650,2017-01-06,us,5knuzwU65gJK7IF5yJsuaW
43,Six Feet Under,The Weeknd,363397,2017-01-06,us,4mU5iXHeLgbR94siF7p1sY
44,Cold Water (feat. Justin Bieber & MØ),Major Lazer,356174,2017-01-06,us,6DNtNfH8hXkqOX1sjqmI7p
45,pick up the phone,Young Thug,356165,2017-01-06,us,20dP2DaMHIAmwWAbp7peSr
46,Just Hold On,Steve Aoki,349831,2017-01-06,us,3EmmCZoqpWOTY1g2GBwJoR
47,Controlla,Drake,348726,2017-01-06,us,6F609ICg9Spjrw1epsAnpa
48,Sidewalks,The Weeknd,345296,2017-01-06,us,4h90qkbnW1Qq6pBhoPvwko
49,Too Good,Drake,341874,2017-01-06,us,11KJSRSgaDxqydKYiD2Jew
50,Redbone,Childish Gambino,338461,2017-01-06,us,3kxfsdsCpFgN412fpnW85Y
51,Needed Me,Rihanna,326513,2017-01-06,us,1Tt4sE4pXi57mTD1GCzsqm
52,Immortal,J. Cole,324295,2017-01-06,us,6AGON2BGdPmPMJGiiNuuwl
53,Some Kind Of Drug,G-Eazy,302627,2017-01-06,us,1Bqxj0aH5KewYHKUg1IdrF
54,Weak,AJR,290898,2017-01-06,us,3E2Zh20GDCR9B1EYjfXWyv
55,Now and Later,Sage The Gemini,288239,2017-01-06,us,43jBqV3j3Xi1g6wO0bhIMd
56,Love On The Brain,Rihanna,287584,2017-01-06,us,2aksifNn5ph8igDOkPBA02
57,Moves,Big Sean,287501,2017-01-06,us,0Fv5N0cHBsl4bzCbollCAS
58,Don't Let Me Down,The Chainsmokers,285585,2017-01-06,us,0QsvXIfqM0zZoerQfsI9lm
59,Used to This (feat. Drake),Future,285119,2017-01-06,us,78sr3ogs4UzITcCNbXM9cM
60,Chantaje (feat. Maluma),Shakira,282649,2017-01-06,us,6mICuAdrwEjh6Y6lroV2Kg
61,Panda,Desiigner,280438,2017-01-06,us,5OOkp4U9P9oL23maHFHL1h
62,goosebumps,Travis Scott,276511,2017-01-06,us,6gBFPUFcJLzWGx4lenP6h2
63,The Mack,Nevada,272236,2017-01-06,us,7aV2mflaASUmGhCErm7kBO
64,All Night,The Vamps,271467,2017-01-06,us,1yNyoWWWikbLhwIGWjZuDW
65,Low Life,Future,270425,2017-01-06,us,7EiZI6JVHllARrX9PUvAdX
66,Make Me (Cry),Noah Cyrus,269695,2017-01-06,us,2BrzlUj1u1CtvaJDGIKpsP
67,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,269377,2017-01-06,us,4dASQiO1Eoo3RJvt74FtXB
68,No Role Modelz,J. Cole,269089,2017-01-06,us,62vpWI1CHwFy7tMIcSStl8
69,Treat You Better,Shawn Mendes,267916,2017-01-06,us,4Hf7WnR761jpxPr5D46Bcd
70,Too Many Years,Kodak Black,265069,2017-01-06,us,0BU7nIcCZxYSE0hYcc5oZz
71,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,262364,2017-01-06,us,2wDjpPW3HZdA9quPPmZAMu
72,Money Longer,Lil Uzi Vert,261272,2017-01-06,us,0B8QzDH7YWih85V5SEMnyJ
73,Setting Fires,The Chainsmokers,261258,2017-01-06,us,0B8B8cVRFIG1yznoQe7c9s
74,Reminder,The Weeknd,261027,2017-01-06,us,37F0uwRSrdzkBiuj0D5UHI
75,Both (feat. Drake),Gucci Mane,259784,2017-01-06,us,5tFep7dXGd7vEJ668wTPux
76,Light,San Holo,258114,2017-01-06,us,7zTx8ePYAmPFQuxP3xlXZn
77,Water,Ugly God,256702,2017-01-06,us,6HEIBHUirx1J0JkUD24szt
78,Feel Me,Tyga,252671,2017-01-06,us,2Cth0v1xri32oZ799rL3rl
79,Ride,Twenty One Pilots,251879,2017-01-06,us,2Z8WuEywRWYTKe1NybPQEW
80,Selfish,PnB Rock,251091,2017-01-06,us,2xbI8Vmyv3TkpTdywpPyNw
81,Die For You,The Weeknd,247845,2017-01-06,us,2LBqCSwhJGcFQeTHMVGwy3
82,Erase Your Social,Lil Uzi Vert,247466,2017-01-06,us,4uhvMW7ly7tJil31YYscAN
83,Congratulations,Post Malone,244191,2017-01-06,us,3a1lNhkSLSkpJE4MSHpDu9
84,Sunset Lover,Petit Biscuit,243138,2017-01-06,us,0hNduWmlWmEmuwEFcYvRu1
85,Don't,Bryson Tiller,242463,2017-01-06,us,3pXF1nA74528Edde4of9CC
86,White Iverson,Post Malone,242191,2017-01-06,us,6eT7xZZlB2mwyzJ2sUKG6w
87,Come and See Me (feat. Drake),PARTYNEXTDOOR,241567,2017-01-06,us,1wZqJM5FGDEl3FjHDxDyQd
88,Romantic - NOTD Remix,Stanaj,241156,2017-01-06,us,3SGWp9fJCzgK0WcpcKSQdy
89,Jumpman,Drake,241034,2017-01-06,us,27GmP9AWRs744SzKcpJsTZ
90,Photograph,Ed Sheeran,240747,2017-01-06,us,6fxVffaTuwjgEk5h9QyRjy
91,Drinkin' Too Much,Sam Hunt,240743,2017-01-06,us,1PouCui4RgDYcrQVAqdYuf
92,Change,J. Cole,239970,2017-01-06,us,3pjUyVbFmM96tYhSaKJwTt
93,Exchange,Bryson Tiller,239691,2017-01-06,us,43PuMrRfbyyuz4QpZ3oAwN
94,"i hate u, i love u (feat. olivia o'brien)",gnash,239548,2017-01-06,us,7vRriwrloYVaoAe3a9wJHe
95,Water Under the Bridge,Adele,236373,2017-01-06,us,4vb4mFvYsr2h6enhjJsq9Y
96,Work,Rihanna,235334,2017-01-06,us,14WWzenpaEgQZlqPq2nk4v
97,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,226596,2017-01-06,us,40UroIGvsMPLPBYwH8rMNA
98,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,226269,2017-01-06,us,4tCtwWceOPWzenK2HAIJSb
99,Don't Leave,Snakehips,226142,2017-01-06,us,0Zx8khUcEfCFK2AEoIhC92
100,Thinking out Loud,Ed Sheeran,225907,2017-01-06,us,1Slwb6dOYkBlWal1PGtnNg
101,Too Much Sauce,DJ Esco,225534,2017-01-06,us,5oyUurs28XRagLa8lgm6V3
102,No Flockin',Kodak Black,225205,2017-01-06,us,34oWbFBfGEElvgO0a5c9V4
103,One Night,Lil Yachty,224069,2017-01-06,us,40yJGQyEaBbIkXpwMFkXip
104,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,221770,2017-01-06,us,6JV2JOEocMgcZxYSZelKcc
105,Litty (feat. Tory Lanez),Meek Mill,220005,2017-01-06,us,5J5PXmMdQ2nh1lZOal8KmK
106,Not Going Home,DVBBS,219556,2017-01-06,us,042x9bsUBWW2fJgJ6fUh61
107,Stressed Out,Twenty One Pilots,214272,2017-01-06,us,3CRDbSIZ4r5MsZ0YwxuEkn
108,I Would Like,Zara Larsson,213152,2017-01-06,us,4Q4jmPHwu0wrJvqrld0FQ6
109,Cheap Thrills,Sia,211334,2017-01-06,us,27SdWb2rFzO6GWiYDBTD9j
110,Deja Vu,Post Malone,210558,2017-01-06,us,0H8XeaJunhvpBdBFIYi6Sh
111,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,210481,2017-01-06,us,1lItf5ZXJc1by9SbPeljFd
112,Lot to Learn,Luke Christopher,209162,2017-01-06,us,3TRFq09DUgYj1mug6RRqJW
113,Gassed Up,Nebu Kiniza,208258,2017-01-06,us,6JjEVlMkfHWMeYavkEYzNO
114,We Don't Talk Anymore,Charlie Puth,206996,2017-01-06,us,68EMU2RD1ECNeOeJ5qAXCV
115,This Is What You Came For,Calvin Harris,206193,2017-01-06,us,0azC730Exh71aQlOt9Zj3y
116,Into You,Ariana Grande,205222,2017-01-06,us,7yHEDfrJNd0zWOfXwydNH0
117,"Me, Myself & I",G-Eazy,205101,2017-01-06,us,40YcuQysJ0KlGQTeGUosTC
118,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,204403,2017-01-06,us,17Fd6Yb7mSbinKG8LoWfFl
119,True Colors,The Weeknd,203473,2017-01-06,us,6i759FCuKx713ZnYjtpQGU
120,That's What I Like,Bruno Mars,202798,2017-01-06,us,0KKkJNfGyhkQ5aFogxQAPU
121,Never Be Like You,Flume,199509,2017-01-06,us,12REd1n8PeiHHWOh066tpr
122,All Time Low,Jon Bellion,199405,2017-01-06,us,5wQRNkb7OhzJoT1P0OZ4Rw
123,The Greatest (feat. Kendrick Lamar),Sia,197275,2017-01-06,us,7xHWNBFm6ObGEQPaUxHuKO
124,Shed a Light,Robin Schulz,197170,2017-01-06,us,1cG0umU5TKStygKsPFZ9pY
125,Lighthouse - Andrelli Remix,Hearts & Colors,197127,2017-01-06,us,04CttTezSnv71USiiG9mIo
126,Father Stretch My Hands Pt. 1,Kanye West,196267,2017-01-06,us,4KW1lqgSr8TKrvBII0Brf8
127,I Got You,Bebe Rexha,195849,2017-01-06,us,1FUViuNSldssMIawrOXF2i
128,This Town,Niall Horan,195302,2017-01-06,us,5nA67Y0XX9JipZwYxX7Gl7
129,Living Single,Big Sean,194286,2017-01-06,us,36xxq7VDZZsGwARsn6Clo7
130,Secrets,The Weeknd,193352,2017-01-06,us,3DX4Y0egvc0slLcLl31h2p
131,The A Team,Ed Sheeran,191271,2017-01-06,us,1VdZ0vKfR5jneCmWIUAMxK
132,Party,Chris Brown,190616,2017-01-06,us,05Z7jet4VDNVgNQWcYHnrk
133,The Hills,The Weeknd,190223,2017-01-06,us,25khomWgBVamSdKw7hzm3l
134,My Way,Calvin Harris,188263,2017-01-06,us,1vvNmPOiUuyCbgWmtc6yfm
135,Pop Style,Drake,188102,2017-01-06,us,1WRy5l3TwrwlzNmB5bOeKw
136,By Your Side,Jonas Blue,187630,2017-01-06,us,1D3ODoXHBLpdxolZRHWV1j
137,Capsize,FRENSHIP,187532,2017-01-06,us,2XMTqoHHSH0lvuXrvIEdco
138,Gold,Kiiara,187177,2017-01-06,us,6WhzFzROw3aq3rPWjgYlxr
139,Timeless (feat. DJ SPINKING),A Boogie Wit da Hoodie,187136,2017-01-06,us,0q5DrtpnnGpOvBy5nnPMbe
140,Rockin’,The Weeknd,185195,2017-01-06,us,36YCdzT57us0LhDmCYtrNE
141,Solo Dance,Martin Jensen,185173,2017-01-06,us,6HUnnBwYZqcED1eQztxMBN
142,What They Want,Russ,184090,2017-01-06,us,3pndPhlQWjuSoXhcIIdBjv
143,Let Me Explain,Bryson Tiller,183223,2017-01-06,us,1trZGMI2CGyVT44STkpCoN
144,Say Something Loving,The xx,178909,2017-01-06,us,728zbo72kOoYdGR3AhNsyF
145,My Shit,A Boogie Wit da Hoodie,178259,2017-01-06,us,5uQOauh47VFt3B2kV9kRXw
146,Oh Lord,MiC LOWRY,176133,2017-01-06,us,1sTUEdVO85YU8Ymk2jeAls
147,Go Flex,Post Malone,175798,2017-01-06,us,5yuShbu70mtHXY0yLzCQLQ
148,Roses,The Chainsmokers,175745,2017-01-06,us,6O6M7pJLABmfBRoGZMu76Y
149,She's Mine Pt. 1,J. Cole,175706,2017-01-06,us,0HtOJj7Kl74s1Ngf3MWeif
150,Good Drank,2 Chainz,174413,2017-01-06,us,39pS70eeDvyCAF3t8NAlVV
151,Tiimmy Turner,Desiigner,174138,2017-01-06,us,3NJG6vMH1ZsectZkocMEm0
152,Say It (feat. Tove Lo),Flume,173590,2017-01-06,us,4sQMalN597HdggTu196aL0
153,Love Yourself,Justin Bieber,173349,2017-01-06,us,3hB5DgAiMAQ4DzYbsMq1IT
154,4 Your Eyez Only,J. Cole,172505,2017-01-06,us,1vvnYpYEMVB4aq9I6tHIEB
155,Blue Ain't Your Color,Keith Urban,171718,2017-01-06,us,6ZOPiKQeibCn7fP8dncucL
156,Famous,Kanye West,171127,2017-01-06,us,19a3JfW8BQwqHWUMbcqSx8
157,For Whom The Bell Tolls,J. Cole,170959,2017-01-06,us,3MWlVSkoLS1e66nlZ2tuWJ
158,Ville Mentality,J. Cole,170736,2017-01-06,us,2z3joGXrdGL2iEjIKQTiN1
159,Wyclef Jean,Young Thug,169979,2017-01-06,us,55OdqrG8WLmsYyY1jijD9b
160,Do What I Want,Lil Uzi Vert,168652,2017-01-06,us,4IWGnyOHDrVZEtPWfs4s7q
161,Send My Love (To Your New Lover),Adele,167448,2017-01-06,us,4BHzQ9C00ceJxfG16AlNWb
162,Black Barbies,Nicki Minaj,166712,2017-01-06,us,3y9cCbnBn0zjkJa2YkOj70
163,Somebody Else,VÉRITÉ,166568,2017-01-06,us,34i4yxPrHWquuR4kjiivFO
164,Still Here,Drake,166218,2017-01-06,us,433P7tDcIAi6NLnf4Sh6tI
165,Cake - Challenge Version,Flo Rida,165757,2017-01-06,us,6t2ubAB4iSYOuIpRAOGd4t
166,oui,Jeremih,164913,2017-01-06,us,0PJIbOdMs3bd5AT8liULMQ
167,7 Years,Lukas Graham,164597,2017-01-06,us,7129iqBafaphfc3WPCGC0L
168,'Till I Collapse,Eminem,164281,2017-01-06,us,6yr8GiTHWvFfi4o6Q5ebdT
169,So Close,Andrew McMahon in the Wilderness,164012,2017-01-06,us,4ggbSF8UUSSO0wM5SockJ2
170,You & Me,Marc E. Bassy,163536,2017-01-06,us,4QdovcM8j50QPlyR7tH4xe
171,Hotline Bling,Drake,162787,2017-01-06,us,2FBUoWkIuQXwayw2RNo5l6
172,Ophelia,The Lumineers,161313,2017-01-06,us,7bTwYGhBdSQ8vuXc76Xint
173,Hear Me Now,Alok,161049,2017-01-06,us,1a5Yu5L18qNxVhXx38njON
174,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,160922,2017-01-06,us,5Z01UMMf7V1o0MzF86s6WJ
175,Location,Khalid,160416,2017-01-06,us,152lZdxL1OR0ZMW6KquMif
176,Sorry,Justin Bieber,160136,2017-01-06,us,69bp2EbF7Q2rqc5N3ylezZ
177,Move Your Body - Single Mix,Sia,159306,2017-01-06,us,7ynCQo1KpBOyTdTdAnjSLZ
178,All I Know,The Weeknd,159211,2017-01-06,us,0NWqNXBJTpXbkI5rPWNy3p
179,False Alarm,The Weeknd,159011,2017-01-06,us,32lgtADX2cB9I4KFs1Y1py
180,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,158215,2017-01-06,us,0L7loeTIg6akW84aEQZpCT
181,PILLOWTALK,ZAYN,158141,2017-01-06,us,0PDUDa38GO8lMxLCRc4lL1
182,Antidote,Travis Scott,157996,2017-01-06,us,1wHZx0LgzFHyeIZkUydNXq
183,Uber Everywhere,MadeinTYO,157030,2017-01-06,us,7zBPzAjKAqQpcv8F8GCq5s
184,It's Gotta Be You,Isaiah,156963,2017-01-06,us,6cAKeFFYW2aClZSUyvqAEW
185,No Type,Rae Sremmurd,156856,2017-01-06,us,4scpF6J5uMBvoh6sFB7EL1
186,Castro,Yo Gotti,156697,2017-01-06,us,0rHJxNaQRMGK6Y4TUx3xRO
187,Baptized In Fire,Kid Cudi,156514,2017-01-06,us,6WSBZroxQaO3FYEpT2ACFH
188,How Far I'll Go,Auli'i Cravalho,156269,2017-01-06,us,6mb6lVLNrcUgLnEN8QnDJd
189,Attention,The Weeknd,156199,2017-01-06,us,6pDVjCUA3B1vg9waKutAsv
190,Crazy Brazy,A$AP Mob,154496,2017-01-06,us,59e7E2LMPZ2bhW5G6aCwX8
191,Wet Dreamz,J. Cole,153973,2017-01-06,us,6Ius4TC0L3cN74HT7ENE6e
192,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,151869,2017-01-06,us,3eze1OsZ1rqeXkKStNfTmi
193,Versace on the Floor,Bruno Mars,151408,2017-01-06,us,0kN8xEmgMW9mh7UmDYHlJP
194,Foldin Clothes,J. Cole,151134,2017-01-06,us,77IAeEz8LEchPN8UNjaTJ2
195,LUV,Tory Lanez,150805,2017-01-06,us,16Ah4QqH4mgYVXqfC4mdSd
196,Dynamite (feat. Pretty Sister),Nause,150172,2017-01-06,us,2Ae5awwKvQpTBKQHr1TYCg
197,Really Really,Kevin Gates,150048,2017-01-06,us,10I3CmmwT0BkOVhduDy53o
198,Let It Go,James Bay,149626,2017-01-06,us,13HVjjWUZFaWilh2QUJKsP
199,Drugs,August Alsina,149475,2017-01-06,us,6CtJlacMtspgBVTzZG5aCM
200,Wake Up Where You Are,State of Sound,148996,2017-01-06,us,2s76aKBWKShlwPC4xTtEEE
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1670271,2017-01-13,us,4Km5HrUvYTaSUfiSGPJeQR
2,Shape of You,Ed Sheeran,1468980,2017-01-13,us,7qiZfU4dY1lWllzX7mPBI3
3,Fake Love,Drake,1337512,2017-01-13,us,343YBumqHu19cGoGARUTsd
4,Starboy,The Weeknd,1134858,2017-01-13,us,5aAx2yezTd8zXrkmtKl66Z
5,Paris,The Chainsmokers,1061304,2017-01-13,us,72jbDTw1piOOj770jWNeaG
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,979863,2017-01-13,us,3NdDpSvN911VPGivFlV5d0
7,Bounce Back,Big Sean,896332,2017-01-13,us,0SGkqnVQo9KPytSri1H6cF
8,Caroline,Aminé,835200,2017-01-13,us,5GFDrUTLGJix84sNhjCG0g
9,Black Beatles,Rae Sremmurd,821477,2017-01-13,us,6fujklziTHa8uoM5OQSfIo
