Position,Track Name,Artist,Streams,date,region,spotify_id
1,Cuando Se Pone a Bailar,Rombai,14812,2017-01-06,uy,1MpKZi1zTXpERKwxmOu1PH
2,Reggaetón Lento (Bailemos),CNCO,13883,2017-01-06,uy,3AEZUABDXNtecAOSC1qTfo
3,Chantaje (feat. Maluma),Shakira,13357,2017-01-06,uy,6mICuAdrwEjh6Y6lroV2Kg
4,Vente Pa' Ca,Ricky Martin,9638,2017-01-06,uy,7DM4BPaS7uofFul3ywMe46
5,Safari,J Balvin,9008,2017-01-06,uy,6rQSrBHf7HlZjtcMZ4S4bO
6,Otra vez (feat. J Balvin),Zion & Lennox,8210,2017-01-06,uy,3QwBODjSEzelZyVjxPOHdq
7,Carnavalintro,CHANO,7986,2017-01-06,uy,0tGAPnTFwRJA6FZgYZ0BAe
8,Piel a Piel,Dame 5,7912,2017-01-06,uy,2q3B7GLCEA4uYvuo2g5P82
9,Pasarla Bien,Marama,7772,2017-01-06,uy,0ZzVPCGdkpKcxAzMNDD5UZ
10,Shaky Shaky,Daddy Yankee,7665,2017-01-06,uy,58IL315gMSTD37DOZPJ2hf
11,Traicionera,Sebastian Yatra,7372,2017-01-06,uy,5J1c3M4EldCfNxXwrwt8mT
12,Amor para un Rato,Olvidate!,7034,2017-01-06,uy,47EEKhimMiDtUfYNR5Ii58
13,Dile Que Tu Me Quieres,Ozuna,6753,2017-01-06,uy,20ZAJdsKB5IGbGj4ilRt2o
14,Me Llamas (feat. Maluma) - Remix,Piso 21,5932,2017-01-06,uy,5hEM0JchdVzQ5PwvSfITeX
15,Gyal You A Party Animal - Remix,Charly Black,5892,2017-01-06,uy,1AkTW13ysu0AJrwuM6UY0I
16,La Bicicleta,Carlos Vives,5872,2017-01-06,uy,0sXvAOmXgjR2QUqLK1MltU
17,Let Me Love You,DJ Snake,5446,2017-01-06,uy,4pdPtRcBmOSQDlJ3Fk945m
18,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5379,2017-01-06,uy,5knuzwU65gJK7IF5yJsuaW
19,Andas En Mi Cabeza,Chino & Nacho,5295,2017-01-06,uy,5mey7CLLuFToM2P68Qu1gF
20,La Noche No Es para Dormir,Mano Arriba,5293,2017-01-06,uy,3gEebOzxHpEwElicl1XBy0
21,Vacaciones,Wisin,5256,2017-01-06,uy,3dQDid3IUNhZy1OehIfYfE
22,Borro Cassette,Maluma,5219,2017-01-06,uy,6DUdDIRgLqCGq1DwkNWQTN
23,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,5206,2017-01-06,uy,6stYbAJgTszHAHZMPxWWCY
24,Cuatro Babys,Maluma,4935,2017-01-06,uy,0JoHqmlqE0W0i9prt6kcHR
25,24K Magic,Bruno Mars,4737,2017-01-06,uy,6b8Be6ljOzmkOmFslEb23P
26,Shape of You,Ed Sheeran,4652,2017-01-06,uy,7qiZfU4dY1lWllzX7mPBI3
27,Manicomio,Cosculluela,4576,2017-01-06,uy,3n58u3LOFw8mITLvfPvQBz
28,Don't Wanna Know,Maroon 5,4570,2017-01-06,uy,5MFzQMkrl1FOOng9tq6R9r
29,Te Quiero Pa´Mi,Don Omar,4332,2017-01-06,uy,3BY2mafsbsoKGqS380Xnuz
