Position,Track Name,Artist,Streams,date,region,spotify_id
1,"thank u, next",Ariana Grande,6900,2018-12-14,vn,2rPE9A1vEgShuZxxzR2tZH
2,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,6220,2018-12-14,vn,7GxSshyjKx46dlIV2UoVrc
3,SOLO,JENNIE,5046,2018-12-14,vn,2wVDWtLKXunswWecARNILj
4,Without Me,Halsey,4684,2018-12-14,vn,5p7ujcrUXASCNwRaWNHR1C
5,Em Khong The,Tien Tien,4589,2018-12-14,vn,6UgaKUJSO0Xp47x6pL1LaA
6,Moi Anh Vao Team Em,Chi Pu,4049,2018-12-14,vn,1D4VWPeg74fsfBfuTlPVam
7,,,4047,2018-12-14,vn,5p7Zd8RAb4dLV1MK2owriM
8,Thanh Xuan,Da LAB,3977,2018-12-14,vn,3b34161QoxLwsqhWSPy9i5
9,Love Shot,EXO,3384,2018-12-14,vn,0yB4jrSwN0bFtFRDR5vyMj
10,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3256,2018-12-14,vn,1A6OTy97kk0mMdm78rHsm8
11,Girls Like You (feat. Cardi B),Maroon 5,2993,2018-12-14,vn,7fa9MBXhVfQ8P8Df9OEbD8
12,Nhung Ke Mong Mo,Noo Phước Thịnh,2929,2018-12-14,vn,7fFvPlrcO79gXfErRuqaoC
13,Nguoi Hay Quen Em DI,Mỹ Tâm,2882,2018-12-14,vn,6XJsQ5nqCu8RUv9pv1iz1x
14,Nến Và Hoa,Rhymastic,2755,2018-12-14,vn,3zzyygDizZyE08d1yT9sXd
15,Kiss and Make Up,Dua Lipa,2630,2018-12-14,vn,13hvHEstJ4sNbzdroPrPI3
16,Chị Ngả Em Nâng,Bich Phuong,2565,2018-12-14,vn,1reHbbphR273qQ651F6Vna
17,imagine,Ariana Grande,2551,2018-12-14,vn,0todbbT9g5uQGbeFCiBf2F
18,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2521,2018-12-14,vn,27rdGxbavYJeBphck5MZAF
19,Xin loi anh qua phien,Đông Nhi,2509,2018-12-14,vn,0ZJcKRLc0dZp24G6MkvSnq
20,Shallow,Lady Gaga,2503,2018-12-14,vn,2VxeLyX666F8uXCJ0dZF8B
21,Giả Vờ Say,Đông Nhi,2482,2018-12-14,vn,3Qq6L7O8VejX6QHW8PFSuR
22,Lạ Lùng,Vũ.,2429,2018-12-14,vn,1ayp8veQBb6NRZepn7ENm6
23,Ket Nguyet,Đông Nhi,2413,2018-12-14,vn,1ulza3FB6CpNkTSJsmrA6l
24,Love Someone,Lukas Graham,2379,2018-12-14,vn,3id2EVGKc3eFAMn9nFnB0r
25,All I Want for Christmas Is You,Mariah Carey,2358,2018-12-14,vn,0bYg9bo50gSsH3LtXe2SQn
26,Waste It On Me (feat. BTS),Steve Aoki,2346,2018-12-14,vn,2J0X46UkpfLlWbuCXFgDLr
27,Ngày Mai Em Đi,Lê Hiếu,2329,2018-12-14,vn,0ZP4bO2ywAv44HiEzzHaq5
28,Ruin My Life,Zara Larsson,2309,2018-12-14,vn,5tAa8Uaqr4VvA3693mbIhU
29,Vi em qua yeu anh,Đông Nhi,2294,2018-12-14,vn,6ubYbyeGfFFSMXPGKQ1wiM
30,Ngày Chưa Giông Bão,Bùi Lan Hương,2293,2018-12-14,vn,7laWkT6uyoMDUXBqhcAN4V
31,Giấc Mơ,YanBi,2255,2018-12-14,vn,5XGRqM9WBABc0yrAirEPVV
32,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2252,2018-12-14,vn,5JEx7HbmvHQQswJCsoo9rA
33,Bad Liar,Imagine Dragons,2209,2018-12-14,vn,2RSHsoi04658QL5xgQVov3
34,All Falls Down (feat. Juliander),Alan Walker,2190,2018-12-14,vn,1HvCFAUIWQsWV9zud3UhDl
35,Dong cua then cai Tram xi mang,Đông Nhi,2167,2018-12-14,vn,3vKvLGxQqoQ0HYp4qAptyw
36,Em mới là người yêu anh,Min,2136,2018-12-14,vn,5s5WpwEoK2V0a1eZq8ES5Y
37,Muon Mang La Tu Luc,Mỹ Tâm,2065,2018-12-14,vn,249fiLJ8fFXYLL4NNjjgXT
38,Goi Em Di,Đông Nhi,2046,2018-12-14,vn,0w8hawIcpRaOLKVnFs8Abe
39,Lost Control,Alan Walker,2005,2018-12-14,vn,0lG6QM1jjbbX5UUn3DPmrZ
40,EM khong muon nghi ngo,Đông Nhi,1977,2018-12-14,vn,23HHvIWcMGZxIXoDqv2iBO
41,Neu Anh Di,Mỹ Tâm,1969,2018-12-14,vn,2me4nvwIdLsSXA5omarKq5
42,Let Me Down Slowly,Alec Benjamin,1929,2018-12-14,vn,2qxmye6gAegTMjLKEBoR3d
43,Nguoi tung noi,Đông Nhi,1918,2018-12-14,vn,5dott857o3Z6rXYU7m8Ba8
44,Tiễn Khách,Bich Phuong,1916,2018-12-14,vn,1RRMwNycLH4pOgpdLj0iFk
45,There's No Way (feat. Julia Michaels),Lauv,1912,2018-12-14,vn,2hnxrRNzF74mdDzpQZQukQ
46,DDU-DU DDU-DU - KR Ver.,BLACKPINK,1896,2018-12-14,vn,2CWnuF7ht55Ajyeg4WPvWu
47,Thunderclouds,Sia,1887,2018-12-14,vn,2c7GlMNmF7pbohjykutmLP
48,POP/STARS,K/DA,1884,2018-12-14,vn,5sbooPcNgIE22DwO0VNGUJ
49,Way Back Home,SHAUN,1881,2018-12-14,vn,3NxuezMdSLgt4OwHzBoUhL
50,Bùa Yêu,Bich Phuong,1880,2018-12-14,vn,1ZrADntHAYV84R2y1Op3Eg
51,Last Christmas,Wham!,1880,2018-12-14,vn,2FRnf9qhLbvw8fu4IBXx78
52,Always Remember Us This Way,Lady Gaga,1865,2018-12-14,vn,2rbDhOo9Fh61Bbu23T2qCk
53,Dung de anh danh roi em nay,Đông Nhi,1812,2018-12-14,vn,0ejqzi8uUJmwp023wseM8B
54,Santa Tell Me,Ariana Grande,1790,2018-12-14,vn,0lizgQ7Qw35od7CYaoMBZb
55,Con roi cua em,Đông Nhi,1787,2018-12-14,vn,7GU71Tl9SpSB6IB3Zz5ISr
56,Havana (feat. Young Thug),Camila Cabello,1738,2018-12-14,vn,1rfofaqEpACxVEHIZBJe6W
57,Different World (feat. CORSAK),Alan Walker,1721,2018-12-14,vn,4heFQCyiW0RUEX1Q1lb008
58,I Love You,EXID,1708,2018-12-14,vn,7n2HVHWqFsyAOs5HqmE1Dl
59,Hành Tinh Song Song,Vũ.,1661,2018-12-14,vn,300fqwkGKipgr8Ith1YQo2
60,come out and play,Billie Eilish,1605,2018-12-14,vn,7wC5eZcFS1Q1BsQ35DU6H4
61,Perfect,Ed Sheeran,1559,2018-12-14,vn,0tgVpDi06FyKpA1z0VMD4v
62,Eastside (with Halsey & Khalid),benny blanco,1555,2018-12-14,vn,7FGq80cy8juXBCD2nrqdWU
63,If,Vu Cat Tuong,1553,2018-12-14,vn,0s7wXifcEHCo9OgELbNv8d
64,Hope,The Chainsmokers,1539,2018-12-14,vn,4BiiOzZCrXEzHRLYcYFiD5
65,Shape of You,Ed Sheeran,1523,2018-12-14,vn,7qiZfU4dY1lWllzX7mPBI3
