,rank,Name,spotify_id,Country
0,0,Crimen,3oqWr0jDWNXxWufNogGREp,Argentina
1,1,Creo,5Bi9Cq5oVFy1OtUgecbegZ,Argentina
2,2,Spaghetti del Rock,6rg1MBZqggsQ5olFGTw0rr,Argentina
3,3,Nunca quise,0ZAJ660VP57lLK4U7NlGOy,Argentina
4,4,Me Gusta,3pMo77B4r1NwwIK78lO4xf,Argentina
5,5,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Argentina
6,6,Believer,0CcQNd8CINkwQfe1RDtGV6,Argentina
7,7,Personalmente,7q7XFO9av9VpNJSXKJwJxD,Argentina
8,8,Trátame Suavemente - Remasterizado 2007,65DBZofI0b79kfHTcWWDuU,Argentina
9,9,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Argentina
10,10,The Scientist,75JFxkI2RXiU7L9VXzMkle,Argentina
11,11,Perfect,0tgVpDi06FyKpA1z0VMD4v,Argentina
12,12,Oncemil,3y5ahYM9zwyOCt3mieZ0PZ,Argentina
13,13,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,Argentina
14,14,Intento,1nvomogWZSfnw3H4Uti0eL,Argentina
15,15,Una Nueva Noche Fría,39KmBOGkD1ztCbVeo2uspA,Argentina
16,16,Mil Horas,2cnzoggZA19R6DiWGhKU42,Argentina
17,17,Photograph,6fxVffaTuwjgEk5h9QyRjy,Argentina
18,18,Pasos Al Costado,7upAH0ezzsThyvr33YKn4u,Argentina
19,19,Seguir Viviendo Sin Tu Amor,2qBirMakpTdz9ymxrZEyzg,Argentina
20,20,Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Argentina
21,21,Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Argentina
22,22,No Te Creas Tan Importante - En Vivo,3trowLiYwwOoiwapLISNyk,Argentina
23,23,Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Argentina
24,24,No Hay Nadie Más,0U8WdltGpu3OC0ma9yLmjX,Argentina
25,25,Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Argentina
26,26,Puente,6gwaa6ElIixNTvu6RwkMyo,Argentina
27,27,New Rules,2ekn2ttSfGqwhhate0LSR0,Argentina
28,28,Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,Argentina
29,29,A las Nueve,0uuEqOyKlABOB7hzWKcEeG,Argentina
30,30,Criminal,2SmgFAhQkQCQPyBiBxR6Te,Argentina
31,31,Traicionera,4Ft0391aLVNtCPPseh98lp,Argentina
32,32,Rocanroles Sin Destino,46yA2K9FA0PaCbeWkezvFC,Argentina
33,33,No Me Olvides,7LDUiraavMZ6mb8hK3mXkj,Argentina
34,34,Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Argentina
35,35,Consejo de Amor,1zHQ5gjJoNxT4RYFmGEWuo,Argentina
36,36,Balada Del Diablo y La Muerte,4ObkiTmpsSU31gqGhTb8SH,Argentina
37,37,Mayores,7JNh1cfm0eXjqFVOzKLyau,Argentina
38,38,Me Llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Argentina
39,39,Se Preparó,1m69ELEgE6k5ZWsap40ozt,Argentina
40,40,Madrugada,4SGCn3ZVXa7bepHuAdQvC9,Argentina
41,41,Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,Argentina
42,42,Sin Pijama,2ijef6ni2amuunRoKTlgww,Argentina
43,43,Me Niego (feat. Ozuna & Wisin),4ggiDYAkJ7Yk8d5xOr7Xjo,Argentina
44,44,Te Amo,2RVrdr062uLFxXwIxwdXPH,Argentina
45,45,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Argentina
46,46,Quiero Volver,1jcAZRfufvi67KWnwRmizE,Argentina
47,47,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Argentina
48,48,Piel a Piel,2q3B7GLCEA4uYvuo2g5P82,Argentina
49,49,Échame La Culpa,0mlAOSILGRys2IbvyOT5VJ,Argentina
50,50,La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Argentina
51,51,Campanas en la Noche,0C9V5jMElp7laZZdsCHufD,Argentina
52,52,Me Vas a Extrañar - En Vivo,3CACzG9I3AoKUKA3ODE5zW,Argentina
53,53,Cuando Se Pone a Bailar,1MpKZi1zTXpERKwxmOu1PH,Argentina
54,54,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Argentina
55,55,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Argentina
56,56,El Amante,3umS4y3uQDkqekNjVpiRUs,Argentina
57,57,Rompecabezas de Amor,6qs5C2MEAHfF2jUdEzpWut,Argentina
58,58,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Argentina
59,59,Bella,1Ft13La2daEGqz5yWJC7lx,Argentina
60,60,Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Argentina
61,61,Amor para un Rato,3j1o2GHPuRUoXC5KkiE6oU,Argentina
62,62,Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Argentina
63,63,Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Argentina
64,64,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Argentina
65,65,Duro y Suave,31M5m42C3EGlbydf9XB5to,Argentina
66,66,Suena El Dembow,0woHVOh3KXLSDv8VU9XwZ4,Argentina
67,67,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Argentina
68,68,La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Argentina
69,69,IDGAF,76cy1WJvNGJTj78UqeA5zr,Argentina
70,70,Perro Fiel (feat. Nicky Jam),70lnL3QaSOIIyMa2X9aVRL,Argentina
71,71,Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Argentina
72,72,Zafar,0ZYcjnsXrs7BxWGnU0uVeV,Argentina
73,73,24K Magic,6b8Be6ljOzmkOmFslEb23P,Argentina
