,Track Name,Artist,Count,Streams,Position,spotify_id
0,Crimen,Gustavo Cerati,153,39832,66,3oqWr0jDWNXxWufNogGREp
1,Creo,Callejeros,153,36413,89,5Bi9Cq5oVFy1OtUgecbegZ
2,Spaghetti del Rock,Divididos,153,39843,83,6rg1MBZqggsQ5olFGTw0rr
3,Nunca quise,Intoxicados,150,41535,65,0ZAJ660VP57lLK4U7NlGOy
4,Me Gusta,Ciro y los Persas,148,43608,108,3pMo77B4r1NwwIK78lO4xf
5,Shape of You,Ed Sheeran,145,98136,2,7qiZfU4dY1lWllzX7mPBI3
6,Believer,Imagine Dragons,138,35011,62,0CcQNd8CINkwQfe1RDtGV6
7,Personalmente,Las Pelotas,137,33165,96,7q7XFO9av9VpNJSXKJwJxD
8,Trátame Suavemente - Remasterizado 2007,Soda Stereo,134,43487,101,65DBZofI0b79kfHTcWWDuU
9,Me Rehúso,Danny Ocean,128,94823,1,6De0lHrwBfPfrhorm9q1Xl
10,The Scientist,Coldplay,127,35506,74,75JFxkI2RXiU7L9VXzMkle
11,Perfect,Ed Sheeran,127,47335,52,0tgVpDi06FyKpA1z0VMD4v
12,Oncemil,Abel Pintos,122,30470,80,3y5ahYM9zwyOCt3mieZ0PZ
13,Thinking out Loud,Ed Sheeran,117,25464,88,1Slwb6dOYkBlWal1PGtnNg
14,Intento,Ulises Bueno,114,41200,67,1nvomogWZSfnw3H4Uti0eL
15,Una Nueva Noche Fría,Callejeros,106,30940,117,39KmBOGkD1ztCbVeo2uspA
16,Mil Horas,Los Abuelos De La Nada,100,32660,117,2cnzoggZA19R6DiWGhKU42
17,Photograph,Ed Sheeran,98,25375,84,6fxVffaTuwjgEk5h9QyRjy
18,Pasos Al Costado,Turf,98,35531,105,7upAH0ezzsThyvr33YKn4u
19,Seguir Viviendo Sin Tu Amor,Luis Alberto Spinetta,95,40222,109,2qBirMakpTdz9ymxrZEyzg
20,Robarte un Beso,Carlos Vives,92,87981,9,0JcNysfWVWaMS7R6vzGB2k
21,Otra vez (feat. J Balvin),Zion & Lennox,92,93017,6,3QwBODjSEzelZyVjxPOHdq
22,No Te Creas Tan Importante - En Vivo,Damas Gratis,91,89649,11,3trowLiYwwOoiwapLISNyk
23,Felices los 4,Maluma,90,96158,1,0qYTZCo5Bwh1nsUFGZP3zn
24,No Hay Nadie Más,Sebastian Yatra,90,83122,17,0U8WdltGpu3OC0ma9yLmjX
25,Una Lady Como Tú,Manuel Turizo,86,97518,11,7MHN1aCFtLXjownGhvEQlF
26,Puente,Gustavo Cerati,85,30917,110,6gwaa6ElIixNTvu6RwkMyo
27,New Rules,Dua Lipa,85,99428,23,2ekn2ttSfGqwhhate0LSR0
28,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,85,98099,3,1j6xOGusnyXq3l6IryKF3G
29,A las Nueve,No Te Va Gustar,84,22680,146,0uuEqOyKlABOB7hzWKcEeG
30,Criminal,Natti Natasha,83,88386,1,2SmgFAhQkQCQPyBiBxR6Te
31,Traicionera,Sebastian Yatra,82,97591,6,4Ft0391aLVNtCPPseh98lp
32,Rocanroles Sin Destino,Callejeros,81,24508,117,46yA2K9FA0PaCbeWkezvFC
33,No Me Olvides,La Beriso,80,23453,100,7LDUiraavMZ6mb8hK3mXkj
34,Despacito (Featuring Daddy Yankee),Luis Fonsi,79,90463,1,4aWmUDTfIPGksMNLV2rQP2
35,Consejo de Amor,TINI,78,44880,56,1zHQ5gjJoNxT4RYFmGEWuo
36,Balada Del Diablo y La Muerte,La Renga,78,22068,127,4ObkiTmpsSU31gqGhTb8SH
37,Mayores,Becky G,77,90563,3,7JNh1cfm0eXjqFVOzKLyau
38,Me Llamas (feat. Maluma) - Remix,Piso 21,77,99834,9,5hEM0JchdVzQ5PwvSfITeX
39,Se Preparó,Ozuna,74,98075,1,1m69ELEgE6k5ZWsap40ozt
40,Madrugada,La Beriso,74,21827,128,4SGCn3ZVXa7bepHuAdQvC9
41,Reggaetón Lento (Bailemos),CNCO,74,92957,1,3AEZUABDXNtecAOSC1qTfo
42,Sin Pijama,Becky G,73,97474,1,2ijef6ni2amuunRoKTlgww
43,Me Niego (feat. Ozuna & Wisin),Reik,73,96284,2,4ggiDYAkJ7Yk8d5xOr7Xjo
44,Te Amo,Piso 21,73,94271,3,2RVrdr062uLFxXwIxwdXPH
45,Cuando Te Besé,Becky G,73,84809,1,2XXMDz7SPZ4mSFN1PXfHUy
46,Quiero Volver,TINI,73,93909,21,1jcAZRfufvi67KWnwRmizE
47,Ya No Tiene Novio,Sebastian Yatra,72,98381,5,7uQmJ1jgNzBpATSoWKSPFu
48,Piel a Piel,Dame 5,72,82751,20,2q3B7GLCEA4uYvuo2g5P82
49,Échame La Culpa,Luis Fonsi,70,93512,2,0mlAOSILGRys2IbvyOT5VJ
50,La Rompe Corazones,Daddy Yankee,69,99946,5,4okba5wu9mMLXx79DXLKi3
51,Campanas en la Noche,Los Tipitos,69,29249,127,0C9V5jMElp7laZZdsCHufD
52,Me Vas a Extrañar - En Vivo,Damas Gratis,68,98672,4,3CACzG9I3AoKUKA3ODE5zW
53,Cuando Se Pone a Bailar,Rombai,67,94666,3,1MpKZi1zTXpERKwxmOu1PH
54,Te Boté - Remix,Nio Garcia,66,92292,1,3V8UKqhEK5zBkBb6d6ub8i
55,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,66,99727,12,5q2JbCNi4FcnglgPfxcV65
56,El Amante,Nicky Jam,65,97309,2,3umS4y3uQDkqekNjVpiRUs
57,Rompecabezas de Amor,Las Pastillas del Abuelo,65,20048,119,6qs5C2MEAHfF2jUdEzpWut
58,Vaina Loca,Ozuna,65,97862,2,1s2B5cndbqK8rPJEIcKJRQ
59,Bella,Wolfine,65,85526,1,1Ft13La2daEGqz5yWJC7lx
60,Si Tú La Ves (feat. Wisin),Nicky Jam,65,94395,16,4yN6xPLopmTLvc27pO9LIE
61,Amor para un Rato,Olvidate!,64,84578,19,3j1o2GHPuRUoXC5KkiE6oU
62,Ahora Dice,Chris Jeday,64,97481,2,22eADXu8DfOAUEDw4vU8qy
63,Andas En Mi Cabeza,Chino & Nacho,64,86651,11,5mey7CLLuFToM2P68Qu1gF
64,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,64,46430,54,2FrnTVSHjgnEylKGdHRUK1
65,Duro y Suave,Leslie Grace,64,91709,24,31M5m42C3EGlbydf9XB5to
66,Suena El Dembow,Joey Montana,64,98664,7,0woHVOh3KXLSDv8VU9XwZ4
67,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,64,97358,11,4QtiVmuA88tPQiCOHZuQ5b
68,La player (Bandolera),Zion & Lennox,63,98952,11,0VKkyBKCXyR99navhVRqcP
69,IDGAF,Dua Lipa,63,50483,52,76cy1WJvNGJTj78UqeA5zr
70,Perro Fiel (feat. Nicky Jam),Shakira,63,97905,4,70lnL3QaSOIIyMa2X9aVRL
71,Síguelo Bailando,Ozuna,62,97375,10,5Y9fnynLlIvqtM710MHzfz
72,Zafar,La Vela Puerca,62,34572,121,0ZYcjnsXrs7BxWGnU0uVeV
73,24K Magic,Bruno Mars,62,73388,15,6b8Be6ljOzmkOmFslEb23P
74,Desconocidos,Mau y Ricky,62,95130,3,0s5DNDV6LAKn2u2Ufa3VjQ
75,Bohemian Rhapsody - 2011 Mix,Queen,62,85259,23,4u7EnebtmKWzUH433cf5Qv
76,Hey DJ,CNCO,62,98328,3,1XgpK29CGGjZnxPYkiRbh4
77,Vente Pa' Ca,Ricky Martin,62,97039,3,7DM4BPaS7uofFul3ywMe46
78,Something Just Like This,The Chainsmokers,62,69940,26,6RUKPb4LETWmmr3iAEQktW
79,Chica Paranormal,Paulo Londra,61,97521,3,2r77vqSZkOktTSgmAOoHsV
80,Chantaje (feat. Maluma),Shakira,61,94348,1,6mICuAdrwEjh6Y6lroV2Kg
81,Vacaciones,Wisin,61,95530,8,1rXojdsUqqxGj2WCmJGWHP
82,La Bicicleta,Carlos Vives,61,80539,12,0Gx4VrHzS7pZOEAGrmXXBH
83,Borro Cassette,Maluma,61,65169,20,6DUdDIRgLqCGq1DwkNWQTN
84,No Es Justo,J Balvin,60,92919,5,1RTlTuLOdnmgbe11ynwR7c
85,La Noche No Es para Dormir,Mano Arriba,60,71929,18,3gEebOzxHpEwElicl1XBy0
86,I Feel It Coming,The Weeknd,60,68210,24,5GXAXm5YOmYT0kL5jHvYBt
87,Amigos Con Derechos,Reik,60,96325,8,2zDj4WjbNDmrRL6Z4YjjCA
