,Track Name,Artist,Count,Streams,Position,spotify_id
0,Ohne mein Team,Bonez MC,155,8407,35,05Mp2UJulSttxQ4E6hQPH3
1,Palmen aus Plastik,Bonez MC,108,6525,76,6wHRm1KR8pzVDPdmR6Qovj
2,Shape of You,Ed Sheeran,107,9662,1,7qiZfU4dY1lWllzX7mPBI3
3,Primo,RAF Camora,107,9701,4,7y5chiQbuvviOYUfUmOPqo
4,Believer,Imagine Dragons,101,9349,7,0CcQNd8CINkwQfe1RDtGV6
5,Was du Liebe nennst,Bausa,100,9962,1,2hIY4sjfMeKwXXh2LvhrMo
6,More Than You Know,Axwell /\ Ingrosso,95,9998,1,3PEgB3fkiojxms35ntsTgs
7,Kontrollieren,RAF Camora,89,7333,35,1uGERQ2DVv7j9WSsWzOHVp
8,Thunder,Imagine Dragons,87,9349,1,0tKcYR2II1VCQWT79i5NrW
9,In My Mind,Dynoro,84,9829,1,0E9ZjEAyAwOXZ7wJC0PD33
10,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,83,4169,81,5Z01UMMf7V1o0MzF86s6WJ
11,High Hopes,Panic! At The Disco,80,9444,4,1rqqCSm0Qe4I9rUvWncaom
12,I Like Me Better,Lauv,80,9946,4,1wjzFQodRWrPcQ0AnYnvQ9
13,Solo Dance,Martin Jensen,76,9852,5,3R6dPfF2yBO8mHySW1XDAa
14,Casanova,Summer Cem,76,9995,2,0jB0RNZIfaihaDKNmdrI40
15,Perfect,Ed Sheeran,76,9936,4,0tgVpDi06FyKpA1z0VMD4v
16,500 PS,Bonez MC,74,62576,1,4UOXo3xWnxYdTf3sFyRaUG
17,rockstar (feat. 21 Savage),Post Malone,73,8919,13,0e7ipj03S05BNilyu5bRzt
18,Be Alright,Dean Lewis,72,9781,10,2H4gf1wLxvYreMj1jcaN0k
19,Dior 2001,RIN,72,9983,5,2eNSyVH3sNPiAj9WpRYK73
20,'Till I Collapse,Eminem,71,3854,118,4xkOaSrkexMciUUogZKVTS
21,Don't Stop Believin',Journey,70,4816,128,4bHsxqR3GMrXTxEPLuK5ue
22,Wonderwall - Remastered,Oasis,69,3773,125,5qqabIl2vWzo9ApSC317sa
23,2002,Anne-Marie,69,9101,8,2BgEsaKNfHUdlh97KmvFyo
24,Neymar,Capital Bra,68,9642,1,0d0d2CuQSQDF7Q7vNhwA3i
25,Better Now,Post Malone,68,9988,2,7dt6x5M1jzdTEt8oCbisTK
26,Kokain,Bonez MC,68,9999,1,1H3oIeKUEHpBhXUiso0IMH
27,Silence,Marshmello,68,9578,5,7vGuf3Y35N4wmASOKLUVVU
28,Without You (feat. Sandro Cavazza),Avicii,66,9803,6,6Pgkp4qUoTmJIPn7ReaGxL
29,Andere Liga,RAF Camora,65,9474,13,1Ld0mRpHXYXzIi95T064bM
30,These Days,Rudimental,65,9804,1,20ZP3Om9DvDazXrNUC7WM2
31,Shallow,Lady Gaga,64,9877,14,2VxeLyX666F8uXCJ0dZF8B
32,Olé Olé,Capital Bra,63,6532,52,4v4ZuW2tjSyyci2BcE5bTp
33,Sweet but Psycho,Ava Max,63,9589,2,25sgk305KZfyuqVBQIahim
34,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,63,9167,1,4Nip6oiJU24LqcUEi7u19S
35,Congratulations,Post Malone,62,5346,54,3a1lNhkSLSkpJE4MSHpDu9
36,when the party's over,Billie Eilish,62,9832,37,14JzyD6FlBD5z0wV5P07YI
37,Feel It Still,Portugal. The Man,62,9798,7,6QgjcU0zLnzq5OrUoSZ3OK
38,Something Just Like This,The Chainsmokers,62,9738,2,6RUKPb4LETWmmr3iAEQktW
39,Tausend Tattoos,Sido,61,9401,5,1rGZd7EVl4aOClpzDLNPwy
40,Africa,TOTO,61,5043,136,2374M0fQpWi3dLnB54qaLX
41,Nevermind,Dennis Lloyd,61,9594,4,63SevszngYpZOwf63o61K4
42,Knöcheltief,Trettmann,61,4491,79,1qfM92o8OuFfWouqqfUBF8
43,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,60,9916,23,0RiRZpuVRbi7oqRdSMwhQY
44,SAD!,XXXTENTACION,60,9741,5,35ieKju5aLWFN5UgfJ27mL
45,Youngblood,5 Seconds of Summer,59,9934,18,2iUXsYOEPhVqEBwsqP70rE
46,eine ins leben,Pizzera & Jaus,59,4732,90,1EsYvNwt8f2WhERX1OsMOZ
47,Body (feat. brando),Loud Luxury,59,9856,7,7K7MUBCnzgBAvMVW2RTWNs
48,Perfekt (feat. Sofiane),RAF Camora,59,9782,1,38KR9aB0bPkjM4gKhKr7tr
49,Bros,RIN,59,6480,51,0mG6upCcUF0Qvq08FnjRDZ
50,Call On Me - Ryan Riback Extended Remix,Starley,58,9900,8,78rIJddV4X0HkNAInEcYde
