,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,155,9901,1,7qiZfU4dY1lWllzX7mPBI3
1,Believer,Imagine Dragons,149,9451,19,0CcQNd8CINkwQfe1RDtGV6
2,Perfect,Ed Sheeran,133,8714,3,0tgVpDi06FyKpA1z0VMD4v
3,Wonderwall - Remastered,Oasis,129,8063,100,5qqabIl2vWzo9ApSC317sa
4,Africa,TOTO,116,9835,63,2374M0fQpWi3dLnB54qaLX
5,Thunder,Imagine Dragons,101,9863,10,0tKcYR2II1VCQWT79i5NrW
6,Say You Won't Let Go,James Arthur,99,9934,9,5uCax9HTNlzGybIStD3vDh
7,SAD!,XXXTENTACION,95,9917,1,35ieKju5aLWFN5UgfJ27mL
8,Moonlight,XXXTENTACION,93,9774,3,0JP9xo3adEtGSdUEISiszL
9,I Like Me Better,Lauv,92,8926,5,1wjzFQodRWrPcQ0AnYnvQ9
10,New Rules,Dua Lipa,92,9931,1,2ekn2ttSfGqwhhate0LSR0
11,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,92,6939,102,3bidbhpOYeV4knp8AIu8Xn
12,Youngblood,5 Seconds of Summer,90,9561,10,2iUXsYOEPhVqEBwsqP70rE
13,Djadja,Aya Nakamura,89,9949,6,3XfnssSD9HMQ9LhVOJvXTE
14,One Kiss (with Dua Lipa),Calvin Harris,89,9649,1,7ef4DlsgrMEH11cDZd32M6
15,Feel It Still,Portugal. The Man,88,8755,16,6QgjcU0zLnzq5OrUoSZ3OK
16,Something Just Like This,The Chainsmokers,87,9276,2,6RUKPb4LETWmmr3iAEQktW
17,rockstar (feat. 21 Savage),Post Malone,87,9882,11,0e7ipj03S05BNilyu5bRzt
18,These Days,Rudimental,86,9697,4,20ZP3Om9DvDazXrNUC7WM2
19,God's Plan,Drake,85,9887,1,2VWbHHhWnMzKWPUs4IEEW9
20,Havana (feat. Young Thug),Camila Cabello,84,9798,2,1rfofaqEpACxVEHIZBJe6W
21,Lucid Dreams,Juice WRLD,84,9853,9,0X8DcetL926BYiPJYstJTc
22,Despacito (Featuring Daddy Yankee),Luis Fonsi,84,8714,14,4aWmUDTfIPGksMNLV2rQP2
23,One Dance,Drake,84,7333,22,1xznGGDReH1oQq0xzbwXa3
24,2002,Anne-Marie,82,9864,22,2BgEsaKNfHUdlh97KmvFyo
25,FRIENDS,Marshmello,81,9877,2,08bNPGLD8AhKpnnERrAc6G
26,Without You (feat. Sandro Cavazza),Avicii,79,9398,16,6Pgkp4qUoTmJIPn7ReaGxL
27,HUMBLE.,Kendrick Lamar,79,8545,2,7KXjTSCq5nL1LoYtL7XAwS
28,Better Now,Post Malone,79,8924,5,7dt6x5M1jzdTEt8oCbisTK
29,High Hopes,Panic! At The Disco,78,8985,2,1rqqCSm0Qe4I9rUvWncaom
30,All of Me,John Legend,78,6875,103,2q6tgiA9tpb6DMguABwCWE
