,Track Name,Artist,Count,Streams,Position,spotify_id
0,Me Rehúso,Danny Ocean,155,8762,1,6De0lHrwBfPfrhorm9q1Xl
1,Shape of You,Ed Sheeran,155,7985,2,7qiZfU4dY1lWllzX7mPBI3
2,Otra vez (feat. J Balvin),Zion & Lennox,149,6642,2,3QwBODjSEzelZyVjxPOHdq
3,Believer,Imagine Dragons,149,3185,48,0CcQNd8CINkwQfe1RDtGV6
4,Traicionera,Sebastian Yatra,149,5062,5,4Ft0391aLVNtCPPseh98lp
5,Una Lady Como Tú,Manuel Turizo,124,8961,2,5jf0PmPCHefQ78uAzqIqbj
6,Robarte un Beso,Carlos Vives,117,7200,2,0JcNysfWVWaMS7R6vzGB2k
7,Me Llamas (feat. Maluma) - Remix,Piso 21,116,4730,8,5hEM0JchdVzQ5PwvSfITeX
8,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,115,9877,1,1j6xOGusnyXq3l6IryKF3G
9,Perfect,Ed Sheeran,111,3020,43,0tgVpDi06FyKpA1z0VMD4v
10,Besos En Guerra,Morat,105,2332,61,1d0c62VFYauOOgxZ2eFUxx
11,Amantes,Greeicy,105,3176,45,3IyPnNX142pvWx6D5CiimD
12,Felices los 4,Maluma,103,9888,1,0qYTZCo5Bwh1nsUFGZP3zn
13,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,101,4000,14,5q2JbCNi4FcnglgPfxcV65
14,Caraluna,Bacilos,101,2066,114,7DhYjNLksXZhbRQeheAums
15,No Hay Nadie Más,Sebastian Yatra,101,4505,18,0U8WdltGpu3OC0ma9yLmjX
16,We Don't Talk Anymore,Charlie Puth,99,2418,25,68EMU2RD1ECNeOeJ5qAXCV
17,Reggaetón Lento (Bailemos),CNCO,95,8411,1,3AEZUABDXNtecAOSC1qTfo
18,Te Amo,Piso 21,94,9113,3,2RVrdr062uLFxXwIxwdXPH
19,Por Perro,Sebastian Yatra,92,9969,2,1XM5PgxjpYcF0JuE9nfUbS
20,Me Niego (feat. Ozuna & Wisin),Reik,91,9943,2,4ggiDYAkJ7Yk8d5xOr7Xjo
21,Besándote,Piso 21,89,5347,8,13X0XdLMOdtbXVtAj2ox4h
22,Hey DJ,CNCO,89,7407,3,1XgpK29CGGjZnxPYkiRbh4
23,Sin Pijama,Becky G,89,9673,2,2ijef6ni2amuunRoKTlgww
24,La player (Bandolera),Zion & Lennox,89,7577,6,0VKkyBKCXyR99navhVRqcP
25,Criminal,Natti Natasha,88,9792,2,2SmgFAhQkQCQPyBiBxR6Te
26,Thunder,Imagine Dragons,87,2502,43,0tKcYR2II1VCQWT79i5NrW
27,No Es Justo,J Balvin,86,9508,1,1RTlTuLOdnmgbe11ynwR7c
28,Puntos Suspensivos,Piso 21,86,8405,8,04cd1MHVq1D8v1nuTZoCdv
29,New Rules,Dua Lipa,85,3845,21,2ekn2ttSfGqwhhate0LSR0
30,Suena El Dembow,Joey Montana,85,8827,1,0woHVOh3KXLSDv8VU9XwZ4
31,Dembow,Danny Ocean,83,9459,5,2EzRdhuoPyNJDlep7lnNf2
32,Cuando Nadie Ve,Morat,82,3229,43,1Cxd4ZJJ9VOQQpNcpdcZEQ
33,Como Mirarte,Sebastian Yatra,79,2288,62,0CXEPVeQDLgDBfvcsQpXq1
34,Esperándote,Manuel Turizo,79,8955,5,1nfyE13arjOuO54HH0zmqj
35,Vaina Loca,Ozuna,79,9415,1,1s2B5cndbqK8rPJEIcKJRQ
36,Mayores,Becky G,79,8877,1,7JNh1cfm0eXjqFVOzKLyau
37,Let Me Love You,DJ Snake,78,4307,7,0lYBSQXN6rCTvUZvg9S0lU
38,The Scientist,Coldplay,78,1848,107,75JFxkI2RXiU7L9VXzMkle
39,Te Boté - Remix,Nio Garcia,78,9818,1,3V8UKqhEK5zBkBb6d6ub8i
40,Bohemian Rhapsody - 2011 Mix,Queen,77,7488,14,4u7EnebtmKWzUH433cf5Qv
41,Closer (feat. Halsey),The Chainsmokers,76,3543,10,7BKLCZ1jbUBVqRi2FVlTVw
42,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,76,4456,18,0H7cz1bR7w9PulJL7Na774
43,Se Preparó,Ozuna,76,7525,6,1m69ELEgE6k5ZWsap40ozt
44,Escápate Conmigo (feat. Ozuna),Wisin,75,5430,16,1KSqYYJFyfTecXFk9M0prc
45,Culpables,Manuel Turizo,75,8164,6,2zufEOvbBeIzYnRktwYk1W
46,Que Va,Alex Sensation,74,8253,3,6J1R5wtPXiHiwiPstOSI56
47,Photograph,Ed Sheeran,74,1570,56,6fxVffaTuwjgEk5h9QyRjy
48,Hookah & Sheridan s,Tommy Boysen,74,2483,52,3QfD4bxxkopZL7XZ8RaezH
49,Cuando Te Besé,Becky G,74,9954,1,2XXMDz7SPZ4mSFN1PXfHUy
50,Girls Like You (feat. Cardi B),Maroon 5,73,3800,30,6FRLCMO5TUHTexlWo8ym1W
51,Ya No Tiene Novio,Sebastian Yatra,73,9924,6,7uQmJ1jgNzBpATSoWKSPFu
52,A Partir De Hoy,David Bisbal,72,3248,34,1FMNuRMIcPD6PDQGoi5Ifn
53,Lost on You,LP,72,2930,72,3SqvR3HYLlCTYzbDXJ52OC
54,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,72,6526,8,4QtiVmuA88tPQiCOHZuQ5b
55,Amigos Con Derechos,Reik,70,9323,3,2zDj4WjbNDmrRL6Z4YjjCA
56,Bella,Wolfine,70,9901,2,1Ft13La2daEGqz5yWJC7lx
57,SUTRA,Sebastian Yatra,69,6757,11,0lTYnxJdC68v0oXd5xolxY
58,Échame La Culpa,Luis Fonsi,69,9997,2,0mlAOSILGRys2IbvyOT5VJ
59,Ni Gucci Ni Prada,Kenny Man,69,5743,20,32lexhcz93AinKK0qLTZaZ
60,Mamita,CNCO,69,5880,16,5ojXuKXBYq0apcNucYSDXq
61,Loco Enamorado,Abraham Mateo,67,5489,12,4N1c5rmWOzRmB9SMacr5wB
62,Si Tú La Ves (feat. Wisin),Nicky Jam,67,4107,14,4yN6xPLopmTLvc27pO9LIE
63,I Like It,Cardi B,67,5899,12,58q2HKrzhC3ozto2nDdN4z
64,Nunca Es Suficiente,Los Angeles Azules,67,3736,44,63USmok1OioBzKuWGW9wAg
65,Sensualidad,Bad Bunny,67,9603,5,5hcisvFMidkMJlElTO9Qmw
66,Me Voy,Rombai,66,5994,19,22sESxzbY1O1E19xjOTaYf
67,Me Dediqué a Perderte,Alejandro Fernandez,66,2346,132,4NUt1fcnO9aQAELBgXq3Kr
68,El Amante,Nicky Jam,66,8228,2,3umS4y3uQDkqekNjVpiRUs
69,Happier,Marshmello,65,5204,32,2dpaYNEQHiRxtZbfNsse99
70,Calma - Remix,Pedro Capó,64,9324,2,5iwz1NiezX7WWjnCgY5TH4
71,MIA (feat. Drake),Bad Bunny,64,9577,1,116H0KvKr2Zl4RPuVBruDO
72,Despacito (Featuring Daddy Yankee),Luis Fonsi,64,9771,1,4aWmUDTfIPGksMNLV2rQP2
73,X,Nicky Jam,64,9696,1,39N9RPD9MRb5WmoLzNzPeA
74,Baby Girl (feat. Lalo Ebratt),Mario Bautista,64,5128,29,6o8ogTrSX8H0F66Pdz3Tsc
75,Desconocidos,Mau y Ricky,64,8984,1,0s5DNDV6LAKn2u2Ufa3VjQ
76,Imposible,Luis Fonsi,63,9383,8,3ao3OVxHlb3C08vAaApUlm
77,Vuelve,Sebastian Yatra,63,4113,29,3wGRfBDRNQb0nFDFrUPvq6
78,Alguien Robo,Sebastian Yatra,63,4180,9,0pQoNBSZeRFuhLVH8gCVDT
79,Báilame - Remix,Nacho,63,6858,6,3VClLWqNn80Llv0PJOsKgr
80,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,62,4811,9,6stYbAJgTszHAHZMPxWWCY
81,La Incondicional,Luis Miguel,62,2057,77,6F9yAYUaNbUhdlQyt5uZ3b
82,Downtown,Anitta,62,8075,6,3Ga6eKrUFf12ouh9Yw3v2D
83,Vacaciones,Wisin,62,5155,8,1rXojdsUqqxGj2WCmJGWHP
84,La Rompe Corazones,Daddy Yankee,61,3951,13,4okba5wu9mMLXx79DXLKi3
85,Ella Quiere Beber - Remix,Anuel AA,61,9969,7,2cYnZNzFRFK0H7vSNxPsUq
