,Track Name,Artist,Count,Streams,Position,spotify_id
0,Believer,Imagine Dragons,151,99753,37,0CcQNd8CINkwQfe1RDtGV6
1,Shape of You,Ed Sheeran,148,99279,1,7qiZfU4dY1lWllzX7mPBI3
2,Trevo (Tu),ANAVITÓRIA,136,99387,27,2vRBYKWOyHtFMtiK60qRz7
3,Deixe Me Ir - Acústico,1Kilo,126,98581,2,2srL4DYBekshpbprS6H0mO
4,Thunder,Imagine Dragons,119,99907,30,0tKcYR2II1VCQWT79i5NrW
5,Fica - Bonus Track,ANAVITÓRIA,114,99531,24,1qDZnViQgUItsMpWLVwfGb
6,Hear Me Now,Alok,112,98553,1,1a5Yu5L18qNxVhXx38njON
7,Poesia Acústica #3: Capricorniana,Pineapple StormTv,92,99953,79,1YUWhlQjFv7MQpcbb77zTL
8,Photograph,Ed Sheeran,91,90163,71,6fxVffaTuwjgEk5h9QyRjy
9,O Sol,Vitor Kley,88,99555,10,3IfctMaf2sfvlSLRa42Cna
10,Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo,Atitude 67,88,98063,15,0Goo8GkDXERy3IFTQ8BYjz
11,Never Let Me Go,Alok,87,98867,5,06ZpMjkNdIDKVf3mK29UiC
12,Vidinha de Balada - Ao Vivo,Henrique & Juliano,87,98829,5,2g2ZjM1GjY9Lf2Ff0L94Ul
13,Raspão - Ao Vivo,Henrique & Diego,85,93239,6,6gquljDBW7rE6mCBzmTRxo
14,4 da manhã,UM44K,84,92570,36,5xVJU6DJHnmHnbbKS56yCC
15,Propaganda - Ao Vivo,Jorge & Mateus,83,96032,1,74n5d5M21JnC4WJ6gdkggK
16,Meu Abrigo,Melim,83,87649,5,5U28PY9MekLyCBYtLHGQpe
17,Regime Fechado - Ao Vivo,Simone & Simaria,83,99322,9,3laDGpbCmdrGOhjrcYIBYB
18,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,82,97842,1,1IJH7QjV5V99eJBtKXqGXE
19,Deixa (feat. Ana Gabriela),Lagum,81,95014,28,3fLqmaO4vvZpFZSZy52VMp
20,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,80,91651,2,2qkNnJvQvhLiZ63X1L3eFz
21,Poesia Acústica #2: Sobre Nós,Delacruz,80,99656,92,6HaTYIUKd8SzdvGOfutBRD
22,New Rules,Dua Lipa,78,96735,2,2ekn2ttSfGqwhhate0LSR0
23,A Mala É Falsa - Ao Vivo,Felipe Araújo,78,99529,26,3dyN3yQuMi2UWKRfRY0ISt
24,Ouvi Dizer,Melim,76,92234,11,1qCLx3nX25NuhfPjM5E1qV
25,Anti-Amor - Ao Vivo,Gustavo Mioto,75,95211,7,7JdZZfozlODQ08ATf8xIZ6
26,3 Dias Virado,Mc IG,75,97500,33,4uD7ypL7pDmOiMiVX6TCCa
27,Amante Não Tem Lar - Ao Vivo,Marília Mendonça,75,99966,19,1t0EUDKUR1F5911t7eh3Wi
28,Cobaia,Lauana Prado,73,86843,6,1xyVMQx51Kab6eLVtE6twx
29,Something Just Like This,The Chainsmokers,72,99232,9,6RUKPb4LETWmmr3iAEQktW
30,O Alvo - Ao Vivo,Diego & Victor Hugo,72,91758,12,5Vw6ZLNB6Ko7VZM6vmNIbr
31,Happier,Marshmello,72,99782,41,2dpaYNEQHiRxtZbfNsse99
32,Ciumeira - Ao Vivo,Marília Mendonça,71,664739,1,2H1liABu20HXBOmbt5SQz1
33,Ausência - Ao Vivo | Acústico,Marília Mendonça,71,99214,38,37erXXnh4mlWE7mdO6EYOp
34,De Quem É a Culpa? - Ao Vivo,Marília Mendonça,71,99532,20,4YhPcVIxIAJrLhFVPGbJkE
35,Morena,Vitor Kley,69,99752,42,1tKSESuh7Rdpwe3bqxiWOH
36,Bem Pior Que Eu - Ao Vivo,Marília Mendonça,69,97079,29,4CdMz076UN8RyeWGQCdqFZ
37,Aquela Pessoa - Ao Vivo,Henrique & Juliano,69,99346,39,3A1LphuJ5lQD6NjPtxtYFh
38,Pouca Pausa,Clau,68,98899,7,2odzriVVZBwYOiYJEj30tm
39,Mais Amor e Menos Drama - Ao Vivo,Henrique & Juliano,68,91823,103,2TihKW8ShdEEhKN3PSDEIq
40,"Ai, Amor",ANAVITÓRIA,68,98292,24,3bR8wBqLky6b61ROJlaBEF
41,Apenas Mais uma de Amor,Lulu Santos,67,91179,121,6YNCE5qtrTa7YcnAOAEsDQ
42,Atrasadinha - Ao Vivo,Felipe Araújo,67,764010,1,5EKHbW7mXcAR4hCyS3YXjb
43,De Trás Pra Frente - Ao Vivo,Henrique & Juliano,67,97348,18,2x67AU9q3lf7cfPSzxCDsL
44,Shallow,Lady Gaga,66,96227,4,2VxeLyX666F8uXCJ0dZF8B
45,Ocean,Alok,66,99639,9,4nraNqonMyfc0U3o8VeXVu
46,rockstar (feat. 21 Savage),Post Malone,66,99762,39,0e7ipj03S05BNilyu5bRzt
47,Girls Like You (feat. Cardi B),Maroon 5,66,95084,37,6FRLCMO5TUHTexlWo8ym1W
48,Cidade Vizinha - Ao Vivo,Henrique & Juliano,65,453038,8,6pgoGpBkKUvXrrU95j0khl
49,Espaçosa Demais - Ao Vivo,Felipe Araújo,65,375362,12,4lEw9Id7kLDSJ6KRdaenM9
50,Sorte Que Cê Beija Bem - Ao Vivo,Maiara & Maraisa,65,79193,11,4YV827A7aWVswtyt0eWoWM
51,Pra você acreditar - Ao vivo,Ferrugem,65,99097,56,5KNi9XFap48ry4puG7rvqv
52,Amor Da Sua Cama,Felipe Araújo,65,93873,9,2cwFhwT6L2D4Olc25nhyZo
53,Sua Mãe Vai Me Amar,Turma do Pagode,65,98143,42,4fMjqKYYsvtT6Fvca8lGFl
54,Status Que Eu Não Queria - Ao Vivo,Zé Neto & Cristiano,65,96523,7,1fyhyOy6iS9E2NckAzjmTo
55,Olha a Explosão,MC Kevinho,65,98304,3,4TwxzrAK84IvWCFDaQJcBr
56,There's Nothing Holdin' Me Back,Shawn Mendes,64,99569,23,79cuOz3SPQTuFrp8WgftAu
57,Bom Rapaz - Ao Vivo,Fernando & Sorocaba,64,99447,20,0Yx0GelVzYtJ7IkTX64QSM
58,Paredes - Ao Vivo,Jorge & Mateus,64,95921,15,2GfxgssRHvY1azHtaRqKoK
59,Dona de mim,IZA,64,97103,26,0H8CBal2Dcu5Yc001VotZN
60,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,64,70018,6,2d3TbSkAscvT3QRQalq6uT
61,Apelido Carinhoso,Gusttavo Lima,63,99789,3,6wXYGqXCLtEHx4VDb2TPcM
62,Ar-Condicionado No 15 - Ao Vivo,Wesley Safadão,63,99786,7,5ac0YTpOaDX9wEYYyGCglL
63,Sem Sal - Ao Vivo,Marília Mendonça,62,330248,15,0E5S49GCejjIo9Bjmo5Q4z
64,Meu Amor - Ao Vivo,Henrique & Juliano,62,99865,76,3X5zRkzlpTiajlkI9QXQUz
65,Cem Mil - Ao Vivo,Gusttavo Lima,62,96738,2,5eMmT4Ava5BGThju0AD8vQ
66,Acabou Acabou (Quando Eu Digo Que Acabou) - Ao Vivo,Gabriel Diniz,61,98039,32,5hJJOWPZtBq15zVfWWM8lZ
67,Coladinha em Mim - Ao Vivo,Gustavo Mioto,61,91621,8,2lN3l0jHCjVulwdPX6NvUn
68,Agora Vai Sentar,MC's Jhowzinho & Kadinho,61,99549,1,0pDaqgIForVNO4jrtTxcWT
69,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,61,99079,1,6u0EAxf1OJTLS7CvInuNd7
70,Pra Você Guardei O Amor,Nando Reis,61,99184,131,1EQ8sBQ7Abv9DvNBzhXAcv
71,Anos Luz,Matuê,61,99588,71,0g5Bqcm6EcbcUXkiCnHxzk
72,Péssimo Negócio (Ao Vivo),Dilsinho,60,94505,19,3FOOdP48VrHCAviC34L84Q
73,Infarto,Diego & Victor Hugo,60,96722,9,0XEJ7eph2IWFYZc73Jm3n2
74,Largado As Traças - Acústico,Zé Neto & Cristiano,60,98575,1,65CTrkKjcQcZmyv0373syo
75,Loka,Simone & Simaria,60,92247,4,12bMDI4NKm0arLS3PKv6Fo
76,Cobertor de Orelha - Ao Vivo,Turma do Pagode,60,98628,77,1XCKlzIqaehohdUTihetGN
77,Fazer Falta,Mc Livinho,60,95490,1,6pSYjx66rlqRmGGTHhnjCo
78,Vai Embrazando,Mc Zaac,60,96785,2,1zhfU6YXa2pXUAQdG1NvBZ
79,Trincadinho - Ao Vivo,Jorge & Mateus,59,98507,6,5qjMyKkmosPBws5cImS9Zz
80,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,59,557649,5,0IQCOAw9ZAI6WnXIrl481F
81,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,59,97894,51,0RiRZpuVRbi7oqRdSMwhQY
82,Singular,ANAVITÓRIA,59,91939,51,3eGK0WFi6ISJ9UZA6Za4HX
83,Terra Sem CEP - Ao Vivo,Jorge & Mateus,59,99455,30,2U94QDSo9N4e1iXrjo7KAB
84,Bebida Na Ferida - Ao Vivo,Zé Neto & Cristiano,59,99713,25,3HEb6Y5dv8PgD6JgsIQNac
